app_id,app_name,rank,country_code,date
com.kongregate.mobile.thetrail.google,TheTrail,1,AU,2016-11-17
com.gamecircus.tycoon,TapstoRiches,2,AU,2016-11-17
com.gameloft.android.ANMP.GloftUOHM,UNO™&Friends,3,AU,2016-11-17
jp.konami.duellinks,遊戯王デュエルリンクス,4,AU,2016-11-17
com.fortafygames.colorswitch,ColorSwitch,5,AU,2016-11-17
com.ketchapp.pineapplepen,パイナッポーペン,6,AU,2016-11-17
com.productmadness.hovmobile,HeartofVegas:オンラインカジノゲーム,7,AU,2016-11-17
air.com.pixelfederation.diggy,Diggy'sAdventure,8,AU,2016-11-17
com.kiloo.subwaysurf,SubwaySurfers,9,AU,2016-11-17
com.rjs.wordsearchgame,WordSearch,10,AU,2016-11-17
com.epicwaronline.ms,モバイルストライク【MobileStrike】,11,AU,2016-11-17
com.bitmango.go.blockhexapuzzle,ブロック！ヘキサパズル,12,AU,2016-11-17
com.nianticlabs.pokemongo,PokémonGO,13,AU,2016-11-17
air.com.hypah.io.slither,slither.io,14,AU,2016-11-17
com.kathleenOswald.solitaireGooglePlay,ソリティア,15,AU,2016-11-17
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),16,AU,2016-11-17
com.king.candycrushsaga,キャンディークラッシュ,17,AU,2016-11-17
com.kongregate.mobile.burritobison3.google,BurritoBison:LaunchaLibre,18,AU,2016-11-17
com.turbochilli.rollingsky,ローリング・スカイ,19,AU,2016-11-17
com.nordcurrent.canteenhd,クッキングフィーバー【爽快グルメアクション！】,20,AU,2016-11-17
com.playwithgames.RaceTrackParking,DrivingSchoolTestCarRacing,21,AU,2016-11-17
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),22,AU,2016-11-17
com.netmarble.starwars,スター・ウォーズ：フォース・アリーナ,23,AU,2016-11-17
com.miniclip.eightballpool,8BallPool,24,AU,2016-11-17
com.ludia.bsg,BattlestarGalactica:Squadrons,25,AU,2016-11-17
com.roblox.client,ROBLOX,26,AU,2016-11-17
air.com.sgn.cookiejam.gp,クッキージャム,27,AU,2016-11-17
com.randomlogicgames.battletext,BattleText,28,AU,2016-11-17
com.episodeinteractive.android.catalog,Episodefeat.MeanGirls,29,AU,2016-11-17
com.igs.fafafa,FaFaFa-RealCasinoSlots,30,AU,2016-11-17
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),31,AU,2016-11-17
com.placeholdercorp.TrumpyWall,TrumpyWall,32,AU,2016-11-17
com.tricksterarts.hackers,Hackers,33,AU,2016-11-17
com.playrix.township,タウンシップ(Township),34,AU,2016-11-17
com.pacificinteractive.HouseOfFun,無料スロット–HouseofFun,35,AU,2016-11-17
com.ubisoft.trolls,Trolls:CrazyPartyForest!,36,AU,2016-11-17
com.crowdstar.covetHome,DesignHome,37,AU,2016-11-17
com.halfbrick.fruitninjafree,FruitNinjaFree,38,AU,2016-11-17
com.byv.TheArchers2,弓兵2,39,AU,2016-11-17
com.pixonic.wwr,WarRobots,40,AU,2016-11-17
com.huuuge.casino.slots,オンラインスロット＆カジノ～HuuugeCasino,41,AU,2016-11-17
com.telltalegames.minecraft100,Minecraft:StoryMode,42,AU,2016-11-17
com.luckios.vegasluckyslots,LuckySlots:FreeSlotMachines,43,AU,2016-11-17
com.mostplayed.flippybottle,FlippyBottleExtreme!,44,AU,2016-11-17
com.orangenose.trick,TrickyTest2FacebookEdition,45,AU,2016-11-17
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,46,AU,2016-11-17
com.gameloft.android.ANMP.GloftMOHM,アスファルト：Xtreme,47,AU,2016-11-17
com.popreach.dumbways,DumbWaystoDieOriginal,48,AU,2016-11-17
com.king.candycrushsodasaga,キャンディークラッシュソーダ,49,AU,2016-11-17
com.wordmobile.waterslide,3Dウォータースライド,50,AU,2016-11-17
com.imangi.templerun2,TempleRun2,51,AU,2016-11-17
macrostudios.wouldyourather,WouldYouRather?,52,AU,2016-11-17
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),53,AU,2016-11-17
com.metroxylon.Bottle.Flip,BottleFlip,54,AU,2016-11-17
ppl.unity.cubeslots,PlaylabFreeCasinoSlots,55,AU,2016-11-17
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,56,AU,2016-11-17
com.eyeboxgames.clown,KillerClownChase,57,AU,2016-11-17
