app_id,app_name,rank,country_code,date
com.productmadness.hovmobile,HeartofVegas:オンラインカジノスロットアプリ,1,AU,2017-08-16
com.productmadness.cashmancasino,CashmanCasinoSlots:無料カジノスロットゲーム,2,AU,2017-08-16
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,3,AU,2017-08-16
com.gtarcade.lod,LegacyofDiscord-FuriousWings,4,AU,2017-08-16
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),5,AU,2017-08-16
com.king.candycrushsaga,キャンディークラッシュ,6,AU,2017-08-16
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,7,AU,2017-08-16
com.pacificinteractive.HouseOfFun,無料スロット–HouseofFun,8,AU,2017-08-16
com.nianticlabs.pokemongo,PokémonGO,9,AU,2017-08-16
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),10,AU,2017-08-16
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,11,AU,2017-08-16
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,12,AU,2017-08-16
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),13,AU,2017-08-16
com.king.candycrushsodasaga,キャンディークラッシュソーダ,14,AU,2017-08-16
com.epicwaronline.ms,モバイルストライク【MobileStrike】,15,AU,2017-08-16
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,16,AU,2017-08-16
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),17,AU,2017-08-16
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,18,AU,2017-08-16
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),19,AU,2017-08-16
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,20,AU,2017-08-16
com.zynga.livepoker,Zyngaポーカー,21,AU,2017-08-16
com.doubleugames.DoubleUCasino,DoubleUCasino-FREESlots,22,AU,2017-08-16
com.kabam.marvelbattle,MARVELオールスターバトル,23,AU,2017-08-16
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,24,AU,2017-08-16
com.nintendo.zaba,ファイアーエムブレムヒーローズ,25,AU,2017-08-16
com.mobile.legends,モバイル·レジェンド:Bangbang,26,AU,2017-08-16
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,27,AU,2017-08-16
com.playrix.township,タウンシップ(Township),28,AU,2017-08-16
com.droidhang.ad,IdleHeroes-無料放置育成RPG,29,AU,2017-08-16
com.pixelberrystudios.choices,Choices:StoriesYouPlay,30,AU,2017-08-16
com.playtika.caesarscasino,CaesarsSlotMachines&Games,31,AU,2017-08-16
com.playdemic.golf.android,ゴルフクラッシュ,32,AU,2017-08-16
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),33,AU,2017-08-16
zombie.survival.craft.z,LastDayonEarth:Survival,34,AU,2017-08-16
com.crowdstar.covetHome,DesignHome,35,AU,2017-08-16
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),36,AU,2017-08-16
air.com.buffalo_studios.newflashbingo,BINGOBLITZ-ビンゴゲーム-ビンゴスロット,37,AU,2017-08-16
com.pocketgems.android.dragon,WarDragons,38,AU,2017-08-16
com.murka.scatterslots,ScatterSlots–ベガスのカジノスロットマシン,39,AU,2017-08-16
com.miniclip.eightballpool,8BallPool,40,AU,2017-08-16
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,41,AU,2017-08-16
com.king.bubblewitch3,バブルウィッチ3,42,AU,2017-08-16
com.playtika.wsop.gp,WSOP無料ポーカー(WorldSeriesofPoker),43,AU,2017-08-16
com.king.farmheroessaga,ファームヒーロー,44,AU,2017-08-16
com.bandainamcoent.narutoblazingna,UltimateNinjaBlazing,45,AU,2017-08-16
com.supercell.hayday,ヘイ・デイ(HayDay),46,AU,2017-08-16
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,47,AU,2017-08-16
com.king.candycrushjellysaga,キャンディークラッシュゼリー,48,AU,2017-08-16
com.selfawaregames.acecasino,BigFishCasino-無料のベガス風スロット＆ゲーム,49,AU,2017-08-16
com.namcobandaigames.spmoja010E,ONEPIECETREASURECRUISE,50,AU,2017-08-16
com.camelgames.superking,WarandOrder,51,AU,2017-08-16
jp.konami.duellinks,遊戯王デュエルリンクス,52,AU,2017-08-16
com.williamsinteractive.jackpotparty,JackpotPartyカジノスロットゲーム,53,AU,2017-08-16
com.episodeinteractive.android.catalog,Episode-ChooseYourStory,54,AU,2017-08-16
com.igg.castleclash,CastleClash:AnniversaryParty,55,AU,2017-08-16
net.peakgames.amy,ToyBlast,56,AU,2017-08-16
com.elex.nikkigp,LoveNikki-DressUPQueen,57,AU,2017-08-16
com.longtech.lastwars.gp,LastEmpire–WarZゾンビサバイバル,58,AU,2017-08-16
air.com.bitrhymes.bingo,タイトル:BingoBash–無料のビンゴカジノ,59,AU,2017-08-16
com.ea.game.simcitymobile_row,シムシティ　ビルドイット(SIMCITYBUILDIT),60,AU,2017-08-16
com.murka.slotsera,SlotsEra–ベガスのカジノスロットマシン,61,AU,2017-08-16
es.socialpoint.MonsterLegends,MonsterLegends,62,AU,2017-08-16
com.netmarble.mherosgb,MARVELFutureFight,63,AU,2017-08-16
air.com.sgn.cookiejam.gp,クッキージャム,64,AU,2017-08-16
es.socialpoint.DragonCity,ドラゴンシティ,65,AU,2017-08-16
com.g5e.hiddencity.android,HiddenCity®:ミステリー・オブ・シャドウズ,66,AU,2017-08-16
com.king.petrescuesaga,ペットレスキュー,67,AU,2017-08-16
com.igs.fafafa,GoldenHoYeahSlots-RealCasinoSlots,68,AU,2017-08-16
com.naturalmotion.customstreetracer2,CSRRacing2,69,AU,2017-08-16
com.topgamesinc.evony,エボニー-王の帰還,70,AU,2017-08-16
com.cervomedia.spw,Slots-Pharaoh'sWay,71,AU,2017-08-16
com.roblox.client,ROBLOX,72,AU,2017-08-16
com.bitmango.go.wordcookies,WordCookies,73,AU,2017-08-16
com.winnersclub.empire88slots,LuckyTimeSlots:無料オンラインスロットゲーム,74,AU,2017-08-16
com.joycity.potc,パイレーツ・オブ・カリビアン大海の覇者,75,AU,2017-08-16
com.n3twork.legendary,Legendary:GameofHeroes,76,AU,2017-08-16
com.supercell.boombeach,ブーム・ビーチ(BoomBeach),77,AU,2017-08-16
com.ea.game.simpsons4_row,TheSimpsons™:TappedOut,78,AU,2017-08-16
leyi.blazeofbattle,BlazeofBattle,79,AU,2017-08-16
com.tap4fun.reignofwar,インベーション,80,AU,2017-08-16
com.tinyco.futurama,Futurama:WorldsofTomorrow,81,AU,2017-08-16
com.superdancer.fun,SuperDancer,82,AU,2017-08-16
com.rovio.baba,アングリーバード2(AngryBirds2),83,AU,2017-08-16
com.moonactive.coinmaster,CoinMaster,84,AU,2017-08-16
com.scopely.whiplash,WWEChampions,85,AU,2017-08-16
com.zynga.ozmatch,WizardofOz:MagicMatch,86,AU,2017-08-16
com.and.riseofthekings,RiseoftheKings,87,AU,2017-08-16
com.playstudios.popslots,POP!Slots－スロット無料カジノ,88,AU,2017-08-16
com.ballytechnologies.f88,88FortunesSlots:無料カジノスロットゲーム,89,AU,2017-08-16
com.ea.games.simsfreeplay_row,TheSimsFreePlay,90,AU,2017-08-16
com.bigfishgames.cookingcrazegooglef2p,クッキングクレイズ-ハイテンポな楽しいレストランゲーム,91,AU,2017-08-16
com.pixonic.wwr,WarRobots,92,AU,2017-08-16
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,93,AU,2017-08-16
com.zeptolab.cats.google,CATS:CrashArenaTurboStars,94,AU,2017-08-16
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,95,AU,2017-08-16
com.huuuge.casino.texas,FreeSlots™BillionaireCasino,96,AU,2017-08-16
com.heroesofchaos.koramgame.global,Goddess:PrimalChaos-SEAFree3DActionMMORPG,97,AU,2017-08-16
com.nordcurrent.canteenhd,クッキングフィーバー【爽快グルメアクション！】,98,AU,2017-08-16
com.bigfishgames.gummydropgoogle,グミドロップ！,99,AU,2017-08-16
com.kongregate.mobile.throwdown.google,AnimationThrowdown:TQFC,100,AU,2017-08-16
com.wordgame.words.connect,WordConnect,101,AU,2017-08-16
com.backflipstudios.transformersearthwars,トランスフォーマー：アースウォーズ,102,AU,2017-08-16
com.pennypop.monsters.live,BattleCamp:バトルキャンプ-モンスター狩,103,AU,2017-08-16
com.xingjoys.zgirls.gp,Zgirls,104,AU,2017-08-16
com.withbuddies.yahtzee,YAHTZEE®WithBuddies,105,AU,2017-08-16
com.eastsidegames.trailerparkboys,TrailerParkBoys:GreasyMoney,106,AU,2017-08-16
com.ddi,DoubleDownCasino-FreeSlots,107,AU,2017-08-16
com.ucool.hero,ヒーローズチャージ(ヒロチャ・HeroesCharge),108,AU,2017-08-16
com.williamsinteractive.goldfish,GoldFishCasinoSlots:カジノスロットアプリ,109,AU,2017-08-16
com.bingo.tour.party.crazy.free,BingoParty-CrazyBingoTour,110,AU,2017-08-16
com.sgn.pandapop.gp,パンダポップ,111,AU,2017-08-16
com.sgn.geniesandgems.gp,マジックジュエル,112,AU,2017-08-16
com.nexonm.dominations.adk,DomiNations,113,AU,2017-08-16
com.tap4fun.brutalage_test,BrutalAge:HordeInvasion,114,AU,2017-08-16
com.gramgames.mergedragons,MergeDragons!,115,AU,2017-08-16
com.ea.gp.fifamobile,FIFAMobileサッカー,116,AU,2017-08-16
com.zynga.FarmVilleTropicEscape,FarmVille:TropicEscape,117,AU,2017-08-16
com.lilithgame.sgame.gp.oss,ArtofConquest(AoC),118,AU,2017-08-16
com.square_enix.android_googleplay.khuxww,KINGDOMHEARTSUnionχ[Cross],119,AU,2017-08-16
