app_id,app_name,rank,country_code,date
io.voodoo.paper2,Paper.io2,1,AU,2018-09-30
com.paulaugustel.bomber,PlanetBomber!,2,AU,2018-09-30
com.supertapx.bigbigballer,BigBigBaller,3,AU,2018-09-30
triwin.casino.slots.fortune.gold,GoldFortuneCasino-無料マカオスロット,4,AU,2018-09-30
com.productmadness.lightninglink,LightningLinkカジノスロット,5,AU,2018-09-30
com.playgendary.sportmasters,Bouncemasters!,6,AU,2018-09-30
triwin.billionaire.casino.free,BillionaireSlotsCasino-無料マカオ・ジャックポット・スロット,7,AU,2018-09-30
com.neonplay.casualsoccerkickandroid,SoccerKick,8,AU,2018-09-30
com.nomonkeys.ballblast,BallBlast,9,AU,2018-09-30
air.com.RustyLake.CubeEscapeParadox,CubeEscape:Paradox,10,AU,2018-09-30
com.peoplefun.wordstacks,WordStacks,11,AU,2018-09-30
com.gpp.beefactory,BeeFactory,12,AU,2018-09-30
com.sega.sakatsukurtw.world,SEGAPOCKETCLUBMANAGER,13,AU,2018-09-30
com.hotheadgames.google.free.empire,ForgedFantasy,14,AU,2018-09-30
com.YoStarEN.AzurLane,AzurLane,15,AU,2018-09-30
com.ct2018,ColorTrouble,16,AU,2018-09-30
com.derwinstudio.golforbit,GolfOrbit,17,AU,2018-09-30
com.ubisoft.accovenant,Assassin'sCreedRebellion,18,AU,2018-09-30
com.ea.gp.candcwarzones,コマンド＆コンカー：ライバルCommand&Conquer:Rivals,19,AU,2018-09-30
com.gumieurope.origins,BraveFrontier:TheLastSummoner,20,AU,2018-09-30
com.pomelogames.DinoPeople,恐竜だって人類だ,21,AU,2018-09-30
com.efun.cl.se,TalesofErin,22,AU,2018-09-30
com.goodcatchgames.mrbeanhillclimb,MrBean-SpecialDelivery,23,AU,2018-09-30
com.HolydayStudios.HolydayCityTycoon1,HolydayCityTycoon:IdleResourceManagement,24,AU,2018-09-30
com.hidea.manorvampire,ManorVampire,25,AU,2018-09-30
com.redbull.bike2,BikeUnchained2,26,AU,2018-09-30
sk.phx.terrarium,Terrarium:GardenIdle,27,AU,2018-09-30
org.nanobit.mycity,MyCity-EntertainmentTycoon,28,AU,2018-09-30
com.happylabs.magic,魔法学校物語,29,AU,2018-09-30
com.budgestudios.googleplay.BarbieDreamhouse,BarbieDreamhouseAdventures,30,AU,2018-09-30
com.playkot.ageofmagic,AgeofMagic,31,AU,2018-09-30
jp.co.capcom.bunkerbuster,BLACKCOMMAND,32,AU,2018-09-30
com.leagueofgeeks.armello,アルメロ,33,AU,2018-09-30
junkyardtycoon.business.tycoon.game,JunkyardTycoon-BusinessGame,34,AU,2018-09-30
com.playwithgames.driving.delivery.island,DrivingIsland:DeliveryQuest,35,AU,2018-09-30
com.wondergame.shinand,ShinNaZuki-HatsuneMikuCollab！,36,AU,2018-09-30
com.hypermania.fun.addicting.games.koi.merge,KoiMerge,37,AU,2018-09-30
com.outerminds.h3h3,H3H3:BallRider,38,AU,2018-09-30
comz.btc.basketball,バスケットボールシュート-BasketballShoot3D,39,AU,2018-09-30
com.dgame.zombies,ゾンビストライク：ラストウォーSRPG,40,AU,2018-09-30
