app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,AU,2019-02-19
nz.co.codepoint.minimetro,ミニメトロ,2,AU,2019-02-19
com.ninjakiwi.bloonstd6,BloonsTD6,3,AU,2019-02-19
com.robtopx.geometryjump,GeometryDash,4,AU,2019-02-19
com.drycactus.polybridge,PolyBridge,5,AU,2019-02-19
com.and.games505.TerrariaPaid,Terraria.,6,AU,2019-02-19
com.ninjakiwi.bloonstd5,BloonsTD5,7,AU,2019-02-19
com.trueaxis.trueskate,TrueSkate,8,AU,2019-02-19
com.FireproofStudios.TheRoom,TheRoom,9,AU,2019-02-19
com.feralinteractive.rometw,ROME:TotalWar,10,AU,2019-02-19
com.ironhidegames.android.kingdomrush4,KingdomRushVengeance,11,AU,2019-02-19
football.manager.games.fm19.mobile,FootballManager2019Mobile,12,AU,2019-02-19
com.giantssoftware.fs18.google,FarmingSimulator18,13,AU,2019-02-19
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),14,AU,2019-02-19
co.yakand.agentaapuzzleindisguise,AgentA-偽装のパズル,15,AU,2019-02-19
com.t2ksports.nba2k19and,NBA2K19,16,AU,2019-02-19
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,17,AU,2019-02-19
com.halfbrick.fruitninja,FruitNinjaClassic,18,AU,2019-02-19
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,19,AU,2019-02-19
com.tt2kgames.xcomew,XCOM®:EnemyWithin,20,AU,2019-02-19
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,21,AU,2019-02-19
com.headupgames.bridgeconstructorportal,BridgeConstructorPortal,22,AU,2019-02-19
com.codebrewgames.pocketcitygame,PocketCity,23,AU,2019-02-19
air.com.shirogames.evoland12,Evoland,24,AU,2019-02-19
com.FireproofStudios.TheRoom2,TheRoomTwo,25,AU,2019-02-19
com.sofarsogood.incredibox,Incredibox,26,AU,2019-02-19
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,27,AU,2019-02-19
com.greenheartgames.gdt,GameDevTycoon,28,AU,2019-02-19
com.wb.goog.scribbleremix,ScribblenautsRemix,29,AU,2019-02-19
com.ustwo.monumentvalley,モニュメントバレー,30,AU,2019-02-19
com.massivewheel.RS_Hypogeum_A,RelicSeeker:Hypogeum,31,AU,2019-02-19
com.corrodinggames.rts,RustedWarfare-RTSStrategy,32,AU,2019-02-19
air.com.thirdsense.eggyWords250,Eggy250HD,33,AU,2019-02-19
com.rayark.cytus2,CytusII(サイタスⅡ),34,AU,2019-02-19
com.t2kgames.civrev2,CivilizationRevolution2,35,AU,2019-02-19
com.ProjectTheGalaxy,THEGALAXY:SURVIVOR,36,AU,2019-02-19
com.playsportgames.mmm3,MotorsportManagerMobile3,37,AU,2019-02-19
com.team17.escapists2,TheEscapists2:PocketBreakout,38,AU,2019-02-19
com.FireproofStudios.TheRoom3,TheRoomThree,39,AU,2019-02-19
com.teachyourmonstertoread.tmapp,TeachYourMonstertoRead-PhonicsandReading,40,AU,2019-02-19
com.epsxe.ePSXe,ePSXeforAndroid,41,AU,2019-02-19
com.team17.escapists,TheEscapists:PrisonEscape,42,AU,2019-02-19
com.mountains.feathertop,Florence,43,AU,2019-02-19
com.fds.infiniteflight,InfiniteFlight-フライトシミュレーター,44,AU,2019-02-19
com.marmalade.cluedogame,Cluedo,45,AU,2019-02-19
com.AngryNeighbor,AngryNeighbor,46,AU,2019-02-19
com.bluebraingames.thehouseofdavinci,TheHouseofDaVinci,47,AU,2019-02-19
com.aspyr.swkotor,StarWars™:KOTOR,48,AU,2019-02-19
air.com.flipline.papasfreezeriatogo,Papa'sFreezeriaToGo!,49,AU,2019-02-19
com.wb.lego.marvel,LEGO®マーベルスーパー・ヒーローズザ・ゲーム,50,AU,2019-02-19
com.astragon.cs2016,ConstructionSimulator2,51,AU,2019-02-19
com.squareenixmontreal.lcgo,LaraCroftGO,52,AU,2019-02-19
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,53,AU,2019-02-19
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,54,AU,2019-02-19
com.ninjakiwi.supermonkey,BloonsSupermonkey2,55,AU,2019-02-19
com.squareenixmontreal.hitmango,HitmanGO,56,AU,2019-02-19
com.marmalade.golmobile,TheGameofLife,57,AU,2019-02-19
com.turner.cardwars,CardWars-AdventureTime,58,AU,2019-02-19
com.EvilTortillaGames.cookiesvclaus,Cookiesvs.Claus,59,AU,2019-02-19
com.ngmoco.pocketgod,PocketGod™,60,AU,2019-02-19
com.scottgames.fnaf4,FiveNightsatFreddy's4,61,AU,2019-02-19
com.devolver.reigns,Reigns,62,AU,2019-02-19
com.oddworld.NNT,Oddworld:New'n'Tasty,63,AU,2019-02-19
