app_id,app_name,rank,country_code,date
com.productmadness.hovmobile,HeartofVegas:オンラインカジノスロットアプリ,1,AU,2018-12-25
com.tinder,Tinder,2,AU,2018-12-25
air.com.playtika.slotomania,Slotomania™-FreeSlots英語版,3,AU,2018-12-25
com.productmadness.lightninglink,LightningLinkカジノスロット,4,AU,2018-12-25
com.productmadness.cashmancasino,CashmanCasinoSlot:無料カジノスロットゲーム,5,AU,2018-12-25
com.nianticlabs.pokemongo,PokémonGO,6,AU,2018-12-25
com.pacificinteractive.HouseOfFun,フリー・スロットカジノ-HouseofFun™️ゲーム,7,AU,2018-12-25
com.droidhang.ad,IdleHeroes-無料放置育成RPG,8,AU,2018-12-25
com.aniplex.fategrandorder.en,Fate/GrandOrder(English),9,AU,2018-12-25
com.king.candycrushsaga,キャンディークラッシュ,10,AU,2018-12-25
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),11,AU,2018-12-25
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),12,AU,2018-12-25
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,13,AU,2018-12-25
com.supercell.brawlstars,ブロスタ,14,AU,2018-12-25
com.google.android.apps.subscriptions.red,GoogleOne,15,AU,2018-12-25
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,16,AU,2018-12-25
com.doubleugames.DoubleUCasino,DoubleUCasino-FreeSlots,17,AU,2018-12-25
net.peakgames.toonblast,ToonBlast,18,AU,2018-12-25
com.gramgames.mergedragons,マージドラゴン(MergeDragons!),19,AU,2018-12-25
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),20,AU,2018-12-25
com.king.candycrushsodasaga,キャンディークラッシュソーダ,21,AU,2018-12-25
air.com.buffalo_studios.newflashbingo,BINGOBLITZ™️ビンゴゲーム-ビンゴスロット,22,AU,2018-12-25
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),23,AU,2018-12-25
com.more.dayzsurvival.gp,ラストシェルター：この国を守り抜く本格SLG、大人のゲーム,24,AU,2018-12-25
com.lilithgame.roc.gp,RiseofCivilizations,25,AU,2018-12-25
com.netflix.mediaclient,Netflix,26,AU,2018-12-25
com.moonactive.coinmaster,CoinMaster,27,AU,2018-12-25
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,28,AU,2018-12-25
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),29,AU,2018-12-25
com.playrix.homescapes,ホームスケイプ(Homescapes),30,AU,2018-12-25
com.stove.epic7.google,EpicSeven,31,AU,2018-12-25
com.playrix.township,タウンシップ(Township),32,AU,2018-12-25
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),33,AU,2018-12-25
com.crowdstar.covetHome,DesignHome,34,AU,2018-12-25
com.zynga.livepoker,Zyngaポーカー,35,AU,2018-12-25
com.tencent.ig,PUBGMOBILE,36,AU,2018-12-25
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,37,AU,2018-12-25
com.diamondlife.slots.vegas.free,LotsaSlots-VegasCasinoSLOTSFreewithbonus,38,AU,2018-12-25
com.playtika.wsop.gp,WSOP無料ポーカー(WorldSeriesofPoker),39,AU,2018-12-25
com.kabam.marvelbattle,MARVELオールスターバトル,40,AU,2018-12-25
slots.secretsauce.casino.games.free,CashFrenzyCasino-FreeSlots&CasinoGames,41,AU,2018-12-25
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,42,AU,2018-12-25
com.roblox.client,ROBLOX,43,AU,2018-12-25
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),44,AU,2018-12-25
com.productmadness.fafafagold,FaFaFa™GoldCasino:Freeslotmachines,45,AU,2018-12-25
sg.bigo.live,BIGOLIVE（ビゴライブ)‐SNS系ライブ配信,46,AU,2018-12-25
com.winnersclub.empire88slots,LuckyTimeSlots:オンラインカジノスロット7773d,47,AU,2018-12-25
com.pixelberrystudios.choices,Choices:StoriesYouPlay,48,AU,2018-12-25
com.playtika.caesarscasino,CaesarsSlots:FreeSlotMachinesandCasinoGames,49,AU,2018-12-25
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,50,AU,2018-12-25
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),51,AU,2018-12-25
com.selfawaregames.acecasino,BigFishCasino：本場ラスベガスのカジノ＆スロットマシンをプレイ,52,AU,2018-12-25
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,53,AU,2018-12-25
com.matchington.mansion,マッチングトン·マンション,54,AU,2018-12-25
com.n3twork.legendary,Legendary:GameofHeroes,55,AU,2018-12-25
com.yottagames.mafiawar,マフィア・シティ-極道風雲,56,AU,2018-12-25
com.playdemic.golf.android,ゴルフクラッシュ,57,AU,2018-12-25
net.peakgames.amy,ToyBlast,58,AU,2018-12-25
com.miniclip.eightballpool,8BallPool,59,AU,2018-12-25
com.elex.nikkigp,LoveNikki-DressUPQueen,60,AU,2018-12-25
com.mars.avgchapters,Chapters:InteractiveStories,61,AU,2018-12-25
com.netease.l10,倩女幽魂-国民玄幻社交旗舰,62,AU,2018-12-25
com.camelgames.superking,WarandOrder,63,AU,2018-12-25
com.playstudios.popslots,POP!Slots－スロット無料カジノ,64,AU,2018-12-25
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,65,AU,2018-12-25
com.murka.scatterslots,ScatterSlots-ベガスのカジノスロットマシン,66,AU,2018-12-25
com.nintendo.zaba,ファイアーエムブレムヒーローズ,67,AU,2018-12-25
com.vizorapps.klondike,KlondikeAdventures(クロンダイクの冒険),68,AU,2018-12-25
com.dc.hwsj,GameofSultans,69,AU,2018-12-25
com.google.android.apps.docs,Googleドライブ,70,AU,2018-12-25
com.my.hc.rpg.kingdom.simulator,HustleCastle–アイドルシェルターの英雄,71,AU,2018-12-25
com.bbgame.sgzapk.tw,新三國志手機版-光榮特庫摩授權,72,AU,2018-12-25
com.huuuge.casino.texas,ビリオネアカジノ™オンラインカジノスロット、世界で1000万人が遊ぶ本格オンラインカジノゲーム,73,AU,2018-12-25
com.gtarcade.eoa,EraofCelestials,74,AU,2018-12-25
com.plarium.blast,ロストアイランド：ブラストアドベンチャー,75,AU,2018-12-25
com.foxnextgames.m3,MARVELストライクフォース,76,AU,2018-12-25
com.supercell.hayday,ヘイ・デイ(HayDay),77,AU,2018-12-25
com.bumble.app,Bumble—デート。友達と会う。ネットワーク。,78,AU,2018-12-25
com.episodeinteractive.android.catalog,Episode-ChooseYourStory,79,AU,2018-12-25
com.hcg.cok.gp,クラッシュオブキングス:奇跡降臨,80,AU,2018-12-25
com.king.candycrush4,キャンディークラッシュフレンズ,81,AU,2018-12-25
com.machipopo.media17,17Live（イチナナ）-ライブ配信アプリ,82,AU,2018-12-25
com.mobile.legends,モバイル·レジェンド:BangBang,83,AU,2018-12-25
tv.twitch.android.app,Twitch,84,AU,2018-12-25
com.tap4fun.brutalage_test,BrutalAge:HordeInvasion,85,AU,2018-12-25
au.com.optus.sport,OptusSport,86,AU,2018-12-25
com.tinyco.potter,ハリー･ポッター:ホグワーツの謎,87,AU,2018-12-25
com.jagex.oldscape.android,OldSchoolRuneScape,88,AU,2018-12-25
com.naturalmotion.customstreetracer2,CSRRacing2,89,AU,2018-12-25
com.scopely.yux,NewYAHTZEE®WithBuddiesDiceGame,90,AU,2018-12-25
com.catdaddy.cat22,WWESuperCard-マルチプレイヤーカード対戦ゲーム,91,AU,2018-12-25
com.jellybtn.boardkings,BoardKings™️,92,AU,2018-12-25
com.myfitnesspal.android,MyFitnessPal,93,AU,2018-12-25
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,94,AU,2018-12-25
com.king.farmheroessaga,ファームヒーロー,95,AU,2018-12-25
com.boranuonline.idates,"iDates-Chats,Flirts,Dating,Love&Relations",96,AU,2018-12-25
com.jellybtn.cashkingmobile,PirateKings™️,97,AU,2018-12-25
in.loop.hdmakeover,ホームデザインメイクオーバー,98,AU,2018-12-25
com.mojang.minecraftpe,Minecraft,99,AU,2018-12-25
com.ddi,DoubleDownCasino-FreeSlots,100,AU,2018-12-25
com.grindrapp.android,Grindr-ゲイチャット、出会い＆デート,101,AU,2018-12-25
com.hts.ams,アーミーメン・ストライク－ArmyMenStrike,102,AU,2018-12-25
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,103,AU,2018-12-25
com.YoStarEN.AzurLane,AzurLane,104,AU,2018-12-25
com.rovio.baba,アングリーバード2(AngryBirds2),105,AU,2018-12-25
com.lilithgame.sgame.gp.oss,ArtofConquest:SylvaniSpring,106,AU,2018-12-25
com.getsomeheadspace.android,Headspace:Meditation&Mindfulness,107,AU,2018-12-25
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,108,AU,2018-12-25
com.king.petrescuesaga,ペットレスキュー,109,AU,2018-12-25
com.dropbox.android,Dropbox,110,AU,2018-12-25
com.vespainteractive.KingsRaid,キングスレイド,111,AU,2018-12-25
com.kingsgroup.ww2,Zデー:ハーツオブヒーローズ,112,AU,2018-12-25
com.williamsinteractive.jackpotparty,JackpotPartySlots:カジノスロットゲーム,113,AU,2018-12-25
com.bandainamcoent.dblegends_ww,DRAGONBALLLEGENDS,114,AU,2018-12-25
com.scopely.whiplash,WWEChampions-無料パズルRPGゲーム,115,AU,2018-12-25
com.nbaimd.gametime.nba2011,NBAApp,116,AU,2018-12-25
com.king.candycrushjellysaga,キャンディークラッシュゼリー,117,AU,2018-12-25
com.pixonic.wwr,WarRobots,118,AU,2018-12-25
com.skout.android,SKOUT-出会う、チャットする、友達になる,119,AU,2018-12-25
com.szckhd.jwgly.azyw,BeTheKing:PalaceGame,120,AU,2018-12-25
com.epicwaronline.ms,モバイルストライク【MobileStrike】,121,AU,2018-12-25
com.tw.tycoon.casino,TycoonCasino：無料ラスベガス巨額パチンコ,122,AU,2018-12-25
air.com.spicerackmedia.bingoshowdown,BingoShowdown-ビンゴゲーム–BingoLive,123,AU,2018-12-25
org.nanobit.mystory,MyStory:ChooseYourOwnPath,124,AU,2018-12-25
jp.konami.duellinks,遊戯王デュエルリンクス,125,AU,2018-12-25
air.com.bitrhymes.bingo,BingoBash:BingoandSlotビンゴゲームとスロットアプリ,126,AU,2018-12-25
com.murka.slotsera,SlotsEra-最高のオンラインカジノスロットマシン,127,AU,2018-12-25
com.bingo.tour.party.crazy.free,ビンゴパーティー・人気のカジノゲーム,128,AU,2018-12-25
com.special.warship,戦艦ファイナル-最後の戦い（最後の海戦を舞台にしたSLGの最高傑作）,129,AU,2018-12-25
com.innogames.foeandroid,ForgeofEmpires,130,AU,2018-12-25
com.igg.castleclash,CastleClash:BraveSquads,131,AU,2018-12-25
com.plarium.raidlegends,RAID:ShadowLegends（Unreleased）,132,AU,2018-12-25
com.king.bubblewitch3,バブルウィッチ3,133,AU,2018-12-25
com.calm.android,"Calm-Meditate,Sleep,Relax",134,AU,2018-12-25
com.microsoft.skydrive,MicrosoftOneDrive,135,AU,2018-12-25
es.socialpoint.DragonCity,ドラゴンシティ:　育てて、進化させて、バトル！町を作ろう！,136,AU,2018-12-25
com.scopely.startrek,StarTrek™FleetCommand,137,AU,2018-12-25
com.uken.BingoPop,ビンゴポップ（BingoPop）,138,AU,2018-12-25
com.gsn.android.tripeaks,SolitaireTriPeaks,139,AU,2018-12-25
com.nordvpn.android,VPN:高速&無制限のNordVPN–日本＋60カ国、期間限定無料,140,AU,2018-12-25
com.netmarble.lin2ws,Lineage2:Revolution,141,AU,2018-12-25
triwin.slots.jackpot.grand,グランドジャックポットスロット-ポップラスベガスカジノ無料ゲーム,142,AU,2018-12-25
com.bigfishgames.jackpotcityslotsf2pgoogle,ジャックポットマジックスロットカジノアプリ,143,AU,2018-12-25
com.crowdstar.covetfashion,CovetFashion-DressUpGame,144,AU,2018-12-25
com.ballytechnologies.f88,88FortunesSlots:無料カジノスロットゲーム,145,AU,2018-12-25
com.huge.slots.casino.vegas.android.avidly,DoubleWinSlots-FreeVegasCasinoGames,146,AU,2018-12-25
com.peoplefun.wordcross,Wordscapes,147,AU,2018-12-25
com.bagelcode.slots1,ClubVegasCasinoSlots-カジノスロットゲーム,148,AU,2018-12-25
air.com.sgn.cookiejam.gp,クッキージャム,149,AU,2018-12-25
net.supertreat.solitaire,Solitaire-GrandHarvest,150,AU,2018-12-25
com.miHoYo.bh3oversea,HonkaiImpact3,151,AU,2018-12-25
com.ea.game.simcitymobile_row,シムシティ　ビルドイット(SIMCITYBUILDIT),152,AU,2018-12-25
net.playq.charmking,CharmKing,153,AU,2018-12-25
com.fungames.sniper3d,スナイパー３Dアサシン：無料射撃ゲーム(Sniper3D）,154,AU,2018-12-25
com.and.riseofthekings,ライズオブキングス,155,AU,2018-12-25
slots.unlimited.casino.games.free,SlotMachineGames-SlotsUnlimitedFreeCasino,156,AU,2018-12-25
com.uphill.slot.classic,SuperbCasino-HDFreeSlots,157,AU,2018-12-25
com.bigfishgames.cookingcrazegooglef2p,クッキングクレイズ-超絶ハイテンポ・レストランゲーム,158,AU,2018-12-25
