app_id,app_name,rank,country_code,date
myandroid.fphoenix.fastspinner,指スピナーハンドスピナー-FidgetSpinner,1,AU,2017-06-13
jp.pokemon.koiking,はねろ！コイキング,2,AU,2017-06-13
com.ketchapp.fingerspinner,FidgetSpinner,3,AU,2017-06-13
slots.irishluck.slot.machines.casino,Slots:Irishluckslotmachines,4,AU,2017-06-13
au.com.foxtel.Now,FoxtelNow,5,AU,2017-06-13
com.distinctivegames.rugbyleague17,RugbyLeague17,6,AU,2017-06-13
com.sportsbet.info,SportsbetInfo,7,AU,2017-06-13
com.thefloor.islava,TheFloorisLava,8,AU,2017-06-13
com.dmeq.oopes,LookingCamera,9,AU,2017-06-13
com.ohbibi.sup,SUPマルチプレイヤーレーシング,10,AU,2017-06-13
com.cocoplay.dancetosuccess,ダンスクラッシュ：バレエVSヒップホップ,11,AU,2017-06-13
com.bentostudio.ballsvsblocks,BallsVSBlocks,12,AU,2017-06-13
zombie.survival.craft.z,LastDayonEarth:Survival,13,AU,2017-06-13
com.snailgameusa.dragonrevolt,DragonRevolt-ClassicMMORPG,14,AU,2017-06-13
com.i2c.mcp.australiaPost,Load&Go,15,AU,2017-06-13
com.slots.prosperity,SlotsProsperity™,16,AU,2017-06-13
com.nexonm.tfa,Titanfall:Assault,17,AU,2017-06-13
com.apollocasino.deluxejackpot.slots,Slot-DeluxeJackpotFreeSlots,18,AU,2017-06-13
com.qiiwi.backpacker,Backpacker™-TravelTriviaGame,19,AU,2017-06-13
com.tutotoons.app.babyanimalhairsalon3.free,赤ちゃん動物のヘアサロン3,20,AU,2017-06-13
net.beautysalongames.BFFlovetriangle,SecretHighSchool3:Breakup,21,AU,2017-06-13
com.monoweb.crictime,LiveCricketTime,22,AU,2017-06-13
com.budgestudios.googleplay.TransformersDisasterDash,TransformersRescueBots:ダッシュ,23,AU,2017-06-13
com.tabtale.heartbreakgirl,ハートブレークガール,24,AU,2017-06-13
com.tabtale.highschoolgirl,高校の転校生,25,AU,2017-06-13
com.my.hawk.air.shooter,HAWK:FreedomSquadron,26,AU,2017-06-13
com.noodlecake.bouncyhoops,BouncyHoops,27,AU,2017-06-13
com.gramgames.london.bounzy,Bounzy!,28,AU,2017-06-13
com.science.yarnapp,Yarn-ChatFiction,29,AU,2017-06-13
com.words.game.wordcandy,WordCrumble,30,AU,2017-06-13
happy.wappy.wheels,HappyWheels.,31,AU,2017-06-13
com.transurban.linkt,Linkt,32,AU,2017-06-13
com.scopely.yux,NewYAHTZEE®WithBuddies,33,AU,2017-06-13
com.empire.grow.rome,GrowEmpire:Rome,34,AU,2017-06-13
com.gumtreejobs.au,Gumtree-JobSearchAustralia,35,AU,2017-06-13
com.evg.flyingbike.transformer,飛行自転車トランスロボット,36,AU,2017-06-13
com.rpasapp.casarpas.prod,CanIflythere?,37,AU,2017-06-13
com.tutotoons.app.sweetbabygirlsummercamp.free,SweetBabyGirlサマーキャンプ,38,AU,2017-06-13
com.outfit7.talkingangelacolorsplash,TalkingAngelaColorSplash,39,AU,2017-06-13
com.horsepower1.doorslammers,DoorSlammers1,40,AU,2017-06-13
jp.konami.pesam,WinningEleven2017,41,AU,2017-06-13
com.duksel.goldenageofegypt.slots.free,GoldenAgeofEgyptRichSlots,42,AU,2017-06-13
com.sugastudio.overload,Overload:MultiplayerBattleCarShootingGame,43,AU,2017-06-13
com.rulesgames.herobots,Herobots-BuildtoBattle,44,AU,2017-06-13
com.stickman.dismount.ragdoll,StickmanDismount2Ragdoll,45,AU,2017-06-13
com.gta.nslm2,LeagueofAngels-ParadiseLand,46,AU,2017-06-13
com.creative.Learn.to.draw.flowers,DrawFlowers,47,AU,2017-06-13
com.mobirate.parkingmania3d,ParkingMania2,48,AU,2017-06-13
com.mrdgame.mrd,CrazyTaxiGazillionaire,49,AU,2017-06-13
com.dosl.wthre,DDWeather,50,AU,2017-06-13
com.auralab.karmaincarnation1,Karma.Incarnation1.,51,AU,2017-06-13
com.milliongames.freefidgethandspinner,そわそわスピナーゲームの3D,52,AU,2017-06-13
com.adobe.scan.android,AdobeScan,53,AU,2017-06-13
com.racing.motorcycle.bike.rider,MotorcycleRacing,54,AU,2017-06-13
flashplayer.forandroid,FlashPlayerforAndroid,55,AU,2017-06-13
com.playwithgames.CamperTrucker,CamperVanTruckSimulator,56,AU,2017-06-13
com.aiming.logresjrpg,Logres:JapaneseRPG,57,AU,2017-06-13
com.casino.ice.fire.vegas.slots.free,ICEVegasSlots,58,AU,2017-06-13
com.knights.water.surfing.bikerace,水自転車シミュレータ,59,AU,2017-06-13
com.percent.karl,Karl,60,AU,2017-06-13
com.bigfishgames.falconhorsef2pgoog,ChefSwap,61,AU,2017-06-13
au.com.nrl.myleague,MyLeague,62,AU,2017-06-13
com.spinmaster.enterprise.colleggtibles,HatchimalsCollEGGtibles,63,AU,2017-06-13
com.mealpass.mealpal,MealPal,64,AU,2017-06-13
com.gameloft.android.ANMP.GloftHFHM,IronBladeアイアンブレイド—メディーバルRPG,65,AU,2017-06-13
com.com2us.soulz.normal2.freefull.google.global.android.common,マジェスティア,66,AU,2017-06-13
com.chillyroom.smbfan,SuperStickyBros,67,AU,2017-06-13
game.best2048.merge,2048Original,68,AU,2017-06-13
com.jdigamestudio.barinphysicsbox,BrainOn!PhysicsBoxsPuzzles,69,AU,2017-06-13
com.cw.en2warrior,HyperSaiyan：DreamSquad,70,AU,2017-06-13
com.tutotoons.app.bffworldtriphawaii.free,BFF世界の旅ハワイ,71,AU,2017-06-13
com.apprope.berry,BerrylandBlast,72,AU,2017-06-13
com.samsung.android.app.simplesharing,LinkSharing,73,AU,2017-06-13
com.submad.game.fidgetspinner,FidgetSpinner,74,AU,2017-06-13
com.overseas.dungeonguardians,DungeonGuardians,75,AU,2017-06-13
