app_id,app_name,rank,country_code,date
com.mixaimaging.jpegoptimizerpro,PDFをサポートしたJPEGOptimizerPRO,1,AU,2017-10-15
mindware.minesweeperpro,MinesweeperPro,2,AU,2017-10-15
com.tocaboca.tocaoffice,トッカ・ライフ：オフィスでは,3,AU,2017-10-15
com.mageeks.android.trainsimulator,TrainSimulatorPRO2018,4,AU,2017-10-15
minio.gauravmantri.pxl2zooper,Pxl2ZooperWidgets,5,AU,2017-10-15
com.terribletoybox.thimbleweedparkandroid,ThimbleweedPark,6,AU,2017-10-15
com.milandragovic.trident3,Trident3forZooper,7,AU,2017-10-15
com.dt.sprintcars,DirtTrackinSprintCars,8,AU,2017-10-15
com.actionlauncher.adaptiveiconpack,AdaptivePack-Pixel+OreostyleAdaptiveIcons,9,AU,2017-10-15
com.ram.chocolate.nfilter,nFilter-Disablenotifications.....,10,AU,2017-10-15
com.annabelkarmel,AKBaby&ToddlerRecipeApp,11,AU,2017-10-15
mytown.farm,MyTown:農場,12,AU,2017-10-15
com.domustechnica.twwmg,TheWonderWeeksMilestoneMemories,13,AU,2017-10-15
com.dingogames.tastyplanet2,TastyPlanet:BackforSeconds,14,AU,2017-10-15
com.digidiced.cxgrelease,CottageGarden,15,AU,2017-10-15
com.aaron.vizzini.controlroom,ControlRoom,16,AU,2017-10-15
com.learn2learnapp,Learn2Learn–HackYourCareer,17,AU,2017-10-15
com.archerusdesigns.pixeldos,PixelDos-KWGTPixel2Widgets,18,AU,2017-10-15
com.sityware.camera_mod_samsung_n8_bitrate_settings,CameraModN8-Bitrates&Settings[ROOT],19,AU,2017-10-15
air.de.appsfuerkids.additionskillbuilders030,AdditionSkillBuilders,20,AU,2017-10-15
com.playdatedigital.mlpmovie,MyLittlePony:TheMovie,21,AU,2017-10-15
com.kleientertainment.doNotStarveShipwrecked,Don'tStarve:Shipwrecked,22,AU,2017-10-15
com.oceanhouse_media.ocardshalloween_app,TheHalloweenOracle:LifttheVeilbetweenWorlds,23,AU,2017-10-15
com.blank.basketManagerPro,BasketManager2018Pro,24,AU,2017-10-15
com.junilabs.keyboard,JuniperFoxx,25,AU,2017-10-15
com.stmp.toor,Toor-WatchFaceforAndroidWear,26,AU,2017-10-15
com.asmodeedigital.tickettoride1journey,TickettoRide:FirstJourney ,27,AU,2017-10-15
com.artifexmundi.thesecretorder6.gp.full,シークレット・オーダー6：血統(Full),28,AU,2017-10-15
trident3forkwgt.kustom.pack,Trident3forKWGT,29,AU,2017-10-15
me.moreapps.iconpack.luxury.gold,LuxuryGoldIconPack,30,AU,2017-10-15
com.thegosa.texture.iconpack,IconPack-Textureleather,31,AU,2017-10-15
pixelhome.kustom.pack,PixelHomeforKLWP,32,AU,2017-10-15
com.themezilla.osx,OSX11-IconPack,33,AU,2017-10-15
jp.co.capcom.gyakusai6en,SpiritofJustice,34,AU,2017-10-15
com.kecil.dashboard,Kecil-IconPackforAndroid,35,AU,2017-10-15
