app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,AU,2018-04-23
com.FireproofStudios.TheRoom4,TheRoom:OldSins,2,AU,2018-04-23
com.grofsoft.tripview,TripView,3,AU,2018-04-23
org.twisevictory.apps,TheWonderWeeks,4,AU,2018-04-23
com.FireproofStudios.TheRoom,TheRoom,5,AU,2018-04-23
com.ninjakiwi.bloonstd5,BloonsTD5,6,AU,2018-04-23
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),7,AU,2018-04-23
com.monashuniversity.fodmap,MonashUniLowFODMAPDiet,8,AU,2018-04-23
com.robtopx.geometryjump,GeometryDash,9,AU,2018-04-23
org.prowl.torque,TorquePro(OBD2/Car),10,AU,2018-04-23
com.teslacoilsw.launcher.prime,NovaLauncherPrime,11,AU,2018-04-23
com.marmalade.cluedogame,Cluedo,12,AU,2018-04-23
co.yakand.agentaapuzzleindisguise,AgentA-偽装のパズル,13,AU,2018-04-23
com.vinwap.parallaxwallpaper,3DParallaxBackground-HDWallpapersin3D,14,AU,2018-04-23
com.and.games505.TerrariaPaid,Terraria.,15,AU,2018-04-23
net.techet.netanalyzer.an,NetworkAnalyzerPro,16,AU,2018-04-23
com.lightricks.facetune,Facetune,17,AU,2018-04-23
com.marmalade.golmobile,TheGameofLife,18,AU,2018-04-23
au.com.shiftyjelly.pocketcasts,PocketCasts,19,AU,2018-04-23
moonbear.PocketBuild,PocketBuild,20,AU,2018-04-23
com.FireproofStudios.TheRoom2,TheRoomTwo,21,AU,2018-04-23
com.wb.goog.scribbleremix,ScribblenautsRemix,22,AU,2018-04-23
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,23,AU,2018-04-23
com.aromatools.messentials,ModernEssentials,24,AU,2018-04-23
com.trueaxis.trueskate,TrueSkate,25,AU,2018-04-23
com.tasmanic.camtoplan,CamToPlan,26,AU,2018-04-23
it.navionics.singleAppOceania,BoatingAustralia&NZ,27,AU,2018-04-23
com.giantssoftware.fs18.google,FarmingSimulator18,28,AU,2018-04-23
au.com.hemamaps.explorer,HemaExplorer,29,AU,2018-04-23
smartwatchstudios.app.gears3navigation,GearNavigation-GoogleMapsNaviforS2/S3/Sport,30,AU,2018-04-23
com.burleighlabs.babypics,BabyPics,31,AU,2018-04-23
com.FireproofStudios.TheRoom3,TheRoomThree,32,AU,2018-04-23
com.rayark.cytus2,CytusII(サイタスⅡ),33,AU,2018-04-23
com.nosignalproductions.legacytwo,Legacy2-TheAncientCurse,34,AU,2018-04-23
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,35,AU,2018-04-23
com.gmail.chunt137.phone_flutter,Spidentify,36,AU,2018-04-23
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,37,AU,2018-04-23
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,38,AU,2018-04-23
net.dinglisch.android.taskerm,Tasker,39,AU,2018-04-23
com.ustwo.monumentvalley2,MonumentValley2,40,AU,2018-04-23
