app_id,app_name,rank,country_code,date
com.dts.freefireth,GarenaFreeFire-クリスマス,1,BR,2019-01-16
com.whatsapp,WhatsAppMessenger,2,BR,2019-01-16
io.voodoo.paper2,Paper.io2,3,BR,2019-01-16
com.facebook.orca,Messenger,4,BR,2019-01-16
com.instagram.android,Instagram,5,BR,2019-01-16
com.ubercab,Uber,6,BR,2019-01-16
com.kiloo.subwaysurf,SubwaySurfers,7,BR,2019-01-16
com.netflix.mediaclient,Netflix,8,BR,2019-01-16
com.facebook.mlite,MessengerLite:無料通話とメッセージ,9,BR,2019-01-16
com.outfit7.mytalkingtom2,マイ・トーキング・トム2,10,BR,2019-01-16
com.h8games.helixjump,HelixJump,11,BR,2019-01-16
com.taxis99,99-PrivateDriverandTaxi,12,BR,2019-01-16
com.facebook.lite,FacebookLite,13,BR,2019-01-16
com.hyperspeed.rocketclean.pro,超高速クリーナー：ウィルス対策、電話クリーナー、携帯加速,14,BR,2019-01-16
com.facebook.katana,Facebook,15,BR,2019-01-16
me.pou.app,プーチッチPou,16,BR,2019-01-16
com.supercell.brawlstars,ブロスタ,17,BR,2019-01-16
com.colorup.game,ColorBump3D,18,BR,2019-01-16
com.color.by.number.paint.ly.pixel.art,Paint.ly-数字で塗り絵，ぬり絵ゲーム,19,BR,2019-01-16
com.lomotif.android,ローモーティフ(Lomotif)-ミュージックビデオ編集,20,BR,2019-01-16
com.spotify.music,Spotify-世界最大の音楽ストリーミングサービス,21,BR,2019-01-16
com.mercadolibre,MercadoLibre:Encuentratusmarcasfavoritas,22,BR,2019-01-16
com.mojang.minecrafttrialpe,MinecraftTrial,23,BR,2019-01-16
com.schibsted.bomnegocio.androidApp,"OLX-Comprar,vender,anúncioseofertas",24,BR,2019-01-16
com.brokendiamond.advance.car.parking.car.driver.simulator,AdvanceCarParkingGame:CarDriverSimulator,25,BR,2019-01-16
com.tinder,Tinder,26,BR,2019-01-16
br.com.gabba.Caixa,CAIXA,27,BR,2019-01-16
com.forshared,4shared,28,BR,2019-01-16
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,29,BR,2019-01-16
air.com.hypah.io.slither,slither.io,30,BR,2019-01-16
br.com.brainweb.ifood,iFood-DeliverydeComida,31,BR,2019-01-16
com.fungames.sniper3d,スナイパー３Dアサシン：無料射撃ゲーム(Sniper3D）,32,BR,2019-01-16
com.cine.filmesmoviemaximum,CineFilmes,33,BR,2019-01-16
com.easycodes.memesbr,BrazilianMemesStickers-WhatsAppWAStickerApps,34,BR,2019-01-16
com.google.android.play.games,GooglePlayゲーム,35,BR,2019-01-16
com.miniclip.eightballpool,8BallPool,36,BR,2019-01-16
com.xprodev.cutcam,CutCut-Cutout&PhotoBackgroundEditor,37,BR,2019-01-16
com.studiosol.palcomp3,PalcoMP3,38,BR,2019-01-16
com.luizalabs.mlapp,MagazineLuiza-OfertaseComprasOnline,39,BR,2019-01-16
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,40,BR,2019-01-16
com.google.android.apps.youtube.music,YouTubeMusic,41,BR,2019-01-16
com.rioo.runnersubway,地下鉄プリンセスランナー,42,BR,2019-01-16
com.billiards.city.pool.nation.club,ビリヤードシティ,43,BR,2019-01-16
com.contextlogic.wish,Wish-電化製品、ファッション、化粧品、靴などが90%OFF,44,BR,2019-01-16
com.roblox.client,ROBLOX,45,BR,2019-01-16
play.tube.playtube.videotube.musictube.tubevideo,PlayTube:VideoTubePlayer,46,BR,2019-01-16
com.gravity.romNAg,RagnarokM:EternalLove(ROM),47,BR,2019-01-16
com.themausoft.wpsapp,WPSApp,48,BR,2019-01-16
com.playgendary.tom,TomboftheMask,49,BR,2019-01-16
com.easycodes.stickercreator,CreateStickersforWhatsapp-WAStickerApps,50,BR,2019-01-16
com.puzzles.game.halloweeen.one,FindTheDifferences-TheDetective,51,BR,2019-01-16
com.waze,Waze-GPS、地図、渋滞情報、カーナビ,52,BR,2019-01-16
com.riseup.game,RiseUp,53,BR,2019-01-16
com.zhiliaoapp.musically,TikTok,54,BR,2019-01-16
com.inapp.no.paint.color.by.number.coloring,No.Paint-癒しの着色ゲーム,55,BR,2019-01-16
com.parking.game,DriveandPark,56,BR,2019-01-16
com.LoopGames.Domino,ドミノ,57,BR,2019-01-16
com.differencetenderwhite.skirt,ブロックパズルジュエル,58,BR,2019-01-16
com.kt.oodlysatisfying.slimemaker,UnicornSlimeMakerandSimulator,59,BR,2019-01-16
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),60,BR,2019-01-16
com.zoom.zoomandroid,Zoom:Compareofertasedescontosemcomprasonline,61,BR,2019-01-16
com.badoo.mobile,Badoo-無料チャット&デートアプリ,62,BR,2019-01-16
com.ea.games.simsfreeplay_row,TheSimsFreePlay,63,BR,2019-01-16
madlipz.eigenuity.com,MadLipz-InstantDubandSub,64,BR,2019-01-16
com.mindy.grap1,StickmanHook,65,BR,2019-01-16
com.cam001.selfie,"SweetSelfie-写真,ビューティーエディタ",66,BR,2019-01-16
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,67,BR,2019-01-16
com.google.android.apps.youtube.mango,YouTubeGo,68,BR,2019-01-16
com.ffgames.racingincar2,RacinginCar2,69,BR,2019-01-16
com.huya.nimo,NimoTV–Play.Live.Share.,70,BR,2019-01-16
com.estrongs.android.pop,ESファイルエクスプローラー,71,BR,2019-01-16
com.bradesco,Bradesco,72,BR,2019-01-16
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,73,BR,2019-01-16
com.spacegame.homedesign,マイホーム　デザインドリーム,74,BR,2019-01-16
com.duapps.recorder,DURecorder–画面レコーダーおよびビデオエディター,75,BR,2019-01-16
com.combineinc.streetracing.driftthreeD,ストリートレーシング3D,76,BR,2019-01-16
com.etermax.preguntados.lite,トリビア・クラック,77,BR,2019-01-16
net.mobigame.zombietsunami,ZombieTsunami(ゾンビツナミ),78,BR,2019-01-16
com.dywx.larkplayer,LarkPlayer——YouTubeMusic&FreeMP3TopPlayer,79,BR,2019-01-16
deezer.android.app,Deezer-音楽ストリーミングサービス,80,BR,2019-01-16
com.rocket.tools.clean.antivirus.master,"ベストアンチウイルス2019-ウイルススキャンと駆除,クリーナー",81,BR,2019-01-16
com.game5mobile.lineandwater,HappyGlass,82,BR,2019-01-16
com.riseup.game,RiseUp,83,BR,2019-01-16
com.amanotes.beathopper,TilesHop:EDMRush!,84,BR,2019-01-16
com.aim.racing,ExtremeCarDrivingSimulator,85,BR,2019-01-16
com.king.candycrushsaga,キャンディークラッシュ,86,BR,2019-01-16
com.snapchat.android,Snapchat,87,BR,2019-01-16
com.fdgentertainment.bananakong,バナナコング,88,BR,2019-01-16
com.pinterest,Pinterest（ピンタレスト）,89,BR,2019-01-16
br.com.mobicare.minhaoi,"MinhaOi-Conta,2ªViadeFatura,RecargaeMais",90,BR,2019-01-16
com.swfh.louis,HeyFlower,91,BR,2019-01-16
com.play.series,PlaySéries,92,BR,2019-01-16
br.com.bb.android,BancodoBrasil,93,BR,2019-01-16
com.sega.sonicdash,SonicDash,94,BR,2019-01-16
suamusica.suamusicaapp,SuaMúsica:Baixarmúsicanacionalgrátis,95,BR,2019-01-16
com.discord,Discord-ゲーマー向けチャットシステム,96,BR,2019-01-16
com.nu.production,Nubank,97,BR,2019-01-16
com.firsttouchgames.dls3,DreamLeagueSoccer2019,98,BR,2019-01-16
com.picsart.studio,PicsArtPhotoStudio:コラージュメーカー&画像加工,99,BR,2019-01-16
game.bubble.shooter.dragon.pop,バブルシューティング,100,BR,2019-01-16
com.lenovo.anyshare.gps,SHAREit-Transfer&Share,101,BR,2019-01-16
com.ludashi.dualspace,DualSpace-MultipleAccounts&AppCloner,102,BR,2019-01-16
com.revolverolver.fliptrickster,FlipTrickster-ParkourSimulator,103,BR,2019-01-16
com.tencent.ig,PUBGMOBILE,104,BR,2019-01-16
com.ansangha.drdriving,走行の達人,105,BR,2019-01-16
com.cootek.smartinputv5.skin.keyboard_theme_live_red_neon_heart_new,LiveNeonRedHeartKeyboardTheme,106,BR,2019-01-16
com.color.call.flash.colorphone,PhoneColorScreen-ColorfulCallFlashThemes,107,BR,2019-01-16
com.dstukalov.walocalstoragestickers,PersonalstickersforWhatsApp,108,BR,2019-01-16
com.playgendary.kickthebuddy,KicktheBuddy,109,BR,2019-01-16
com.imangi.templerun,TempleRun,110,BR,2019-01-16
com.quvideo.xiaoying,VivaVideo-動画編集＆動画作成＆動画加工,111,BR,2019-01-16
com.skgames.trafficrider,TrafficRider,112,BR,2019-01-16
com.lyrebirdstudio.montagenscolagem,"写真編集者-画像加工,写真編集&コラージュアプリ&フォトエディタコラージュメーカー",113,BR,2019-01-16
com.officetool.pdfreader2018.pdfviewer,PDFリーダー–PDFビューア2019,114,BR,2019-01-16
br.com.timbrasil.meutim,MEUTIM,115,BR,2019-01-16
best.camera,ベストカメラ,116,BR,2019-01-16
br.gov.caixa.bolsafamilia,BolsaFamíliaCAIXA,117,BR,2019-01-16
com.solou.catendless.run,キャットランナー：デザインホームルーム,118,BR,2019-01-16
com.brokenreality.planemerger.android,MergePlane-Click&IdleTycoon,119,BR,2019-01-16
com.king.farmheroessaga,ファームヒーロー,120,BR,2019-01-16
com.novapontocom.casasbahia,CasasBahia,121,BR,2019-01-16
com.b2w.americanas,Americanas:Comprasonlinecomasmelhoresofertas,122,BR,2019-01-16
com.gameloft.android.ANMP.GloftDMHM,ミニオンラッシュ:「怪盗グルー」公式ゲーム,123,BR,2019-01-16
com.amanotes.pamahelixtiles,HelixCrush,124,BR,2019-01-16
com.callerscreen.color.phone.ringtone.flash,"ColorFlashLauncher-CallScreen,Themes",125,BR,2019-01-16
com.id14u3i081ka45w7xyzlik,ConsultePIS2018,126,BR,2019-01-16
com.aim.racing,ExtremeCarDrivingSimulator,127,BR,2019-01-16
com.edujoy.masha.games,MashaandtheBearの知育ゲーム,128,BR,2019-01-16
video.like,LIKE—動画ビデオソーシャルアプリ,129,BR,2019-01-16
com.mobirix.zombieking,ZombieHunterKing,130,BR,2019-01-16
com.instagram.boomerang,BoomerangfromInstagram,131,BR,2019-01-16
brazil.songs.music.piano.game.tiles.black.master.magic,MagicPianoTilesLatin-FavoriteLatinSongs,132,BR,2019-01-16
com.atpc,"音楽ダウンロード無料,ミュージックfm,ユーチューブ無料音楽アプリ,YouTube",133,BR,2019-01-16
com.rsupport.mvagent,Mobizenスクリーンレコーダー：画面録画・キャプチャ・編集無料アプリ(モビゼン),134,BR,2019-01-16
com.gts.Crazy.Taxi.Car.Driver.Duty,クレイジータクシー：カードライバーの義務,135,BR,2019-01-16
com.lazygeniouz.saveit,StatusSaver,136,BR,2019-01-16
com.twitter.android,Twitter,137,BR,2019-01-16
com.canva.editor,Canva-写真や画像を手軽に加工・編集！テンプレから簡単にグラフィックデザインが出来るアプリ,138,BR,2019-01-16
com.dailyselfie.newlook.studio,SweetCamera-美顔自撮り、写真編集、画像加工、カメラアプリ,139,BR,2019-01-16
com.app99.driver,99paraMotorista-dirigircarroparticular,140,BR,2019-01-16
com.pic.photoeditor,PhotoEditor-PhotoEffects&Filter&Sticker,141,BR,2019-01-16
com.roidapp.photogrid,PhotoGrid-写真加工・コラージュ、ビューティーカメラ、画像・動画スタンプ,142,BR,2019-01-16
com.suatelav23,SuaTelaV2Oficial3.2,143,BR,2019-01-16
com.multicraft.adventureandexploration.gamex,MultiCraftStory,144,BR,2019-01-16
com.suji.spinner,Spinner.io,145,BR,2019-01-16
com.bigframes.color_road,ColorRoad!,146,BR,2019-01-16
br.com.bb.android,BancodoBrasil,147,BR,2019-01-16
br.com.santander.way,SantanderWay,148,BR,2019-01-16
suamusica.suamusicaapp,SuaMúsica:Baixarmúsicanacionalgrátis,149,BR,2019-01-16
com.cootek.smartinputv5.skin.keyboard_theme_live_red_neon_heart_new,LiveNeonRedHeartKeyboardTheme,150,BR,2019-01-16
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),151,BR,2019-01-16
com.discord,Discord-ゲーマー向けチャットシステム,152,BR,2019-01-16
com.lockwoodpublishing.avakinlife,AvakinLife-3D仮想世界,153,BR,2019-01-16
com.cootek.smartinputv5.skin.keyboard_theme_pink_diamond_princess,PinkDiamondPrincessKeyboardTheme,154,BR,2019-01-16
com.tencent.ig,PUBGMOBILE,155,BR,2019-01-16
com.lenovo.anyshare.gps,SHAREit-Transfer&Share,156,BR,2019-01-16
com.santander.app,SantanderBrasil,157,BR,2019-01-16
com.fingersoft.benjibananas,BenjiBananas,158,BR,2019-01-16
com.adobe.lrmobile,AdobePhotoshopLightroomCC,159,BR,2019-01-16
com.mercadopago.wallet,MercadoPago,160,BR,2019-01-16
com.bentostudio.ballsvsblocks,SnakeVSBlock,161,BR,2019-01-16
com.zzkko,SHEIN-FashionShoppingOnline,162,BR,2019-01-16
io.voodoo.tenkyu,TENKYU-転球,163,BR,2019-01-16
com.imangi.templerun,TempleRun,164,BR,2019-01-16
