app_id,app_name,rank,country_code,date
com.kiloo.subwaysurf,SubwaySurfers,1,BR,2017-08-18
me.pou.app,プーチッチPou,2,BR,2017-08-18
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),3,BR,2017-08-18
air.com.hypah.io.slither,slither.io,4,BR,2017-08-18
com.johnnybravo.crb,CarrosRebaixadosBrasil,5,BR,2017-08-18
com.miniclip.eightballpool,8BallPool,6,BR,2017-08-18
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),7,BR,2017-08-18
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,8,BR,2017-08-18
net.mobigame.zombietsunami,ZombieTsunami(ゾンビツナミ),9,BR,2017-08-18
com.bitmango.rolltheballunrollme,ロールボール：スライドパズル,10,BR,2017-08-18
com.counter.terrorist.sniper.shooter.ray,CounterTerroristSniperShoot,11,BR,2017-08-18
myandroid.fphoenix.fastspinner,指スピナーハンドスピナー-FidgetSpinner,12,BR,2017-08-18
com.adventure.princesssofia.run.free,AdventurePrincessSofiaRun-FirstGame,13,BR,2017-08-18
com.cmplay.tiles2,ピアノタイル2™,14,BR,2017-08-18
com.gameloft.android.ANMP.GloftDMHM,怪盗グルーのミニオンラッシュ,15,BR,2017-08-18
br.pipacombate.maiworm,KiteFighting,16,BR,2017-08-18
com.nintendo.zara,SuperMarioRun,17,BR,2017-08-18
com.critical.strike.shoot.fire.cssf,CriticalStrikeShootFire,18,BR,2017-08-18
br.com.lgrmobile.jdb2,JogodoBilhão2017,19,BR,2017-08-18
com.youmusic.magictiles,MagicTiles3,20,BR,2017-08-18
com.firsttouchgames.dls3,DreamLeagueSoccer2017,21,BR,2017-08-18
com.fungames.sniper3d,Sniper3DAssassin®:無料射撃ゲーム,22,BR,2017-08-18
com.firsttouchgames.story,Score!Hero,23,BR,2017-08-18
com.bentostudio.ballsvsblocks,SnakeVSBlock,24,BR,2017-08-18
com.skgames.trafficrider,TrafficRider,25,BR,2017-08-18
br.com.mobits.cartolafc,CartolaFC,26,BR,2017-08-18
zombie.survival.craft.z,LastDayonEarth:Survival,27,BR,2017-08-18
com.ea.gp.fifamobile,FIFAMobileサッカー,28,BR,2017-08-18
com.ExtraCraft.ForestSurvival,ExtraCraft:ForestSurvivalHD,29,BR,2017-08-18
com.opalastudios.pads,「SUPERPADS」-DJになろう,30,BR,2017-08-18
com.bambo.soccerbeach,ゴールビーチサッカーを撃ちます,31,BR,2017-08-18
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,32,BR,2017-08-18
com.roblox.client,ROBLOX,33,BR,2017-08-18
com.generagames.shrek,ShrekSugarFever,34,BR,2017-08-18
jp.pokemon.pokemoncomaster,ポケモンコマスター,35,BR,2017-08-18
com.imangi.templerun,TempleRun,36,BR,2017-08-18
com.cocoplay.stylist.girl,スタイリストガール-皆をゴージャスにコーデ！,37,BR,2017-08-18
com.tbegames.and.top_speed_racing,TopSpeed:Drag&FastRacing,38,BR,2017-08-18
com.nianticlabs.pokemongo,PokémonGO,39,BR,2017-08-18
com.ansangha.drdriving,走行の達人,40,BR,2017-08-18
com.rovio.baba,アングリーバード2(AngryBirds2),41,BR,2017-08-18
com.sega.sonicdash,SonicDash,42,BR,2017-08-18
com.fdgentertainment.bananakong,バナナコング,43,BR,2017-08-18
com.topfreegames.bikeracefreeworld,バイクレース無料レースゲーム(BikeRace),44,BR,2017-08-18
com.starexplore.minecraft,CraftExploration,45,BR,2017-08-18
com.sega.sonic1px,SonictheHedgehog™,46,BR,2017-08-18
com.king.farmheroessaga,ファームヒーロー,47,BR,2017-08-18
com.tbegames.and.best_moto_race,MotoRiderGO:HighwayTraffic,48,BR,2017-08-18
com.imangi.templerun2,TempleRun2,49,BR,2017-08-18
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),50,BR,2017-08-18
com.king.candycrushsaga,キャンディークラッシュ,51,BR,2017-08-18
com.souza.carclub,CarClubBrasil,52,BR,2017-08-18
com.hyperkani.bomberfriends,BomberFriends,53,BR,2017-08-18
com.gismart.realpianofree,"ピアノ-ぴあの鍵盤リアル曲げーむ,音楽タイルのリズムゲーム無料",54,BR,2017-08-18
com.mobirix.archerybigm,アーチェリー大きな試合,55,BR,2017-08-18
com.nexonm.tfa,Titanfall:Assault,56,BR,2017-08-18
com.rioo.runnersubway,地下鉄プリンセスランナー,57,BR,2017-08-18
com.differencetenderwhite.skirt,ブロックパズルジュエル,58,BR,2017-08-18
com.nekki.shadowfight,シャドウファイト2,59,BR,2017-08-18
com.racing.in.bar.c,RacingInCar3D,60,BR,2017-08-18
com.namcobandaigames.pacmantournaments,PAC-MAN,61,BR,2017-08-18
com.racing.car.crash.turbo,クレイジーフォースピード,62,BR,2017-08-18
com.ea.game.pvzfree_row,Plantsvs.ZombiesFREE,63,BR,2017-08-18
jt.slither.blocks,SlithervsBlocks,64,BR,2017-08-18
pl.lukok.draughts,チェッカー,65,BR,2017-08-18
com.edujoy.Word_Search,WordSearchGamesinenglish,66,BR,2017-08-18
com.fungames.fidgethandspinner,FidgetHandSpinner,67,BR,2017-08-18
com.strikeblack.counter,Black,68,BR,2017-08-18
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,69,BR,2017-08-18
com.ea.games.simsfreeplay_row,TheSimsFreePlay,70,BR,2017-08-18
com.zuuks.driver.simulator,DriverSimulator,71,BR,2017-08-18
com.fgol.HungrySharkEvolution,HungrySharkEvolution,72,BR,2017-08-18
net.isitlove.mysteryspell.drogo,Is-itLove?Drogo-Vampire,73,BR,2017-08-18
jp.konami.pesam,WinningEleven2017,74,BR,2017-08-18
com.pnixgames.bowlingking,BowlingKing,75,BR,2017-08-18
at.ner.lepsWorld2,Lep'sWorld2🍀🍀,76,BR,2017-08-18
com.axlebolt.standoff2,Standoff2,77,BR,2017-08-18
com.mousemobile.explorationcraft,ブロックワールド-ExplorationCraft,78,BR,2017-08-18
com.indigokids.mashacleanup,女の子のためのハウスクリーニングゲーム：マーシャと熊,79,BR,2017-08-18
com.gameloft.android.ANMP.GloftA8HM,アスファルト8：Airborne,80,BR,2017-08-18
com.ketchapp.spacefrontier,SpaceFrontier,81,BR,2017-08-18
com.outfit7.mytalkinghank,マイ・トーキング・ハンク,82,BR,2017-08-18
com.gameloft.android.ANMP.GloftR7HM,リアルサッカー,83,BR,2017-08-18
com.CraftingMax.Explore,MaxCraft:PocketEdition,84,BR,2017-08-18
com.crack.screen.prank.bfun,ブロークン画面Prank,85,BR,2017-08-18
com.calfordcn.gu,Guns,86,BR,2017-08-18
com.rovio.angrybirds,AngryBirds,87,BR,2017-08-18
com.aim.racing,ExtremeCarDrivingSimulator,88,BR,2017-08-18
com.fortafygames.colorswitch,ColorSwitch,89,BR,2017-08-18
com.gameloft.android.ANMP.GloftM5HM,モダンコンバット5：eスポーツシューティングゲーム,90,BR,2017-08-18
com.fungames.blockcraft,BlockCraft3D:無料建設ゲーム,91,BR,2017-08-18
com.gss.offRoad.hilux.hilclimbTruck,ハイラックスオフロードヒルクライムトラック,92,BR,2017-08-18
com.flazm.bobtherobber4,BobTheRobber4,93,BR,2017-08-18
com.roda.souza,RodaLivreBrasilBETA,94,BR,2017-08-18
cookie.pop.match3,クッキークラッシュマッチ3,95,BR,2017-08-18
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),96,BR,2017-08-18
super.smash.world.bros,Sboyの世界の冒険,97,BR,2017-08-18
com.touchtao.soccerkinggoogle,世界のサッカーリーグ,98,BR,2017-08-18
com.skgames.trafficracer,TrafficRacer,99,BR,2017-08-18
com.Pulsar.GrandTruckSimulator,GrandTruckSimulator,100,BR,2017-08-18
com.halfbrick.fruitninjafree,FruitNinja®,101,BR,2017-08-18
com.netfreegames.tsq,TuningSaveiroQuadrada,102,BR,2017-08-18
com.baklabs.taxi.simulator,タクシー,103,BR,2017-08-18
com.zeptolab.ctr.ads,CuttheRopeFULLFREE,104,BR,2017-08-18
cynthiaJGrenier.craftingtable.minecraftguide,CraftingGuideforMinecraft,105,BR,2017-08-18
com.ea.games.r3_row,RealRacing3,106,BR,2017-08-18
com.frojo.moy5,Moy5🐙VirtualPetGame,107,BR,2017-08-18
com.sega.sonicboomandroid,SonicDash2:SonicBoom,108,BR,2017-08-18
com.zeptolab.cats.google,CATS:CrashArenaTurboStars,109,BR,2017-08-18
com.ray3d.shootsniper,ShootHunter-GunKiller,110,BR,2017-08-18
com.criticalforceentertainment.criticalops,CriticalOps,111,BR,2017-08-18
air.com.turner.boomerangmakeandrace,BoomerangMakeandRace,112,BR,2017-08-18
com.playrix.township,タウンシップ(Township),113,BR,2017-08-18
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),114,BR,2017-08-18
com.dodreams.driveahead,DriveAhead!,115,BR,2017-08-18
com.dimcoms.checkers,チェッカーズ,116,BR,2017-08-18
com.gameloft.android.ANMP.GloftSIHM,MARVELスパイダーマン・アンリミテッド,117,BR,2017-08-18
air.com.BakingBlackForestCake,Bakingblackforestcake,118,BR,2017-08-18
com.waqardev.soccer1,DreamLeagueSoccer11,119,BR,2017-08-18
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,120,BR,2017-08-18
com.gameloft.android.ANMP.GloftNOHM,N.O.V.A.Legacy,121,BR,2017-08-18
net.HypercraftSarl.SCFB,SpinnerCraft:FidgetBuild,122,BR,2017-08-18
com.fingersoft.hcr2,HillClimbRacing2,123,BR,2017-08-18
com.zitga.ninja.stickman.legends,StickmanLegends-NinjaWarriors:ShadowWar,124,BR,2017-08-18
com.xs.pooltd,3Dビリヤード,125,BR,2017-08-18
br.com.rodrigokolb.funkbrasil,FunkBrasil,126,BR,2017-08-18
com.gtarcade.lod,LegacyofDiscord-FuriousWings,127,BR,2017-08-18
com.gameloft.android.ANMP.GloftUOHM,UNO™&Friends,128,BR,2017-08-18
com.etermax.preguntados.lite,トリビア・クラック,129,BR,2017-08-18
air.com.jogatina.domino.android,DominoesJogatina:ClassicBoardGame,130,BR,2017-08-18
com.FDGEntertainment.redball4.gp,RedBall4,131,BR,2017-08-18
com.indigokids.mashakasha,Masha料理ダッシュ-ダイナー,132,BR,2017-08-18
com.droidhang.ad,IdleHeroes-無料放置育成RPG,133,BR,2017-08-18
jpark.AOS5,Angerofstick5アクションゲーム,134,BR,2017-08-18
com.vam.freshcraft,FreshCraft:アドベンチャー＆サバイバル,135,BR,2017-08-18
com.tomico.wheeliechallenge,WheelieChallenge,136,BR,2017-08-18
com.playappking.ametalsoldiers2,MetalSoldiers2,137,BR,2017-08-18
com.wordgame.wordconnect.pt,PalavraGuru,138,BR,2017-08-18
com.cmcm.arrowio,アーチャー大作戦,139,BR,2017-08-18
com.natenai.glowhockey,GlowHockey,140,BR,2017-08-18
com.bitmango.go.bunnypopbubble,バニーポップ,141,BR,2017-08-18
com.superb.pianista,Pianista,142,BR,2017-08-18
com.tap4fun.reignofwar,インベーション,143,BR,2017-08-18
net.isitlove.cartercorp.colin,Is-itLove?Colin:Chooseyourstory-Love&Rock,144,BR,2017-08-18
com.TalkingCat.SkinDoctor,TalkingCatSkinDoctor,145,BR,2017-08-18
com.extremefungames.mototrafficrace2,MotoTrafficRace2,146,BR,2017-08-18
com.bigduckgames.flowwarps,FlowFree:Warps,147,BR,2017-08-18
com.ea.game.nfs14_row,NeedforSpeed™NoLimits,148,BR,2017-08-18
com.game.SkaterBoy,SkaterBoy,149,BR,2017-08-18
mobi.MultiCraft,►MultiCraft―FreeMiner!👍,150,BR,2017-08-18
com.bitmango.go.blockhexapuzzle,ブロック！ヘキサパズル,151,BR,2017-08-18
com.robtopx.geometryjumplite,ジオメトリーダッシュ(GeometryDashLite),152,BR,2017-08-18
com.gmfr.car.mechanic.simulator.engine.overhaul,車のメカニック：エンジンのオーバーホール-CarMechanicWorkshopGarage,153,BR,2017-08-18
es.socialpoint.DragonCity,ドラゴンシティ,154,BR,2017-08-18
com.DynamicGames.HeavyTruckSimulator,HeavyTruckSimulator,155,BR,2017-08-18
air.com.peppapig.paintbox,PeppaPig:Paintbox,156,BR,2017-08-18
br.com.tapps.vloggergoviral,VloggerGoViral,157,BR,2017-08-18
com.mgc.miami.crime.simulator.two,VegasCrimeSimulator,158,BR,2017-08-18
com.quarterborrowresult.customer,PuzzleGame,159,BR,2017-08-18
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,160,BR,2017-08-18
com.nekki.vector,Vector,161,BR,2017-08-18
com.timuzgames.fidgetspinner.io,FidgetSpinner.io,162,BR,2017-08-18
com.DynamicGames.HeavyBusSimulatorTeste,HeavyBusSimulator,163,BR,2017-08-18
com.baviux.voicechanger,エフェクト付きのボイスチェンジャー,164,BR,2017-08-18
com.halfbrick.jetpackjoyride,JetpackJoyride,165,BR,2017-08-18
com.boombitgames.DrivingSchoolParking,CarDrivingSchoolSimulator,166,BR,2017-08-18
com.king.candycrushsodasaga,キャンディークラッシュソーダ,167,BR,2017-08-18
com.rovio.angrybirdsrio,AngryBirdsRio,168,BR,2017-08-18
br.com.giganoapp.giganimapp,GiganimaOnBeta,169,BR,2017-08-18
com.cocoplay.gymnastic.star,体操選手-10点満点を目指そう！,170,BR,2017-08-18
com.mountain.sniper.shoot.doing,MountainSniperShoot,171,BR,2017-08-18
com.crazylabs.cheating.tom,いかさまトム4-見習い美容師,172,BR,2017-08-18
com.prettysimple.criminalcaseandroid,クリミナルケース,173,BR,2017-08-18
com.outfit7.tomsjetski,トーキング・トムのジェットスキー,174,BR,2017-08-18
com.sinyee.babybus.bakery,パンダのケーキ屋さんごっこ,175,BR,2017-08-18
org.ppsspp.ppsspp,PPSSPP-PSPemulator,176,BR,2017-08-18
com.kingdoms.racing.incar,RacinginCar,177,BR,2017-08-18
com.soccerplayereleven.dua,PES17,178,BR,2017-08-18
com.pjmasks.moonlightheroes,PJMasks:MoonlightHeroes,179,BR,2017-08-18
com.superking.ludo.star,LudoSTAR:2017(New),180,BR,2017-08-18
eu.nordeus.topeleven.android,TopElevenファンタジーサッカーマネージャー,181,BR,2017-08-18
com.bitmango.go.rolltheballslidepuzzle2,RolltheBall®:slidepuzzle2,182,BR,2017-08-18
com.yoob.games,YooBGames,183,BR,2017-08-18
com.wordmobiles.bikeRacing,バイクレーシング3D-BikeRacing,184,BR,2017-08-18
com.wordsmobile.grandfightgangsters,グランドギャングスター-GrandGangsters,185,BR,2017-08-18
com.realfightinggp.RobotFighting2MinibotBattle3D,RobotFighting2-Minibots3D,186,BR,2017-08-18
air.com.Yoypo.SkillFinger,巧みな指,187,BR,2017-08-18
com.mpforce.once,DisneyOnce:ElDesafío,188,BR,2017-08-18
com.ppppgame.parkingmaster,駐車場マスター,189,BR,2017-08-18
com.scottgames.fnaf2demo,FiveNightsatFreddy's2Demo,190,BR,2017-08-18
com.lego.bricksmore,レゴ®ジュニアCreate&Cruise,191,BR,2017-08-18
at.nerbrothers.SuperJump,Lep'sWorld🍀,192,BR,2017-08-18
com.bellapps.drinkcocktail,飲むカクテルリアルSim,193,BR,2017-08-18
com.magnat.extreme.trafficcar,RealDriftRacing:RoadRacer,194,BR,2017-08-18
com.linkdesks.iBubble,パワーバブルシューター,195,BR,2017-08-18
com.wordsmobile.RealBikeRacing,リアルなバイクレーシング3D,196,BR,2017-08-18
com.mibejomobile.moto.beach,MotocrossBeachJumping3D,197,BR,2017-08-18
com.superblaze.blazerace,BlazeRaceGame,198,BR,2017-08-18
com.YovoGames.hair,ヘアサロン-スパサロン,199,BR,2017-08-18
com.ea.game.pvz2_row,Plantsvs.Zombies2,200,BR,2017-08-18
com.skisosoft.gts,TrashTruckSimulator,201,BR,2017-08-18
com.miniclip.berryrush,StrawberryShortcakeBerryRush,202,BR,2017-08-18
com.gartic.Gartic,Gartic,203,BR,2017-08-18
com.mp.waterslideuphillrushracing,ウォータースライドダウンヒルラッシュ,204,BR,2017-08-18
com.onegame.dragonshadowbattle,DragonShadowBattleWarriors:SuperHeroLegend,205,BR,2017-08-18
com.Zigacu.DownHillBikeSimulatorMultiplayer,MTBダウンヒル：マルチプレイヤー,206,BR,2017-08-18
com.gameinsight.gobandroid,GunsofBoom-OnlineShooter,207,BR,2017-08-18
com.gismart.guitar,リアル・ギター無料-ベースギターコード練習、音楽、音ゲー、リズム、ゲームと楽器アプリ,208,BR,2017-08-18
com.progimax.moto.free,オートバイ,209,BR,2017-08-18
com.exploration.planetcraft,PlanetCraft:Exploration,210,BR,2017-08-18
com.outfit7.movingeye.swampattack,スワンプアタック(SwampAttack),211,BR,2017-08-18
com.lockwoodpublishing.avakinlife,AvakinLife,212,BR,2017-08-18
bwebmedia.strawberryicecreamsandwiches,ストロベリーアイスクリーム・サンドイッチ,213,BR,2017-08-18
com.Teen.Love.Story.Game,恋愛ゲームアプリ:ラブストーリー高校の女の子ゲーム,214,BR,2017-08-18
com.playsidestudios.ice,IcyRopes,215,BR,2017-08-18
jp.konami.duellinks,遊戯王デュエルリンクス,216,BR,2017-08-18
com.morefun.poolgame,ビリヤードゲームコレクション,217,BR,2017-08-18
com.disney.cars3_goo,カーズ:ライトニング・リーグ,218,BR,2017-08-18
com.vng.android.mps.dead.zombie2,DEADWARFARE:Zombie,219,BR,2017-08-18
com.king.petrescuesaga,ペットレスキュー,220,BR,2017-08-18
com.miniclip.bowmasters,Bowmasters,221,BR,2017-08-18
com.i6.FlightSimulatorAirplane3D,飛行機の3Dフライトシュミレータ,222,BR,2017-08-18
com.motionvolt.flipdiving,FlipDiving,223,BR,2017-08-18
company.gamesx.guitarflash,GuitarFlash,224,BR,2017-08-18
br.com.rodrigokolb.realdrum,RealDrum-ドラムセット,225,BR,2017-08-18
com.rovio.tnt,AngryBirdsEvolution,226,BR,2017-08-18
com.junerking.archery,アーチェリーマスター3D-ArcheryMaster,227,BR,2017-08-18
com.gamedevltd.modernstrike,モダンストライクオンライン:オンラインゲーム銃撃,228,BR,2017-08-18
software.simplicial.nebulous,Nebulous,229,BR,2017-08-18
