app_id,app_name,rank,country_code,date
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),1,BR,2017-04-15
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),2,BR,2017-04-15
com.gtarcade.lod,LegacyofDiscord-FuriousWings,3,BR,2017-04-15
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,4,BR,2017-04-15
com.kabam.marvelbattle,MARVELオールスターバトル,5,BR,2017-04-15
com.miniclip.eightballpool,8BallPool,6,BR,2017-04-15
jp.konami.duellinks,遊戯王デュエルリンクス,7,BR,2017-04-15
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,8,BR,2017-04-15
com.nianticlabs.pokemongo,PokémonGO,9,BR,2017-04-15
com.heroesofchaos.ggplay.koramgame.sa,Goddess:PrimalChaos-ES,10,BR,2017-04-15
com.king.candycrushsaga,キャンディークラッシュ,11,BR,2017-04-15
com.mobile.legends,MobileLegends:Bangbang,12,BR,2017-04-15
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),13,BR,2017-04-15
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,14,BR,2017-04-15
air.com.pipastudios.release.praiabingo,PraiaBingo+VideoBingoFree,15,BR,2017-04-15
com.king.candycrushsodasaga,キャンディークラッシュソーダ,16,BR,2017-04-15
com.longtech.lastwars.gp,LastEmpire-WarZゾンビサバイバルRPG,17,BR,2017-04-15
com.moonton.magicrush,マジックラッシュ(MagicRush:Heroes),18,BR,2017-04-15
com.king.farmheroessaga,ファームヒーロー,19,BR,2017-04-15
com.playrix.township,タウンシップ(Township),20,BR,2017-04-15
com.proficientcity.ddtankbrazil,DDTankBrasil,21,BR,2017-04-15
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,22,BR,2017-04-15
com.allstargames.ggplay.wsjjpt,SwordofChaos-FúriaFatal,23,BR,2017-04-15
com.nintendo.zara,SuperMarioRun,24,BR,2017-04-15
com.supercell.hayday,ヘイ・デイ(HayDay),25,BR,2017-04-15
com.igg.castleclash_pt,CasteClash:AscençãodasFeras,26,BR,2017-04-15
net.peakgames.amy,ToyBlast,27,BR,2017-04-15
com.netmarble.mherosgb,MARVELFutureFight,28,BR,2017-04-15
com.epicwaronline.ms,モバイルストライク【MobileStrike】,29,BR,2017-04-15
com.gamedevltd.modernstrike,ModernStrikeOnline,30,BR,2017-04-15
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,31,BR,2017-04-15
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),32,BR,2017-04-15
com.playshoo.texaspoker.br,PokerBrasil,33,BR,2017-04-15
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),34,BR,2017-04-15
com.king.bubblewitch3,バブルウィッチ3,35,BR,2017-04-15
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,36,BR,2017-04-15
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,37,BR,2017-04-15
com.ea.games.simsfreeplay_row,TheSimsFreePlay,38,BR,2017-04-15
com.king.petrescuesaga,ペットレスキュー,39,BR,2017-04-15
com.stac.aok,王権争覇：天空の戦い,40,BR,2017-04-15
com.ea.gp.fifamobile,FIFAMobileサッカー,41,BR,2017-04-15
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),42,BR,2017-04-15
es.socialpoint.DragonCity,ドラゴンシティ,43,BR,2017-04-15
com.roblox.client,ROBLOX,44,BR,2017-04-15
com.webzen.muorigin.global.google,MUOrigin,45,BR,2017-04-15
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,46,BR,2017-04-15
com.firsttouchgames.dls3,DreamLeagueSoccer2017,47,BR,2017-04-15
com.hcg.ctw.gp,ClashofKings:TheWest,48,BR,2017-04-15
com.superevilmegacorp.game,Vainglory,49,BR,2017-04-15
com.naturalmotion.customstreetracer2,CSRRacing2,50,BR,2017-04-15
com.supercell.boombeach,ブーム・ビーチ(BoomBeach),51,BR,2017-04-15
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,52,BR,2017-04-15
eu.nordeus.topeleven.android,TopElevenファンタジーサッカーマネージャー,53,BR,2017-04-15
com.ea.game.simcitymobile_row,シムシティ　ビルドイット(SIMCITYBUILDIT),54,BR,2017-04-15
com.klab.bleach,BLEACHBraveSouls,55,BR,2017-04-15
com.nkm.kp.hh,HyperHeroes,56,BR,2017-04-15
com.pixonic.wwr,WarRobots,57,BR,2017-04-15
com.wyd.gplay.bombheroes,BombHeroes-RoyalShooterGO,58,BR,2017-04-15
com.droidhang.ad,IdleHeroes-無料で放置育成RPG,59,BR,2017-04-15
com.rovio.baba,アングリーバード2(AngryBirds2),60,BR,2017-04-15
