app_id,app_name,rank,country_code,date
com.supercell.brawlstars,ブロスタ,1,BR,2018-12-18
com.game5mobile.popular,PopularWars,2,BR,2018-12-18
com.aqupepgames.projectpepe,LooneyTunes™ワールド・オブ・メイヘム,3,BR,2018-12-18
com.parking.game,DriveandPark,4,BR,2018-12-18
com.turner.tooncup,トゥーンカップ2018-カートゥーンネットワークのサッカーゲーム,5,BR,2018-12-18
com.crazylabs.hotel.transylvania.adventure,モンスター・ホテル・アドベンチャー-走って、飛んで、作る！,6,BR,2018-12-18
com.champamelon.saiyanwayoflegend,SaiyanPrince:TheWayoflegend,7,BR,2018-12-18
com.miniclip.topskater,FlipSkater,8,BR,2018-12-18
com.kog.grandchaseglobal,グランドチェイス-次元の追跡者-,9,BR,2018-12-18
com.swfh.louis,HeyFlower,10,BR,2018-12-18
com.perfect.eleven.football.manager.top,PerfectEleven,11,BR,2018-12-18
com.sinyee.babybus.dailysafety,ベビーパンダの子ども安全,12,BR,2018-12-18
io.voodoo.windrider,WindRider!,13,BR,2018-12-18
com.multicraft.adventureandexploration.gamex,MultiCraftStory,14,BR,2018-12-18
com.pikpok.nsr.play,アイ・アム・モンスター,15,BR,2018-12-18
com.bigstarkids.wordtravelportuguese,CidadedasPalavras:PalavrasConectadas,16,BR,2018-12-18
com.ovilex.drivingschoolclassics,DrivingSchoolClassics,17,BR,2018-12-18
com.rubygames.splashyjump,SlimeRoad,18,BR,2018-12-18
com.happyfish.piratecode,PirateCode-PVP海戦,19,BR,2018-12-18
com.rvappstudios.jigsaw.puzzles,ジグゾーパズルクラッシュ(JigsawPuzzlesClash),20,BR,2018-12-18
com.axe.ss.android,AxeThrow,21,BR,2018-12-18
com.tocaboca.tocalifeworld,TocaLife:World,22,BR,2018-12-18
com.nbcuni.usie.fftakedown,Fast&FuriousTakedown,23,BR,2018-12-18
com.timuzgames.moderncriticalstrike,ModernCriticalStrike,24,BR,2018-12-18
com.codemasters.F1Mobile,F1MobileRacing,25,BR,2018-12-18
com.specialcombatops.moderncounterattack.shootinggame,特別戦闘操作,26,BR,2018-12-18
com.sinyee.babybus.snacks,リトルパンダのスナック工場,27,BR,2018-12-18
com.PhxStd.cfixa,ClubeFixa-CarrosRebaixados,28,BR,2018-12-18
com.cargame.fanaticalcar,スーパードライブシミュレーションゲーム,29,BR,2018-12-18
com.sinyee.babybus.expedition,リトルパンダの森のアドベンチャー,30,BR,2018-12-18
com.tictac.supergokusaiyanwarrior,SuperGokoSaiyanFighting,31,BR,2018-12-18
us.subway.runner.surf.boy.endl,SubwayRunnerBoy-EndlessRun,32,BR,2018-12-18
com.REAL.MOTOS.BRASIL,RealMotosBrasil,33,BR,2018-12-18
nfl.football.manager.huddle.play,NFL2019:フットボールリーグマネージャー,34,BR,2018-12-18
com.prisonvspolice.fightescapegame,警察VS囚人,35,BR,2018-12-18
com.poop.slime.unicorn.games.one,PoopsieSlimeSurprise🌈unicorn🦄,36,BR,2018-12-18
com.pandergames.PegaoBeco,PegaoBeco-Belém,37,BR,2018-12-18
com.freefiresguideandtips.com,FreeFireAssistantandTips,38,BR,2018-12-18
com.midasplayer.apps.farmheroes4,FarmHeroesChampions,39,BR,2018-12-18
com.speedwaydriftinggame,スピードウェイドリフト,40,BR,2018-12-18
com.emagroups.ic,OverlordsofOblivion,41,BR,2018-12-18
com.lemonjamstudio.infiniteknights,InfiniteKnights-Turn-BasedRPG,42,BR,2018-12-18
com.tbegames.and.best_monster_racing,RacingXtreme2:TopMonsterTruck&OffroadFun,43,BR,2018-12-18
net.isitlove.mysteryspell.sebastian,Is-itLove?Sebastian-Adventure&Romance,44,BR,2018-12-18
com.kwalee.idlefishing,IdleFishing,45,BR,2018-12-18
com.submarine.karnag,Karnag-BlockPuzzle,46,BR,2018-12-18
com.tivola.animalhospital.free,PetWorld–マイ・アニマル・ホスピタル–どうぶつのお世話,47,BR,2018-12-18
dbsss.saiyanfighterss.dbsgame,dbSuperwarriorbattle,48,BR,2018-12-18
com.baby.phone.kid.animal.sound.call.simulator.kid.game,BabyPhoneKid-NumberAnimalMusic,49,BR,2018-12-18
com.ubisoft.accovenant,アサシン　クリード　リベリオンAssassin'sCreedRebellion,50,BR,2018-12-18
com.bitmango.go.linepuzzlecolorstringart,LinePuzzle:ColorStringArt,51,BR,2018-12-18
com.MicroCraft2.Building.Crafting.Explore,MicroCraft2:BuildingandCrafting,52,BR,2018-12-18
com.mobi.army.metal,MetalMercenary-2DPlatformActionShooter,53,BR,2018-12-18
com.YovoGames.beautySalon2,美容院：プリンセス,54,BR,2018-12-18
com.boxitsoft.battleofwizards,ClashofWizards:BattleRoyale,55,BR,2018-12-18
com.chuanmo.poly,iPolyArt:楽しい数字で塗り絵,56,BR,2018-12-18
app.Looneytoons.DashBugsRabbitBunnyRun.rush,Looney:ToonsBugsRabbitBunnyDashRunRush,57,BR,2018-12-18
com.sinyee.babybus.cultivation,ベビーパンダの牧場,58,BR,2018-12-18
com.droidsoftware.streetfighter,StreetFighterChallenge,59,BR,2018-12-18
com.Bubble.Shooter.Classic.Pop,BubbleShooter-ClassicPop,60,BR,2018-12-18
com.spungegames.spungeracers,RevHeadsラリー,61,BR,2018-12-18
com.joycity.gw,ガンシップバトルトータルウォーフェア,62,BR,2018-12-18
com.mobirix.soccerstars,サッカーストライカーキング,63,BR,2018-12-18
com.YovoGames.mermaid,マーメイド：水中の冒険,64,BR,2018-12-18
com.senses.miaongp,MiaOnline,65,BR,2018-12-18
com.zenjoy.cookingstreet,クッキングジョイ２,66,BR,2018-12-18
com.timuzgames.dinosaurhunt2019,DinosaurHunt2019,67,BR,2018-12-18
com.tubominoposetete.fsaletlagdra,HelloDogofScaryNeighborStrangeHouse,68,BR,2018-12-18
com.block.jewel.tetris.pro.puzzle,BlockPuzzleJewelStar,69,BR,2018-12-18
com.Loco_Craft.Survival.Crafting.Pocket_Edition.mcpe.minecraft,LocoCraft:SurvivalCraftingPocketEdition,70,BR,2018-12-18
com.ketchapp.flippyrace,FlippyRace,71,BR,2018-12-18
com.mattel.hwrocketleague,RocketLeague®HotWheels®RCRivalsSet,72,BR,2018-12-18
com.lalasurprise.eggssurprisetm,LolEggsSurpirse,73,BR,2018-12-18
com.pop.stars.pop.cube,HappyCubePop,74,BR,2018-12-18
com.fme.cookit,CookIt!レストランシェフなりきりお料理ゲーム,75,BR,2018-12-18
com.joycrit.unitedfront,UnitedFront：ModernWarStrategyMMO,76,BR,2018-12-18
interactive.story.games.friends.or.rivals.love.story,フレンズやライバル？ラブストーリーゲームティーンエイジャー向け,77,BR,2018-12-18
com.inapp.no.paint.color.by.number.coloring,No.Paint-癒しの着色ゲーム,78,BR,2018-12-18
bubbles.master,MasterBubbles,79,BR,2018-12-18
com.warriorlegend.shadowfightinggame,戦士伝説,80,BR,2018-12-18
com.survivalcrafting.airport.city.pilot.plane.craft.fly.simulator.flight.air.traffic.control.airline.commander.building.flying,空港クラフト：フライトシミュレータ＆空港ビル,81,BR,2018-12-18
com.etec.mini.MergeFlight,MergeFlight,82,BR,2018-12-18
com.alienheatblst.transformbattle,AliensTransformBattle,83,BR,2018-12-18
com.poly.polyart.color.by.number,PolyArtのぬりえの本-色と図,84,BR,2018-12-18
com.ivy.galaxyshooting.sky,Galaxyskyshooting,85,BR,2018-12-18
com.bigexplore.generation,NewExploration:BigCraft,86,BR,2018-12-18
mobi.army.game.mergeplane,PlaneEvolution,87,BR,2018-12-18
com.baby.piano.kid.tiles.animal.sound.game.simulator,MagicPianoTilesKid-CrazyAnimalPiano,88,BR,2018-12-18
com.games37.jc,ジュラシックトライブス,89,BR,2018-12-18
com.milliongames.cardrivingsimulator,CarDrivingSimulator,90,BR,2018-12-18
games.mini.sports.karate.fighting,本当の空手の戦い2019:カンフーマスタートレーニング,91,BR,2018-12-18
com.blood.rivals.survival.action.free.shooting.fps.battleground.gun.war.game,血のライバル：バトルグラウンドシューティングゲーム,92,BR,2018-12-18
com.ban.may.bay.galaxy.attack.sky.shooter.space,GalaxySkyShooter:SpacePhoenixHawkAttack,93,BR,2018-12-18
com.superjungleworld.smasheradventure.castle,SuperJungleWorld-SuperJungleCastle,94,BR,2018-12-18
mobi.minicraft.three.mini.craft.building.games,GrandLocoCraft:SurvivalEdition,95,BR,2018-12-18
com.climbhill.racingmaster,HillClimbRacer2018New,96,BR,2018-12-18
com.timuzgames.snake.io2019,3DSnake.io2019,97,BR,2018-12-18
com.vicenter.knifehit3d,KnifeThrow3D,98,BR,2018-12-18
com.promineo.garfieldfoodtruck,GarfieldFoodTruck,99,BR,2018-12-18
com.chi.OpenWordParking,RealParking-OpenWordParkingGameSimulator,100,BR,2018-12-18
com.timuzgames.bikeracing2019,BikeRacing2019,101,BR,2018-12-18
com.luxury.limo.transport.truck,LuxuryLimousineTransporterTruck,102,BR,2018-12-18
com.bubbleshooter.free.cat.pop.game,新しいバブルシューター,103,BR,2018-12-18
com.doublefun.ballz.brick.breaker.free.puzzle,BallsBricksBreaker-PuzzleChallenge,104,BR,2018-12-18
com.game.world,HelixJump2018,105,BR,2018-12-18
com.minisys.ejecttest,BallEjection,106,BR,2018-12-18
com.OppanaGames.real.gangster.crime.simulator,RealGangsterCrimeSimulator3D,107,BR,2018-12-18
com.fredbeargames.knightsandglory,KnightsandGlory-TacticalBattleSimulator,108,BR,2018-12-18
com.level9.war.strategy.battleground,RealBattleWarStrategyOfAnimal,109,BR,2018-12-18
com.tutotoons.app.hannahsfashionworld.free,Hannah’sFashionWorld-DressUpSalonforGirls,110,BR,2018-12-18
com.logame.relaxingbounce,RelaxingBounce,111,BR,2018-12-18
com.machsystem.merge,MergePixelDragon,112,BR,2018-12-18
com.MineraleDevloper.SubwayLadyBugCatNoirRush2019,SubwayLadyBugCatNoirRush2019,113,BR,2018-12-18
com.area730.survival,JurassicIsland:LostArkSurvival,114,BR,2018-12-18
com.supermario.jungle,SuperDwarfAdventureinJungleWorld,115,BR,2018-12-18
com.trump.game.saw,TrumpSawGame2,116,BR,2018-12-18
com.altairmods.thehedgehogsonicpack,TheHedgehogSonicPackforMCPE,117,BR,2018-12-18
com.flap.formulamagicacaixa,FórmulaMágicaCAIXA,118,BR,2018-12-18
com.tapgameslimited.bounceBreaker,BounceBreaker,119,BR,2018-12-18
madness.bubble,BubbleMadness,120,BR,2018-12-18
air.com.spilgames.TrollFaceQuestStupidellaAndFailman,TrollFaceQuest:StupidellaandFailman,121,BR,2018-12-18
com.offlinegames.brz,GGYGirlOfflineGames,122,BR,2018-12-18
com.crafting.buidling.craftbuild,CraftingandBuilding2,123,BR,2018-12-18
com.eonplaygames.pjsubwaydashmasks,PjSubwayDashMasksAdventure3D,124,BR,2018-12-18
com.gametornado.shortride,ShortRide,125,BR,2018-12-18
com.ifunren.pswalker,PhysicalSillyWalker,126,BR,2018-12-18
com.new.school.horror.game.craft.map,HorrorSchoolGameCraftWorlsMonsters,127,BR,2018-12-18
com.minionrush.subwaybananaminion.subwaybanana,MinionBanana：ベストランゲーム2019,128,BR,2018-12-18
com.belkatechnologies.icecreamchallenge,アイスクリームチャレンジ–マッチ3キャンディ&ロリポップ,129,BR,2018-12-18
com.MonkeyBalance.BallUltimatess_titaniumpokerojo,ファイアレッド(emulator),130,BR,2018-12-18
com.legacy.titans.diacord.mu.eternal.origin.blade,LegacyofDestiny-MostfairandromanticMMORPG,131,BR,2018-12-18
com.easytech.android.ew6,欧陸戦争6:1804,132,BR,2018-12-18
com.budgestudios.googleplay.TransformersBumblebeeOverdrive,TransformersBumblebeeOverdrive,133,BR,2018-12-18
com.waterfullrainbow.bodyweight,BodyWeightLog,134,BR,2018-12-18
com.milliongamesnew.dinosaurattacksimulator,DinosaurAttackSimulator,135,BR,2018-12-18
com.lonn.toonrun,LonneyToons:Dash,136,BR,2018-12-18
com.titala.lococraft_exploration_mini,LocoCraft:CreativeAndSurvivalStoryMode,137,BR,2018-12-18
com.scopely.startrek,StarTrek™FleetCommand,138,BR,2018-12-18
com.super.sonic.junior,SonicSpeedAdventure,139,BR,2018-12-18
com.stickmanindie.stickbattlesonlineshooter,StickmanBattles:OnlineShooter,140,BR,2018-12-18
strike.bubbles,BubbleStrike,141,BR,2018-12-18
com.oneline.single.stroke.drawing.puzzle,SingleStrokeDrawing,142,BR,2018-12-18
com.slice.cut10122018,FruitsSlice-FruitsCut2019,143,BR,2018-12-18
com.magiplay.snake.crash.race.blocks,スネークレース,144,BR,2018-12-18
com.nama.stack,"StackBlocks-MusicGames,ColorBlockSwitch",145,BR,2018-12-18
com.nalinali.uno,Naliunos-Crazycard-Freecardgame,146,BR,2018-12-18
