app_id,app_name,rank,country_code,date
com.ub.wprivip,[VIP]2048BunnyMaker-bunnycitybuilding,1,BR,2018-08-26
v.retrobox.v.foodvip,CrazyTapChefVIP,2,BR,2018-08-26
org.Liberfi.WorldSudoku,SudokuEduPremium,3,BR,2018-08-26
com.addonsz.mods.minecraft.pocket.edition.block.launcher.skin.maps.crafting.building.mcpe.baby.player.mod,BabyPlayerAddonforMCPE,4,BR,2018-08-26
com.codebrewgames.pocketcitygame,PocketCity,5,BR,2018-08-26
com.baldibasic.baldieducation.baldislearning.basic2019,ScaryBasics:Education&LearninginSchool,6,BR,2018-08-26
com.obuut.tankio.premium,タンク3Dオンラインマルチプレイ,7,BR,2018-08-26
com.baldisstrip.baldiscamping.baldisbasic.baldishover,BasicsFieldTripCamping:EducationandLearning,8,BR,2018-08-26
com.turner.teentitans.ttgfigures2,TeenGoTitansFigure,9,BR,2018-08-26
com.dvgames.wordrushpro,WordRushPro:FindWords,10,BR,2018-08-26
com.baldi.baldisbasictripcamp,BASICSTOTRIP:Camping(notEducationSchool),11,BR,2018-08-26
com.granny.grannybaldis.baldisbasic,HorrorGRANNYBaldi-ScaryHouse,12,BR,2018-08-26
com.thenun.thethanosnun.scarynun,ThanosNunSinister,13,BR,2018-08-26
raftnomad.raftsurvival.raftoriginal.oceanraft,TheRAFT2-SeaSurvival,14,BR,2018-08-26
com.mdkaptan.ninjagames,NinjaFight,15,BR,2018-08-26
com.addonsz.mods.minecraft.pocket.edition.block.launcher.skin.maps.crafting.building.mcpe.controllable.dolphin.mod,DolphinAddonForMCPE,16,BR,2018-08-26
com.marcoflautista.jogandoanatomiacompleto,JogandoeAprendendoAnatomia(Completo),17,BR,2018-08-26
com.dtbgames.shapeuku,Shapeuku-ShapePuzzleGame,18,BR,2018-08-26
com.tocaboca.tocatrain,TocaTrain,19,BR,2018-08-26
com.mentallab.criptex,MemoBox-MemoryChallenges,20,BR,2018-08-26
com.pixelstar.DNPHVIP,ダンジョンXピクセルヒーローVIP,21,BR,2018-08-26
com.baldistrip.baldibasic.learningeducation.baldiseducations,BasicEducation&Learning(NewV1.3.2),22,BR,2018-08-26
com.baldislearing.baldiseducation.baldistrip.baldibasic,Education&Learning-Basicsinschool,23,BR,2018-08-26
com.addonsz.mods.minecraft.pocket.edition.block.launcher.skin.maps.crafting.building.mcpe.redstone.mechanic.mod,RedstoneMechanicAddonsforMCPE,24,BR,2018-08-26
com.addonsz.mods.minecraft.pocket.edition.block.launcher.skin.maps.crafting.building.mcpe.go.kart.mod,GoKartRacingAddonsforMCPE,25,BR,2018-08-26
com.imcrazy.ds2,DungeonShooterV1.1,26,BR,2018-08-26
com.baldiseducation.baldisbasic3d.learningbaldi,BasicsInEducationLearning,27,BR,2018-08-26
com.ptyron.grannynunmod,FootballGranny,28,BR,2018-08-26
com.snowrun.SlimeTournament,SlimeTournament,29,BR,2018-08-26
com.retrobox.TowerGuardVIP,CannonMasterVIP,30,BR,2018-08-26
com.wFindWreckItRalph2Pair_7586703,FindWreckItRalph2Pair,31,BR,2018-08-26
com.mcrock.Basiceducation,BasicsEducation&Learning:VersionSchooltrip,32,BR,2018-08-26
com.addonsz.mods.minecraft.pocket.edition.block.launcher.skin.maps.crafting.building.mcpe.vanilla.vehicles.mod,VanillaVehiclesaddonMCPE,33,BR,2018-08-26
com.grannymomo.momohorro.baldismomo,ScaryGrannyIsMOMO:HorrorGame!,34,BR,2018-08-26
com.baldibasic.baldiseducatio.learigbaldis.baldistrip.baldis,BasicsinEducationandSchoolLearning,35,BR,2018-08-26
com.granny.richgoldgranny.iamrich,GrannyRich(Mod),36,BR,2018-08-26
com.fightnightatfreddy.grannyfnaf.granny,FNAFGrannymodisthescaryandhorrorgame,37,BR,2018-08-26
com.baldisbasic.baldiseducation.learningbasic,BasicsEducationistheLearningSchoolScary,38,BR,2018-08-26
com.brightmoon.falloutfree,FreeFireFall,39,BR,2018-08-26
com.addonsz.mods.minecraft.pocket.edition.block.launcher.skin.maps.crafting.building.mcpe.shopping.chart.mod,NewShoppingChartforMCPE,40,BR,2018-08-26
com.pandco.zeroescape,ZeroEscape,41,BR,2018-08-26
com.adventure.scribbleremix.catoonsremix,ScribbleNautMOD,42,BR,2018-08-26
com.argozgame.idledwarfs.premium,SevenIdleDwarf:Premium,43,BR,2018-08-26
com.udawos.ChernogFOTMArepub,Chernog:FortressoftheMadAdmiral,44,BR,2018-08-26
com.wereviz.evolution,OneHourOneLifeforMobile,45,BR,2018-08-26
com.butterflyware.planetx,PLANETXへ戻る,46,BR,2018-08-26
co.uk.wixgames.ducklifebattle,DuckLife:Battle,47,BR,2018-08-26
com.Nib.Ragnar,Ragnar,48,BR,2018-08-26
com.bestcoolfungames.antsmasherpro,AntSmasherProbyBestCool&FunGames,49,BR,2018-08-26
com.grannybaldis.momo.granny.horrorbaldis,BaldiisScaryGranny(Mod),50,BR,2018-08-26
com.momogame.thehorror.scryle.helloneghbor,MomoHorrorGame,51,BR,2018-08-26
com.andoverblockgame.block1010.puzzle,BLOCK1010-COLORFUL,52,BR,2018-08-26
