app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,1,BR,2016-05-31
com.radiangames.inferno2,Inferno2,2,BR,2016-05-31
com.wb.lego.marvel,LEGO®マーベルスーパー・ヒーローズザ・ゲーム,3,BR,2016-05-31
com.ravensburgerdigital.puzzle,RavensburgerPuzzle,4,BR,2016-05-31
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,5,BR,2016-05-31
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,6,BR,2016-05-31
com.disney.castleofillusion_goo,CastleofIllusion,7,BR,2016-05-31
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,8,BR,2016-05-31
me.dreamsky.lostjourney2,時空の旅,9,BR,2016-05-31
com.jumpgames.RealSteel,RealSteel,10,BR,2016-05-31
com.pockettrend.neomonsters,ネオモンスターズ,11,BR,2016-05-31
com.trueaxis.trueskate,TrueSkate,12,BR,2016-05-31
com.robtopx.geometryjump,GeometryDash,13,BR,2016-05-31
com.game.motorsportmanager,MotorsportManager,14,BR,2016-05-31
com.wb.goog.lbbg,LEGO®バットマンザ・ゲームゴッサムから宇宙へ,15,BR,2016-05-31
com.wb.goog.scribbleremix,ScribblenautsRemix,16,BR,2016-05-31
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,17,BR,2016-05-31
mindware.mindgamespro,MindGamesPro,18,BR,2016-05-31
com.telltalegames.minecraft100,Minecraft:StoryMode,19,BR,2016-05-31
com.dualcarbon.drivesimulator2016,ドライブシミュレーター2016,20,BR,2016-05-31
com.wb.goog.legobdc,LEGOBatman:DCSuperHeroes,21,BR,2016-05-31
com.FireproofStudios.TheRoom,TheRoom,22,BR,2016-05-31
com.starshipstudio.thesurvivor,TheSurvivor:RustyForest,23,BR,2016-05-31
com.astragon.cs2014,コンストラクションシミュレーター2014,24,BR,2016-05-31
com.gameloft.android.ANMP.GloftM4HM,モダンコンバット4：ZeroHour,25,BR,2016-05-31
com.epsxe.ePSXe,ePSXeforAndroid,26,BR,2016-05-31
com.wb.goog.llotr,LEGO®TheLordoftheRings™,27,BR,2016-05-31
com.turner.cardwars,CardWars-AdventureTime,28,BR,2016-05-31
com.tocaboca.blocks,トッカ•ブロック(TocaBlocks),29,BR,2016-05-31
com.rac7.DarkEcho,DarkEcho,30,BR,2016-05-31
com.mtvn.sbmigoogleplay,SpongeBobMovesIn,31,BR,2016-05-31
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,32,BR,2016-05-31
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,33,BR,2016-05-31
net.pluginmedia.pawpatrolflyer,PAWPatrolPupsTakeFlight,34,BR,2016-05-31
com.giantssoftware.fs16,FarmingSimulator16,35,BR,2016-05-31
ilmfinity.evocreo.main.android,EvoCreo,36,BR,2016-05-31
com.popcap.pvz_row,Plantsvs.Zombies,37,BR,2016-05-31
com.squareenixmontreal.hitmansniperandroid,Hitman:Sniper,38,BR,2016-05-31
com.wb.goog.lego.movievideogame,TheLEGO®MovieVideoGame,39,BR,2016-05-31
com.corridalivre.espiral,CorridaLivreMultiplayer,40,BR,2016-05-31
com.eamobile.sims3_row_qwf,TheSims™3,41,BR,2016-05-31
com.turner.atskisafari,SkiSafari:AdventureTime,42,BR,2016-05-31
com.and.games505.brothers,ブラザーズ：2人の息子の物語,43,BR,2016-05-31
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,44,BR,2016-05-31
com.nekki.vector.paid,VectorFull,45,BR,2016-05-31
com.turner.agentgumball,エージェント・ガムボール,46,BR,2016-05-31
com.mtvn.tmntrooftoprun,TMNT:ROOFTOPRUN,47,BR,2016-05-31
com.lnrgame.StarKnight,StarKnight,48,BR,2016-05-31
com.and.games505.TerrariaPaid,Terraria.,49,BR,2016-05-31
uk.co.yakuto.TableTennisTouch,TableTennisTouch,50,BR,2016-05-31
com.gameloft.android.ANMP.GloftKRHM,ダークナイトライジング,51,BR,2016-05-31
com.gameloft.android.ANMP.GloftAMHM,アメイジング・スパイダーマン,52,BR,2016-05-31
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,53,BR,2016-05-31
com.turner.stevenrpg,アタック・ザ・ライト-スティーブン・ユニバースRPG,54,BR,2016-05-31
com.oddworld.Stranger,Oddworld:Stranger'sWrath,55,BR,2016-05-31
com.mtvn.tmntpp,TMNTPortalPower,56,BR,2016-05-31
com.FireproofStudios.TheRoom2,TheRoomTwo,57,BR,2016-05-31
com.glitchsoft.xmen1,X-Men:DaysofFuturePast,58,BR,2016-05-31
com.stainlessgames.carmageddon,Carmageddon,59,BR,2016-05-31
com.turner.copatoon,CNSuperstarSoccer,60,BR,2016-05-31
com.scottgames.fnaf2,FiveNightsatFreddy's2,61,BR,2016-05-31
com.froschmedia.skater,Skater,62,BR,2016-05-31
com.wb.goog.lnjgo,LEGO®Ninjago™ShadowofRonin,63,BR,2016-05-31
com.coffeestainstudios.goatsimulator.wasteofspace,GoatSimulatorWasteofSpace,64,BR,2016-05-31
com.gravitysensation.sumotori,SumotoriDreams,65,BR,2016-05-31
com.gameloft.android.ANMP.GloftWBHM,ワイルドブラッド,66,BR,2016-05-31
com.sega.sonic2,ソニック・ザ・ヘッジホッグ2™,67,BR,2016-05-31
net.kairosoft.android.gamedev3en,GameDevStory,68,BR,2016-05-31
me.dreamsky.blacksmithstoryHD,BlacksmithStoryHD,69,BR,2016-05-31
com.candyrufusgames.survivalcraft,Survivalcraft,70,BR,2016-05-31
com.ustwo.monumentvalley,モニュメントバレー,71,BR,2016-05-31
com.snkplaymore.android001,THEKINGOFFIGHTERS'97,72,BR,2016-05-31
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,73,BR,2016-05-31
com.FireproofStudios.TheRoom3,TheRoomThree,74,BR,2016-05-31
com.t2ksports.wwe2k15mobile,WWE2K,75,BR,2016-05-31
com.fds.infiniteflight,InfiniteFlightSimulator,76,BR,2016-05-31
com.gameloft.android.ANMP.GloftG4HM,ギャングスターRIO：CityofSaints,77,BR,2016-05-31
com.headupgames.bridgeconstructormedieval,BridgeConstructorMedieval,78,BR,2016-05-31
com.gameloft.android.ANMP.GloftN3HM,N.O.V.A.3-NearOrbit...,79,BR,2016-05-31
com.notdoppler.earntodie,EarntoDie,80,BR,2016-05-31
kemco.wws.ixtna,SRPGイクストナ戦記-KEMCO,81,BR,2016-05-31
com.disney.WMW,スワンピーのお風呂パニック！,82,BR,2016-05-31
com.facedoamor.elton.bichovirtual,BichoVirtual,83,BR,2016-05-31
air.com.flipline.papasfreezeriatogo,Papa'sFreezeriaToGo!,84,BR,2016-05-31
com.eamobile.life_row_wf,THEGAMEOFLIFE,85,BR,2016-05-31
com.hamsteroncoke.zenge,Zenge,86,BR,2016-05-31
com.webprancer.google.garfieldescape,ガーフィールドの逃走プレミアム,87,BR,2016-05-31
com.headupgames.bridgeconstructor,ブリッジコンストラクタ,88,BR,2016-05-31
com.rockstar.gta3,GrandTheftAutoIII,89,BR,2016-05-31
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,90,BR,2016-05-31
com.gamesoulstudio.backflipmadness,BackflipMadness,91,BR,2016-05-31
com.explorationbase.Exploration,Exploration,92,BR,2016-05-31
com.threeminutegames.lifeline.google,Lifeline,93,BR,2016-05-31
com.sega.sonic1,ソニック・ザ・ヘッジホッグ,94,BR,2016-05-31
com.ArtInGames.AirAttackHD,AirAttackHD,95,BR,2016-05-31
com.threeminutegames.lifelinewhiteoutgoog,Lifeline:ホワイトアウト,96,BR,2016-05-31
org.ppsspp.ppssppgold,PPSSPPGOLD-PSPemulator,97,BR,2016-05-31
com.coffeestainstudios.goatsimulator,GoatSimulator,98,BR,2016-05-31
com.vectorunit.red,RiptideGP2,99,BR,2016-05-31
com.goame.zombiehospital,ゾンビ病院,100,BR,2016-05-31
com.orgoniteapps.buildit3,BuildBattle:Minigame,101,BR,2016-05-31
com.gameloft.android.ANMP.GloftM3HM,モダンコンバット3：FallenNation,102,BR,2016-05-31
com.radiangames.inferno,Inferno+,103,BR,2016-05-31
com.scottgames.fnaf4,FiveNightsatFreddy's4,104,BR,2016-05-31
