app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,BR,2019-08-27
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,2,BR,2019-08-27
com.fds.infiniteflight,InfiniteFlight-フライトシミュレーター,3,BR,2019-08-27
mobi.bestfreegames.bike.mayhem.extreme.mountain.racing,BikeMayhemMountainRacing,4,BR,2019-08-27
com.agaming.zonaprojectx,Z.O.N.AProjectX,5,BR,2019-08-27
com.zitga.ninja.stickman.legends.shadow.wars,StickmanLegends:ShadowWar-シャドウウォーオフライン格闘ゲーム,6,BR,2019-08-27
com.anutoapps.gamebooster,GameBoosterX:BetterGamePlay&FPSMeter,7,BR,2019-08-27
com.noadsteam.gameboosterxs,"GameBoosterXS-GameTurbo,GameTunerFPSMeter",8,BR,2019-08-27
com.wb.goog.scribbleremix,ScribblenautsRemix,9,BR,2019-08-27
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,10,BR,2019-08-27
com.headupgames.bridgeconstructorplayground,BridgeConstructorPlayground,11,BR,2019-08-27
com.trueaxis.trueskate,TrueSkate,12,BR,2019-08-27
com.zigzagame.evertale,エバーテイル,13,BR,2019-08-27
com.and.games505.TerrariaPaid,Terraria.,14,BR,2019-08-27
com.panda.gamepad,PandaGamepadPro(BETA),15,BR,2019-08-27
com.chucklefish.stardewvalley,StardewValley,16,BR,2019-08-27
com.FireproofStudios.TheRoom,TheRoom,17,BR,2019-08-27
it.rortos.realflightsimulator,RFS-RealFlightSimulator,18,BR,2019-08-27
ch.feinheit.games.firststrike,FirstStrike:FinalHour,19,BR,2019-08-27
com.drycactus.polybridge,PolyBridge,20,BR,2019-08-27
com.halfbrick.fruitninja,FruitNinjaClassic,21,BR,2019-08-27
com.agaming.zonashadowoflemansk,Z.O.N.AShadowofLemansk,22,BR,2019-08-27
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),23,BR,2019-08-27
com.jumpgames.RealSteel,RealSteel,24,BR,2019-08-27
com.epsxe.ePSXe,ePSXeforAndroid,25,BR,2019-08-27
com.agaming.thesun.origin,TheSun:Origin,26,BR,2019-08-27
com.augustro.rambooster,RAM&GameBoosterbyAugustro,27,BR,2019-08-27
com.turner.ttgfigures2,TeenTitansGOFigure!,28,BR,2019-08-27
com.domustechnica.tww.br,AsSemanasMágicas,29,BR,2019-08-27
com.turner.ttgfigures,ティーニー・タイタンズ-ティーン・タイタンズＧＯ！,30,BR,2019-08-27
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,31,BR,2019-08-27
cz.zdenekhorak.amazfittools,Tools&Amazfit,32,BR,2019-08-27
com.awermawemk.c1476408909101,VocêTem1Real?,33,BR,2019-08-27
com.and.games505.humanfallflat,ヒューマン：フォール・フラット,34,BR,2019-08-27
com.pecana.iptvextremepro,IPTVExtremePro,35,BR,2019-08-27
com.rockstargames.bully,Bully:AnniversaryEdition,36,BR,2019-08-27
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,37,BR,2019-08-27
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,38,BR,2019-08-27
com.nekki.vector.paid,VectorFull,39,BR,2019-08-27
org.prowl.torque,TorquePro(OBD2/Car),40,BR,2019-08-27
com.buffstudio.sevendays,7Days-ミステリーノベルアドベンチャー,41,BR,2019-08-27
cz.zdenekhorak.mibandtools,Tools&MiBand,42,BR,2019-08-27
com.robtopx.geometryjump,GeometryDash,43,BR,2019-08-27
com.clickteam.freddyfazbearspizzeriasimulator,FNaF6:PizzeriaSimulator,44,BR,2019-08-27
air.net.machinarium.Machinarium.GP,Machinarium（マシナリウム）,45,BR,2019-08-27
com.ninjakiwi.bloonstd6,BloonsTD6,46,BR,2019-08-27
com.ubisoft.rayman.fiestarun,RaymanFiestaRun,47,BR,2019-08-27
com.themausoft.wpsapppro,WPSAppPro,48,BR,2019-08-27
com.fncnews.fiftyxboosterpro,50XGameBoosterPro,49,BR,2019-08-27
com.wb.lego.marvel,LEGO®マーベルスーパー・ヒーローズザ・ゲーム,50,BR,2019-08-27
com.teamspeak.ts3client,TeamSpeak3-VoiceChatSoftware,51,BR,2019-08-27
com.zitga.empire.warriors.td.tower.defense,EmpireWarriorsTDPremium:プレミアムタワーディフェンスゲームRPG,52,BR,2019-08-27
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,53,BR,2019-08-27
com.turner.atskisafari,SkiSafari:AdventureTime,54,BR,2019-08-27
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,55,BR,2019-08-27
com.agaming.mentalhospitaliv,MentalHospitalIV,56,BR,2019-08-27
com.teslacoilsw.launcher.prime,NovaLauncherPrime,57,BR,2019-08-27
com.robotgentleman.game60seconds,60Seconds!AtomicAdventure,58,BR,2019-08-27
com.woodslink.android.wiredheadphoneroutingfix.pro,SoundAboutPro,59,BR,2019-08-27
com.advasoft.touchretouch,TouchRetouch,60,BR,2019-08-27
com.pastagames.ro1mobile,レイマンジャングルラン,61,BR,2019-08-27
com.maxmpz.audioplayer.unlock,PowerampFullVersionUnlocker,62,BR,2019-08-27
com.realdrift.sipon,RealDriftCarRacing,63,BR,2019-08-27
com.simplemobiletools.gallery.pro,シンプルギャラリーPro,64,BR,2019-08-27
com.FireproofStudios.TheRoom2,TheRoomTwo,65,BR,2019-08-27
gcamprofiles.devmarques.com.gcamprofilespay,ProfilesCamPro(Donation),66,BR,2019-08-27
com.obuut.tankio.premium,タンク3Dオンラインマルチプレイ(Premium),67,BR,2019-08-27
com.giantssoftware.fs18.google,FarmingSimulator18,68,BR,2019-08-27
ru.iptvremote.android.iptv.pro,IPTVPro,69,BR,2019-08-27
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,70,BR,2019-08-27
com.senspark.darkland,Darkland,71,BR,2019-08-27
com.codemasters.f12016,F12016,72,BR,2019-08-27
com.rockstar.maxpayne,マックス・ペインモバイル,73,BR,2019-08-27
com.astragon.cs2014,コンストラクションシミュレーター2014,74,BR,2019-08-27
org.kustom.widget.pro,KWGTKustomWidgetProKey,75,BR,2019-08-27
nz.co.codepoint.minimetro,ミニメトロ,76,BR,2019-08-27
com.intsig.lic.camscanner,CamScanner完全版(License),77,BR,2019-08-27
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,78,BR,2019-08-27
com.jutsugames.operator911,911Operator,79,BR,2019-08-27
appinventor.ai_thailabarbaragoncalves1995.VerdadeOuDesafioPago,VerdadeouDesafioparaCasais-Completo,80,BR,2019-08-27
com.FritandoIdeias.CrumbDashGold,CrumbDashGold,81,BR,2019-08-27
com.snkplaymore.android007,THEKINGOFFIGHTERS'98,82,BR,2019-08-27
com.turner.stevenrpg,アタック・ザ・ライト-スティーブン・ユニバースRPG,83,BR,2019-08-27
com.iliturgia,iLiturgia,84,BR,2019-08-27
com.notdoppler.earntodie,EarntoDie,85,BR,2019-08-27
com.agaming.mentalhospitalV,MentalHospitalV,86,BR,2019-08-27
com.snaptube.license,VIPPremium,87,BR,2019-08-27
com.flyersoft.moonreaderp,Moon+ReaderPro(50%OFF),88,BR,2019-08-27
com.rac7.DarkEcho,DarkEcho,89,BR,2019-08-27
com.astragon.cs3,ConstructionSimulator3,90,BR,2019-08-27
inc.trilokia.pubgfxtool,PUBGfx+Tool🔧:#1GFXTool(withadvancesettings),91,BR,2019-08-27
org.ppsspp.ppssppgold,PPSSPPGOLD-PSPemulator,92,BR,2019-08-27
com.hitcents.drawastickmanepic2,DrawaStickman:EPIC2,93,BR,2019-08-27
brownmonster.app.game.rushrally2,RushRally2,94,BR,2019-08-27
com.etermax.preguntados.pro,トリビア・クラック(広告なし),95,BR,2019-08-27
com.snkplaymore.android001,THEKINGOFFIGHTERS'97,96,BR,2019-08-27
