app_id,app_name,rank,country_code,date
com.mindy.grap1,StickmanHook,1,CA,2018-12-25
com.parking.game,DriveandPark,2,CA,2018-12-25
io.voodoo.paper2,Paper.io2,3,CA,2018-12-25
game.puzzle.woodypuzzle,ウッディーパズル(WoodyPuzzle™),4,CA,2018-12-25
com.supercell.brawlstars,ブロスタ,5,CA,2018-12-25
com.NikSanTech.FireDots3D,FireBalls3D,6,CA,2018-12-25
com.game5mobile.popular,PopularWars,7,CA,2018-12-25
com.h8games.helixjump,HelixJump,8,CA,2018-12-25
com.game5mobile.lineandwater,HappyGlass,9,CA,2018-12-25
com.playgendary.tom,TomboftheMask,10,CA,2018-12-25
com.peoplefun.wordcross,Wordscapes,11,CA,2018-12-25
com.roblox.client,ROBLOX,12,CA,2018-12-25
com.brokenreality.planemerger.android,MergePlane-Click&IdleTycoon,13,CA,2018-12-25
com.crazylabs.light.it.up,Light-ItUp,14,CA,2018-12-25
com.riseup.game,RiseUp,15,CA,2018-12-25
com.escape.room.door.word.prison.puzzle.adventure,EscapeRoom:MysteryWord,16,CA,2018-12-25
com.peoplefun.wordstacks,WordStacks,17,CA,2018-12-25
com.playgendary.kickthebuddy,KicktheBuddy,18,CA,2018-12-25
com.mobirix.throwball,ヒット＆ノックダウン,19,CA,2018-12-25
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,20,CA,2018-12-25
com.google.android.apps.santatracker,Googleサンタを追いかけよう,21,CA,2018-12-25
com.com2us.slroh.normal.freefull.google.global.android.common,スカイランダーズリング・オブ・ヒーローズ,22,CA,2018-12-25
com.revolverolver.fliptrickster,FlipTrickster-ParkourSimulator,23,CA,2018-12-25
games.onebutton.golfbattle,GolfBattle,24,CA,2018-12-25
com.pixel.art.coloring.color.number,HappyColor–数字で塗り絵。数字で色ぬりえ,25,CA,2018-12-25
com.kiloo.subwaysurf,SubwaySurfers,26,CA,2018-12-25
com.nianticlabs.pokemongo,PokémonGO,27,CA,2018-12-25
com.amanotes.beathopper,TilesHop:EDMRush!,28,CA,2018-12-25
com.outfit7.mytalkingtom2,マイ・トーキング・トム2,29,CA,2018-12-25
com.playgendary.tanks,TankStars,30,CA,2018-12-25
com.playgendary.polyspherecoolgame,Polysphere,31,CA,2018-12-25
com.archery.champ.king.bow,ArcheryChamp-Bow&ArrowKingArcheryGames,32,CA,2018-12-25
com.tencent.ig,PUBGMOBILE,33,CA,2018-12-25
io.voodoo.windrider,WindRider!,34,CA,2018-12-25
com.bigframes.color_road,ColorRoad!,35,CA,2018-12-25
com.abcgame.sloperun,SlopeRun,36,CA,2018-12-25
com.mnightt.slices,Slices,37,CA,2018-12-25
com.gamestart.fill,頭が良くなる一筆書きパズルゲームFill,38,CA,2018-12-25
com.king.candycrushsaga,キャンディークラッシュ,39,CA,2018-12-25
com.puzzles.game.halloweeen.one,FindTheDifferences-TheDetective,40,CA,2018-12-25
air.com.hypah.io.slither,slither.io,41,CA,2018-12-25
com.king.candycrush4,キャンディークラッシュフレンズ,42,CA,2018-12-25
com.robtopx.geometryjumplite,ジオメトリーダッシュ(GeometryDashLite),43,CA,2018-12-25
com.pixel.art.coloring.by.number,TapColor数字に従って色ぬり,44,CA,2018-12-25
com.miniclip.eightballpool,8BallPool,45,CA,2018-12-25
com.inapp.no.paint.color.by.number.coloring,No.Paint-癒しの着色ゲーム,46,CA,2018-12-25
com.supertapx.lovedots,LoveBalls,47,CA,2018-12-25
pampam.crashy.cops,CrashyCops!,48,CA,2018-12-25
se.ace.fishinc,HookedInc:FisherTycoon,49,CA,2018-12-25
com.cmplay.tiles2,ピアノタイル2™,50,CA,2018-12-25
io.voodoo.holeio,Hole.io,51,CA,2018-12-25
com.colorswitch.switch2,ColorSwitch,52,CA,2018-12-25
com.etermax.trivia.preguntados2,トリビアクラック2,53,CA,2018-12-25
com.bitmango.go.onelinecurvedrawing,OneLine-CurveDrawing,54,CA,2018-12-25
com.kwalee.skiddycar,SkiddyCar,55,CA,2018-12-25
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),56,CA,2018-12-25
com.rubygames.splashyjump,SlimeRoad,57,CA,2018-12-25
com.app.gohome,Mr.GoHome,58,CA,2018-12-25
air.com.lunime.gachalife,GachaLife,59,CA,2018-12-25
com.fungames.sniper3d,スナイパー３Dアサシン：無料射撃ゲーム(Sniper3D）,60,CA,2018-12-25
com.jewelslidey.hwwgame,JewelSlidey,61,CA,2018-12-25
com.color.by.number.paint.ly.pixel.art,Paint.ly-数字で塗り絵🌺,62,CA,2018-12-25
com.miniclip.bowmasters,Bowmasters,63,CA,2018-12-25
com.easybrain.sudoku.android,ナンプレ,64,CA,2018-12-25
com.wb.headsup,HeadsUp!,65,CA,2018-12-25
com.geishatokyo.snowballio,Snowball.io,66,CA,2018-12-25
com.etermax.preguntados.lite,トリビア・クラック,67,CA,2018-12-25
com.bentostudio.ballsvsblocks,SnakeVSBlock,68,CA,2018-12-25
com.pixelberrystudios.choices,Choices:StoriesYouPlay,69,CA,2018-12-25
com.episodeinteractive.android.catalog,Episode-ChooseYourStory,70,CA,2018-12-25
com.billiards.city.pool.nation.club,ビリヤードシティ,71,CA,2018-12-25
com.ugen.playquirkNA,QUIRK-BuildYourOwnGames&FantasyWorld,72,CA,2018-12-25
com.custom.spillit,SpillIt!,73,CA,2018-12-25
com.pixel.gun3d,ピクセルガン3D。(PixelGun3D),74,CA,2018-12-25
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),75,CA,2018-12-25
com.crowdstar.covetHome,DesignHome,76,CA,2018-12-25
com.abcgame.fallingball,FallingBall,77,CA,2018-12-25
com.fungames.blockcraft,ブロック・クラフト　無料街づくりシミュレーションゲーム,78,CA,2018-12-25
com.alien.shooter.galaxy.attack,ギャラクシーアタック：エイリアンシューター,79,CA,2018-12-25
com.differencetenderwhite.skirt,ブロックパズルジュエル,80,CA,2018-12-25
com.swingman.game,SwingStar,81,CA,2018-12-25
com.linegames.dcglobal,DestinyChild,82,CA,2018-12-25
com.ohmgames.chambouletout,KnockBalls,83,CA,2018-12-25
com.crazylabs.sausage.run,走れ、ソーセージ、走れ！,84,CA,2018-12-25
com.jetstartgames.chess,チェス,85,CA,2018-12-25
com.kooapps.pictowordandroid,Pictoword：楽しいワードゲーム。オフラインでの脳トレゲーム。,86,CA,2018-12-25
com.paulaugustel.bomber,PlanetBomber!,87,CA,2018-12-25
com.aim.racing,ExtremeCarDrivingSimulator,88,CA,2018-12-25
com.combineinc.streetracing.driftthreeD,ストリートレーシング3D,89,CA,2018-12-25
com.supergame.ultrasharp.cutitdown,CutIt:BrainPuzzles,90,CA,2018-12-25
com.playtika.caesarscasino,CaesarsSlots:FreeSlotMachinesandCasinoGames,91,CA,2018-12-25
com.dvloper.granny,Granny,92,CA,2018-12-25
com.woodensword.zombie,ゾンビ・ヘイター,93,CA,2018-12-25
com.miniclip.topskater,FlipSkater,94,CA,2018-12-25
com.playgendary.sportmasters,Bouncemasters!,95,CA,2018-12-25
com.gpower.pixelart,PixelArtBook-数字で色ぬり絵本,96,CA,2018-12-25
com.mobilewaronline.wwr,ワールドウォーライジング,97,CA,2018-12-25
com.popreach.dumbways,DumbWaystoDieOriginal,98,CA,2018-12-25
com.suji.spinner,Spinner.io,99,CA,2018-12-25
com.supertapx.bigbigballer,BigBigBaller,100,CA,2018-12-25
io.voodoo.stackjump,StackJump,101,CA,2018-12-25
com.alegrium.cong2,"Cash,Inc.マネー・タップゲーム&ビジネスアドベンチャー",102,CA,2018-12-25
com.smilerlee.klondike,Solitaire,103,CA,2018-12-25
com.bingo.scape.android.free,BingoScapes-BingoChristmas,104,CA,2018-12-25
com.spilgames.OperateNow2,OperateNow:Hospital,105,CA,2018-12-25
com.gamepig.rush,RollingBalls,106,CA,2018-12-25
com.turborocketgames.wildcraft,ワイルドクラフト：動物シムオンライン3D,107,CA,2018-12-25
com.gramgames.mergedragons,マージドラゴン(MergeDragons!),108,CA,2018-12-25
com.aqupepgames.projectpepe,LooneyTunes™ワールド・オブ・メイヘム-アクションRPG,109,CA,2018-12-25
com.playtika.wsop.gp,WSOP無料ポーカー(WorldSeriesofPoker),110,CA,2018-12-25
com.playrix.homescapes,ホームスケイプ(Homescapes),111,CA,2018-12-25
com.imangi.templerun2,TempleRun2,112,CA,2018-12-25
paint.by.number.pixel.art.coloring.drawing.puzzle,PaintByNumber-無料な塗り絵とパズルゲーム,113,CA,2018-12-25
com.jagex.oldscape.android,OldSchoolRuneScape,114,CA,2018-12-25
com.nordcurrent.canteenhd,クッキングフィーバー【爽快グルメアクション！】,115,CA,2018-12-25
ocean.nomad.survival.simulator,ラフティングのサバイバル:SurvivalonRaft-OceanNomad,116,CA,2018-12-25
com.bigduckgames.flow,FlowFree,117,CA,2018-12-25
com.fingersoft.hcr2,HillClimbRacing2,118,CA,2018-12-25
com.yodo1.crossyroad,クロッシーロード,119,CA,2018-12-25
com.fgs.ct,Off-RoadTravel:4wdSUVsridetohill,120,CA,2018-12-25
com.spacegame.homedesign,マイホーム　デザインドリーム,121,CA,2018-12-25
com.jellybtn.boardkings,BoardKings™️,122,CA,2018-12-25
com.sonypicturestelevision.millionaire,MillionaireTrivia:WhoWantsToBeaMillionaire?,123,CA,2018-12-25
com.gpp.beefactory,BeeFactory,124,CA,2018-12-25
com.cocoplay.diy.fashion,DIYファッションスター—ファッションデザイナーになろう,125,CA,2018-12-25
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,126,CA,2018-12-25
com.tocaboca.tocakitchen2,トッカ・キッチン2(TocaKitchen2),127,CA,2018-12-25
com.weegoon.chigirie,Chigiri：ペーパーパズル,128,CA,2018-12-25
com.namcobandaigames.pacmantournaments,PAC-MAN,129,CA,2018-12-25
com.nintendo.zara,SuperMarioRun,130,CA,2018-12-25
com.ketchapp.knifehit,KnifeHit,131,CA,2018-12-25
com.whaleapp.resorthotel,ResortHotel:BayStory,132,CA,2018-12-25
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,133,CA,2018-12-25
game.bubble.shooter.dragon.pop,バブルシューティング,134,CA,2018-12-25
com.zynga.words3,WordsWithFriends2-WordGame,135,CA,2018-12-25
com.europosit.pixelcoloring,PixelArt:数字で塗り絵スケッチブック,136,CA,2018-12-25
es.socialpoint.MonsterLegends,MonsterLegends-ストラテジーRPGバトル戦争,137,CA,2018-12-25
com.crossword.bible.cookies.find.english,WordConnect-WordGamesPuzzle,138,CA,2018-12-25
com.gismart.realpianofree,ピアノ-ぴあの鍵盤リアル曲げーむ,139,CA,2018-12-25
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,140,CA,2018-12-25
com.my.hc.rpg.kingdom.simulator,HustleCastle–アイドルシェルターの英雄,141,CA,2018-12-25
com.fluffyfairygames.idleminertycoon,IdleMinerTycoon『ざくざくキング：採掘王国』,142,CA,2018-12-25
com.instcoffee.instlife,InstLife,143,CA,2018-12-25
com.gameloft.android.ANMP.GloftDMHM,ミニオンラッシュ:「怪盗グルー」公式ゲーム,144,CA,2018-12-25
com.madbox.dashvalley,DashValley,145,CA,2018-12-25
com.tinyco.potter,ハリー･ポッター:ホグワーツの謎,146,CA,2018-12-25
br.com.tapps.bidwars,BidWars-StorageAuctionsandPawnShopTycoon,147,CA,2018-12-25
