app_id,app_name,rank,country_code,date
com.nianticlabs.pokemongo,PokémonGO,1,CA,2018-08-27
com.king.candycrushsaga,キャンディークラッシュ,2,CA,2018-08-27
air.com.playtika.slotomania,Slotomania™-FreeSlots英語版,3,CA,2018-08-27
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,4,CA,2018-08-27
com.nintendo.zaba,ファイアーエムブレムヒーローズ,5,CA,2018-08-27
com.aniplex.fategrandorder.en,Fate/GrandOrder(English),6,CA,2018-08-27
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),7,CA,2018-08-27
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),8,CA,2018-08-27
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),9,CA,2018-08-27
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,10,CA,2018-08-27
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,11,CA,2018-08-27
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,12,CA,2018-08-27
com.king.candycrushsodasaga,キャンディークラッシュソーダ,13,CA,2018-08-27
air.com.buffalo_studios.newflashbingo,BINGOBLITZ™️ビンゴゲーム-ビンゴスロット,14,CA,2018-08-27
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),15,CA,2018-08-27
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),16,CA,2018-08-27
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,17,CA,2018-08-27
net.peakgames.toonblast,ToonBlast,18,CA,2018-08-27
com.playrix.homescapes,ホームスケイプ(Homescapes),19,CA,2018-08-27
com.playdemic.golf.android,ゴルフクラッシュ,20,CA,2018-08-27
com.roblox.client,ROBLOX,21,CA,2018-08-27
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),22,CA,2018-08-27
com.tencent.ig,PUBGMOBILE,23,CA,2018-08-27
com.pacificinteractive.HouseOfFun,フリー・スロットカジノ-HouseofFun™️ゲーム,24,CA,2018-08-27
com.williamsinteractive.jackpotparty,JackpotPartySlots:カジノスロットゲーム,25,CA,2018-08-27
com.droidhang.ad,IdleHeroes-無料放置育成RPG,26,CA,2018-08-27
com.kabam.marvelbattle,MARVELオールスターバトル,27,CA,2018-08-27
com.foxnextgames.m3,MARVELストライクフォース,28,CA,2018-08-27
com.ddi,DoubleDownCasino-FreeSlots,29,CA,2018-08-27
com.crowdstar.covetHome,DesignHome,30,CA,2018-08-27
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,31,CA,2018-08-27
com.elex.nikkigp,LoveNikki-DressUPQueen,32,CA,2018-08-27
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,33,CA,2018-08-27
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,34,CA,2018-08-27
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),35,CA,2018-08-27
com.doubleugames.DoubleUCasino,DoubleUCasino-FreeSlots,36,CA,2018-08-27
com.selfawaregames.acecasino,BigFishCasino：本場ラスベガスのカジノ＆スロットマシンをプレイ,37,CA,2018-08-27
com.glu.baseball18,MLBTAPSPORTSBASEBALL2018,38,CA,2018-08-27
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,39,CA,2018-08-27
net.peakgames.amy,ToyBlast,40,CA,2018-08-27
com.playstudios.popslots,POP!Slots－スロット無料カジノ,41,CA,2018-08-27
com.n3twork.legendary,Legendary:GameofHeroes,42,CA,2018-08-27
com.pixelberrystudios.choices,Choices:StoriesYouPlay,43,CA,2018-08-27
com.productmadness.hovmobile,HeartofVegas:オンラインカジノスロットアプリ,44,CA,2018-08-27
com.hcg.cok.gp,クラッシュオブキングス:奇跡降臨,45,CA,2018-08-27
com.camelgames.superking,WarandOrder,46,CA,2018-08-27
com.playtika.wsop.gp,WSOP無料ポーカー(WorldSeriesofPoker),47,CA,2018-08-27
com.more.dayzsurvival.gp,ラストシェルター：この国を守り抜く本格SLG、大人のゲーム,48,CA,2018-08-27
com.zynga.livepoker,Zyngaポーカー,49,CA,2018-08-27
com.playrix.township,タウンシップ(Township),50,CA,2018-08-27
com.naturalmotion.customstreetracer2,CSRRacing2,51,CA,2018-08-27
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,52,CA,2018-08-27
com.ludia.jw2,JurassicWorld™アライブ!,53,CA,2018-08-27
com.gramgames.mergedragons,マージドラゴン(MergeDragons!),54,CA,2018-08-27
com.supercell.hayday,ヘイ・デイ(HayDay),55,CA,2018-08-27
com.netmarble.mherosgb,マーベル・フューチャーファイト,56,CA,2018-08-27
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,57,CA,2018-08-27
com.playtika.caesarscasino,CaesarsSlots:FreeSlotMachinesandCasinoGames,58,CA,2018-08-27
com.scopely.yux,NewYAHTZEE®WithBuddiesDiceGame,59,CA,2018-08-27
com.yottagames.mafiawar,マフィア・シティ-極道風雲,60,CA,2018-08-27
com.rovio.baba,アングリーバード2(AngryBirds2),61,CA,2018-08-27
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),62,CA,2018-08-27
com.ballytechnologies.quickhitslots,QuickHitオンラインカジノゲームそしてスロットマシン,63,CA,2018-08-27
com.bandainamcoent.narutoblazingna,UltimateNinjaBlazing,64,CA,2018-08-27
com.vespainteractive.KingsRaid,キングスレイド,65,CA,2018-08-27
com.tinyco.potter,ハリー･ポッター:ホグワーツの謎,66,CA,2018-08-27
com.vizorapps.klondike,KlondikeAdventures(クロンダイクの冒険),67,CA,2018-08-27
com.igg.castleclash,CastleClash:BraveSquads,68,CA,2018-08-27
com.eastsidegames.trailerparkboys,TrailerParkBoys:GreasyMoney,69,CA,2018-08-27
com.nexon.da3.global,DarknessRises,70,CA,2018-08-27
com.scopely.whiplash,WWEChampions-無料パズルRPGゲーム,71,CA,2018-08-27
com.productmadness.cashmancasino,CashmanCasinoSlot:無料カジノスロットゲーム,72,CA,2018-08-27
com.sunborn.girlsfrontline.en,Girls'Frontline,73,CA,2018-08-27
