app_id,app_name,rank,country_code,date
com.clement.ballmayhem,BallMayhem!,1,CA,2019-02-07
games.wfs.anothereden,ANOTHEREDEN,2,CA,2019-02-07
com.ludia.dragon3,Dragons:TitanUprising,3,CA,2019-02-07
com.zlongame.un.mhmnz,Langrisser,4,CA,2019-02-07
com.skateboard.skatejam,TonyHawk'sSkateJam,5,CA,2019-02-07
com.pnixgames.bowmax,BOWMAX,6,CA,2019-02-07
com.easybrain.chamy,Chamy-数字で塗り絵。数字で色を付ける塗り絵帳,7,CA,2019-02-07
com.bbtv.cwc,SpyNinjaNetwork-Chad&Vy,8,CA,2019-02-07
es.socialpoint.chefparadise,クッキング・タウン(TastyTown),9,CA,2019-02-07
com.freegame.carsmasher,CarSmasher,10,CA,2019-02-07
com.gamehouse.hm4gp,ハートの治療薬―医師の誓い,11,CA,2019-02-07
com.TironiumTech.IdlePlanetMiner,IdlePlanetMiner,12,CA,2019-02-07
com.gpp.sushibar,SushiBar,13,CA,2019-02-07
com.tutotoons.app.babyponysisters.free,BabyPonySisters-VirtualPetCare&HorseNanny,14,CA,2019-02-07
com.towermerge.defensearcher,MergeArcher:TowerDefense,15,CA,2019-02-07
com.tutotoons.app.sweetbabygirlhotelcleanup1.free,SweetBabyGirlHotelCleanup-CrazyCleaningFun,16,CA,2019-02-07
com.mini.craft.minicraft.adventure.apps,Worldbuilding,17,CA,2019-02-07
com.alei.oll.ppfcbtvs,CraftingGrind,18,CA,2019-02-07
games.starberry.coffeecorp,IdleCoffeeCorp,19,CA,2019-02-07
com.miniworld.mergecat,MergeCats-CuteIdleGame,20,CA,2019-02-07
com.rogue.playgod,遊び神,21,CA,2019-02-07
com.alienshooter.galaxy.attack2,GalaxyInvaders:AlienShooter,22,CA,2019-02-07
slots.pcg.casino.games.free.android,CashFrenzyCasino,23,CA,2019-02-07
com.panzerdog.tacticool,Tacticool-5対5のシューティングバトル,24,CA,2019-02-07
com.freegame.newvehicle,VehicleRecyclingInc.,25,CA,2019-02-07
idle.weedermatch.casualgame,WeederMatch,26,CA,2019-02-07
com.rsg.lord,TheRoyalAffairs,27,CA,2019-02-07
com.gravity.romNAg,RagnarokM:EternalLove(ROM),28,CA,2019-02-07
com.tap4fun.seagame.gplay,SeaGame:MegaCarrier,29,CA,2019-02-07
com.brilliantgamez.extremebikestunts2019,エクストリームバイクスタント2019,30,CA,2019-02-07
com.myapp.sweethouse,SweetHouse,31,CA,2019-02-07
com.chillyroom.happy,WeHappyRestaurant,32,CA,2019-02-07
com.football.freegametime,おかしいボール,33,CA,2019-02-07
com.metajoy.puzzlegame.dragnmerge,DragnMerge:BlockPuzzle,34,CA,2019-02-07
com.milliongamesnew.sharksimulator2019,SharkSimulator2019,35,CA,2019-02-07
balls.glow.bricks.breaker.brounce.ballz.puzzle.free,BricksBreaker-GlowBalls,36,CA,2019-02-07
com.shanggame.tewxtf,Thor:InfiniteDefense-TDGame,37,CA,2019-02-07
com.hypermania.fun.games.color.garden.build.by.number,ColorGarden-BuildbyNumber,38,CA,2019-02-07
com.my.space.justice,SpaceJustice–飛行機の宇宙飛行士,39,CA,2019-02-07
com.outfit7.talkingtomfunfair,TalkingTomFunFair,40,CA,2019-02-07
game.puzzlepaws,DogsHome:Match3&Dogs,41,CA,2019-02-07
com.KnowledgeAdventure.JSAcademyPS,JumpStartAcademyPreschool,42,CA,2019-02-07
com.milliongames.dinosaurgamessimulator2019,DinosaurGamesSimulator2019,43,CA,2019-02-07
com.timuzgames.sniper3d2019,Sniper3D-2019,44,CA,2019-02-07
com.KnowledgeAdventure.JSAcademyKG,JumpStartAcademyKindergarten,45,CA,2019-02-07
com.ubisoft.hungrysharkheroes,HungrySharkHeroes,46,CA,2019-02-07
com.rbx.m3.android,ParkTown–Match3Puzzles,47,CA,2019-02-07
com.dropdom.blockpuzzle.hwwgame,Dropdom-JewelBlast,48,CA,2019-02-07
com.twoz.hyper.cartoon.merge.car,MergeCar,49,CA,2019-02-07
fi.LinnamaEntertainment.siloairsoft,Silo'sAirsoftRoyale,50,CA,2019-02-07
com.sinyee.babybus.goodbaby,ベビーパンダの家族と友だち,51,CA,2019-02-07
com.simutronics.b17,SIEGE:WorldWarII,52,CA,2019-02-07
com.milliongames.highwaysniper2019,HighwaySniper2019,53,CA,2019-02-07
com.Gameton.SolitaireJourney,BestFriendsSolitaire,54,CA,2019-02-07
com.avalon.caveonline.global.googleplay,TheGreedyCave2:TimeGate,55,CA,2019-02-07
com.puzzlesolution.symmetry,DrawingPuzzleSolution-TrainYourBrain,56,CA,2019-02-07
com.whatgames.android.ANMP.GloftENHM,Non-StopSpaceDefense-無限エイリアンシューティングゲーム,57,CA,2019-02-07
foxydoll.coloringbook.fun,塗り絵。フォクシー人形,58,CA,2019-02-07
com.ovilex.shipsim2019,ShipSim2019,59,CA,2019-02-07
com.khundar.necropalace,Necropalace,60,CA,2019-02-07
com.tuyoonational.fish,TuyooFishingMania,61,CA,2019-02-07
com.fullfat.bw,GrassCut,62,CA,2019-02-07
com.v3.pingu.merge.plane,PlaneMerger,63,CA,2019-02-07
com.king.candycrushtales,CandyCrushTales,64,CA,2019-02-07
com.love.poly.puzzle.game,LovePoly–新機軸パズルゲーム,65,CA,2019-02-07
games.ouzo.tramp_land,TrampLand-StickmanJumpArcade,66,CA,2019-02-07
com.king.candycrushcubes,CandyCrushCubes,67,CA,2019-02-07
com.pixelmon.world,Pixelmon,68,CA,2019-02-07
com.ivy.gems.witch,宝石の魔女,69,CA,2019-02-07
business.monopoly.landlord,MonopolyFree,70,CA,2019-02-07
com.prison.gansters,GrandCrimeGangster,71,CA,2019-02-07
com.metajoy.ball.holyshot,AmazingShot,72,CA,2019-02-07
com.two.helix.halloween.superjump,HelixMonsterJump,73,CA,2019-02-07
com.enp.jewels2.google,JewelsPalace:FantasticMatch3adventure,74,CA,2019-02-07
com.archly.heroes,IdleSummoner-FunGames,75,CA,2019-02-07
com.pawpatrol.paw.patrol.game,PawPatrolFruitAdventure,76,CA,2019-02-07
com.special.ageofsail.strategygames,AgeofSail:Navy&Pirates,77,CA,2019-02-07
com.appxplore.thorclicker,Thor:WarofTapnarok,78,CA,2019-02-07
com.gamevilusa.nbasuperstars.android.google.global.normal,NBANOWMobileBasketballGame,79,CA,2019-02-07
com.sinyee.babybus.logical,リトルパンダの脳トレ,80,CA,2019-02-07
