app_id,app_name,rank,country_code,date
com.feralinteractive.rometw,ROME:TotalWar,1,CA,2018-12-24
age.of.civilizations2.jakowski.lukasz,AgeofCivilizationsII,2,CA,2018-12-24
com.jds.batim,BendyandtheInkMachine,3,CA,2018-12-24
com.honeydew.heroprotectvip,突然の勇士プラス(TapRPG),4,CA,2018-12-24
com.hg.titp,ThisIsthePolice,5,CA,2018-12-24
mycity.office,MyCity:オフィス,6,CA,2018-12-24
com.pjmasks.racingheroes,PJMasks:RacingHeroes,7,CA,2018-12-24
com.Amazing.Taxi.Game,AmazingTaxiSimulatorV22019,8,CA,2018-12-24
air.com.amanitadesign.chuchel.gp,CHUCHEL（チュチェル）,9,CA,2018-12-24
ca.ebapps.elonmuskspacetweets,SpaceTweets,10,CA,2018-12-24
kemco.execreate.seekpremium,[Premium]RPGシークハーツ,11,CA,2018-12-24
com.asmodeedigital.perudoofficial,Perudo:ThePirateBoardGame,12,CA,2018-12-24
com.buffstudio.sevendays,７デイズ-ライトノベルアドベンチャー,13,CA,2018-12-24
com.onemanband.thesequence2,theSequence[2],14,CA,2018-12-24
com.noodlecake.absolutedrift,AbsoluteDrift,15,CA,2018-12-24
com.firemaplegames.Thickety_Creek,ThicketyCreek,16,CA,2018-12-24
com.crazyowl.MagnetBallsProNoAds,MagnetBallsPro,17,CA,2018-12-24
com.nosignalproductions.legacyhidden,Legacy3-TheHiddenRelic,18,CA,2018-12-24
de.brettspielwelt.themind,TheMindbyWolfgangWarsch,19,CA,2018-12-24
com.sun.twinfold,Twinfold(ツインフォールド),20,CA,2018-12-24
com.valorware.thronequest,ThroneQuestRPG,21,CA,2018-12-24
com.supermassivegames.shatteredstate,ShatteredState-映画のようなVRスリラー,22,CA,2018-12-24
com.mossbark.morels,Morels,23,CA,2018-12-24
com.HomeMade.Barks,BarksABC,24,CA,2018-12-24
com.krsv.reblobgame,Reblob,25,CA,2018-12-24
ru.izhard,OVIVO,26,CA,2018-12-24
com.HighlandStudio.HeroesOfFlatlandia1,HeroesofFlatlandia,27,CA,2018-12-24
com.agaming.zonashadowoflemansk,Z.O.N.AShadowofLemansk,28,CA,2018-12-24
net.dan200.redirection,Redirection-3DRobotPuzzleGame,29,CA,2018-12-24
com.sabdalra.fruit.ninja.madness.lite,FruitNinjaMadness-LITE,30,CA,2018-12-24
com.ChickenWaffle.BabyHands,BABYHANDSJr.,31,CA,2018-12-24
dAR.ubigovr.VirtualGirlfriendAR,VGARVIP,32,CA,2018-12-24
com.twisterproandroid,TextTwisterPro2018,33,CA,2018-12-24
com.senspark.goldminervegas.premium,GoldMinerVegas:GoldRush,34,CA,2018-12-24
air.com.littlebigplay.games.premium.wordchess,WordChessPRO,35,CA,2018-12-24
com.gooblegames.arithmagic,Arithmagic-MathRPG,36,CA,2018-12-24
com.mtvn.pawpatrolgoogletabintl,PAWPatrol:CartoonHeroDogs-AnimalAdventureHD,37,CA,2018-12-24
com.brightmoon.bubblefruitguppies,BubbleGuppies-FruitBubbleShooter,38,CA,2018-12-24
com.squiden.retropixel,RetroPixel,39,CA,2018-12-24
com.playstack.helpthegame,HELP:MatchingGameswithFunPuzzleGameplay,40,CA,2018-12-24
com.sahxyapps.pick10pro,Pick10Pro,41,CA,2018-12-24
com.firerabbit.games.fmc.resto.full,車を修理する:クラシックマッスルカーの修復,42,CA,2018-12-24
com.bullbitz.xmasdrop4,ChristmasDrops4-Matchthreepuzzle,43,CA,2018-12-24
com.VirtualWeasel.AKnightsLife,KnightLife:MedievalFantasyRPG,44,CA,2018-12-24
fr.hachette.samietjulienoel,SamietJuliefêtentNoël!,45,CA,2018-12-24
games.pollywog.card_crusade,CardCrusade:EarlyAccess,46,CA,2018-12-24
com.crazyowl.MagnetBalls2,MagnetBalls2,47,CA,2018-12-24
