app_id,app_name,rank,country_code,date
com.tinder,Tinder,1,CA,2018-03-09
com.king.candycrushsaga,キャンディークラッシュ,2,CA,2018-03-09
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,3,CA,2018-03-09
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,4,CA,2018-03-09
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,5,CA,2018-03-09
com.nianticlabs.pokemongo,PokémonGO,6,CA,2018-03-09
com.google.android.apps.docs,Googleドライブ,7,CA,2018-03-09
com.nintendo.zaba,ファイアーエムブレムヒーローズ,8,CA,2018-03-09
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),9,CA,2018-03-09
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),10,CA,2018-03-09
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),11,CA,2018-03-09
com.playrix.homescapes,ホームスケイプ(Homescapes),12,CA,2018-03-09
com.king.candycrushsodasaga,キャンディークラッシュソーダ,13,CA,2018-03-09
com.kabam.marvelbattle,MARVELオールスターバトル,14,CA,2018-03-09
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,15,CA,2018-03-09
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),16,CA,2018-03-09
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,17,CA,2018-03-09
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),18,CA,2018-03-09
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),19,CA,2018-03-09
air.com.buffalo_studios.newflashbingo,BINGOBLITZ-ビンゴゲーム-ビンゴスロット,20,CA,2018-03-09
com.playdemic.golf.android,ゴルフクラッシュ,21,CA,2018-03-09
com.netmarble.lin2ws,Lineage2:Revolution,22,CA,2018-03-09
com.roblox.client,ROBLOX,23,CA,2018-03-09
net.peakgames.amy,ToyBlast,24,CA,2018-03-09
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,25,CA,2018-03-09
com.netflix.mediaclient,Netflix,26,CA,2018-03-09
com.ddi,DoubleDownCasino-FreeSlots,27,CA,2018-03-09
com.playrix.township,タウンシップ(Township),28,CA,2018-03-09
net.peakgames.toonblast,ToonBlast,29,CA,2018-03-09
com.elex.nikkigp,LoveNikki-DressUPQueen,30,CA,2018-03-09
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,31,CA,2018-03-09
com.pacificinteractive.HouseOfFun,フリー・スロットカジノ-HouseofFunゲーム,32,CA,2018-03-09
com.productmadness.hovmobile,HeartofVegas:オンラインカジノスロットアプリ,33,CA,2018-03-09
com.camelgames.superking,WarandOrder,34,CA,2018-03-09
com.williamsinteractive.jackpotparty,JackpotPartySlots:カジノスロットゲーム,35,CA,2018-03-09
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,36,CA,2018-03-09
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),37,CA,2018-03-09
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,38,CA,2018-03-09
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,39,CA,2018-03-09
com.playstudios.popslots,POP!Slots－スロット無料カジノ,40,CA,2018-03-09
com.ballytechnologies.quickhitslots,QuickHitオンラインカジノゲームそしてスロットマシン,41,CA,2018-03-09
com.droidhang.ad,IdleHeroes-無料放置育成RPG,42,CA,2018-03-09
com.crowdstar.covetHome,DesignHome,43,CA,2018-03-09
com.supercell.hayday,ヘイ・デイ(HayDay),44,CA,2018-03-09
com.playtika.wsop.gp,WSOP無料ポーカー(WorldSeriesofPoker),45,CA,2018-03-09
com.zynga.livepoker,Zyngaポーカー,46,CA,2018-03-09
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,47,CA,2018-03-09
com.pixelberrystudios.choices,Choices:StoriesYouPlay,48,CA,2018-03-09
com.doubleugames.DoubleUCasino,DoubleUCasino-FreeSlots,49,CA,2018-03-09
com.playtika.caesarscasino,CaesarsSlots:FreeSlotMachinesandCasinoGames,50,CA,2018-03-09
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,51,CA,2018-03-09
com.aniplex.fategrandorder.en,Fate/GrandOrder(English),52,CA,2018-03-09
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),53,CA,2018-03-09
com.selfawaregames.acecasino,BigFishCasino：本場ラスベガスのカジノ＆スロットマシンをプレイ,54,CA,2018-03-09
