app_id,app_name,rank,country_code,date
com.aspireux.iconpack,AspireUxS8-IconPack,1,CA,2017-05-04
com.tocaboca.tocahospital,TocaLife:Hospital,2,CA,2017-05-04
com.noodlecake.riven,Riven:TheSequeltoMyst,3,CA,2017-05-04
net.kairosoft.android.ski_en,ShinySkiResort,4,CA,2017-05-04
com.digidiced.txmrelease,TerraMystica,5,CA,2017-05-04
com.asmodeedigital.onirim,Onirim-SolitaireCardGame,6,CA,2017-05-04
com.glutenfreegames.ultimatejunglesimulator,UltimateJungleSimulator,7,CA,2017-05-04
com.WaveLightGames.LordsOfChaos,Demon'sRise2,8,CA,2017-05-04
mytown.museum,MyTown:Museum,9,CA,2017-05-04
com.ndemiccreations.scenariocreator,PlagueInc伝染病株式会社：シナリオクリエイター,10,CA,2017-05-04
com.beamdog.pstee,Planescape:TormentEE,11,CA,2017-05-04
com.tzar.orbsmash,OrbSmash,12,CA,2017-05-04
com.sonymobile.themes.steampunkanimal,XPERIA™SteampunkZooTheme,13,CA,2017-05-04
com.eatos.uxux,DeluxUX-S8IconPack,14,CA,2017-05-04
com.armorgames.thebigjourney.android,TheBigJourney,15,CA,2017-05-04
com.turfu.matchd,Matchd,16,CA,2017-05-04
com.andigames.dot2pro,DirtOnTires2:Village,17,CA,2017-05-04
com.telltalegames.guardians100,GuardiansoftheGalaxyTTG,18,CA,2017-05-04
com.gameguides.persona5guidepro,GuideforPersona5Pro,19,CA,2017-05-04
com.mlb.RBIBaseball2017,R.B.I.Baseball17,20,CA,2017-05-04
com.sagosago.Town.googleplay,サゴミニタウン,21,CA,2017-05-04
air.com.noodlecake.luminocity,LuminoCity,22,CA,2017-05-04
com.intelligentchange.fiveminutejournal,FiveMinuteJournal,23,CA,2017-05-04
com.superdeluxe.scamojikeyboard,Scamoji,24,CA,2017-05-04
pixbit.prime,PixBit-IconPack,25,CA,2017-05-04
com.leomaz.ux.experience,UXExperienceS8-IconPack,26,CA,2017-05-04
com.plantoprotect.adr_plantoprotect_base,PlanToProtect,27,CA,2017-05-04
net.kairosoft.android.baseball_en,HomeRunHigh,28,CA,2017-05-04
com.bigfishgames.drbcgoogfull,DeadReckoning:Cove(Full),29,CA,2017-05-04
com.herocraft.game.tempest,Tempest:PirateActionRPG,30,CA,2017-05-04
com.noodlecake.invert,Invert-AMinimalPuzzleGame,31,CA,2017-05-04
com.pixbits.junkjack,JunkJack,32,CA,2017-05-04
dxidev.toptvlauncher2,TopTVLauncher2,33,CA,2017-05-04
com.WhiteElkLLC.EclipseEdgeOfLight,Eclipse:EdgeofLight,34,CA,2017-05-04
craftsicons.iconpack.gx.s8,GXS8IconPack,35,CA,2017-05-04
kemco.execreate.ancientpremium,[Premium]RPGエンシェントハンター,36,CA,2017-05-04
com.dbSoftware.siepro,SurvivalIsland:EvolvePro!,37,CA,2017-05-04
smartwatchstudios.app.gears3navigation,GearS2/S3Navigation,38,CA,2017-05-04
com.turbobutton.alongtogether,AlongTogether,39,CA,2017-05-04
com.artifexmundi.lostgrimoires2.gp.full,ロスト･グリモワール2(Full),40,CA,2017-05-04
com.themezilla.android_o_icon,OIcons-AndroidOIconPack,41,CA,2017-05-04
com.cloudworth.koreanwar,KoreanWar1950,42,CA,2017-05-04
purityforklwp.kustom.pack,PURITYforKLWP,43,CA,2017-05-04
snielsen.easylipspvcalculator,EasyLipsPVCalculator,44,CA,2017-05-04
com.ffree.FreePedometerPro,歩数Pro,45,CA,2017-05-04
com.aneeshpradeep.amoledwallpaperspro,SuperAMOLEDWallpapersPRO,46,CA,2017-05-04
org.jesus.boxes,JESUSBOXMEDIAPRO,47,CA,2017-05-04
com.matchgems.fantasy_mosaics_22,FantasyMosaics22,48,CA,2017-05-04
media.adfree.music.mp3player,MusicPlus-MP3Player,49,CA,2017-05-04
com.mediacitygames.games.ghosttown,TheGhostTown,50,CA,2017-05-04
com.pierx.gravija,GravijaSubstratumTheme,51,CA,2017-05-04
com.thunkable.android.penitax.diamond,Diamond,52,CA,2017-05-04
com.TheFrozenMachine.BugsRStupid.Paid,BugsRStupid,53,CA,2017-05-04
com.b16h22.navswag,NavSwagForSubstratum,54,CA,2017-05-04
com.bigfishgames.cspgoogfull,Chimeras:Prophecy(Full),55,CA,2017-05-04
com.the10tons.neonchrome,NeonChrome,56,CA,2017-05-04
com.oceanhouse_media.ocardsbawhispersofganesha_app,WhispersofLordGanesha,57,CA,2017-05-04
com.wonlineTVsk_4779470,ExpertTVSKCZ,58,CA,2017-05-04
com.lge.theme.pixel.ui,PixelUXThemeforLGG6,59,CA,2017-05-04
com.pierx.baterai,BatteryIconModSubstratum,60,CA,2017-05-04
com.isometrix.wpt,Isometrix,61,CA,2017-05-04
com.entusapps.play2,PL@Y2.0-프리미엄티켓북+포토캘린더,62,CA,2017-05-04
mpaso.wmwatch.mpaso_lcd_crt,LCD,63,CA,2017-05-04
com.lucasasselli.zeropro,ZeroPROkey,64,CA,2017-05-04
