app_id,app_name,rank,country_code,date
com.slippy.linerusher,FunRace3D,1,CH,2019-08-04
com.lionstudios.mrbullet,MrBullet-SpyPuzzles,2,CH,2019-08-04
com.cassette.aquapark,aquapark.io,3,CH,2019-08-04
com.shape.change,JellyShift,4,CH,2019-08-04
com.battle.disc,BattleDisc,5,CH,2019-08-04
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),6,CH,2019-08-04
com.mobirix.parkingking,駐車場の王,7,CH,2019-08-04
com.mgc.runnergame,RunRace3D-3D競走,8,CH,2019-08-04
com.playstrom.onpipe,OnPipe,9,CH,2019-08-04
com.playrix.township,タウンシップ(Township),10,CH,2019-08-04
com.train.taxi,TrainTaxi,11,CH,2019-08-04
com.kwalee.gunpuzzle,Shootout3D,12,CH,2019-08-04
com.playrix.homescapes,ホームスケイプ(Homescapes),13,CH,2019-08-04
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),14,CH,2019-08-04
com.moonactive.coinmaster,CoinMaster,15,CH,2019-08-04
com.twentyonestudio.beachclean,BeachClean,16,CH,2019-08-04
com.app.molegolf,BallzCave-穴掘りボールパズルゲーム,17,CH,2019-08-04
com.zplay.idlepress,IdlePress,18,CH,2019-08-04
com.zuuks.bus.simulator.ultimate,BusSimulator:Ultimate,19,CH,2019-08-04
com.hambastudio.linecolor,LineColor3D,20,CH,2019-08-04
com.popcore.wreckingball,WreckingBall,21,CH,2019-08-04
com.fugo.wow,驚異の言葉：語彙をつなぐクロスワード,22,CH,2019-08-04
com.amanotes.beathopper,TilesHop:EDMRush!,23,CH,2019-08-04
com.geishatokyo.trafficrun,TrafficRun!,24,CH,2019-08-04
com.azurgames.stackball,スタックボール-積み上げられた台座を砕いていこう ,25,CH,2019-08-04
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,26,CH,2019-08-04
com.tapped.flipdunk,FlipDunk,27,CH,2019-08-04
com.kiloo.subwaysurf,SubwaySurfers,28,CH,2019-08-04
pampam.ibf2,BottleFlip3D,29,CH,2019-08-04
com.easybrain.sudoku.android,ナンプレ,30,CH,2019-08-04
com.nianticlabs.pokemongo,PokémonGO,31,CH,2019-08-04
com.game5mobile.lineandwater,HappyGlass,32,CH,2019-08-04
com.supercell.brawlstars,ブロスタ,33,CH,2019-08-04
io.voodoo.paper2,Paper.io2,34,CH,2019-08-04
com.fanatee.cody,CodyCross:CrosswordPuzzles,35,CH,2019-08-04
