app_id,app_name,rank,country_code,date
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),1,CH,2019-06-02
com.playrix.homescapes,ホームスケイプ(Homescapes),2,CH,2019-06-02
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),3,CH,2019-06-02
com.king.candycrushsaga,キャンディークラッシュ,4,CH,2019-06-02
com.nianticlabs.pokemongo,PokémonGO,5,CH,2019-06-02
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),6,CH,2019-06-02
com.lilithgame.roc.gp,RiseofKingdoms:LostCrusade,7,CH,2019-06-02
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),8,CH,2019-06-02
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,9,CH,2019-06-02
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,10,CH,2019-06-02
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),11,CH,2019-06-02
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,12,CH,2019-06-02
com.supercell.hayday,ヘイ・デイ(HayDay),13,CH,2019-06-02
com.supercell.brawlstars,ブロスタ,14,CH,2019-06-02
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,15,CH,2019-06-02
com.playrix.township,タウンシップ(Township),16,CH,2019-06-02
com.lilithgame.hgame.gp,AFKArena,17,CH,2019-06-02
com.more.dayzsurvival.gp,ラストシェルター：この国を守り抜く本格SLG、大人のゲーム,18,CH,2019-06-02
com.gramgames.mergedragons,マージドラゴン(MergeDragons!),19,CH,2019-06-02
com.king.candycrushsodasaga,キャンディークラッシュソーダ,20,CH,2019-06-02
com.my.hc.rpg.kingdom.simulator,HustleCastle–アイドルシェルターの英雄,21,CH,2019-06-02
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,22,CH,2019-06-02
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),23,CH,2019-06-02
com.kabam.marvelbattle,MARVELオールスターバトル,24,CH,2019-06-02
com.yottagames.mafiawar,マフィア・シティ-極道風雲,25,CH,2019-06-02
jp.konami.duellinks,遊戯王デュエルリンクス,26,CH,2019-06-02
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,27,CH,2019-06-02
net.peakgames.toonblast,ToonBlast,28,CH,2019-06-02
com.tencent.ig,PUBGMOBILE,29,CH,2019-06-02
com.hcg.cok.gp,クラッシュオブキングス:奇跡降臨,30,CH,2019-06-02
com.namcobandaigames.spmoja010E,ONEPIECETREASURECRUISE,31,CH,2019-06-02
air.com.goodgamestudios.empirefourkingdoms,エンパイア・フォーキングダム(Empire),32,CH,2019-06-02
com.moonactive.coinmaster,CoinMaster,33,CH,2019-06-02
air.com.playtika.slotomania,Slotomania™-FreeSlots英語版,34,CH,2019-06-02
com.plarium.raidlegends,レイドShadowLegends,35,CH,2019-06-02
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,36,CH,2019-06-02
eu.nordeus.topeleven.android,TopElevenファンタジーサッカーマネージャー,37,CH,2019-06-02
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),38,CH,2019-06-02
com.tinyco.potter,ハリー･ポッター:ホグワーツの謎,39,CH,2019-06-02
com.habby.archero,アーチャー伝説,40,CH,2019-06-02
com.huuuge.casino.texas,ビリオネアカジノ™オンラインカジノスロット、世界で1000万人が遊ぶ本格オンラインカジノゲーム,41,CH,2019-06-02
com.ea.gp.fifamobile,FIFAサッカー,42,CH,2019-06-02
com.scopely.startrek,StarTrek™FleetCommand,43,CH,2019-06-02
com.nexters.herowars,HeroWars,44,CH,2019-06-02
com.vizorapps.klondike,KlondikeAdventures(クロンダイクの冒険),45,CH,2019-06-02
com.matchington.mansion,マッチングトン·マンション,46,CH,2019-06-02
com.n3twork.legendary,Legendary:GameofHeroes,47,CH,2019-06-02
com.roblox.client,ROBLOX,48,CH,2019-06-02
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),49,CH,2019-06-02
com.Seriously.BestFiends,BestFiends-無料のパズルゲーム,50,CH,2019-06-02
com.king.farmheroessaga,ファームヒーロー,51,CH,2019-06-02
com.dc.hwsj,GameofSultans,52,CH,2019-06-02
com.rovio.baba,アングリーバード2(AngryBirds2),53,CH,2019-06-02
com.platogo.pmp,Slotpark-OnlineCasinoGames&FreeSlotMachine,54,CH,2019-06-02
com.droidhang.ad,アイデル・ヒーローズ～IdleHeroes～,55,CH,2019-06-02
com.naturalmotion.customstreetracer2,CSRRacing2-リアルタイム‧ドラッグレース,56,CH,2019-06-02
net.peakgames.amy,ToyBlast,57,CH,2019-06-02
com.movga.fleetcommand.gp,FleetCommand–Killenemyship&winLegionWar,58,CH,2019-06-02
com.mobile.legends,モバイル·レジェンド:BangBang,59,CH,2019-06-02
com.pixonic.wwr,WarRobots,60,CH,2019-06-02
com.innogames.foeandroid,ForgeofEmpires,61,CH,2019-06-02
com.bandainamcoent.dblegends_ww,DRAGONBALLLEGENDS,62,CH,2019-06-02
com.playdemic.golf.android,ゴルフクラッシュ,63,CH,2019-06-02
com.pacificinteractive.HouseOfFun,フリー・スロットカジノ-HouseofFun™️ゲーム,64,CH,2019-06-02
com.emagroups.ic2,TalesofWind,65,CH,2019-06-02
com.ea.games.r3_row,RealRacing3,66,CH,2019-06-02
com.netmarble.mherosgb,マーベル・フューチャーファイト,67,CH,2019-06-02
com.ea.game.simcitymobile_row,シムシティ　ビルドイット(SIMCITYBUILDIT),68,CH,2019-06-02
com.funstage.gta,GameTwistCasinoSlotsgames&FreeSlotMachines,69,CH,2019-06-02
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,70,CH,2019-06-02
com.bigfishgames.gummydropgoogle,グミドロップ！-爽快パズルゲーム,71,CH,2019-06-02
com.YoStarEN.AzurLane,AzurLane,72,CH,2019-06-02
net.supertreat.solitaire,Solitaire-GrandHarvest-Tripeaks,73,CH,2019-06-02
zombie.survival.craft.z,地球最後の日：サバイバル,74,CH,2019-06-02
com.king.bubblewitch3,バブルウィッチ3,75,CH,2019-06-02
com.king.candycrush4,キャンディークラッシュフレンズ,76,CH,2019-06-02
com.miniclip.eightballpool,8BallPool,77,CH,2019-06-02
com.joycity.potc,パイレーツ・オブ・カリビアン大海の覇者,78,CH,2019-06-02
com.mojang.minecraftpe,Minecraft,79,CH,2019-06-02
com.nintendo.zaba,ファイアーエムブレムヒーローズ,80,CH,2019-06-02
com.rovio.dream,アングリーバードドリームブラスト,81,CH,2019-06-02
com.mobilewaronline.wwr,ワールドウォーライジング,82,CH,2019-06-02
net.wooga.junes_journey_hidden_object_mystery_game,June'sJourney-HiddenObjects,83,CH,2019-06-02
com.camelgames.superking,ウォー・アンド・オーダー「WarandOrder」,84,CH,2019-06-02
com.aqupepgames.projectpepe,LooneyTunes™ワールド・オブ・メイヘム-アクションRPG,85,CH,2019-06-02
com.ludia.jw2,JurassicWorldアライブ!,86,CH,2019-06-02
com.playtika.wsop.gp,WSOP無料ポーカー(WorldSeriesofPoker),87,CH,2019-06-02
com.tap4fun.seagame.gplay,SeaGame：ティタン級戦艦,88,CH,2019-06-02
com.stove.epic7.google,EpicSeven,89,CH,2019-06-02
com.elex.nikkigp,LoveNikki-DressUPQueen,90,CH,2019-06-02
com.doubleugames.DoubleUCasino,DoubleUCasino-FreeSlots,91,CH,2019-06-02
com.igg.castleclash,CastleClash:BraveSquads,92,CH,2019-06-02
com.king.petrescuesaga,ペットレスキュー,93,CH,2019-06-02
com.playstudios.popslots,POP!Slots－スロット無料カジノ,94,CH,2019-06-02
air.com.sgn.cookiejam.gp,クッキージャム,95,CH,2019-06-02
com.whaleapp.hiddenhotel,HiddenHotel,96,CH,2019-06-02
