app_id,app_name,rank,country_code,date
com.ludia.dragon3,Dragons:TitanUprising,1,CH,2019-02-06
com.panzerdog.tacticool,Tacticool-5対5のシューティングバトル,2,CH,2019-02-06
com.clement.ballmayhem,BallMayhem!,3,CH,2019-02-06
com.mini.craft.minicraft.adventure.apps,Worldbuilding,4,CH,2019-02-06
com.easybrain.chamy,Chamy-数字で塗り絵。数字で色を付ける塗り絵帳,5,CH,2019-02-06
com.junesoftware.maskgun,MaskGun®MultiplayerFPS-無料シューティングゲーム,6,CH,2019-02-06
com.gpp.sushibar,SushiBar,7,CH,2019-02-06
com.matteljv.uno,UNO!™,8,CH,2019-02-06
idle.weedermatch.casualgame,WeederMatch,9,CH,2019-02-06
com.gamehouse.hm4gp,ハートの治療薬―医師の誓い,10,CH,2019-02-06
com.tutotoons.app.babyponysisters.free,BabyPonySisters-VirtualPetCare&HorseNanny,11,CH,2019-02-06
com.alei.oll.ppfcbtvs,CraftingGrind,12,CH,2019-02-06
com.khundar.necropalace,Necropalace,13,CH,2019-02-06
com.tap4fun.seagame.gplay,SeaGame:MegaCarrier,14,CH,2019-02-06
com.alienshooter.galaxy.attack2,GalaxyInvaders:AlienShooter,15,CH,2019-02-06
com.rovio.dream,アングリーバードドリームブラスト,16,CH,2019-02-06
com.two.helix.halloween.superjump,HelixMonsterJump,17,CH,2019-02-06
com.skateboard.skatejam,TonyHawk'sSkateJam,18,CH,2019-02-06
com.yodo1.hanglinerescue,ハング・ライン：ザ・アドベンチャー,19,CH,2019-02-06
com.myapp.sweethouse,SweetHouse,20,CH,2019-02-06
thinkcube.project304,EndlessBalls,21,CH,2019-02-06
com.turner.gumballvipfr,GumballVIPFR,22,CH,2019-02-06
com.ovilex.shipsim2019,ShipSim2019,23,CH,2019-02-06
com.zlongame.un.mhmnz,Langrisser,24,CH,2019-02-06
com.igg.android.mobileroyale,モバイルロワイヤルMMORPG-ファンタジーキングダムのバトル戦略,25,CH,2019-02-06
com.dropdom.blockpuzzle.hwwgame,Dropdom-JewelBlast,26,CH,2019-02-06
com.towermerge.defensearcher,MergeArcher:TowerDefense,27,CH,2019-02-06
com.twoz.hyper.cartoon.merge.car,MergeCar,28,CH,2019-02-06
es.socialpoint.chefparadise,クッキング・タウン(TastyTown),29,CH,2019-02-06
com.tutotoons.app.sweetbabygirlhotelcleanup1.free,SweetBabyGirlHotelCleanup-CrazyCleaningFun,30,CH,2019-02-06
com.gamehouse.fab5,ファビュラス―アンジェラのトゥルー・カラーズ,31,CH,2019-02-06
com.my.space.justice,SpaceJustice–飛行機の宇宙飛行士,32,CH,2019-02-06
com.milliongamesnew.sharksimulator2019,SharkSimulator2019,33,CH,2019-02-06
com.chillyroom.happy,WeHappyRestaurant,34,CH,2019-02-06
com.kidgames.little.dentist,LittleDentist:KidsDentistGame,35,CH,2019-02-06
com.simutronics.b17,SIEGE:WorldWarII,36,CH,2019-02-06
net.isitlove.blueswan,IsitLove?BlueSwanHospital-Chooseyourstory,37,CH,2019-02-06
foxydoll.coloringbook.fun,塗り絵。フォクシー人形,38,CH,2019-02-06
com.gtactiongames.bikevstrain,Bikevs.Train,39,CH,2019-02-06
com.turner.ppgglitchfixers,GlitchFixers-ThePowerpuffGirls,40,CH,2019-02-06
com.kizstudios.rampage,GoBoom!,41,CH,2019-02-06
com.ivy.gems.witch,宝石の魔女,42,CH,2019-02-06
com.herogame.gplay.magicminecraft.mmorpg,Utopia:Origin-PlayinYourWay,43,CH,2019-02-06
com.v3.pingu.merge.plane,PlaneMerger,44,CH,2019-02-06
com.gtarcade.lhjx,RangersofOblivion,45,CH,2019-02-06
com.motionvolt.backflipper,Backflipper,46,CH,2019-02-06
com.milliongames.dinosaurgamessimulator2019,DinosaurGamesSimulator2019,47,CH,2019-02-06
com.ankama.kingcrusher,キング・クラッシャー,48,CH,2019-02-06
com.prison.gansters,GrandCrimeGangster,49,CH,2019-02-06
com.TironiumTech.IdlePlanetMiner,IdlePlanetMiner,50,CH,2019-02-06
com.abi.games.alien.io,Alien.io,51,CH,2019-02-06
com.powergirdcar.diamondLegend.GardenFlower,色とりどりの花は3と一致,52,CH,2019-02-06
de.blueocean.horse.club.pferde.abenteuer.schleich.pferd.reiten.pflegen.spielen,HORSECLUBPferde-Abenteuer,53,CH,2019-02-06
com.football.freegametime,おかしいボール,54,CH,2019-02-06
com.quizapps.millionaire.fr,Millions2019-QuiveutdesmillionsFrançais,55,CH,2019-02-06
slots.pcg.casino.games.free.android,CashFrenzyCasino,56,CH,2019-02-06
com.major.attack,GalaxySquadAttack,57,CH,2019-02-06
com.timuzgames.sniper3d2019,Sniper3D-2019,58,CH,2019-02-06
net.gogame.rainbow,OddbodsTurboRun,59,CH,2019-02-06
com.fullfat.bw,GrassCut,60,CH,2019-02-06
com.rbx.m3.android,ParkTown–Match3Puzzles,61,CH,2019-02-06
com.love.poly.puzzle.game,LovePoly–新機軸パズルゲーム,62,CH,2019-02-06
com.spilgames.uphillrushslidejump.waterslide.park,UphillRush:SlideJump,63,CH,2019-02-06
com.mobge.Oddmar,Oddmar,64,CH,2019-02-06
com.greenbuttongames.parkourrace,ParkourRacePvP,65,CH,2019-02-06
com.kingsgroup.survival,ZoneZ,66,CH,2019-02-06
fi.LinnamaEntertainment.siloairsoft,Silo'sAirsoftRoyale,67,CH,2019-02-06
com.naxeex.wind.hero,WindHero,68,CH,2019-02-06
com.bbtv.cwc,SpyNinjaNetwork-Chad&Vy,69,CH,2019-02-06
business.monopoly.landlord,MonopolyFree,70,CH,2019-02-06
dk.tactile.lilysgarden,リリーのガーデニング大作戦,71,CH,2019-02-06
com.appxplore.thorclicker,Thor:WarofTapnarok,72,CH,2019-02-06
spin.bubble.mega,MegaBubbleSpin,73,CH,2019-02-06
com.naxeex.alien.war.the.last.day,AlienWar:TheLastDay,74,CH,2019-02-06
pop.zodiac,ZodiacPop,75,CH,2019-02-06
com.miniworld.mergecat,MergeCats-CuteIdleGame,76,CH,2019-02-06
com.puzzlesolution.symmetry,DrawingPuzzleSolution-TrainYourBrain,77,CH,2019-02-06
com.timuzgames.mountaincardrive2019,MountainCarDrive2019,78,CH,2019-02-06
com.tastypill.tubespin,TubeSpin,79,CH,2019-02-06
com.azurgames.citygangs,シティギャング:サンアンドレアス,80,CH,2019-02-06
com.pawpatrol.paw.patrol.game,PawPatrolFruitAdventure,81,CH,2019-02-06
com.joycity.gnss,TheWarofGenesis:BattleofAntaria,82,CH,2019-02-06
com.cuteandtinybabygames.cutetinypicnic.free,Cute&TinyPicnic-FunFamilyBBQ&TeaParty,83,CH,2019-02-06
com.kintor.grannymods,GrannyMods-ScaryHouseEscapeHorrorGame,84,CH,2019-02-06
com.ncsoft.aion.legions.of.war,Aion:LegionsofWar,85,CH,2019-02-06
com.milliongamesnew.deerhunting2019,DeerHunting2019,86,CH,2019-02-06
