app_id,app_name,rank,country_code,date
com.playsportgames.mmm2017,MotorsportManagerMobile2,1,CH,2017-09-01
com.hs.jigsaw.puzzles.cartoon.free,JigsawPazlesforKids-3,2,CH,2017-09-01
air.com.davestudio.conglobalgold,悪夢の城GOLD,3,CH,2017-09-01
mytown.pets,MyTown:ペット,4,CH,2017-09-01
com.nekki.shadowfight2.paid,ShadowFight2SpecialEdition,5,CH,2017-09-01
com.istellostudiopgs.lastdays,LastDays,6,CH,2017-09-01
com.agaming.survive.tll,Survive:TheLostLands,7,CH,2017-09-01
com.pocket.digitalproz,FidgetBeatsPro.,8,CH,2017-09-01
com.mtvn.ShimmerShineGenie_google,ShimmerandShine:MagicalGenieGamesforKids,9,CH,2017-09-01
com.bluebraingames.thehouseofdavinci,TheHouseofDaVinci,10,CH,2017-09-01
lom.kaimagazine.second,LifeonMarsRemake,11,CH,2017-09-01
com.noodlecake.framed2,FRAMED2,12,CH,2017-09-01
com.artifexmundi.tinytales.gp.full,タイニーテールズ:森の奥の秘密(Full),13,CH,2017-09-01
com.taojin.dungeonsurvivor1,ダンジョンのサバイバー,14,CH,2017-09-01
com.katsu.doomwheel,Doomwheel,15,CH,2017-09-01
jp.konami.mgs2hd.shield,METALGEARSOLID2HDforSHIELD,16,CH,2017-09-01
com.StrongUnion.SimulatorPro,AmazingTaxiSim2017Pro,17,CH,2017-09-01
au.com.quadropoly.quadropoly,Quadropoly,18,CH,2017-09-01
com.xd.gemini.google,Gemini,19,CH,2017-09-01
net.fowers.BurgleBros,BurgleBros,20,CH,2017-09-01
com.daylightstudios.hpawsmob,HolyPotatoes!AWeaponShop?!,21,CH,2017-09-01
air.aki.sheep,용님과희생양,22,CH,2017-09-01
jp.co.taito.puzzlebobblepremium,PUZZLEBOBBLEJOURNEY,23,CH,2017-09-01
com.Tammeka.RadialG,Radial-G:RacingRevolved,24,CH,2017-09-01
com.cig.homebehind,HomeBehind,25,CH,2017-09-01
com.doragongames.danmakuunlimited3,DanmakuUnlimited3,26,CH,2017-09-01
com.CactusGames.BCLPro,BigCityLife:SimulatorPro,27,CH,2017-09-01
com.swipestudios.swipemanagersoccer2,SwipeManager:Soccer,28,CH,2017-09-01
com.fivebn.daf2.full,ダークネス・アンド・フレイム2(full),29,CH,2017-09-01
com.handelabra.Bot9,Bottomofthe9th,30,CH,2017-09-01
com.cloudworth.leningrad,DrivetoLeningrad1941,31,CH,2017-09-01
jp.co.taito.raycrisis,レイクライシス,32,CH,2017-09-01
com.projectthegame.TheFarFrontier,TheFarFrontier-match3andstrategygame,33,CH,2017-09-01
com.liquidator.ruaz404,Liquidator,34,CH,2017-09-01
com.alexanderbukharev.parkourflight,ParkourFlight,35,CH,2017-09-01
com.andiks.deathpoint,"DeathPoint:3DSpyTop-DownShooter,StealthGame",36,CH,2017-09-01
com.gameplandev.homf.prem,HeroesofMagicForest,37,CH,2017-09-01
air.com.flipline.papaspizzeriahd,Papa'sPizzeriaHD,38,CH,2017-09-01
com.kemonomahjong.app,ケモノ麻雀,39,CH,2017-09-01
com.LyorahStudios.TGWSTW,TheGirlWhoSoldtheWorld-AMysteryAdventure,40,CH,2017-09-01
com.appsolutegames.akkariquiz,AkkariPokerQuiz,41,CH,2017-09-01
com.luckyhammers.zombieinvasion.vr,SourPatchKids:ZombieInvasion,42,CH,2017-09-01
hu.redshift.thequestexp4,TheQuest-CelticRift,43,CH,2017-09-01
com.bbc.andysdinosaursadventures,Andy'sDinosaurAdventures:TheGreatFossilHunt,44,CH,2017-09-01
com.WaveLightGames.StrikeTeamHydra,StrikeTeamHydra,45,CH,2017-09-01
com.eightsec.TimeCrashAndroid,TimeCrash,46,CH,2017-09-01
com.hexwar.acwgettysburg,CivilWar:Gettysburg,47,CH,2017-09-01
com.raultruji3d.barcovikingo,VikingShip-BestRideSimulators,48,CH,2017-09-01
com.mages.psychopassgame,PSYCHO-PASSサイコパス選択なき幸福,49,CH,2017-09-01
com.tivola.pethotel.full,PetHotelPremium,50,CH,2017-09-01
com.spritebox.coding,SpriteBoxCoding,51,CH,2017-09-01
com.Ants.SightLess,SightLess,52,CH,2017-09-01
com.kpixgames.PathPixEdge,PathPixEdge,53,CH,2017-09-01
org.faudroids.werewolf.pro,WerewolfPro,54,CH,2017-09-01
com.bbc.heyduggeejigsaws,HeyDuggeeJigsaws,55,CH,2017-09-01
com.hexwar.holdtheline,HoldtheLine:TheAmericanRevolution,56,CH,2017-09-01
com.Phoenix.PitircanUzunYolda,PıtırcanUzunYolda,57,CH,2017-09-01
de.bunnyloeweworld.zargoacronos,ZargoaLoveStories:Cronos,58,CH,2017-09-01
com.argaming.myuncrblack,UncrowdedBlackEdition,59,CH,2017-09-01
air.com.genpsoft.lurs,Lurs-Abenteuer,60,CH,2017-09-01
com.rbhasha.rbhindi,RBhashaHindi,61,CH,2017-09-01
com.Malander.mws,iWannaSavetheFox,62,CH,2017-09-01
com.mekagames.pharabis,PhaRaBis,63,CH,2017-09-01
com.WZOGI.LittleRedLie,LittleRedLie,64,CH,2017-09-01
au.com.quadropoly.monopoly,QuadropolyPro,65,CH,2017-09-01
com.pixnbgames.rainbow.diamonds,RainbowDiamonds,66,CH,2017-09-01
com.mbgs.diamondspinner,TheMostExpensiveFidgetSpinner(100%Diamond)💲,67,CH,2017-09-01
com.games3ctechies.thelie1,TheLie-CottageOfSecrets,68,CH,2017-09-01
com.guruarcade.truewishes,TrueWishes,69,CH,2017-09-01
com.lozangelab.swimout.googleplay,SwimOut,70,CH,2017-09-01
com.WZOGI.ActualSunlight,ActualSunlight,71,CH,2017-09-01
com.artifexmundi.persiannights.gp.full,ペルシアの夜:不思議な砂漠(Full),72,CH,2017-09-01
com.lavarockgamelabs.WingsOfPythagorum,WingsofPythagorum,73,CH,2017-09-01
com.aPuzzleOfFlesh.EscapeFromTheDark_Redux,EscapeFromTheDarkredux,74,CH,2017-09-01
com.evilrobotempire.oraclefalls,OracleFalls,75,CH,2017-09-01
cz.rdq.rogobo.pro,Rogobopro,76,CH,2017-09-01
lsj.nakrang.com,"낙랑,파도가치는고성",77,CH,2017-09-01
com.toowoo.exploreparis,ExploreParis,78,CH,2017-09-01
com.a4gro.allmariamgame,AllGameSessionComplete,79,CH,2017-09-01
com.boomzap.inc.rescuequestgold.android.gplay,RescueQuestGold,80,CH,2017-09-01
ru.podhod.vampire,Vampire'sGoldLogicPuzzle,81,CH,2017-09-01
com.genetix.summerbreak_deluxe,CollegeDays-SummerBreakDeluxeEdition,82,CH,2017-09-01
com.dancingpinecone.daydream.DriftRacerVR,DriftRacerVR,83,CH,2017-09-01
com.vird.zombieelevator.daydream,ゾンビエレベーター,84,CH,2017-09-01
com.wilawara.exam405p,405ExamPremium,85,CH,2017-09-01
com.bytemotiv.minipoker,Thirty-One,86,CH,2017-09-01
com.thqnordic.puzzlepests,PuzzlePests,87,CH,2017-09-01
com.Tamaloft.Alpha,EnglishEscape,88,CH,2017-09-01
com.randrdigital.cyboid,Cyboid,89,CH,2017-09-01
com.atlatl.onyxquest,Onyx:QuestfortheMidnightStone,90,CH,2017-09-01
com.fiveminlab.toyclash.daydream,ToyClash,91,CH,2017-09-01
com.the.geologist.game.pro,TheGeologist,92,CH,2017-09-01
com.rainingblobs.rainingblobs,RainingBlobs,93,CH,2017-09-01
com.jabatoba.everestattack2,MountEverestStory,94,CH,2017-09-01
com.ghouri.lalaw,MissionKingdom,95,CH,2017-09-01
com.Mokey_CampApp.RoSkyEvolutionNoFree,RoSky-Evolution,96,CH,2017-09-01
com.cizgiofisi.ElifErkan,Elif&Erkan,97,CH,2017-09-01
com.hollowhead.cub3r,Cub3r,98,CH,2017-09-01
com.thetisgames.googleplay.simcopter.paid,SimCopterHelicopterSimulatorHD,99,CH,2017-09-01
com.hexwar.canada1812,1812:TheInvasionofCanada,100,CH,2017-09-01
com.freerangegames.jenga,JengaAR,101,CH,2017-09-01
com.Digigo.RangiDayDream,Rangi,102,CH,2017-09-01
com.puzzleclown.rollipop,落ちるボール-あなたの知性を養うゲーム,103,CH,2017-09-01
de.westermann.WeltDerZahlUhrzeit,WeltderZahl–Uhrzeit,104,CH,2017-09-01
com.pessoal.piratesecretcode,PirateSecretCode,105,CH,2017-09-01
com.snstu.bilgiyarismasigenelkulturpro,GenelKültürBilgiYarışmasıPRO,106,CH,2017-09-01
air.com.classicalwhole.CT,ColorTrap,107,CH,2017-09-01
google.paid.skatergirl.peachygamesllc,SkaterGirl,108,CH,2017-09-01
com.Vvictorstudios.Lineclimb,LineClimb-Noads,109,CH,2017-09-01
com.winningbettingtipsvip,ProfessionalBettingTipsVIP,110,CH,2017-09-01
com.thomasyoung.fowlst,Fowlst,111,CH,2017-09-01
com.drunk.chip.robotics.beachdrive,ビーチドライブ,112,CH,2017-09-01
com.downsideupgames.crystalcaves,HenryandtheCrystalCaves,113,CH,2017-09-01
com.HomeNetGames.VRProjectCharon,ProjectCharon:SpaceFighterVR,114,CH,2017-09-01
thrishulgames.Minieens,Minieens,115,CH,2017-09-01
com.dnastudio.puzzledogfull,PuzzleDog狗狗拼圖,116,CH,2017-09-01
au.com.nbshreddersurfjam,ShredderSurfJam,117,CH,2017-09-01
com.wclueker_5553074,clucker,118,CH,2017-09-01
appinventor.ai_emily2541.KidsColoring4In1,KidsColoring4-In-1,119,CH,2017-09-01
org.greyolltwit.gonine,GONine,120,CH,2017-09-01
com.giw_alvarok,ALVAROK（アルヴァロク）,121,CH,2017-09-01
it.dtales.sbkvrdaydream,SBKVR,122,CH,2017-09-01
com.AbstractGarden.SuperBreakout,SuperBlockbreak3D,123,CH,2017-09-01
com.minzaogames.xipooh,Xipooh,124,CH,2017-09-01
com.umisoft.cranesimulator,クレーンシミュレータの3Dプロ,125,CH,2017-09-01
com.slemanfootball.falcaotujubelasan,FalcaoTujubelasan,126,CH,2017-09-01
ebbswdev.nekadarbiliyorsunpro,KralBilgiYarışmasıPRO,127,CH,2017-09-01
com.FatBread.Disconcerted,Disconcerted,128,CH,2017-09-01
com.first.defenseofroman1,DefenseofRomanBritainPremium:TowerDefense,129,CH,2017-09-01
com.keehanroberts.mineupgradedeluxe,MineUpgradeDeluxe,130,CH,2017-09-01
com.goku.saiyan.battle,GokuSaiyanBattle2017,131,CH,2017-09-01
com.aieltd.fireman,AIEFireManMania,132,CH,2017-09-01
no.bliskipper.bliskipperbfpr,BliSkipper-Båtførerprøven,133,CH,2017-09-01
com.jpalaciosdev.dumbyard,DumbYard,134,CH,2017-09-01
com.jmiro.korea.premium.relayi,韓国しりとり(Premium),135,CH,2017-09-01
com.Click.TheBronzeDaydream,TheBronze,136,CH,2017-09-01
com.pixelenvision.noded,noded,137,CH,2017-09-01
org.walawala.part15360f,5360F-Part1,138,CH,2017-09-01
com.eivaagames.PoolBilliards3D,PoolBilliards3D,139,CH,2017-09-01
com.gooberApps.TappyFidget,TappyFidget-SpinnyFidget,140,CH,2017-09-01
cz.techsophia.mathtraining.linknodes,Matemág:Spojovačky,141,CH,2017-09-01
com.clevyrlabs.elementalcodes,ElementalOrderforMergeCube,142,CH,2017-09-01
com.cestrian.clickittycat,ClickittyCat,143,CH,2017-09-01
com.WillyInc.BotonVerde,ElBotónVerde:Ypasaesto!,144,CH,2017-09-01
kr.co.binarytools.akashicportal1,AkashicPortal,145,CH,2017-09-01
com.extremeintelligence.full,ExtremeIntelligence-SevenPlanets,146,CH,2017-09-01
com.zgames.tlup,TheLittleUnknown(FullVersion),147,CH,2017-09-01
com.bratley.david.a,BabyGoatsShootingGallery,148,CH,2017-09-01
pl.game.ArturG,TanksTanksWar,149,CH,2017-09-01
com.AvanArtworks.Kunta,Kunta,150,CH,2017-09-01
com.ByeWorld.escapefromwitmarsum,EscapefromWitmarsum(広告なし),151,CH,2017-09-01
com.BlissGames.RescuteAnimalsVol1,RescuteAnimalsVol.1:PetsWorld,152,CH,2017-09-01
com.tutotoons.app.pandalubabybearcare.full,PandaLuBabyBearCareFULL,153,CH,2017-09-01
ua.com.olga110183.shapes01,Малювашка.Геометричніфігури,154,CH,2017-09-01
org.swappt.blipapppaid,Blip(NoAdsEdition),155,CH,2017-09-01
air.com.ucnovel.appbook.fairypeak2,페어리피크-Ep2.실라편,156,CH,2017-09-01
com.petraapps.octalgame.pro,OctalBinaryFunPro,157,CH,2017-09-01
com.downsideupgames.chuckieeggchallenges,ChuckieEgg2017Challenges,158,CH,2017-09-01
com.frostcell.kivelinge.android,Procivibusetcivitate,159,CH,2017-09-01
com.aweicher.bingo,BingoManager,160,CH,2017-09-01
com.tambucho.fsVfrMap,FsVfrMapPro,161,CH,2017-09-01
br.com.vrmonkey.rabbitholefull,TheRabbitHole-EscapetheRoom,162,CH,2017-09-01
de.josef_kunz_software.virtuball,VirtuBall,163,CH,2017-09-01
com.durular.memorygamefour,THREESTONESGAME,164,CH,2017-09-01
com.FinityGames.AtTheVoicesEnd,AtTheVoices'End,165,CH,2017-09-01
com.MoJo.PlantMaker,플랜트메이커,166,CH,2017-09-01
com.simonetobia.labiball.kids,LabiBallKIDS,167,CH,2017-09-01
com.kacsigugu.rankgame,Rank,168,CH,2017-09-01
danker.mememr.final.ward,MoonAbsorb,169,CH,2017-09-01
air.com.bellgames.balljour,BallJour,170,CH,2017-09-01
com.upspin.orbital_ordnance,OrbitalOrdnance,171,CH,2017-09-01
com.EberSaenz.CrystalParadox0,CrystalParadox,172,CH,2017-09-01
com.paradigmsoftware.solid4moku,天空の立体４目並べ,173,CH,2017-09-01
com.ssa90.mtgbuddy,MTGBuddy,174,CH,2017-09-01
com.games.mbabadi.samplegamesproject,UltimateChallengeGames,175,CH,2017-09-01
com.playperfectllc.playperfectvpproplus,PlayPerfectVideoPokerPro+,176,CH,2017-09-01
com.sixbynine.skyscrapers.paid,SkyscrapersPuzzlePremium,177,CH,2017-09-01
com.msedutainment.www.pokeraidassistant,ThePokeRaidAssistant-pro,178,CH,2017-09-01
com.cityela22.piyanochash,ピアノ,179,CH,2017-09-01
com.bignose.playbilling,DrivingCar,180,CH,2017-09-01
com.wbilbakalm_5527684,bilbakalım,181,CH,2017-09-01
com.github.sasd97,Mathium,182,CH,2017-09-01
com.SoloDev.Maybe,Maybe,183,CH,2017-09-01
com.Team21.FatFoods,FatFoods:TruckCity,184,CH,2017-09-01
com.tutotoons.app.babyanimalhairsalon3.full,BabyAnimalHairSalon3FULL,185,CH,2017-09-01
com.precisit.custodiansofspace,CustodiansofSpace,186,CH,2017-09-01
com.sudoku.daykan.elite,SudokuGameElite(NoAds),187,CH,2017-09-01
