app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,1,CH,2017-01-21
se.feomedia.quizkampen.de.premium,QuizduellPREMIUM,2,CH,2017-01-21
com.robtopx.geometryjump,GeometryDash,3,CH,2017-01-21
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,4,CH,2017-01-21
com.giantssoftware.fs16,FarmingSimulator16,5,CH,2017-01-21
com.sunnysidegames.towaga,Towaga,6,CH,2017-01-21
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,7,CH,2017-01-21
com.atari.mobile.rctc,RollerCoasterTycoon®Classic,8,CH,2017-01-21
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,9,CH,2017-01-21
com.gameloft.android.ANMP.GloftWBHM,ワイルドブラッド,10,CH,2017-01-21
com.ninjakiwi.bloonstd5,BloonsTD5,11,CH,2017-01-21
com.ustwo.monumentvalley,モニュメントバレー,12,CH,2017-01-21
com.squareenixmontreal.hitmansniperandroid,HitmanSniper,13,CH,2017-01-21
com.wb.goog.legohp1,LEGOHarryPotter:Years1-4,14,CH,2017-01-21
com.mageeks.android.constructionsim17,ConstructionSimulatorPRO17,15,CH,2017-01-21
ch.sweetware.swissjass,SwissJassPro,16,CH,2017-01-21
com.threeminutegames.lifelinewhiteoutgoog,Lifeline:ホワイトアウト,17,CH,2017-01-21
com.astragon.cs2014,コンストラクションシミュレーター2014,18,CH,2017-01-21
com.FireproofStudios.TheRoom,TheRoom,19,CH,2017-01-21
com.GameCoaster.ProtectDungeon,ダンジョン守る,20,CH,2017-01-21
amanita_design.samorost3.GP,Samorost3（サモロスト3）,21,CH,2017-01-21
com.pockettrend.neomonsters,ネオモンスターズ,22,CH,2017-01-21
com.sigames.fmm2017,『FootballManagerMobile2017』,23,CH,2017-01-21
com.squareenixmontreal.lcgo,LaraCroftGO,24,CH,2017-01-21
com.eamobile.monopoly_row_wf,MONOPOLYGame,25,CH,2017-01-21
com.squareenixmontreal.hitmango,HitmanGO,26,CH,2017-01-21
com.astragon.trucksim,TruckSimulation16,27,CH,2017-01-21
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,28,CH,2017-01-21
com.devolver.reigns,Reigns,29,CH,2017-01-21
nz.co.codepoint.minimetro,MiniMetro,30,CH,2017-01-21
se.feomedia.quizkampen.fr.premium,DuelQuizPREMIUM,31,CH,2017-01-21
com.trueaxis.trueskate,TrueSkate,32,CH,2017-01-21
com.headupgames.bridgeconstructor,ブリッジコンストラクタ,33,CH,2017-01-21
com.rockstargames.bully,Bully:AnniversaryEdition,34,CH,2017-01-21
com.FireproofStudios.TheRoom3,TheRoomThree,35,CH,2017-01-21
com.coffeestainstudios.goatsimulator,GoatSimulator,36,CH,2017-01-21
com.threeminutegames.lifeline.google,Lifeline,37,CH,2017-01-21
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,38,CH,2017-01-21
com.and.games505.TerrariaPaid,Terraria.,39,CH,2017-01-21
com.exozet.android.catan,Catan-カタン,40,CH,2017-01-21
com.aspyr.swkotor,StarWars™:KOTOR,41,CH,2017-01-21
com.klett.blitzrechnen.eins,Blitzrechnen1.Klasse,42,CH,2017-01-21
com.disney.WMW,スワンピーのお風呂パニック！,43,CH,2017-01-21
me.dreamsky.leagueofstickmanzombie,ZombieAvengers:StickmanWarZ,44,CH,2017-01-21
com.fds.infiniteflight,InfiniteFlightSimulator,45,CH,2017-01-21
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,46,CH,2017-01-21
com.aerofly.aerofly2android,Aerofly2FlightSimulator,47,CH,2017-01-21
com.game.motorsportmanager,MotorsportManager,48,CH,2017-01-21
com.hg.townsmen7,TownsmenPremium,49,CH,2017-01-21
com.FireproofStudios.TheRoom2,TheRoomTwo,50,CH,2017-01-21
com.worms3.app,Worms3,51,CH,2017-01-21
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,52,CH,2017-01-21
com.Doyodo.Moorhuhn,MoorhuhnDeluxe-CrazyChicken,53,CH,2017-01-21
com.exozet.game.carcassonne,Carcassonne[カルカソンヌ],54,CH,2017-01-21
com.asmodeedigital.mysterium,Mysterium:TheBoardGame,55,CH,2017-01-21
