app_id,app_name,rank,country_code,date
com.tinder,Tinder,1,CH,2019-01-30
com.king.candycrushsaga,キャンディークラッシュ,2,CH,2019-01-30
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,3,CH,2019-01-30
com.supercell.brawlstars,ブロスタ,4,CH,2019-01-30
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),5,CH,2019-01-30
com.nianticlabs.pokemongo,PokémonGO,6,CH,2019-01-30
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,7,CH,2019-01-30
com.netflix.mediaclient,Netflix,8,CH,2019-01-30
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),9,CH,2019-01-30
com.supercell.hayday,ヘイ・デイ(HayDay),10,CH,2019-01-30
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),11,CH,2019-01-30
com.playrix.homescapes,ホームスケイプ(Homescapes),12,CH,2019-01-30
net.lovoo.android,LOVOO®-LiveVideoChat,13,CH,2019-01-30
com.google.android.apps.subscriptions.red,GoogleOne,14,CH,2019-01-30
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),15,CH,2019-01-30
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,16,CH,2019-01-30
com.king.candycrushsodasaga,キャンディークラッシュソーダ,17,CH,2019-01-30
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,18,CH,2019-01-30
com.yottagames.mafiawar,マフィア・シティ-極道風雲,19,CH,2019-01-30
com.ea.gp.fifamobile,FIFAサッカー,20,CH,2019-01-30
com.more.dayzsurvival.gp,ラストシェルター：この国を守り抜く本格SLG、大人のゲーム,21,CH,2019-01-30
com.lilithgame.roc.gp,RiseofCivilizations,22,CH,2019-01-30
air.com.goodgamestudios.empirefourkingdoms,エンパイア・フォーキングダム(Empire),23,CH,2019-01-30
com.huuuge.casino.slots,Huuugeカジノ™オンラインスロット、世界で1000万人が遊ぶラスベガスSlotsとカジノゲーム,24,CH,2019-01-30
net.peakgames.toonblast,ToonBlast,25,CH,2019-01-30
com.boranuonline.idates,"iDates-Chats,Flirts,Dating,Love&Relations",26,CH,2019-01-30
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),27,CH,2019-01-30
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),28,CH,2019-01-30
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),29,CH,2019-01-30
com.bandainamcoent.dblegends_ww,DRAGONBALLLEGENDS,30,CH,2019-01-30
com.hcg.cok.gp,クラッシュオブキングス:奇跡降臨,31,CH,2019-01-30
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,32,CH,2019-01-30
com.droidhang.ad,アイデル・ヒーローズ～IdleHeroes～,33,CH,2019-01-30
com.vizorapps.klondike,KlondikeAdventures(クロンダイクの冒険),34,CH,2019-01-30
com.playrix.township,タウンシップ(Township),35,CH,2019-01-30
com.azarlive.android,Azar-ビデオチャット、友達検索,36,CH,2019-01-30
com.zynga.livepoker,Zyngaポーカー,37,CH,2019-01-30
com.gramgames.mergedragons,マージドラゴン(MergeDragons!),38,CH,2019-01-30
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,39,CH,2019-01-30
com.my.hc.rpg.kingdom.simulator,HustleCastle–アイドルシェルターの英雄,40,CH,2019-01-30
com.n3twork.legendary,Legendary:GameofHeroes,41,CH,2019-01-30
com.innogames.foeandroid,ForgeofEmpires,42,CH,2019-01-30
com.matchington.mansion,マッチングトン·マンション,43,CH,2019-01-30
