app_id,app_name,rank,country_code,date
com.robtopx.geometrydashworld,GeometryDashWorld,1,CH,2017-01-09
com.hutchgames.hotwheels,HotWheels:RaceOff,2,CH,2017-01-09
lagamerie.nope,NopeQuiz,3,CH,2017-01-09
com.fly.boost.clean,FlyBoost(Clean&CoolDown),4,CH,2017-01-09
com.meteoblue.droid,meteoblue,5,CH,2017-01-09
com.tabtale.kitchenkids,キッズシェフ-おいしい料理を作ろう,6,CH,2017-01-09
com.pms.pixelmonshooter,PixelmonShooting-オンライン版,7,CH,2017-01-09
air.com.gamebrain.hocus,hocus.,8,CH,2017-01-09
com.luckykat.grumpycat,グランピー・キャットの最悪のゲーム,9,CH,2017-01-09
com.cocoplay.cocofitness,フィットネスガール-ダンス＆プレイ,10,CH,2017-01-09
ch.sbb.reiseplaner,SBBReiseplanerPreview,11,CH,2017-01-09
com.gonzossm.sttt,SuрerTossTheTurtle,12,CH,2017-01-09
com.foxygames.flyingcarrobotsim,FlyingCarRobotSimulator,13,CH,2017-01-09
com.budgestudios.googleplay.ThomasAndFriendsMagicalTracks,Thomas&Friends:MagicTracks,14,CH,2017-01-09
com.onetongames.realbattlesimulator,RealBattleSimulator,15,CH,2017-01-09
com.appswithlove.eventapp.fisadelboden,SkiWorldCupAdelboden,16,CH,2017-01-09
com.igames.trainsimulatorgame,TrainSimulator2017,17,CH,2017-01-09
com.bearhugmedia.android_candymirror,CandyMirror!FantasyMakeover,18,CH,2017-01-09
com.pdr.android,Rapunchline,19,CH,2017-01-09
com.kidsmediainc.android_shoppingmalladventure,CrazyShoppingMallAdventure,20,CH,2017-01-09
com.djinnworks.sbj2,StickmanBaseJumper2,21,CH,2017-01-09
com.rovio.blast,アングリーバードブラスト,22,CH,2017-01-09
com.amazing.rollingball,ローリングボール-RollingBall,23,CH,2017-01-09
com.bestsimgames.SDFB,スパイダーヒーロー最後の戦い,24,CH,2017-01-09
com.benkregal.chestsimulator,宝箱シミュレーター,25,CH,2017-01-09
ch.fahrlehrer24.signal,VerkehrszeichenSchweiz,26,CH,2017-01-09
com.polypandas.blastblitz,BlastBlitz,27,CH,2017-01-09
net.devmasters.mario.run.royale,YourSuperMarioRunGuide,28,CH,2017-01-09
com.media5.FreeKickFootball,FreeKickFootballСhampion,29,CH,2017-01-09
com.tinytitanstudios.TrainChu,TinyRails,30,CH,2017-01-09
com.outplayentertainment.castlecreepstd,CastleCreepsTD,31,CH,2017-01-09
mobi.supo.optimizer,SUPOOptimizer-booster&cleaner,32,CH,2017-01-09
com.buildingcraftinggames.my.virtual.boyfriend.maker.princess.girls.craft.minecraft.pocket.edition.first.love.simulator.games,私のボーイフレンド：シミュレータ,33,CH,2017-01-09
com.FDGEntertainment.Oceanhorn.gp,オーシャンホーン-未知の海にひそむかい物,34,CH,2017-01-09
com.wMusicallyVideoclip_4124313,Musically.Videoclip,35,CH,2017-01-09
com.milux.callfromsanta,CallfromSantaPrank,36,CH,2017-01-09
com.farski.mech,SkillMechanic,37,CH,2017-01-09
com.psvn.traumatologist,緊急病院：キッズドクター,38,CH,2017-01-09
com.cocoplay.erpetvet,ドクターふわふわの動物病院,39,CH,2017-01-09
com.tutotoons.app.sweetbabygirlpopstars.free,SweetBabyGirlPopStars,40,CH,2017-01-09
com.tp.android.trumphairsalon,トランプのヘアサロン-大統領シェイプ,41,CH,2017-01-09
com.amazon.avod.thirdpartyclient,Amazonプライム・ビデオ,42,CH,2017-01-09
com.tutotoons.app.babyanimalhairsalon2.free,BabyAnimalHairSalon2,43,CH,2017-01-09
com.cmcm.arrowio,Arrow.io(beta),44,CH,2017-01-09
com.zerofour.turboleague,ターボリーグ,45,CH,2017-01-09
com.ms.lightfut17vr,newFUT17draftsimulator,46,CH,2017-01-09
com.bearhugmedia.android_loveletterdiary,SecretLoveDiary!StoryGames,47,CH,2017-01-09
fr.interactivtoolbox.lgq2,GrandQuizRTS2,48,CH,2017-01-09
com.istomgames.cars,32secs,49,CH,2017-01-09
com.shadow.amazing.spiderman.adventures.tips,TipsTheAmazingSpider-man2,50,CH,2017-01-09
com.aggames.aventador,AventadorSimulator,51,CH,2017-01-09
com.level9.secretagent.mafia.crime.escape,秘密のマフィア刑事逃亡,52,CH,2017-01-09
com.bpmobile.iscanner.free,iScanner-スキャナー無料PDF,53,CH,2017-01-09
com.zuuks.truck.simulator17,TruckSimulator2017,54,CH,2017-01-09
tipssupermariorun.newfreetipsmario,GuideOFSuperMarioRunHD,55,CH,2017-01-09
com.ggs.limo.transformer.robot,リモトランスフォーマーロボット,56,CH,2017-01-09
com.cognitup.judge,YouJudge,57,CH,2017-01-09
com.cg.bulkmachinesupriseeggs,バルクマシンサプライズエッグ,58,CH,2017-01-09
com.lovemesounds.BIML,バット不滅レジェンド,59,CH,2017-01-09
com.mokvold.flatzombies_defense_free,FlatZombies:Defense.Free,60,CH,2017-01-09
com.thinksimple.faridbangsoundboard,FaridBangSoundboard,61,CH,2017-01-09
com.iapps.raft,RAFT-TryToSurvive,62,CH,2017-01-09
air.com.qublix.bubblerescue,ForestRescue:BubblePop,63,CH,2017-01-09
com.jb.zcamera.extra.sticker.free.beard,(FREE)ZCAMERABEARDSTICKER,64,CH,2017-01-09
com.buildingcraftinggames.girls.craft.monster.high.school.story.minecraft.barbie.princess.creative.boyfriend.fashion.doll,高等学校：ビルド＆作成,65,CH,2017-01-09
