app_id,app_name,rank,country_code,date
com.combat.strikepro,CombatStrikePRO:FPSOnlineGunShootingGames,1,CH,2019-05-13
com.Amazing.Billard.Pool.Pro,AmazingPoolBilliards2019,2,CH,2019-05-13
com.Real.Taxi.Simulator,RealTaxiSimulator2020,3,CH,2019-05-13
xaero.rotatenjump,PuzzleNinjaStar,4,CH,2019-05-13
com.design.smoon,SmoonUI-RoundedIconPack,5,CH,2019-05-13
air.wheresmonster2019,Where'sMyMonster?,6,CH,2019-05-13
com.Maysara.DirilisErtugrul,DirilisErtugrul,7,CH,2019-05-13
com.asmodeedigital.zombicidev2,Zombicide:Tactics&Shotguns,8,CH,2019-05-13
air.dog.wfox2,당신을기다리는여우花,9,CH,2019-05-13
com.yesgnome.kingsmangame,Kingsman-TheSecretServiceGame,10,CH,2019-05-13
mycity.babysitter,MyCity:Babysitter,11,CH,2019-05-13
com.or.boost.free,Boostforfree🔥,12,CH,2019-05-13
com.mobileapps.atadovizim,AtaDövizim,13,CH,2019-05-13
com.templegatesgames.ShardsAndroid,ShardsofInfinity,14,CH,2019-05-13
com.zlcodes.gcmbh,QuestõesdaGuardaMunicipalBH,15,CH,2019-05-13
app.medlearn.cma,CMA|ClinicalMedicalAssistant,16,CH,2019-05-13
com.the10tons.teslavslovecraft,テスラvs.ラブクラフト,17,CH,2019-05-13
app.turnario.com,Turnario-Turnosdetrabajo,18,CH,2019-05-13
br.com.littlegiantstudio.projetoauthentic,AuthenticGamesOficial,19,CH,2019-05-13
com.hg.spellforce,SpellForce:ヒーローと魔法,20,CH,2019-05-13
com.ivnkhr.river,River,21,CH,2019-05-13
com.blackbag.doordefense,ドアディフェンス,22,CH,2019-05-13
com.dateu.fchatnet,DateU-The#1OnlineDatingApp(Beta),23,CH,2019-05-13
com.grill.psjoy,PSJoy:PCRemotePlaySpyforPS4,24,CH,2019-05-13
com.wJigoloArayanBayanlar_8927327,JigoloArayanBayanlar,25,CH,2019-05-13
com.sagosago.Town2.googleplay,サゴミニビレッジ,26,CH,2019-05-13
com.artifexmundi.mybrotherrabbit.gp,MyBrotherRabbit,27,CH,2019-05-13
com.superking.ludo.starr,‫لودوستارالقديمة‬‎,28,CH,2019-05-13
com.tokoronyori.goodbye,おわかれのほし,29,CH,2019-05-13
com.gamebooster.booster4x.gamebooster4x,GameBooster4x(NEW)Faster,30,CH,2019-05-13
air.diehipsterdie,DieHipster—PreparetoDieEdition,31,CH,2019-05-13
com.motion.Coffeewallpapers,CoffeeWallpapers4KPROCoffeeBackgrounds,32,CH,2019-05-13
com.rawfury.woam,WhispersofaMachine,33,CH,2019-05-13
com.Imagawa.Forest,もりづくり-子ども向けトイアプリ-,34,CH,2019-05-13
com.bilingirl.helpmetravel,旅行英会話-HelpmeTravel,35,CH,2019-05-13
com.paolofurlan.proxx,Proxx-aminimalminesweeper,36,CH,2019-05-13
com.tabatasongs.tabataapp,TabataSongsApp-TabataWorkoutMusic&Timer,37,CH,2019-05-13
com.androidpods.airpods,Arpods-AirpodsforAndroid(1stGen),38,CH,2019-05-13
com.marvel.stickers.avengersendgame_goo,Avengers:EndgameStickers,39,CH,2019-05-13
com.pavelrekun.skit.premium,SkitPremium,40,CH,2019-05-13
com.feemodev.cat,길고양이이야기:supportedition,41,CH,2019-05-13
com.sayeffect.cameracontrol.blackmagic.bmpcc4,BlackmagicBMPCC4KController,42,CH,2019-05-13
com.manco.sphaera_map_wallpapers,"Sphaera-4K,HDMapWallpapers&Backgrounds",43,CH,2019-05-13
com.lightupgames.givemefood,グリディ：フィーディング・マシーン,44,CH,2019-05-13
com.motion.Chicagowallpapers,ChicagoWallpapers4KPROChicagoBackgrounds,45,CH,2019-05-13
com.wAccreditation2019_8879341,Справочникаккредитации2019.Лечебныйфакультет,46,CH,2019-05-13
com.jndapp.linex.white.iconpack,LineXWhiteIconPack,47,CH,2019-05-13
com.foggybus.battletimepremium,BattleTimePremiumリアルタイム戦略オフラインゲーム,48,CH,2019-05-13
com.jogr.magnibox,Magnibox,49,CH,2019-05-13
air.com.oranginalplan.weaphonesww22020,Weaphones™WW2:FirearmsSim,50,CH,2019-05-13
com.atomtray.android.timereminder.pro,TimeReminderPro|Besttimetrackingapp,51,CH,2019-05-13
com.xenon3d.teslacam,TeslaCamViewer,52,CH,2019-05-13
com.neptune.camapp,NeptuneCamera,53,CH,2019-05-13
com.poweramp.v3.luminousblack,LuminousBlack-MaterialPowerampv3Skin,54,CH,2019-05-13
hu.redshift.thequestexpb,TheQuest-HeroofLukomoryeIV,55,CH,2019-05-13
com.panotogomo.iconpack.net,PixelNet-NeonIconPack,56,CH,2019-05-13
com.animate.legendpro,LegendPro-AnimatedTextinVideo&Gif,57,CH,2019-05-13
com.icc.ortientacionmedica,Aventho,58,CH,2019-05-13
com.destruction.seadevils.pro,SeaDevilsPRO-ThePirateAdventureGame,59,CH,2019-05-13
com.midnightadventures.secretonsycamorehillPAID,シカモアヒルの秘密TheSecretonSycamoreHill,60,CH,2019-05-13
com.embarcadero.ApostasSeguras,ApostasSeguras,61,CH,2019-05-13
com.ubimob.superhero.war.premium,SuperheroWarPremium:RobotFight-ActionRPG,62,CH,2019-05-13
com.KonfaGames.Despotism3k,Despotism3k,63,CH,2019-05-13
com.fartrapp,Fartr,64,CH,2019-05-13
org.multibem.ramazan,HoşgeldinRamazan,65,CH,2019-05-13
com.noads.statussaver.qrscan.whatsweb.whatscan,Whatscan-QRScanPro(NoAds),66,CH,2019-05-13
com.edzondm.linebitse,LinebitSE-IconPack,67,CH,2019-05-13
com.errorsevendev.games.sky,IntotheSky,68,CH,2019-05-13
de.smartchord.droid.plus.pattern,s.martPattern(fingerpickingtrainer),69,CH,2019-05-13
com.malkar.thinkTapArrange,ThinkTapArrange-BrainGame,70,CH,2019-05-13
com.piou.gradesgendarmeriefrance,Gradesgendarmerienationalefrançaise,71,CH,2019-05-13
com.limeberry.dansoomhanja,단숨일본어한자(일본어상용한자),72,CH,2019-05-13
com.cloudworth.falaise,FalaisePocket1944(Allied),73,CH,2019-05-13
github.nisrulz.gbpayapp,GBPaySafe,74,CH,2019-05-13
cm.gallery.gallerypro,プロギャラリー：フォトマネージャ＆エディタ,75,CH,2019-05-13
appinventor.ai_finomate12.Recargas3,Recarga1,76,CH,2019-05-13
dxidev.sideloadchannel2,SideloadChannelLauncher2,77,CH,2019-05-13
com.lge.theme.markbencze.pixel.experience.dark.geight,PixelExperienceDarkThemeForLGG8,78,CH,2019-05-13
wifii.killl.com,WiFiKillPro,79,CH,2019-05-13
com.eightbam.americanmahjongpractice2019,AmericanMahJongPractice2019,80,CH,2019-05-13
com.destenebres.MiniGal4Xy,MiniGal4Xy,81,CH,2019-05-13
de.woodiehoo.pirates,ウディフー・パイレーツ,82,CH,2019-05-13
com.stickerzy.got,WhatsAppのための王座のプレミアムステッカーゲーム,83,CH,2019-05-13
com.CirclinesIconPack,CirclinesIconPack,84,CH,2019-05-13
com.studiopango.pangocolor,PangoPaperColor,85,CH,2019-05-13
com.matchgems.fantasy_mosaics_34,FantasyMosaics34:ZenGarden,86,CH,2019-05-13
com.austral.gpscartracker.full,GPSTrackerCarTKSMS,87,CH,2019-05-13
com.edumatecr.edumate,EduMate,88,CH,2019-05-13
com.anvix.rog.green,ROGRTXIconPack,89,CH,2019-05-13
maa.retrowave_wallpapers_pro_version,"RetrowaveWallpapersPRO(LiveWalls,GIFs&Radio)",90,CH,2019-05-13
com.imcrazy.th,TombHunter,91,CH,2019-05-13
br.com.eduvm.evm3umanager.pro,IPTVAPPPRO,92,CH,2019-05-13
com.appmarketingcenter.thetexttwister,TextTwist2019,93,CH,2019-05-13
