app_id,app_name,rank,country_code,date
com.astragon.cs3,ConstructionSimulator3,1,CH,2019-04-19
ch.threema.app,Threema,2,CH,2019-04-19
com.mojang.minecraftpe,Minecraft,3,CH,2019-04-19
ch.swift.itheorieasa,iTheorieAutotheorie2019,4,CH,2019-04-19
com.tigerlab.fahrlehrer,Fahrlehrer24-TheorieprüfungAuto2019,5,CH,2019-04-19
com.camsam.plus,CamSamPLUS,6,CH,2019-04-19
com.mg.android,WeatherPro,7,CH,2019-04-19
com.vinwap.parallaxwallpaper,3DParallaxBackground-HDWallpapersin3D,8,CH,2019-04-19
com.nbeghin.whatsappmigrator,WazzapMigrator,9,CH,2019-04-19
org.peakfinder.area.alps,PeakFinderAR,10,CH,2019-04-19
com.devolver.reignsGot,Reigns:GameofThrones,11,CH,2019-04-19
com.chucklefish.stardewvalley,StardewValley,12,CH,2019-04-19
com.ninjakiwi.bloonstd6,BloonsTD6,13,CH,2019-04-19
com.giantssoftware.fs18.google,FarmingSimulator18,14,CH,2019-04-19
nz.co.codepoint.minimetro,ミニメトロ,15,CH,2019-04-19
games.paveldogreat.fluidsim,FluidSimulation,16,CH,2019-04-19
football.manager.games.fm19.mobile,FootballManager2019Mobile,17,CH,2019-04-19
com.ninjakiwi.bloonstd5,BloonsTD5,18,CH,2019-04-19
com.drycactus.polybridge,PolyBridge,19,CH,2019-04-19
de.adac.camping19,ADACCamping/Stellplatz2019,20,CH,2019-04-19
com.robtopx.geometryjump,GeometryDash,21,CH,2019-04-19
smartwatchstudios.app.gears3navigation,NavigationPro:GoogleMapsNavionSamsungWatch,22,CH,2019-04-19
com.teamspeak.ts3client,TeamSpeak3-VoiceChatSoftware,23,CH,2019-04-19
com.domustechnica.oiw10ad,"Oje,IchWachse!",24,CH,2019-04-19
com.zigzagame.evertale,エバーテイル,25,CH,2019-04-19
com.abonobo.myviavac,myViavac,26,CH,2019-04-19
ch.sweetware.swissjass,"SwissJassPro,Schieber,Coiffeur,Differenzler",27,CH,2019-04-19
ch.swift.itheorieasam,iTheorieMofaTheorieSchweiz2019,28,CH,2019-04-19
com.playsportgames.mmm3,MotorsportManagerMobile3,29,CH,2019-04-19
com.FireproofStudios.TheRoom,TheRoom,30,CH,2019-04-19
com.tigerlab.fahrlehrer.motocycles,Fahrlehrer24-MofaTheorieprüfungM,31,CH,2019-04-19
com.photopills.android.photopills,PhotoPills,32,CH,2019-04-19
com.advasoft.touchretouch,TouchRetouch,33,CH,2019-04-19
com.tappytaps.android.babymonitor3g,ベビーモニター3G,34,CH,2019-04-19
com.astragon.cs2014,コンストラクションシミュレーター2014,35,CH,2019-04-19
ch.filitz.sana,SaNa-Fischerprüfung,36,CH,2019-04-19
com.t2ksports.nba2k19and,NBA2K19,37,CH,2019-04-19
brownmonster.app.game.rushrally3,RushRally3,38,CH,2019-04-19
com.teslacoilsw.launcher.prime,NovaLauncherPrime,39,CH,2019-04-19
com.kvadgroup.photostudio_pro,PhotoStudioPRO,40,CH,2019-04-19
net.osmand.plus,OsmAnd+—OfflineTravelMaps&Navigation,41,CH,2019-04-19
net.dinglisch.android.taskerm,Tasker,42,CH,2019-04-19
ch.icoaching.wrio,WRIOKeyboard(+2500emoji),43,CH,2019-04-19
net.techet.netanalyzer.an,NetworkAnalyzerPro,44,CH,2019-04-19
ch.swift.itheorie.astag.lkw,iTheorieLastwagenPremiumSchweiz2019,45,CH,2019-04-19
menion.android.locus.pro,LocusMapPro-アウトドア用GPSナビゲーションと地図,46,CH,2019-04-19
com.pecana.iptvextremepro,IPTVExtremePro,47,CH,2019-04-19
