app_id,app_name,rank,country_code,date
com.pastagames.ro1mobile,レイマンジャングルラン,1,DE,2016-11-24
com.mojang.minecraftpe,マインクラフトMinecraft:PocketEd.,2,DE,2016-11-24
com.playdead.limbo.full,LIMBO,3,DE,2016-11-24
se.feomedia.quizkampen.de.premium,QuizduellPREMIUM,4,DE,2016-11-24
com.wb.goog.legohp1,LEGOHarryPotter:Years1-4,5,DE,2016-11-24
com.wb.goog.legohp2,LEGOHarryPotter:Years5-7,6,DE,2016-11-24
com.squareenixmontreal.hitmansniperandroid,Hitman:Sniper,7,DE,2016-11-24
com.robtopx.geometryjump,GeometryDash,8,DE,2016-11-24
com.giantssoftware.fs16,FarmingSimulator16,9,DE,2016-11-24
com.squareenixmontreal.deusexgo,DeusExGO,10,DE,2016-11-24
com.ustwo.monumentvalley,モニュメントバレー,11,DE,2016-11-24
com.ninjakiwi.bloonstd5,BloonsTD5,12,DE,2016-11-24
com.pockettrend.neomonsters,ネオモンスターズ,13,DE,2016-11-24
com.game.motorsportmanager,MotorsportManager,14,DE,2016-11-24
com.wb.goog.legojurassicworld,LEGO®JurassicWorld™,15,DE,2016-11-24
com.astragon.cs2014,コンストラクションシミュレーター2014,16,DE,2016-11-24
com.wb.goog.scribbleremix,ScribblenautsRemix,17,DE,2016-11-24
com.squareenixmontreal.hitmango,HitmanGO,18,DE,2016-11-24
com.FireproofStudios.TheRoom,TheRoom,19,DE,2016-11-24
com.artifexmundi.demonhunter.gp.full,デーモンハンター(Full),20,DE,2016-11-24
com.rockstargames.gtasager,GrandTheftAutoSanAndreas,21,DE,2016-11-24
com.eamobile.monopoly_row_wf,MONOPOLYGame,22,DE,2016-11-24
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,23,DE,2016-11-24
com.vectorunit.silver.googleplay,RiptideGP:Renegade,24,DE,2016-11-24
age.of.civilizations.jakowski,エイジ・オブ・シヴィライゼーション,25,DE,2016-11-24
com.squareenixmontreal.lcgo,LaraCroftGO,26,DE,2016-11-24
com.and.games505.TerrariaPaid,Terraria.,27,DE,2016-11-24
com.elevenbitstudios.twommobile,ThisWarofMine,28,DE,2016-11-24
com.devolver.reigns,Reigns,29,DE,2016-11-24
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,30,DE,2016-11-24
com.rockstargames.gtavcger,GrandTheftAuto:ViceCity,31,DE,2016-11-24
com.exozet.android.catan,Catan-カタン,32,DE,2016-11-24
com.astragon.trucksim,TruckSimulation16,33,DE,2016-11-24
com.Doyodo.Moorhuhn,MoorhuhnDeluxe-CrazyChicken,34,DE,2016-11-24
com.FireproofStudios.TheRoom3,TheRoomThree,35,DE,2016-11-24
com.FireproofStudios.TheRoom2,TheRoomTwo,36,DE,2016-11-24
air.com.RustyLake.RustyLakeRoots,RustyLake:Roots,37,DE,2016-11-24
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,38,DE,2016-11-24
com.ninjakiwi.supermonkey,BloonsSupermonkey2,39,DE,2016-11-24
com.sony.wwtbam2014german,WerWirdMillionär?,40,DE,2016-11-24
com.coffeestainstudios.goatsimulator,GoatSimulator,41,DE,2016-11-24
com.headupgames.bridgeconstructor,ブリッジコンストラクタ,42,DE,2016-11-24
nz.co.codepoint.minimetro,MiniMetro,43,DE,2016-11-24
ilmfinity.evocreo.main.android,EvoCreo,44,DE,2016-11-24
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,45,DE,2016-11-24
uk.co.aifactory.chess,Chess-チェス,46,DE,2016-11-24
com.trueaxis.trueskate,TrueSkate,47,DE,2016-11-24
com.mtvn.sbmigoogleplay,SpongeBobMovesIn,48,DE,2016-11-24
com.mageeks.android.bussim17,BusSimulatorPRO2017,49,DE,2016-11-24
com.worms2armageddon.app,Worms2:Armageddon,50,DE,2016-11-24
com.eamobile.sims3_row_qwf,TheSims™3,51,DE,2016-11-24
com.oddworld.Stranger,Oddworld:Stranger'sWrath,52,DE,2016-11-24
com.hg.townsmen7,TownsmenPremium,53,DE,2016-11-24
com.eline.neveralonemobile,NeverAlone:KiEdition,54,DE,2016-11-24
com.senspark.darkland,Darkland,55,DE,2016-11-24
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,56,DE,2016-11-24
com.magmic.skipbo,Skip-Bo™,57,DE,2016-11-24
de.freshmazing.jusjourney1,Ju'sJourney,58,DE,2016-11-24
com.exozet.game.carcassonne,Carcassonne[カルカソンヌ],59,DE,2016-11-24
com.gameloft.android.ANMP.GloftM4HM,モダンコンバット4：ZeroHour,60,DE,2016-11-24
se.filimundus.pi3,ペットソンのからくり3,61,DE,2016-11-24
com.usm.ddfgeisterwelt,Diedrei???–Geisterwelt,62,DE,2016-11-24
com.explorationbase.Exploration,Exploration,63,DE,2016-11-24
air.com.RustyLake.RustyLakeHotel,RustyLakeHotel,64,DE,2016-11-24
com.codemasters.cmrally,ColinMcRaeRally,65,DE,2016-11-24
com.notdoppler.earntodie,EarntoDie,66,DE,2016-11-24
com.marmalade.golmobile,THEGAMEOFLIFE:2016Edition,67,DE,2016-11-24
com.epsxe.ePSXe,ePSXeforAndroid,68,DE,2016-11-24
com.jumpgames.RealSteel,RealSteel,69,DE,2016-11-24
com.artifexmundi.eventide2.gp.full,夕暮れ2(Full),70,DE,2016-11-24
com.p2games.firemansam,FiremanSam-JuniorCadet,71,DE,2016-11-24
com.ubisoft.rayman.fiestarun,RaymanFiestaRun,72,DE,2016-11-24
com.artifexmundi.princessisabella.gp.full,イザベラ王女(Full),73,DE,2016-11-24
com.rockstar.gta3ger,GrandTheftAuto3,74,DE,2016-11-24
me.dreamsky.stickman,LeagueofStickman2016,75,DE,2016-11-24
pl.idreams.pottery,Let'sCreate!Pottery,76,DE,2016-11-24
com.fds.infiniteflight,InfiniteFlightSimulator,77,DE,2016-11-24
com.ClimaxStudios.HuntersGate,HuntersGate,78,DE,2016-11-24
uk.co.yakuto.TableTennisTouch,TableTennisTouch,79,DE,2016-11-24
com.gamesoulstudio.backflipmadness,BackflipMadness,80,DE,2016-11-24
co.yakand.agentaapuzzleindisguise,AgentA-偽装のパズル,81,DE,2016-11-24
com.worms3.app,Worms3,82,DE,2016-11-24
com.agaming.zonaprojectx,Z.O.N.AProjectX,83,DE,2016-11-24
com.topfreegames.bikeraceproworld,BikeRaceProbyT.F.Games,84,DE,2016-11-24
com.mediocre.grannysmith,GrannySmith,85,DE,2016-11-24
com.aspyr.swkotor,StarWars™:KOTOR,86,DE,2016-11-24
com.wb.goog.scribblenauts3,ScribblenautsUnlimited,87,DE,2016-11-24
com.bispiral.gs859,AliceandTheMagicalDragons,88,DE,2016-11-24
com.aerofly.aerofly2android,Aerofly2FlightSimulator,89,DE,2016-11-24
de.fk.android.pushy,Pushy,90,DE,2016-11-24
com.noodlecake.pumped3,PumpedBMX3,91,DE,2016-11-24
com.hammerfall.regicide,"Warhammer40,000:Regicide",92,DE,2016-11-24
com.disney.WMW,スワンピーのお風呂パニック！,93,DE,2016-11-24
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,94,DE,2016-11-24
com.artifexmundi.thesecretorder1.gp.full,シークレット・オーダー2(Full),95,DE,2016-11-24
com.grandcauldron.leviathan,BattlefleetGothic:Leviathan,96,DE,2016-11-24
com.activision.boz,CallofDutyBlackOpsZombies,97,DE,2016-11-24
com.halfbrick.fruitninja,FruitNinja,98,DE,2016-11-24
com.rockstargames.gtactw,GTA:ChinatownWars,99,DE,2016-11-24
net.kairosoft.android.gamedev3en,GameDevStory,100,DE,2016-11-24
air.com.flipline.papasfreezeriatogo,Papa'sFreezeriaToGo!,101,DE,2016-11-24
air.net.machinarium.Machinarium.GP,Machinarium（マシナリウム）,102,DE,2016-11-24
com.worms4.app,Worms4,103,DE,2016-11-24
com.zwuggels.beach,TheZwuggels-BeachHolidays,104,DE,2016-11-24
com.squareenix.tombraider1classic,TombRaiderI,105,DE,2016-11-24
com.scottgames.fivenightsatfreddys,FiveNightsatFreddy's,106,DE,2016-11-24
com.fastemulator.gbc,MyOldBoy!-GBCEmulator,107,DE,2016-11-24
