app_id,app_name,rank,country_code,date
com.fxb.prison,脱獄-BreakthePrison,1,ES,2015-11-19
com.epicwaronline.ms,モバイルストライク【MobileStrike】,2,ES,2015-11-19
camera.x.ray.girls.prank.funny,XRayGirlsCameraPrank,3,ES,2015-11-19
com.disney.disneydescendants_goo,ディセンダント,4,ES,2015-11-19
com.king.candycrushsaga,キャンディークラッシュ,5,ES,2015-11-19
com.king.blossomblast,BlossomBlastSaga,6,ES,2015-11-19
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),7,ES,2015-11-19
com.kiloo.subwaysurf,SubwaySurfers,8,ES,2015-11-19
com.brokenscreen.prank.free,ブロークン画面のいたずら2,9,ES,2015-11-19
me.pou.app,プーチッチPou,10,ES,2015-11-19
com.robtopx.geometryjumplite,GeometryDashLite,11,ES,2015-11-19
com.ludia.jurassicworld,JurassicWorld™:ザ·ゲーム,12,ES,2015-11-19
com.king.candycrushsodasaga,キャンディークラッシュソーダ,13,ES,2015-11-19
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),14,ES,2015-11-19
com.miniclip.agar.io,Agar.io,15,ES,2015-11-19
com.rkgames.smashywanted,SmashyRoad:Wanted,16,ES,2015-11-19
air.com.freakinware.mitosis,Mitosis:TheGame,17,ES,2015-11-19
com.cmplay.tiles2,ピアノタイル2,18,ES,2015-11-19
com.smoqgames.fopenpack,PackOpenerforFUT16,19,ES,2015-11-19
com.king.candycrushjellysaga,CandyCrushJellySaga,20,ES,2015-11-19
com.ffgames.racingincar,RacinginCar,21,ES,2015-11-19
com.gameloft.android.ANMP.GloftDMHM,怪盗グルーのミニオンラッシュ,22,ES,2015-11-19
com.zipperlockscreenyellow,ジッパーロック画面黄色に,23,ES,2015-11-19
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,24,ES,2015-11-19
com.sm.popTheLock,ポップザロック,25,ES,2015-11-19
com.ea.games.r3_row,RealRacing3,26,ES,2015-11-19
com.miniclip.eightballpool,8BallPool,27,ES,2015-11-19
com.king.shufflecatcards,ShuffleCatCards,28,ES,2015-11-19
donnaipe.europoly,Europoly,29,ES,2015-11-19
com.etermax.preguntados.lite,TriviaCrack,30,ES,2015-11-19
it.dtales.sbk15,SBK15OfficialMobileGame,31,ES,2015-11-19
com.realspeedmotogp,RealMotoGP,32,ES,2015-11-19
com.scimob.kezako.mystery,Kezako:ミステリー画像,33,ES,2015-11-19
com.appoxyn.turndownforwhatbutton,TurnDownForWhatButton,34,ES,2015-11-19
com.pinkpointer.wordsearch,シークワーズ,35,ES,2015-11-19
com.king.farmheroessaga,ファームヒーロー,36,ES,2015-11-19
com.ea.game.pvzfree_row,Plantsvs.ZombiesFREE,37,ES,2015-11-19
com.ea.gp.minions,ミニオンズパラダイス,38,ES,2015-11-19
com.fgol.HungrySharkEvolution,HungrySharkEvolution,39,ES,2015-11-19
net.mobigame.zombietsunami,ZombieTsunami,40,ES,2015-11-19
com.nordcurrent.canteenhd,クッキングフィーバー,41,ES,2015-11-19
com.ea.games.simsfreeplay_row,TheSimsFreePlay,42,ES,2015-11-19
com.sega.sonicdash,SonicDash,43,ES,2015-11-19
com.bethsoft.falloutshelter,FalloutShelter,44,ES,2015-11-19
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,45,ES,2015-11-19
com.gameloft.android.ANMP.GloftAGHM,AsphaltNitro,46,ES,2015-11-19
com.crazy.turkey.run.game2,CrazyTurkeyRunHalloween,47,ES,2015-11-19
air.au.com.metro.DumbWaysToDie2,DumbWaystoDie2:TheGames,48,ES,2015-11-19
com.ea.game.nfs14_row,NeedforSpeed™NoLimits,49,ES,2015-11-19
com.netease.h28na.google,EternalArena,50,ES,2015-11-19
com.airfly.fightergame.en1949,Airfighter,51,ES,2015-11-19
com.bethsoft.falloutcompanionapp,FalloutPip-Boy,52,ES,2015-11-19
com.ea.game.easportsufc_row,EASPORTS™UFC®,53,ES,2015-11-19
com.sleepyzstudios.skisafari2,SkiSafari2,54,ES,2015-11-19
com.supercell.boombeach,ブーム・ビーチ(BoomBeach),55,ES,2015-11-19
com.outfit7.tomsjetski,トーキング・トムのジェットスキー,56,ES,2015-11-19
com.prettysimple.criminalcaseandroid,CriminalCase,57,ES,2015-11-19
com.gramgames.tenten,1010!,58,ES,2015-11-19
com.miniclip.soccerstars,SoccerStars,59,ES,2015-11-19
com.supercell.hayday,ヘイ・デイ(HayDay),60,ES,2015-11-19
