app_id,app_name,rank,country_code,date
com.ubisoft.rabbidsrunner,RabbidsCrazyRush,1,ES,2017-03-04
com.cocoplay.cocohiphop,ヒップホップダンススクール・ゲーム,2,ES,2017-03-04
com.prettysimple.criminalcasepacificbayandroid,クリミナルケース:パシフィックベイ,3,ES,2017-03-04
com.media5.FreekickWorldLeage,SoccerWorldLeagueFreeKick,4,ES,2017-03-04
com.shortround.rivalgears,ライバルギア(RivalGearsRacing),5,ES,2017-03-04
com.ChillyRoom.DungeonShooter,SoulKnight,6,ES,2017-03-04
net.basedog.deadtale,DeadtaleOnlineforUndertale,7,ES,2017-03-04
com.mcen.and,LegacyAdventure,8,ES,2017-03-04
com.kunpo.rollingsnail,RollingSnail-線を描き、重力を利用する,9,ES,2017-03-04
com.tabtale.datenightmare,ひどいニキビ-悪夢のデート,10,ES,2017-03-04
com.alphadoggames.monstrocity,MonstroCity:Rampage!,11,ES,2017-03-04
com.lila.beatracer,ビットレーサー(BeatRacer),12,ES,2017-03-04
com.tutotoons.app.sweetbabygirlnewborn2.free,スイートベビーガールニューボーン２,13,ES,2017-03-04
com.cgame.chestsim,ChestSimuforClashRoyale,14,ES,2017-03-04
com.milux.bottleflip2,BottleFlipChallenge2,15,ES,2017-03-04
com.doodle.thief,泥棒の王-ThiefKing,16,ES,2017-03-04
com.ketchapp.wintersports,KetchappWinterSports,17,ES,2017-03-04
net.beautysalongames.android_vampirelovestory,SecretHighSchoolLoveStory,18,ES,2017-03-04
com.uken.pool,KingsofPool-オンラインエイトボール,19,ES,2017-03-04
com.nintendo.zaba,ファイアーエムブレムヒーローズ,20,ES,2017-03-04
com.wanghang.carnival,アーケード幼稚園3D,21,ES,2017-03-04
com.buildingcraftinggames.minecraft.party.pool.lbeach.dorm.highschool.prom.disco.craft.mine.exploration.building.sex.tube,高校のパーティ:楽しい＆愛,22,ES,2017-03-04
com.sixwaves.heroesofskyrealm,HeroesofSkyrealm,23,ES,2017-03-04
com.perfecttapgames.connectthecubes,ConnecttheCubes,24,ES,2017-03-04
com.dyhd.slg01.international,WarofWarship:English,25,ES,2017-03-04
com.gaijin.scm,StarConflictHeroes,26,ES,2017-03-04
com.rawple.stellarfox,STELLARFOX,27,ES,2017-03-04
com.ketchapp.ballz,Ballz,28,ES,2017-03-04
com.tinylabproductions.road66,TruckDrivingRaceUSRoute66,29,ES,2017-03-04
com.happyfruit.blast,HappyFruitBlast,30,ES,2017-03-04
com.ubisoft.grwhq,GhostRecon®WildlandsHQ,31,ES,2017-03-04
