app_id,app_name,rank,country_code,date
jp.konami.duellinks,遊戯王デュエルリンクス,1,ES,2017-01-26
com.ri.rocketleague,Rocketball:ChampionshipCup,2,ES,2017-01-26
com.galasports.football,FootballMaster,3,ES,2017-01-26
com.apps.ms.newfut17vr,NewFUT17-DraftSimulator,4,ES,2017-01-26
com.blue.android.clean.boost,BlueClean-CleanandBoost,5,ES,2017-01-26
com.netmarble.starwars,スター・ウォーズ：フォース・アリーナ,6,ES,2017-01-26
com.playdemic.golf.android,ゴルフクラッシュ,7,ES,2017-01-26
com.tabtale.tailorboutique,デザイン・イットガール-夢のファッション・ショップ,8,ES,2017-01-26
com.clean.android.boost.phone,DiskCleanSuite,9,ES,2017-01-26
com.icarus.hbsuffer,ホバーボードサーファー3DHoverboard,10,ES,2017-01-26
com.chillingo.warfriends.android.gplay,WarFriends,11,ES,2017-01-26
com.gernersis.chestsimulatorforcr,宝箱シミュレーターforクラロワ,12,ES,2017-01-26
com.ark.music.mp3.player,ArkMP3音楽Player,13,ES,2017-01-26
com.tabtale.sickday,救急キッズドクター,14,ES,2017-01-26
com.playwithgames.ThunderbirdsParking,Parker’sDrivingChallenge,15,ES,2017-01-26
com.rioo.subwayrush,SubwayRunner,16,ES,2017-01-26
com.dhxmedia.slugitout2,Slugterra:SlugitOut2,17,ES,2017-01-26
com.zerofour.turboleague,ターボリーグ,18,ES,2017-01-26
com.cocoplay.cocofitness,フィットネスガール-ダンス＆プレイ,19,ES,2017-01-26
com.aos.clean.security.android.boost,AOSCleanPro(Clean&Boost),20,ES,2017-01-26
com.artproject.searcher,アートプロジェクト検索,21,ES,2017-01-26
com.copyleft_music.streamer,CopyleftMP3ストリーマ,22,ES,2017-01-26
com.ovilex.trucksimulatorusa,TruckSimulatorUSA,23,ES,2017-01-26
com.onlinico.rubeslab,Rube'sLab-PhysicsPuzzle,24,ES,2017-01-26
com.snowcat.casino.spain,TripleDownCasino(SP),25,ES,2017-01-26
com.gamefirst.arkofcraftsdinosaurs,TheArkofCraft:Dinosaurs,26,ES,2017-01-26
com.playmobil.polizei,PLAYMOBILPolizei,27,ES,2017-01-26
com.us.wouldyourather.trivia.adults,WouldYouRather?Adults,28,ES,2017-01-26
pine.game.skydancer,SkyDancer,29,ES,2017-01-26
com.reliancegames.monstertrucks,MonsterTrucksRacing,30,ES,2017-01-26
com.qs.tattoo,入れ墨名家-TattooMaster,31,ES,2017-01-26
com.city.formula.racing,CityFormulaRacing,32,ES,2017-01-26
com.rsg.heroesevolved,HeroesEvolved,33,ES,2017-01-26
com.happylabs.food,レストランパラダイス：シミュレーションゲーム,34,ES,2017-01-26
com.hidea.roguelife,RogueLife,35,ES,2017-01-26
play.war.mobile.pirates,PirateWar:AgeofStrike,36,ES,2017-01-26
com.bearhugmedia.android_loveletterdiary,SecretLoveDiary!StoryGames,37,ES,2017-01-26
com.damapps.cualeselyoutuber,CuálYoutuberEs?,38,ES,2017-01-26
com.mcpe.maincraft.craft.royale,クラフトロイヤルMCPE地図,39,ES,2017-01-26
com.iapps.raft,RAFT-TryToSurvive,40,ES,2017-01-26
com.fromthebenchgames.fmfcb2015,FCBarcelonaFantasyManager,41,ES,2017-01-26
com.quarzo.anagramwords,AnagramApp-Wordanagrams,42,ES,2017-01-26
bb.neighbor.Gamerevul,SimulatorOfHelloNeighbor,43,ES,2017-01-26
com.sinyee.babybus.restaurant,パンダのレストラン,44,ES,2017-01-26
com.clashroyale.gemsforclashroyale,GemsForClashRoyale:Guide,45,ES,2017-01-26
com.juniegames.blitzcrankbattle,BlitzcrankBattle,46,ES,2017-01-26
net.neighbor.Gamedemo,HelloDemoplayofNeighbor,47,ES,2017-01-26
com.redsys.bizum,EVOBizum,48,ES,2017-01-26
com.cheatsforclashroyale.devvery88,GemsForClashRoyaleprank,49,ES,2017-01-26
com.queensgame.collection,ソリティアコレクション,50,ES,2017-01-26
com.quickbytegames.chezz,Chezz,51,ES,2017-01-26
com.earano.gang,AnomalGangBeasts,52,ES,2017-01-26
com.tutotoons.app.babyanimalhairsalon2.free,BabyAnimalHairSalon2,53,ES,2017-01-26
