app_id,app_name,rank,country_code,date
com.zonmob.KingdomDefense.TowerGame,KingdomDefense:HeroLegendTD-Premium,1,ES,2018-07-09
co.innovador.calculator,MathPlusUltra,2,ES,2018-07-09
com.ninjakiwi.bloonstd6,BloonsTD6,3,ES,2018-07-09
com.siderealark.dinosaursencyclopedia,DiscoveringtheDinosaurs,4,ES,2018-07-09
com.recorder.auto.callrecorder.pro,AutocallrecorderPro,5,ES,2018-07-09
com.Patitoyazilim.TowerBuild,TowerBuilder,6,ES,2018-07-09
com.BaldisBasicsinEducationandLearning.BaldisBasicsPro.BaldisBasicsNoads,BasicsInEducationAndLearning,7,ES,2018-07-09
mytown.street,MyTown:ストリートで遊ぶ,8,ES,2018-07-09
xlauncher.pro.control.center.ios11.theme.iphone.x.launcher,XLauncherPro-IOSStyleTheme&ControlCenter,9,ES,2018-07-09
com.crating.and.building.minecraft.pocket.edition.mini.mix.max.loco.turbo.forte.mystic,BigCraft-Exploration,10,ES,2018-07-09
com.media.auto.callrecorder.pro,AutocallrecorderPro,11,ES,2018-07-09
com.tocaboca.tocamysteryhouse,TocaMysteryHouse,12,ES,2018-07-09
com.kersofts.hexapuzzle,HexagonBlockPuzzle(NoAds),13,ES,2018-07-09
com.playdigious.evoland2,Evoland2,14,ES,2018-07-09
com.navigatorpro.offline.maps,NavigatorPRO,15,ES,2018-07-09
unity.Annapurna.Gorogoa,Gorogoa,16,ES,2018-07-09
air.com.zoozoogames.sanquentinprisonescape,ESCAPEGAMESNEW206,17,ES,2018-07-09
com.LowBros.InTheRim,InTheRim,18,ES,2018-07-09
com.printedpropshop.dokkos2,DokkOS2,19,ES,2018-07-09
com.sagosago.City.googleplay,サゴミニビッグシティ,20,ES,2018-07-09
com.risanru.callextendedinfo,ExtendedCallerInfo-MásInfoContactoenLlamada,21,ES,2018-07-09
com.crating.and.building.minecraft.pocket.edition.mini.mix.max.loco.turbo.forte.mystic.big.long.survival,3dBlockCraftGames,22,ES,2018-07-09
com.muziplayer.pro,MuziPro-Mp3Songs,23,ES,2018-07-09
air.sammanager.g360,360ManagerforAll,24,ES,2018-07-09
com.hyperbeard.drmeep,ドクター・ミープ,25,ES,2018-07-09
com.imageen.museummeridaandroid,ImageenMeridaVR-Museum,26,ES,2018-07-09
com.vip.twinstrangers.app,ツインストレンジャー,27,ES,2018-07-09
com.jndapp.apple.ilook.iconpack,iLOOKIconpack:iOSUXTHEME,28,ES,2018-07-09
com.markbencze.pixel.experience,"PixelExperienceSubstratumthemeLGG7,V30,G6",29,ES,2018-07-09
com.UnaVisionQuintanaGames.TuDealerTheGame,TuDealerTheGame,30,ES,2018-07-09
es.snoscarssn.a_cercate,A-cércate:GuíadelCercoIndustrialdePeñarroya,31,ES,2018-07-09
com.sppa4apps.Quarto.gp,Quarto©,32,ES,2018-07-09
com.aardman.gromitunleashed2,Detect-O-Gromit(D.O.G2),33,ES,2018-07-09
com.lilithgame.isoland2.gpen,見失い島2：時間の灰,34,ES,2018-07-09
com.pro.bestvpn.hotvpn,HotVPNPro-HideIP&InternetPrivacyShield,35,ES,2018-07-09
com.media.voicerecorder.ultimatepro,voicerecorderpro,36,ES,2018-07-09
com.ssmgames.invasionZ,invasionZ,37,ES,2018-07-09
com.chesskingdom,MagnusKingdomofChess,38,ES,2018-07-09
com.itbook.ninyosombrero,ElNiñoSombrero,39,ES,2018-07-09
com.Artists.MonkejsEarth,Monkejs:EarthQuest,40,ES,2018-07-09
com.hostdogapp.apppro3,TVProPremiumsempropagandas,41,ES,2018-07-09
com.mtvn.dorageographygoogle,Dora'sWorldwideAdventure,42,ES,2018-07-09
com.reallyvision.realvisors8,ChineseEndoscopeUSBcamforSamsungPROFESSIONAL,43,ES,2018-07-09
com.unibet.special,UnibetSpecial,44,ES,2018-07-09
com.redpapergameworks.minedplantsfarm,MinedPlants:Farm,45,ES,2018-07-09
