app_id,app_name,rank,country_code,date
com.lionstudios.mrbullet,MrBullet-SpyPuzzles,1,FR,2019-07-28
com.slippy.linerusher,FunRace3D,2,FR,2019-07-28
com.shape.change,JellyShift,3,FR,2019-07-28
com.kwalee.gunpuzzle,Shootout3D,4,FR,2019-07-28
com.cassette.aquapark,aquapark.io,5,FR,2019-07-28
com.ketchapp.origame,Origame,6,FR,2019-07-28
com.train.taxi,TrainTaxi,7,FR,2019-07-28
se.raketspel.digaround,Digit!,8,FR,2019-07-28
com.exordium.pottery,Pottery,9,FR,2019-07-28
pampam.ibf2,BottleFlip3D,10,FR,2019-07-28
com.battle.disc,BattleDisc,11,FR,2019-07-28
com.azurgames.stackball,スタックボール-積み上げられた台座を砕いていこう ,12,FR,2019-07-28
com.mgc.runnergame,RunRace3D-3D競走,13,FR,2019-07-28
com.hambastudio.linecolor,LineColor3D,14,FR,2019-07-28
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,15,FR,2019-07-28
com.kwalee.drawit,Drawit,16,FR,2019-07-28
com.codigames.idle.theme.park.tycoon,《IdleThemePark》-素敵なテーマパークを建てよう,17,FR,2019-07-28
com.nianticlabs.pokemongo,PokémonGO,18,FR,2019-07-28
com.playrix.homescapes,ホームスケイプ(Homescapes),19,FR,2019-07-28
com.kiloo.subwaysurf,SubwaySurfers,20,FR,2019-07-28
com.matteljv.uno,UNO!™,21,FR,2019-07-28
com.amanotes.beathopper,TilesHop:EDMRush!,22,FR,2019-07-28
io.voodoo.crowdcity,CrowdCity,23,FR,2019-07-28
com.playstrom.onpipe,OnPipe,24,FR,2019-07-28
com.supercell.brawlstars,ブロスタ,25,FR,2019-07-28
io.voodoo.paper2,Paper.io2,26,FR,2019-07-28
com.nintendo.zama,ドクターマリオワールド,27,FR,2019-07-28
com.habby.archero,アーチャー伝説,28,FR,2019-07-28
com.playgendary.polyspherecoolgame,Polysphere,29,FR,2019-07-28
com.swagmasha.genres,"LoveSick:Stars,queenandvampirerelationships",30,FR,2019-07-28
com.zuuks.bus.simulator.ultimate,BusSimulator:Ultimate,31,FR,2019-07-28
com.mobirix.parkingking,駐車場の王,32,FR,2019-07-28
com.nintendo.zara,SuperMarioRun,33,FR,2019-07-28
com.baklabs.taxi.two,タクシー2,34,FR,2019-07-28
com.fanatee.cody,CodyCross:CrosswordPuzzles,35,FR,2019-07-28
