app_id,app_name,rank,country_code,date
com.sigames.fmm2017,『FootballManagerMobile2017』,1,FR,2016-11-26
com.gotogames.funquizztrois,FunbridgeQuiz3,2,FR,2016-11-26
com.mageeks.android.constructionsim17,ConstructionSimulatorPRO17,3,FR,2016-11-26
com.gamesourcestudio.carbonwarfare,CarbonWarfare,4,FR,2016-11-26
com.gambitious.rungunjumpgun,RunGunJumpGun,5,FR,2016-11-26
com.pamuk.farmingsimulator,PROFarmingSimulator2017,6,FR,2016-11-26
com.nagy.farmingsimulator,FarmingPROSimulator2017,7,FR,2016-11-26
com.ninjakiwi.supermonkey,BloonsSupermonkey2,8,FR,2016-11-26
sportsinteractive.fmt17,FootballManagerTouch2017,9,FR,2016-11-26
mytown.cinema,MyTown:Cinemaシネマ,10,FR,2016-11-26
com.drpanda.city2,Hoopaのシティー2,11,FR,2016-11-26
com.bigfishgames.gttdgoogfull,グリムテイル：運命の糸(Full),12,FR,2016-11-26
com.zerorockent.replica,レプリカ(Replica),13,FR,2016-11-26
hu.redshift.thequest,TheQuest,14,FR,2016-11-26
com.artifexmundi.eventide2.gp.full,夕暮れ2(Full),15,FR,2016-11-26
subway.android,NewYorkSubwayDriver,16,FR,2016-11-26
com.daedalic.skyhill,SKYHILL,17,FR,2016-11-26
com.aspyr.jadeempire,JadeEmpire:SpecialEdition,18,FR,2016-11-26
no.hypergames.eggggg,Eggggg-ThePlatformPuker,19,FR,2016-11-26
de.brettspielwelt.schatzjaeger,TreasureHunterbyR.Garfield,20,FR,2016-11-26
com.agaming.mentalhospitalV,MentalHospitalV,21,FR,2016-11-26
com.tabascogames.battleshiplonewolf,戦艦ロンウルフ(BattleshipLonewolf),22,FR,2016-11-26
com.wewanttoknow.BigNumbers,DragonBoxBigNumbers,23,FR,2016-11-26
com.nagy.construction,ConstructionSimulatorPRO17,24,FR,2016-11-26
com.mozglabs.zcd2,ZombieCityDefense2,25,FR,2016-11-26
com.senspark.darkland,Darkland,26,FR,2016-11-26
com.jakyl.tcr,TennisChampsReturns,27,FR,2016-11-26
com.GameCoaster.ProtectDungeon,ダンジョン守る,28,FR,2016-11-26
com.kpixgames.PathPixThanks,PathPixThanks,29,FR,2016-11-26
com.DeadMage.EOK,EpicofKings,30,FR,2016-11-26
com.heartshapedgames.herogenerationshd,HeroGenerations,31,FR,2016-11-26
com.bowengames.farmingusa2,FarmingUSA2,32,FR,2016-11-26
it.rortos.pan,FrecceTricoloriFlightSim,33,FR,2016-11-26
com.tinybuild.PartyHardGO,PartyHardGo,34,FR,2016-11-26
com.artifexmundi.thesecretorder4.gp.full,シークレット・オーダー4(Full),35,FR,2016-11-26
com.rawfury.kathy,KathyRain,36,FR,2016-11-26
noblur.com.apprendrealphabet,Apprendrel'alphabet,37,FR,2016-11-26
com.anhhuypro.ds4droid,NDSBoy!Pro-NDSEmulator,38,FR,2016-11-26
com.bladecoder.lj,TheRevengeofJohnnyBonasera,39,FR,2016-11-26
com.KpsulesTudio.yokko,Yokko'sJourney,40,FR,2016-11-26
com.lightroomplugins.eva,EVA,41,FR,2016-11-26
net.cleverbit.SaveAnimalsFull,УчисьЧитать(полнаяверсия),42,FR,2016-11-26
com.reactivesloth.zonechroniles,ZONAPremium(BETA),43,FR,2016-11-26
net.diggidy.autodealershiptycoon,AutoDealershipTycoon,44,FR,2016-11-26
com.bispiral.gs859,AliceandTheMagicalDragons,45,FR,2016-11-26
com.indifungame.elitehero01,勇者は姫コレクター,46,FR,2016-11-26
com.direwolfdigital.lanterns,Lanterns:TheHarvestFestival,47,FR,2016-11-26
kemco.wws.afapremium,[Premium]RPGアストラルフロンティア,48,FR,2016-11-26
com.bigfishgames.mdtgoogfull,マエストロ：暗黒の歌声(Full),49,FR,2016-11-26
com.martinmagni.mekorama.vr,MekoramaVR,50,FR,2016-11-26
com.magiccubegames.dumberleague,暴れん坊サッカーキング(DumberLeague),51,FR,2016-11-26
com.matchgems.fantasy_mosaics_19,FantasyMosaics19,52,FR,2016-11-26
com.glitchgames.theForgottenRoom,TheForgottenRoom,53,FR,2016-11-26
com.FD.PREMIUM,FANTASYDASHPREMIUMCx,54,FR,2016-11-26
com.storybird.pottawa,Pottawa,55,FR,2016-11-26
