app_id,app_name,rank,country_code,date
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),1,FR,2017-09-13
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,2,FR,2017-09-13
com.king.candycrushsaga,キャンディークラッシュ,3,FR,2017-09-13
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),4,FR,2017-09-13
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),5,FR,2017-09-13
com.adopteunmec.androidfr,AdopteUnMec,6,FR,2017-09-13
com.king.candycrushsodasaga,キャンディークラッシュソーダ,7,FR,2017-09-13
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,8,FR,2017-09-13
zombie.survival.craft.z,LastDayonEarth:Survival,9,FR,2017-09-13
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,10,FR,2017-09-13
com.tinder,Tinder,11,FR,2017-09-13
com.netflix.mediaclient,Netflix,12,FR,2017-09-13
com.nianticlabs.pokemongo,PokémonGO,13,FR,2017-09-13
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),14,FR,2017-09-13
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,15,FR,2017-09-13
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),16,FR,2017-09-13
com.igg.castleclash_fr,CastleClash:Unefêtehéroïque,17,FR,2017-09-13
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,18,FR,2017-09-13
com.kabam.marvelbattle,MARVELオールスターバトル,19,FR,2017-09-13
com.google.android.apps.docs,Googleドライブ,20,FR,2017-09-13
net.isitlove.mysteryspell.drogo,Is-itLove?Drogo-Vampire,21,FR,2017-09-13
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,22,FR,2017-09-13
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,23,FR,2017-09-13
com.epicwaronline.ms,モバイルストライク【MobileStrike】,24,FR,2017-09-13
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,25,FR,2017-09-13
com.klab.bleach,BLEACHBraveSouls,26,FR,2017-09-13
com.gtarcade.lod,LegacyofDiscord-FuriousWings,27,FR,2017-09-13
com.king.bubblewitch3,バブルウィッチ3,28,FR,2017-09-13
com.king.farmheroessaga,ファームヒーロー,29,FR,2017-09-13
com.namcobandaigames.spmoja010E,ONEPIECETREASURECRUISE,30,FR,2017-09-13
net.lovoo.android,LOVOO-FreeDatingChat,31,FR,2017-09-13
com.longtech.lastwars.gp,LastEmpire–WarZゾンビサバイバル,32,FR,2017-09-13
com.zynga.livepoker,Zyngaポーカー,33,FR,2017-09-13
com.bandainamcoent.narutoblazingna,UltimateNinjaBlazing,34,FR,2017-09-13
com.rgames.konsama.fr,SoulReapers:ÉveilSpirituel,35,FR,2017-09-13
com.innogames.foeandroid,ForgeofEmpires,36,FR,2017-09-13
com.playrix.township,タウンシップ(Township),37,FR,2017-09-13
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),38,FR,2017-09-13
com.nintendo.zaba,ファイアーエムブレムヒーローズ,39,FR,2017-09-13
