app_id,app_name,rank,country_code,date
lagamerie.tamereenslip,TaMèreEnSlip,1,FR,2017-12-31
com.buffstudio.timingheropaid,勇者はタイミングVIP:レトロ対戦アクションRPG,2,FR,2017-12-31
com.rprod.sevenwonders,7Wonders,3,FR,2017-12-31
com.devolver.reigns2,Reigns:HerMajesty,4,FR,2017-12-31
com.headupgames.bridgeconstructorportal,BridgeConstructorPortal,5,FR,2017-12-31
com.printedpropshop.dokkos,DokkOS,6,FR,2017-12-31
com.tocaboca.tocapets,TocaLife:Pets,7,FR,2017-12-31
com.t2ksports.nba2k18and,NBA2K18,8,FR,2017-12-31
com.lohigno.pixelwhiteamoled,PixelOreo8WhiteAMOLEDUX-IconPack,9,FR,2017-12-31
com.gameloft.android.ANMP.GloftICHM,SonicRunnersAdventure,10,FR,2017-12-31
com.FightArenaMinigames.FightArenaMinigamesBomberBattle,オンラインで爆撃機の戦い,11,FR,2017-12-31
com.adriaandejongh.hiddenfolks,HiddenFolks,12,FR,2017-12-31
com.oddworld.NNT,Oddworld:New'n'Tasty,13,FR,2017-12-31
com.graph.weather.forecast.channel.pro,WeatherForecastpro,14,FR,2017-12-31
com.sofarsogood.incredibox,Incredibox,15,FR,2017-12-31
com.climapro.weather,天気予報Pro,16,FR,2017-12-31
mytown.mall,MyTown:ショッピングモール,17,FR,2017-12-31
divinergie.com,Divinergie,18,FR,2017-12-31
com.robotgentleman.game60seconds,60Seconds!AtomicAdventure,19,FR,2017-12-31
com.sagosago.Sleds.googleplay,SagoMiniスノーデー,20,FR,2017-12-31
com.devolver.dropsy,Dropsy,21,FR,2017-12-31
com.noodlecake.vignettes,Vignettes,22,FR,2017-12-31
ma.safe.bnpremium,BreakingNewsPremium,23,FR,2017-12-31
com.lohigno.miuiwhiteamoled,Miui9WhiteAMOLEDUX-IconPack,24,FR,2017-12-31
com.rainystudio.outlixiconpack,Outlix-IconPack,25,FR,2017-12-31
com.robot_circus.TTE,TickettoEarth,26,FR,2017-12-31
com.fazilettakvimi.fazilettakvimi,FaziletTakvimiPro,27,FR,2017-12-31
com.dbSoftware.arksiepro,ARKサバイバルアイランドは3Dを進化させますPRO,28,FR,2017-12-31
com.edzondm.frosbit.kwgt,FrosbitKWGT,29,FR,2017-12-31
org.hostedgames.samuraiofhyuga3,SamuraiofHyuga3,30,FR,2017-12-31
com.Amrita.RiddlordConsequence,謎掛け王:結果,31,FR,2017-12-31
com.kpixgames.PathPixTime,PathPixTime,32,FR,2017-12-31
com.lge.wsdeveloper.v30.lguxblack,BlackThemeforLGV30andG6,33,FR,2017-12-31
com.earlsapps.aa2pro,Aa2Pro,34,FR,2017-12-31
com.SeraLogic.SliderMania_Nature_PRO,SliderManiaNaturePro,35,FR,2017-12-31
com.smsbackup.leonardocezary.smsimporter.pro,ImportSMSfromWindowsPhonePRO,36,FR,2017-12-31
com.bowengames.pullingusa2,PullingUSA2,37,FR,2017-12-31
com.sonymobile.themes.diamantecarrier,XPERIA™DiamanteCarrierTheme,38,FR,2017-12-31
com.fiftyinch.quicktune7,QuickTune7,39,FR,2017-12-31
jp.co.capcom.kenji1en,AceAttorneyInvestigations-MilesEdgeworth,40,FR,2017-12-31
com.OnSoft.SmartWatchNotification,SmartWatchNotification,41,FR,2017-12-31
com.visionbooks.facestar,FacestarApp,42,FR,2017-12-31
com.USATeam.TTPro,TubeTycoon,43,FR,2017-12-31
com.sonymobile.themes.butterfly,XPERIA™ButterflyTheme,44,FR,2017-12-31
minimo2kwgt.kustom.pack,minimo-2KWGT,45,FR,2017-12-31
com.classicdesignironic.kustom.pack,klwpClassicTheme,46,FR,2017-12-31
at.ncn.virusremove2018,VirusRemover2018-AntivirusPRO,47,FR,2017-12-31
se.xperia.thegreen.santaski,Xperia™用サンタスキーヤー,48,FR,2017-12-31
com.vertumus.pireo,Pireo-Pixel/OreoIconPack,49,FR,2017-12-31
com.daily.weather.forecast.weather.pro,weatherpro,50,FR,2017-12-31
com.ebsv.store.autels_et_destinees__,EBSV,51,FR,2017-12-31
com.ngocgiap.lgtheme.black,StockBlackThemeforLGV30G6V20G5,52,FR,2017-12-31
com.rainystudio.xbackiconpack,XBack-IconPack,53,FR,2017-12-31
com.genewarrior.touchremove2,TouchRemove2018,54,FR,2017-12-31
visageweather.kustom.pack,VisageWeatherforKustom,55,FR,2017-12-31
com.specialistbetting.specialistbettingtipsspecialvip,SpecialistBettingTipsSpecialVIP,56,FR,2017-12-31
com.specialistbetting.specialistbettingtipsvip,SpecialistBettingTipsVIP,57,FR,2017-12-31
com.screwbar.gudakcamera,GudakCam,58,FR,2017-12-31
com.lgdstudio.ilivegoldedition,iLive-GoldEdition,59,FR,2017-12-31
com.message.imessenger.os12,iMESS:iMessenger12(ProVesion),60,FR,2017-12-31
com.carwebguru.theme.road,Road-themeforCarWebGurulauncher,61,FR,2017-12-31
gypsyjazz.jamstring.com,65GypsyJazzGuitarLicks,62,FR,2017-12-31
com.my.jump,MyJump2:Measureyourjump,63,FR,2017-12-31
net.colino.stravaautostartstop,Stravomatic,64,FR,2017-12-31
ru.gamedevteam.mechcom3,MechCom3-3DRTS,65,FR,2017-12-31
com.SportTipsSerrabizarro,Sportipserrabizarro,66,FR,2017-12-31
com.thegosa.newyearholidays.xperiatheme,NewYear'sholidays|Xperia™Theme,67,FR,2017-12-31
usefulwidgets.kustom.pack,UsefulWidgetsforKWGT,68,FR,2017-12-31
com.jaredforsyth.gravitron,Gravitron-masterinterstellargravity,69,FR,2017-12-31
com.voyageto.messenger,MessengerVoyage,70,FR,2017-12-31
com.lge.wsdeveloper.ironmanv30,JARVISThemeLGV30&G6,71,FR,2017-12-31
com.sparkgenius.TGGWordGenerator,TheGameGal'sWordGenerator,72,FR,2017-12-31
rammor.wmwatch.WhiteWarrior,Whitewarriorwatchface,73,FR,2017-12-31
es.planells.intercambio,Intercambio,74,FR,2017-12-31
memento.mori.mementomori,MementoMori:WeCroakOurTime,75,FR,2017-12-31
com.elevensport.vip,ElevenVip,76,FR,2017-12-31
com.wodtimecalculator.ondrejsevcik.travelwods,TravelWODs|HomeWorkoutsCollection,77,FR,2017-12-31
com.direwolfdigital.lotus,LotusDigital,78,FR,2017-12-31
slow.arkm,SlowŞarkım,79,FR,2017-12-31
com.batts.psf2017,ProStrategyFootball2018,80,FR,2017-12-31
com.exbet.vip33,ExbetVipSpecial,81,FR,2017-12-31
com.quantized.shootout,ShootoutonCashIsland,82,FR,2017-12-31
com.tohsoft.cleaner.pro,Cleaner-BoostMobilePro,83,FR,2017-12-31
appdevgenie.ultimatecalculator,UltimateCalculator,84,FR,2017-12-31
hanouka.robinnataf.hanoukaleslumiresdelavie,HanoukaLesLumièresdelaVie,85,FR,2017-12-31
com.hawknroll.northcott,JeudeNorthcott,86,FR,2017-12-31
com.lknniex.gion,GION-IconPack(BETA),87,FR,2017-12-31
com.leomaz.flatx,FlatXOreo-IconPack,88,FR,2017-12-31
com.carbon.kustom.pack,KlwpCarbon,89,FR,2017-12-31
com.mw.oled4kprowallpapers,OLED4K壁紙集PRO👑,90,FR,2017-12-31
com.archerusdesigns.melodimediawidgets,MelodiforKustom,91,FR,2017-12-31
com.notadesigns.bluealien,BlueAlienNDXperiaTheme,92,FR,2017-12-31
com.notadesigns.traveltomexico,MexicoNDXperiaTheme,93,FR,2017-12-31
com.notadesigns.traveltogreece,GreeceNDXperiaTheme,94,FR,2017-12-31
com.notadesigns.traveltoegypt,EgyptNDXperiaTheme,95,FR,2017-12-31
com.themestudio.miux,MiUX-IconPack,96,FR,2017-12-31
com.gtp.nextlauncher.theme.spikerosemaryblue,VirginMaryBlue3DNextLaunchertheme,97,FR,2017-12-31
com.bluefactory.forxperiathemexseries,ForXperiaThemeXSeries,98,FR,2017-12-31
com.wangjie.ifctt,IFCTT-BasedonIFTTT|Automate|Clipboard,99,FR,2017-12-31
com.adrian.hintat,20слов.Намёк,100,FR,2017-12-31
mspj046.kustom.pack,MS-PJ046TemeforKLWP,101,FR,2017-12-31
com.liberty.launcher.simplehome,SimpleBoxAndroidTVBOXlauncher,102,FR,2017-12-31
com.hubaira.thinthin,Xperia™Theme-Thin,103,FR,2017-12-31
com.line.weather.forecast.hourly.pro,WeatherPro(noAds),104,FR,2017-12-31
countdownhome.kustom.pack,CountdownHomeforKLWP,105,FR,2017-12-31
com.hirota41.misphereconverter,MiSphereConverter,106,FR,2017-12-31
com.fivebn.ll5.full,ロスト・ランド5(Full),107,FR,2017-12-31
com.wb.goog.it.escape,IT／イット“それ”が見えたら、終わり。Cardboard,108,FR,2017-12-31
wifihotspot.tethering.wifirepeater,RouterNetPro-WifiRepeater,109,FR,2017-12-31
appinventor.ai_hangel_audio.Ball_speed,BallSpeed,110,FR,2017-12-31
com.alarmclock.remind.pro,目覚まし時計,111,FR,2017-12-31
jams.themesmorsan.oasis,Oasis:XperiaTheme,112,FR,2017-12-31
com.pixelcurves.tlauncher,TLBeta,113,FR,2017-12-31
preferenceuiforklwp.kustom.pack,PreferenCE,114,FR,2017-12-31
fr.Netizis.Educampa1000MotsPro,1000MotsPro/Apprendreàlire,115,FR,2017-12-31
com.zico.cartoonfacechangerpro,CartoonFaceChangerPro,116,FR,2017-12-31
org.kustom.totalperformanceuikustom,TotalPerformanceUIKustom/Klwp,117,FR,2017-12-31
com.loteapp.iosvideoeditor.imovie.iphonevideo.pro,FreeMovieEdittingPro(NoAds),118,FR,2017-12-31
com.exatools.skitrackergold,スキートラッカーゴールドエディション,119,FR,2017-12-31
sportapp.BodyScores,BodyScores,120,FR,2017-12-31
com.loteapp.iosvideoeditor.imovie.iphonevideo.pro,FreeMovieEdittingPro(NoAds),121,FR,2017-12-31
com.exatools.skitrackergold,スキートラッカーゴールドエディション,122,FR,2017-12-31
sportapp.BodyScores,BodyScores,123,FR,2017-12-31
com.rainystudio.meedarkiconpack,MeeDark-IconPack,124,FR,2017-12-31
com.IcarusGameKing.Game121,3DBowlingArenaChampionGamePREMIUM,125,FR,2017-12-31
com.mindzgroup.nanopoolmonitor.zec,NanopoolMonitor(ZCash),126,FR,2017-12-31
com.happeningnow.blebrity,BLeBRiTY,127,FR,2017-12-31
com.bodybuilding.android_onerepmax,1-RM,128,FR,2017-12-31
com.ifp.pondicherry,Pondicherry,129,FR,2017-12-31
net.cleverbit.PuzzlesForKidsFull,"FunnyAnimalPuzzlesforKids,fullgame",130,FR,2017-12-31
com.spaceman.wallpapers,VectoRiseWallpapers,131,FR,2017-12-31
com.appmosaic.photoalbum,PhotoAlbumWatchFace,132,FR,2017-12-31
com.NewNordicGames.KillingPenguinsAndEatingDogs,KillingPenguins&EatingDogs,133,FR,2017-12-31
inoncohenapps.icons9,S9IconPack,134,FR,2017-12-31
mspj047.kustom.pack,MS-PJ047ThemeforKLWP,135,FR,2017-12-31
com.chitshiv.canyontheme,CanyonTheme,136,FR,2017-12-31
com.foolsdog.monstarot,Monstarot,137,FR,2017-12-31
ltpack.kustom.pack,LTPackForKLWP,138,FR,2017-12-31
app.gozdefikirblog.net,ŞifreÇözmeTekniği,139,FR,2017-12-31
com.vermax.santaclausanta,НовогодниециферблатыСантаКлаусантапак,140,FR,2017-12-31
uk.co.bluezoo.meetthealphablocks2,Alphablocks-LetterFun!,141,FR,2017-12-31
