app_id,app_name,rank,country_code,date
com.hktve.viutv,ViuTV,1,HK,2018-06-26
com.hkmo.dzm2,大掌門之古龍學院,2,HK,2018-06-26
com.nexon.da3.global,DarknessRises,3,HK,2018-06-26
com.pccw.nowemobile,NowE,4,HK,2018-06-26
com.tencent.mm,WeChat,5,HK,2018-06-26
com.ss.android.ugc.trill,TikTok,6,HK,2018-06-26
com.whatsapp,WhatsAppMessenger,7,HK,2018-06-26
com.tencent.ig,PUBGMOBILE,8,HK,2018-06-26
com.h8games.helixjump,HelixJump,9,HK,2018-06-26
com.fifa.fifaapp.android,2018FIFAWorldCupRussia™OfficialApp,10,HK,2018-06-26
com.pccw.theclub,THE_CLUB,11,HK,2018-06-26
com.kmb.app1933,APP1933-KMB．LWB,12,HK,2018-06-26
com.facebook.orca,Messenger,13,HK,2018-06-26
swift.cleaner.ram.booster.pro,SwiftCleaner,14,HK,2018-06-26
hk.alipay.wallet,AlipayHK-香港人的支付寶,15,HK,2018-06-26
com.playgendary.kickthebuddy,KicktheBuddy,16,HK,2018-06-26
com.youku.phone,优酷视频-世界杯赛事全程高清直播,17,HK,2018-06-26
com.tencent.livemaster,VOOV-LiveStreamYourselfNow,18,HK,2018-06-26
com.taobao.taobao,淘宝,19,HK,2018-06-26
hk.com.hsbc.paymefromhsbc,PayMefromHSBC,20,HK,2018-06-26
com.tvb.mytvsuper,myTVSUPER,21,HK,2018-06-26
com.playgendary.kniferush,KnifeRush,22,HK,2018-06-26
com.playgendary.tanks,TankStars,23,HK,2018-06-26
com.supertapx.lovedots,LoveBalls,24,HK,2018-06-26
com.mcdonalds.gma.hongkong,McDonald's®App,25,HK,2018-06-26
com.puzzlegame.puzzledom,Puzzledomパズルダムシンプルで頭が良くなるパズル,26,HK,2018-06-26
com.facebook.katana,Facebook,27,HK,2018-06-26
com.tencent.ibg.joox,"JOOXMusic-FreeStreaming,LiveandKaraoke",28,HK,2018-06-26
com.efun.hmzq,CMMChampionsManagerMobasaka,29,HK,2018-06-26
jp.neoscorp.edu.shinchan,クレヨンしんちゃんお手伝い大作戦,30,HK,2018-06-26
com.instagram.android,Instagram,31,HK,2018-06-26
com.circlek.loyalty,OK齊齊印,32,HK,2018-06-26
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,33,HK,2018-06-26
com.google.android.apps.translate,Google翻訳,34,HK,2018-06-26
com.nitro.underground,ワンタップクリーナー-電話クリーナーとスピードブースター,35,HK,2018-06-26
tw.mobileapp.qrcode.banner,QRコードリーダー,36,HK,2018-06-26
com.sec.android.app.sbrowser,SamsungInternetBrowser,37,HK,2018-06-26
com.sthonore,聖安娜蛋糕在線,38,HK,2018-06-26
com.pccw.clubsim,ClubSIM,39,HK,2018-06-26
com.nwfb,CitybusNWFB,40,HK,2018-06-26
com.eg.android.AlipayGphone,Alipay,41,HK,2018-06-26
hko.MyObservatory_v1_0,MyObservatory(我的天文台),42,HK,2018-06-26
com.sega.sakatsukurtw.world,SEGAPOCKETCLUBMANAGER,43,HK,2018-06-26
com.ludia.jurassicworld,JurassicWorld™:ザ·ゲーム,44,HK,2018-06-26
euro.pccw.view,Now體育,45,HK,2018-06-26
com.thecarousell.Carousell,"Carousell:Snap-Sell,Chat-Buy",46,HK,2018-06-26
com.supertapx.drawin,DrawIn,47,HK,2018-06-26
com.google.android.play.games,GooglePlayゲーム,48,HK,2018-06-26
com.wildland.animalsniper.deerhunting,WildlandAnimalHunting,49,HK,2018-06-26
com.ea.gp.fifamobile,FIFAサッカー:FIFAワールドカップ,50,HK,2018-06-26
com.tygame.game19,リア充撲滅-落とし穴を作る脱出ゲーム,51,HK,2018-06-26
com.sundaytoz.astove.wbb,ぼくらベアベアーズMatch3Repairs,52,HK,2018-06-26
app.qrcode,【高速+無料】QRコード読み取りアプリ：QRコードリーダー読み取り無料人気,53,HK,2018-06-26
com.sceneway.kankan.market3,千尋影視-電影電視劇動漫綜藝少兒免費視頻在線觀看,54,HK,2018-06-26
com.octopuscards.nfc_reader,Octopus,55,HK,2018-06-26
com.icantw.tsjy,天使紀元,56,HK,2018-06-26
com.gamedreamer.fbtw,FinalBlade：英雄不滅,57,HK,2018-06-26
hk.com.hsbc.hsbchkmobilebanking,HSBCHKMobileBanking,58,HK,2018-06-26
com.fast.cleaner.boost.master.free,SuperFastCleaner-Boost&Clean,59,HK,2018-06-26
com.gamedevltd.wwh,ワールドウォーヒーローズ：第二次世界大戦FPS戦争ゲーム,60,HK,2018-06-26
com.facebook.mlite,MessengerLite:無料通話とメッセージ,61,HK,2018-06-26
com.nextmedia,AppleDaily蘋果動新聞,62,HK,2018-06-26
jp.naver.line.android,LINE（ライン）-無料通話・メールアプリ,63,HK,2018-06-26
com.hktv.android.hktvmall,HKTVmall–網上購物,64,HK,2018-06-26
ctrip.english,Trip.com–航空券＆ホテル,65,HK,2018-06-26
com.clear.cache.app,透明キャッシュクリーナーライト,66,HK,2018-06-26
com.ludia.jw2,JurassicWorld™어라이브,67,HK,2018-06-26
com.sec.android.easyMover,GalaxySmartSwitchMobile,68,HK,2018-06-26
com.playmini.miniworld,MiniWorldBlockArt,69,HK,2018-06-26
