app_id,app_name,rank,country_code,date
com.netease.idv.googleplay,IdentityV,1,HK,2018-08-23
com.xlegend.FFR.hk,幻想神域-千萬人期待冒險正式啟航,2,HK,2018-08-23
com.h8games.helixjump,HelixJump,3,HK,2018-08-23
com.sangoku2.android,真三國大戰2,4,HK,2018-08-23
com.brokenreality.planemerger.android,MergePlane-Click&IdleTycoon,5,HK,2018-08-23
com.playgendary.tom,TomboftheMask,6,HK,2018-08-23
com.fortune.sim.game.cash,HelloStars,7,HK,2018-08-23
com.tencent.ig,PUBGMOBILE,8,HK,2018-08-23
com.garena.game.hdltw,Garena魂斗羅：歸來,9,HK,2018-08-23
jp.co.imagineer.sumikkogurashi.sumisumi,すみすみ～まったりパズル～,10,HK,2018-08-23
io.voodoo.holeio,Hole.io,11,HK,2018-08-23
com.outfit7.talkingtomcandyrun,トーキング・トムのキャンディ・ラン,12,HK,2018-08-23
com.supercell.brawlstars,BrawlStars,13,HK,2018-08-23
com.nexon.maplem.global,MapleStoryM,14,HK,2018-08-23
com.king.solgard,レジェンド・オブ・ソルガード,15,HK,2018-08-23
com.wsy.google.hk.wansuiye,叫我萬歲爺——皇帝宮廷養成手遊,16,HK,2018-08-23
com.playgendary.kickthebuddy,KicktheBuddy,17,HK,2018-08-23
com.cmplay.tiles2,ピアノタイル2™,18,HK,2018-08-23
com.playground.ftm.gp,魔導少年-最強公會,19,HK,2018-08-23
com.supertapx.lovedots,LoveBalls,20,HK,2018-08-23
com.gameloft.android.ANMP.GloftA9HM,アスファルト9：Legends-2018年最新レーシングゲーム,21,HK,2018-08-23
com.a.one.gh,那一劍江湖,22,HK,2018-08-23
com.king.candycrushsaga,キャンディークラッシュ,23,HK,2018-08-23
com.eyu.piano,MagicPianoTiles2018,24,HK,2018-08-23
com.HighbrowInteractive.Railroad,道を通れ,25,HK,2018-08-23
tw.xdg.and.lhjx,獵魂覺醒,26,HK,2018-08-23
com.nianticlabs.pokemongo,PokémonGO,27,HK,2018-08-23
com.dopuz.jump.stack,KeepJump–FlappyBlockJumpGames3D,28,HK,2018-08-23
com.ea.gp.simsmobile,TheSims シムズ ポケット,29,HK,2018-08-23
ru.azurinteractive.robotwarfare,ロボットウォーフェア,30,HK,2018-08-23
com.riseup.game,RiseUp,31,HK,2018-08-23
com.gta.real.gangster.crime,RealGangsterCrime,32,HK,2018-08-23
com.turbochilli.rollingsky,ローリング・スカイ,33,HK,2018-08-23
com.differencetenderwhite.skirt,ブロックパズルジュエル,34,HK,2018-08-23
com.gm99.clx,江湖大夢,35,HK,2018-08-23
com.Obliqueline.MadRunnerKo,マッドランナー:パルクール、面白い、ハード！,36,HK,2018-08-23
com.garena.game.kgtw,Garena傳說對決-戰場2.0,37,HK,2018-08-23
com.roblox.client,ROBLOX,38,HK,2018-08-23
com.sponge.stayalive,無人島で生き残れ！,39,HK,2018-08-23
