app_id,app_name,rank,country_code,date
com.gamedreamer.mcwyhk,仙境迷城-日系暖心之作感動千萬人,1,HK,2016-12-04
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,2,HK,2016-12-04
com.longtech.lastwars.gp,ラストエンパイアウォーZ,3,HK,2016-12-04
com.netmarble.stoneage,StoneAgeBegins,4,HK,2016-12-04
com.com2us.acefishing.normal.freefull.google.global.android.common,釣りオン！,5,HK,2016-12-04
com.netmarble.mherosgb,MARVELFutureFight,6,HK,2016-12-04
com.machinezone.gow,ゲーム・オブ・ウォー【GameofWar】,7,HK,2016-12-04
com.nexon.hit.global,HIT,8,HK,2016-12-04
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),9,HK,2016-12-04
com.efun.jxqy.hk,劍俠情緣港澳版,10,HK,2016-12-04
tw.com.iwplay.sdsxs,聖鬥士星矢3D,11,HK,2016-12-04
com.linecorp.LGRGS,LINEレンジャー,12,HK,2016-12-04
jp.co.mixi.monsterstrikeTW,怪物彈珠,13,HK,2016-12-04
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,14,HK,2016-12-04
com.igg.android.lordsmobile,ロードモバイル,15,HK,2016-12-04
com.nianticlabs.pokemongo,PokémonGO,16,HK,2016-12-04
com.bandainamcoent.seiyazbtw,聖闘士星矢小宇宙幻想傳(ゾディアックブレイブ)【台湾版】,17,HK,2016-12-04
com.sixwaves.threekingdoms,逐鹿三國-策略戰爭遊戲諸葛亮呂布曹操名將對決,18,HK,2016-12-04
tw.com.iwplay.sd,射鵰英雄傳3D,19,HK,2016-12-04
jp.konami.pesm,PESCOLLECTION,20,HK,2016-12-04
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,21,HK,2016-12-04
com.gm99.mjhk,創世破曉:genesis,22,HK,2016-12-04
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),23,HK,2016-12-04
com.joycity.god,ダイスの神,24,HK,2016-12-04
tw.wonderplanet.CrashFever,CrashFever,25,HK,2016-12-04
