app_id,app_name,rank,country_code,date
com.netease.mrzhna,LifeAfter-明日之后,1,HK,2019-02-04
games.wfs.anothereden,ANOTHEREDEN,2,HK,2019-02-04
com.garena.game.fctw,GarenaSpeedDrifters,3,HK,2019-02-04
com.iamrich.tw,我比你有錢-首富人生模擬經營手遊,4,HK,2019-02-04
com.kimi.ggplay.lqtw,瑪奇-夢想生活,5,HK,2019-02-04
com.archly.heroes,IdleSummoner-FunGames,6,HK,2019-02-04
com.panzerdog.tacticool,Tacticool-5対5のシューティングバトル,7,HK,2019-02-04
com.gameone.dthar,正牌龍虎門,8,HK,2019-02-04
com.eskyfun.csygp,將夜行,9,HK,2019-02-04
com.gpp.sushibar,SushiBar,10,HK,2019-02-04
com.avalon.caveonline.global.googleplay,TheGreedyCave2:TimeGate,11,HK,2019-02-04
com.prism.eva.tw,EVA-新世紀福音戰士正版授權,12,HK,2019-02-04
com.gm99.qhjx,格鬥天王M：拳皇2019,13,HK,2019-02-04
com.yoda.and.twsgdh,三國大亨,14,HK,2019-02-04
com.gat.wydsf,我要當首富—休閒模擬經營養成遊戲,15,HK,2019-02-04
com.nuevo.tgame.wgtw,格鬥！萌戰姬,16,HK,2019-02-04
com.dalcomsoft.ssp,SuperStarPLEDIS,17,HK,2019-02-04
com.thesmartmelon.TopWaveTr,一億小目標,18,HK,2019-02-04
com.nflmanager.footballgame,フットボールヒーロー,19,HK,2019-02-04
com.matteljv.uno,UNO!™,20,HK,2019-02-04
com.gamevil.es2.android.google.global.normal,艾倫奇想,21,HK,2019-02-04
com.senses.ks.phx,凱薩,22,HK,2019-02-04
com.chillyroom.happy,WeHappyRestaurant,23,HK,2019-02-04
tw.sonet.aga,機戰少女Alice,24,HK,2019-02-04
com.poseidongame.lshk,流星群俠傳-跨世代競技武俠手遊,25,HK,2019-02-04
com.enp.jewels2.google,JewelsPalace:FantasticMatch3adventure,26,HK,2019-02-04
com.yodo1.hanglinerescue,ハング・ライン：ザ・アドベンチャー,27,HK,2019-02-04
com.eyougame.mysh,永恆:宿命起源,28,HK,2019-02-04
com.ludia.dragon3,Dragons:TitanUprising,29,HK,2019-02-04
com.originmood.mhdq,劍雨柔情-以你為名的江湖,30,HK,2019-02-04
com.sinyee.babybus.goodbaby,ベビーパンダの家族と友だち,31,HK,2019-02-04
com.twoz.hyper.cartoon.merge.car,MergeCar,32,HK,2019-02-04
com.zhanxian.and,戰仙,33,HK,2019-02-04
com.gamehouse.hm4gp,ハートの治療薬―医師の誓い,34,HK,2019-02-04
com.freegame.carsmasher,CarSmasher,35,HK,2019-02-04
com.mini.craft.minicraft.adventure.apps,Worldbuilding,36,HK,2019-02-04
com.touchplay.dragon,傳奇之戰,37,HK,2019-02-04
com.junesoftware.maskgun,MaskGun®MultiplayerFPS-無料シューティングゲーム,38,HK,2019-02-04
com.rovio.dream,アングリーバードドリームブラスト,39,HK,2019-02-04
com.firefly.dreamworks.dwuol,DreamWorksUniverseofLegends,40,HK,2019-02-04
es.socialpoint.chefparadise,クッキング・タウン(TastyTown),41,HK,2019-02-04
com.clement.ballmayhem,BallMayhem!,42,HK,2019-02-04
com.sinyee.babybus.logical,リトルパンダの脳トレ,43,HK,2019-02-04
com.v3.pingu.merge.plane,PlaneMerger,44,HK,2019-02-04
com.tap4fun.seagame.gplay,SeaGame:MegaCarrier,45,HK,2019-02-04
com.kingstar.harbingers.gp,Harbingers-InfinityWar,46,HK,2019-02-04
