app_id,app_name,rank,country_code,date
com.tencent.tmgp.ssktw,聖鬥士星矢：覺醒,1,HK,2019-03-21
com.cyberstep.toreba.android,クレーンゲーム「トレバ」,2,HK,2019-03-21
com.bandainamcoent.dblegends_ww,DRAGONBALLLEGENDS,3,HK,2019-03-21
com.szckhd.jwgly.azfanti,叫我官老爺-原創宮廷模擬當官手游,4,HK,2019-03-21
com.more.dayzsurvival.gp,ラストシェルター：この国を守り抜く本格SLG、大人のゲーム,5,HK,2019-03-21
com.gamebeans.mhmnz,夢幻模擬戰,6,HK,2019-03-21
com.lilithgame.roc.gp,RiseofKingdoms,7,HK,2019-03-21
com.netease.idv.googleplay,IdentityV,8,HK,2019-03-21
com.xiaomeng.fategrandorder,Fate/GrandOrder,9,HK,2019-03-21
com.netease.mrzhna,ライフアフター,10,HK,2019-03-21
com.mover.twxkfy,俠客風雲傳Online,11,HK,2019-03-21
com.madhead.tos.zh,神魔之塔,12,HK,2019-03-21
com.nianticlabs.pokemongo,PokémonGO,13,HK,2019-03-21
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,14,HK,2019-03-21
com.garena.game.kgtw,Garena傳說對決,15,HK,2019-03-21
com.xlegend.laplace.hk,風色童話,16,HK,2019-03-21
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,17,HK,2019-03-21
com.hcg.cok.gp,クラッシュオブキングス:奇跡降臨,18,HK,2019-03-21
com.tencent.ig,PUBGMOBILE,19,HK,2019-03-21
com.garena.game.fctw,GarenaSpeedDrifters,20,HK,2019-03-21
com.wsy.google.hk.wansuiye,叫我萬歲爺——皇帝宮廷養成手遊,21,HK,2019-03-21
com.nxtomo.bfbhk,BFB,22,HK,2019-03-21
com.king.candycrushsaga,キャンディークラッシュ,23,HK,2019-03-21
com.bbgame.sgzapk.hk,新三國志手機版-光榮特庫摩授權,24,HK,2019-03-21
com.pearlabyss.blackdesertm.tw2,黑色沙漠MOBILE,25,HK,2019-03-21
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),26,HK,2019-03-21
com.stove.epic7.google,EpicSeven,27,HK,2019-03-21
com.sangoku2.android,真三國大戰2,28,HK,2019-03-21
com.netmarble.revolutionthm,Lineage2Revolution,29,HK,2019-03-21
com.klab.captain283.global,CaptainTsubasa:DreamTeam,30,HK,2019-03-21
com.google.android.apps.subscriptions.red,GoogleOne,31,HK,2019-03-21
com.netease.onmyoji.na,陰陽師本格幻想RPG,32,HK,2019-03-21
com.heyyogame.gd,一個官人七個妻,33,HK,2019-03-21
com.gravity.ro.and,RO仙境傳說：守護永恆的愛,34,HK,2019-03-21
com.nintendo.zaga,ドラガリアロスト,35,HK,2019-03-21
jp.co.mixi.monsterstrikeTW,怪物彈珠-RPG手機遊戲,36,HK,2019-03-21
tw.txwy.and.snqx,少女前線Girls'Frontline,37,HK,2019-03-21
com.bbgame.googlech.hk,新神鵰俠侶-金庸武俠大世界,38,HK,2019-03-21
com.special.warship,戦艦ファイナル-最後の戦い（最後の海戦を舞台にしたSLGの最高傑作）,39,HK,2019-03-21
com.longtech.lastwars.gp,LastEmpire–WarZゾンビサバイバル,40,HK,2019-03-21
com.neowizgames.game.browndust.srpg.global,ブラウンダスト(BrownDust),41,HK,2019-03-21
com.kimi.ggplay.bleachtw,死神BLEACH-正版授權手遊,42,HK,2019-03-21
jp.gungho.padHT,Puzzle&Dragons(龍族拼圖),43,HK,2019-03-21
com.linecorp.LGSDG,LINE:ガンダムウォーズ,44,HK,2019-03-21
games.wfs.anothereden,ANOTHEREDEN,45,HK,2019-03-21
com.droidhang.ad,アイデル・ヒーローズ～IdleHeroes～,46,HK,2019-03-21
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),47,HK,2019-03-21
com.game168.gameofmafia,黑道風雲：老大你來做,48,HK,2019-03-21
air.com.altamm.agames.mj13hk,開局(港式麻雀、碰槓牌、21點、德州撲克、魚蝦蟹、大細、黃金馬、老虎機、接龍),49,HK,2019-03-21
com.gm99.ylcs,鬼語迷城,50,HK,2019-03-21
com.memoriki.fullhousecasino,フルハウスカジノ～無料スロット＆ラスベガスカジノ～,51,HK,2019-03-21
com.netmarble.mherosgb,マーベル・フューチャーファイト,52,HK,2019-03-21
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,53,HK,2019-03-21
jp.konami.duellinks,遊戯王デュエルリンクス,54,HK,2019-03-21
com.softstargames.mswd,軒轅劍龍舞雲山,55,HK,2019-03-21
tw.sonet.princessconnect,超異域公主連結！Re:Dive,56,HK,2019-03-21
com.nexon.axe.global,AxE:AlliancevsEmpire,57,HK,2019-03-21
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),58,HK,2019-03-21
com.supercell.brawlstars,ブロスタ,59,HK,2019-03-21
com.fqj.twgp,焚情訣,60,HK,2019-03-21
com.yoka.sgs,三国杀,61,HK,2019-03-21
com.eskyfun.wddggp,將星物語-超佛系の三國育成手遊,62,HK,2019-03-21
com.ea.gp.fifamobile,FIFAサッカー,63,HK,2019-03-21
com.joycity.god,ダイスの神,64,HK,2019-03-21
hk.com.joybomb.evol,戀與製作人,65,HK,2019-03-21
com.carolgames.moemoegirls,我的學妹不可能那麼萌2,66,HK,2019-03-21
com.kimi.ggplay.lqtw,瑪奇-夢想生活,67,HK,2019-03-21
com.gamania.lineagem,天堂M,68,HK,2019-03-21
com.machipopo.media17,17Live（イチナナ）-ライブ配信アプリ,69,HK,2019-03-21
tw.wonderplanet.CrashFever,CrashFever：色珠消除RPG遊戲,70,HK,2019-03-21
com.king.candycrushsodasaga,キャンディークラッシュソーダ,71,HK,2019-03-21
com.poseidongame.qmzg,全民小小兵,72,HK,2019-03-21
com.empress,熹妃傳-第一部可以玩的宮鬥小說,73,HK,2019-03-21
com.gameone.dthar,正牌龍虎門,74,HK,2019-03-21
com.kabam.marvelbattle,MARVELオールスターバトル,75,HK,2019-03-21
com.playrix.homescapes,ホームスケイプ(Homescapes),76,HK,2019-03-21
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),77,HK,2019-03-21
com.miHoYo.bh3tw,崩壞3rd,78,HK,2019-03-21
com.sixwaves.threekingdoms,逐鹿三國2-君主降臨,79,HK,2019-03-21
hk.com.szn.kok,萬王之王3D,80,HK,2019-03-21
com.acfantastic.moreinlive,貓印直播-華人線上Live視頻直播聊天軟體,81,HK,2019-03-21
sg.bigo.live,BIGOLIVE（ビゴライブ)‐SNS系ライブ配信,82,HK,2019-03-21
jp.co.ponos.battlecatstw,貓咪大戰爭,83,HK,2019-03-21
com.linegames.dcglobal,DestinyChild,84,HK,2019-03-21
