app_id,app_name,rank,country_code,date
com.mentallab.criptex,MemoBox-MemoryChallenges,1,HK,2018-08-20
com.mdkaptan.ninjagames,NinjaFight,2,HK,2018-08-20
com.mjaoune.vemulatorpro,VeMUlatorPRO:DreamcastVMUemulator,3,HK,2018-08-20
com.codebrewgames.pocketcitygame,PocketCity,4,HK,2018-08-20
com.fchatnet.yourgamebooster,YourGameBoosterPro,5,HK,2018-08-20
com.grapefrukt.games.bore,holedown,6,HK,2018-08-20
com.wecomfrom.manoir,Manoir,7,HK,2018-08-20
com.chaozhuo.gameassistant.bit64,Octopus(64bit),8,HK,2018-08-20
com.pixelstar.DNPHVIP,ダンジョンXピクセルヒーローVIP,9,HK,2018-08-20
com.bulletjournal.companion,TheBulletJournalCompanion,10,HK,2018-08-20
com.udawos.ChernogFOTMArepub,Chernog:FortressoftheMadAdmiral,11,HK,2018-08-20
com.grannybaldi.baldisbasic.baldieducation.learningbaldis,BasicsEducationinSchool,12,HK,2018-08-20
thanhletranngoc.calculator.pro,広範囲の電卓Pro,13,HK,2018-08-20
air.com.flipline.papasscooperiatogo,Papa'sScooperiaToGo!,14,HK,2018-08-20
net.kairosoft.android.trade,出港！！コンテナ丸,15,HK,2018-08-20
com.wia.beeinthecity,BeeintheCity2018,16,HK,2018-08-20
com.eajy.launcher,XLauncher,17,HK,2018-08-20
com.jndapp.pixel.pie.iconpack,PixelPieIconPack,18,HK,2018-08-20
com.obuut.tankio.premium,タンク3Dオンラインマルチプレイ,19,HK,2018-08-20
kr.co.smartstudy.pinkfongpolice_android_googlemarket,ピンキッツ！泥棒を捕まえろ,20,HK,2018-08-20
wonderland.mermaid,Wonderland:LittleMermaid,21,HK,2018-08-20
com.redmintgames.rogueDrone,RogueDrone,22,HK,2018-08-20
com.longdaica.xlsoft.smartanswercall,SmartAnswerCall,23,HK,2018-08-20
se.laxton.ghost,GhostTrackerEMFEVPRecorder,24,HK,2018-08-20
de.brettspielwelt.ganzschoenclever,Ganzschönclever,25,HK,2018-08-20
co.uk.wixgames.ducklifebattle,DuckLife:Battle,26,HK,2018-08-20
com.iqfs.draftkit,DraftKit'18forNFL-FantasyFootballAssistant,27,HK,2018-08-20
com.MikaMobile.BattleheartReturns,Battleheart2,28,HK,2018-08-20
com.kookybytes.notidialer,NotiDialer-DialDirectlyFromLockScreen,29,HK,2018-08-20
com.classicalconversations.tutorials.cycle1,FoundationsMemoryWorkC1,30,HK,2018-08-20
com.footballguys.FBGLineup2018,FantasyFootballLineupDominator2018,31,HK,2018-08-20
com.salman_sllas.app_text2_speech,TexttoSpeech(PRO),32,HK,2018-08-20
com.iappcreation.pastelkeyboard,PastelKeyboardThemeColor-Addcolorfuldesign,33,HK,2018-08-20
insectidentification.cryptosoft.com.insectidentification,InsectIdentifier,34,HK,2018-08-20
com.jndapp.arrow.iconpack,ARROWIconPack,35,HK,2018-08-20
org.skvalex.cr.unlock,CallRecorderUnlock,36,HK,2018-08-20
com.wereviz.evolution,OneHourOneLifeforMobile,37,HK,2018-08-20
com.madmax.bettervpnpro,BetterVPNPro-UnlimitedVPN&WiFiPrivacy,38,HK,2018-08-20
com.tocaboca.tocatrain,TocaTrain,39,HK,2018-08-20
com.footballguys.FBGRoster2018,FantasyFootballWaiver&TradeDominator2018,40,HK,2018-08-20
com.asmodeedigital.kingandassassins,KingandAssassins:TheBoardGame,41,HK,2018-08-20
com.hiugo.stardewvalley,StardewValleyPlanner,42,HK,2018-08-20
com.tost.frederic.easytalk.pro,EasyTalkPro(sourds&malentendants),43,HK,2018-08-20
domain.com.jmmedia.blackveganrecipes,BlackVeganRecipes,44,HK,2018-08-20
com.lge.theme.markbencze.pixelexperience,PixelExperienceThemeforLGV30LGG6,45,HK,2018-08-20
br.com.lumts.nossoanime,NossoAnime,46,HK,2018-08-20
com.dalong.mp3.downloader.vip,MP3MusicDownloaderForVIP,47,HK,2018-08-20
com.eakteam.networkmanager.pro,NetworkManager-NetworkTools&Utilities(Pro),48,HK,2018-08-20
com.cardcounting.android.lite,CardCountingSimulatorLITE,49,HK,2018-08-20
com.bornehltd.dda,DDA-InternetDownloadManager,50,HK,2018-08-20
tv.gabbyb.spiritjunkie,SpiritJunkie,51,HK,2018-08-20
com.matchgems.fantasy_mosaics_30,FantasyMosaics30:CampingTrip,52,HK,2018-08-20
com.yuumamobile.GYSSecimMuduru,YSKSeçimMüdürüHazırlık,53,HK,2018-08-20
com.arsalanengr.wave.recorder,WaveRecorder-EasyquickrecordWAVPRO,54,HK,2018-08-20
fs.wmwatch.aquapro,AquaProWatchFaceForWatchMakerUsers,55,HK,2018-08-20
com.bornehltd.barandovpn,"BarandoVPN-SuperFastProxy,SecureHotspotVPN",56,HK,2018-08-20
com.csreporters.oneroomuniform,OneRoomVR花坂結衣は引越してくる-制服編,57,HK,2018-08-20
air.com.flipline.papasscooperiahd,Papa'sScooperiaHD,58,HK,2018-08-20
com.allchan.sct,십짱티!,59,HK,2018-08-20
com.greatapps.relaxiano,Relaxiano-relaxsoundscalmmeditatesleeprelax,60,HK,2018-08-20
retro.emulator.ndsboypro,NDSBoyPro(NDSEmulator),61,HK,2018-08-20
com.ciaostudio.darkfulip,DarkfulIconPack-ThemeforApex/NovaLauncher,62,HK,2018-08-20
me.dreamsky.imonsterpay,IMonster-pro,63,HK,2018-08-20
com.qbit.hotguns,HotGuns,64,HK,2018-08-20
com.mesele.derin.derinmesele,"DerinMesele""Yeşil""",65,HK,2018-08-20
com.infinitechecklist.android,InfiniteFlightChecklist,66,HK,2018-08-20
com.mcrock.Basiceducation,BasicsEducation&Learning:VersionSchooltrip,67,HK,2018-08-20
com.artifexmundi.endlessfables3.gp.full,終わりなき寓話3:暗黒の地(Full),68,HK,2018-08-20
com.lge.theme.markbencze.pixel.experience,PixelExperienceThemeforLGG7,69,HK,2018-08-20
colossill.xscoder.pikky,ColossillGram,70,HK,2018-08-20
com.scarygranny.scaryhonnorgranny.scaryneightbour,ScaryGranny:HorrorNeighbourGame,71,HK,2018-08-20
com.wildlifeacoustics.SongSleuth,SongSleuth:AutoBirdSongIDw/DavidSibley,72,HK,2018-08-20
com.fchatnet.batterysaver,YourBatterySaverPro,73,HK,2018-08-20
com.hsinteractive.ml_slideshow_lwp,MobileLegendsSlideshowLiveWallpaper,74,HK,2018-08-20
com.ptyron.grannynunmod,FootballGranny,75,HK,2018-08-20
com.whitebetssoft.bettingtips,BettingTips,76,HK,2018-08-20
com.swarlyani.smstrack,LocationTrackSMS,77,HK,2018-08-20
com.Company.LearnUnity,УрокиUnityначальныйуровеньUnityTutorial,78,HK,2018-08-20
com.Sublime.Slapper,SlapTheBulls,79,HK,2018-08-20
com.squanchgames.DrSplorchyPresentsSpaceHeroes,Dr.SplorchyPresentsSpaceHeroes,80,HK,2018-08-20
com.smartutils.smartfolder.airsharepro,Handshaker-pro-AirRemoteaccess&Filesharing,81,HK,2018-08-20
com.asndigital.whatswatch,WhatswatchforWhatsApp,82,HK,2018-08-20
com.vmons.app.alarm.clock.pro,AlarmclockPro,83,HK,2018-08-20
retro.emulator.nespro,Retro.NESPro(NESEmulator),84,HK,2018-08-20
com.asndigital.watchmsgforwhatsapp,WatchMsgforWhatsApp,85,HK,2018-08-20
com.friendpackages.friendlien,Friendliens,86,HK,2018-08-20
com.cris87.fluoxygen,FLUOXYGEN-ICONPACK,87,HK,2018-08-20
com.imcrazy.ds2,DungeonShooterV1.1,88,HK,2018-08-20
com.geopoi.msf,MinnesotaStateFairMap|OfflineGPS&Vendors!,89,HK,2018-08-20
com.lwcappstudio.yourjoyologist,OwnYourAwesome,90,HK,2018-08-20
air.gmanager.gear360,360Managerforall,91,HK,2018-08-20
com.argozgame.idledwarfs.premium,SevenIdleDwarf:Premium,92,HK,2018-08-20
com.zdfdigital.miaandmeffc,Miaandme–FreiheitfürCentopia,93,HK,2018-08-20
com.thesunoriginal.thesun.original,TheSun:Origin&Evaluation,94,HK,2018-08-20
com.iv.photoeditor,DSLRCamera&PhotoEditor,95,HK,2018-08-20
com.chiba.tvpro,TV-OnlinePRO,96,HK,2018-08-20
com.bensow.raun,RAUNIcons,97,HK,2018-08-20
ru.pt.iconpack.ios12,iOS12-iconpack,98,HK,2018-08-20
