app_id,app_name,rank,country_code,date
com.yy.biu,Biugo—MagicEffectsVideoEditorFromBago,1,ID,2019-01-28
com.whatsapp,WhatsAppMessenger,2,ID,2019-01-28
com.facebook.lite,FacebookLite,3,ID,2019-01-28
com.lenovo.anyshare.gps,SHAREit-Transfer&Share,4,ID,2019-01-28
com.dts.freefireth,GarenaFreeFire,5,ID,2019-01-28
com.facebook.orca,Messenger,6,ID,2019-01-28
com.google.android.apps.youtube.mango,YouTubeGo,7,ID,2019-01-28
com.instagram.android,Instagram,8,ID,2019-01-28
com.yy.hiyo,HAGO,9,ID,2019-01-28
com.mobile.legends,モバイル·レジェンド:BangBang,10,ID,2019-01-28
com.shopee.id,Shopee:SemuaPastiAda,11,ID,2019-01-28
com.facebook.mlite,MessengerLite:無料通話とメッセージ,12,ID,2019-01-28
com.facebook.katana,Facebook,13,ID,2019-01-28
com.tokopedia.tkpd,Tokopedia-AplikasiPilihanPengguna2018,14,ID,2019-01-28
com.gojek.app,"GO-JEK-TransportasiOjek,Delivery,Pembayaran",15,ID,2019-01-28
com.ss.android.ugc.trill,TikTok,16,ID,2019-01-28
com.grabtaxi.passenger,"Grab-Transport,FoodDelivery,Payments",17,ID,2019-01-28
com.lazada.android,Lazada-OnlineShopping&Deals,18,ID,2019-01-28
com.tencent.ig,PUBGMOBILE,19,ID,2019-01-28
com.UCMobile.intl,UCBrowser-FastDownloadPrivate&Secure,20,ID,2019-01-28
iflix.play,iflix,21,ID,2019-01-28
com.music.tap.tap.tile,TapTapMusicポップソング,22,ID,2019-01-28
com.garena.game.fctw,GarenaSpeedDrifters,23,ID,2019-01-28
com.michatapp.im,MiChat-FreeChats&MeetNewPeople,24,ID,2019-01-28
com.zilingo.users,ZilingoShopping,25,ID,2019-01-28
com.bukalapak.android,Bukalapak-JualBeliOnline,26,ID,2019-01-28
com.google.android.apps.nbu.files,FilesbyGoogle:スマートフォンの容量を確保,27,ID,2019-01-28
com.opera.mini.native,OperaMiniWebブラウザ,28,ID,2019-01-28
com.google.android.play.games,GooglePlayゲーム,29,ID,2019-01-28
com.telkomsel.telkomselcm,"MyTelkomsel-CekPulsa,Kuota&InternetTerbaik",30,ID,2019-01-28
com.kiloo.subwaysurf,SubwaySurfers,31,ID,2019-01-28
video.like,LIKE—動画ビデオソーシャルアプリ,32,ID,2019-01-28
com.ludo.king,LudoKing™,33,ID,2019-01-28
com.meluapp.tekatekisilangpintar,TTSPintar2019-TekaTekiSilangOffline,34,ID,2019-01-28
com.tencent.wesing,WeSing-カラオケ歌唱&カラオケ録音&曲の歌唱,35,ID,2019-01-28
free.vpn.unblock.proxy.turbovpn,TurboVPN–UnlimitedFreeVPN&FastSecurityVPN,36,ID,2019-01-28
com.roidapp.photogrid,PhotoGrid-写真加工・コラージュ、ビューティーカメラ、画像・動画スタンプ,37,ID,2019-01-28
com.p1.mobile.putong,Tantan,38,ID,2019-01-28
com.quvideo.xiaoying,VivaVideo-動画編集＆動画作成＆動画加工,39,ID,2019-01-28
com.tencent.ibg.joox,JOOXMusic-LiveandKaraoke,40,ID,2019-01-28
com.mojang.minecrafttrialpe,MinecraftTrial,41,ID,2019-01-28
com.linecorp.b612.android,B612-いつもの毎日をもっと楽しく,42,ID,2019-01-28
me.pou.app,プーチッチPou,43,ID,2019-01-28
com.game5mobile.lineandwater,HappyGlass,44,ID,2019-01-28
com.chillingo.robberybob2.android.gplay,RobberyBob2:DoubleTrouble,45,ID,2019-01-28
com.hyperspeed.rocket.applock.free,AppLock-指紋、PINコード&パターンロック,46,ID,2019-01-28
io.voodoo.paper2,Paper.io2,47,ID,2019-01-28
com.h8games.helixjump,HelixJump,48,ID,2019-01-28
com.nexstreaming.app.kinemasterfree,キネマスター(KineMaster)-ビデオエディター,49,ID,2019-01-28
com.picsart.studio,PicsArtPhotoStudio:コラージュメーカー&画像加工,50,ID,2019-01-28
com.linkit.bimatri,bima+,51,ID,2019-01-28
com.callerscreen.color.phone.ringtone.flash,"ColorFlashLauncher-CallScreen,Themes",52,ID,2019-01-28
com.combineinc.streetracing.driftthreeD,ストリートレーシング3D,53,ID,2019-01-28
com.outfit7.mytalkingtom2,マイ・トーキング・トム2,54,ID,2019-01-28
com.smule.singandroid,Smule-ナンバーワンの歌アプリ,55,ID,2019-01-28
com.miniclip.eightballpool,8BallPool,56,ID,2019-01-28
com.maxstream,"MAXstream-StreamLiveSports,TVShows&Movies",57,ID,2019-01-28
com.duapps.recorder,DURecorder–画面レコーダーおよびビデオエディター,58,ID,2019-01-28
com.mgc.miami.crime.simulator.two,VegasCrimeSimulator,59,ID,2019-01-28
com.spotify.music,Spotify-世界最大の音楽ストリーミングサービス,60,ID,2019-01-28
com.halo.wifikey.wifilocating,WiFiMasterKey-bywifi.com,61,ID,2019-01-28
com.ksmobile.launcher,CMLauncher3D-カスタマイズ可能、セキュリティ保護、効率的,62,ID,2019-01-28
com.tbegames.and.top_speed_racing,トップスピード：３Ｄストリート＆ドラッグレース,63,ID,2019-01-28
air.com.hypah.io.slither,slither.io,64,ID,2019-01-28
com.mobirix.fishinghook,フィッシングフック,65,ID,2019-01-28
com.kreditpintar,KreditPintar-PinjamanUangTunaiDanaRupiah,66,ID,2019-01-28
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),67,ID,2019-01-28
com.udicorn.proxybrowser.unblockwebsites,ブロック解除サイト-フリープロキシブラウザ,68,ID,2019-01-28
com.whatsapp.w4b,WhatsAppBusiness,69,ID,2019-01-28
