app_id,app_name,rank,country_code,date
com.sigames.fmm2018,FootballManagerMobile2018,1,ID,2017-11-24
com.ustwo.monumentvalley2,MonumentValley2,2,ID,2017-11-24
com.match.spooky.hotel.game,Match3-SpookyHotelPro,3,ID,2017-11-24
com.kiwiwalks.witchspring3,魔女の泉3,4,ID,2017-11-24
com.dingogames.tastyplanet1,TastyPlanet,5,ID,2017-11-24
com.heroicode.linksfusion,LinksFusion-puzzlegame,6,ID,2017-11-24
com.agaming.thesun.origin,TheSun:Origin,7,ID,2017-11-24
com.kaigan.simulacra,SIMULACRA-Foundphonehorrormystery,8,ID,2017-11-24
air.dog.wfox,당신을기다리는여우,9,ID,2017-11-24
mylittleprincess.stores,MyLittlePrincess:ストア,10,ID,2017-11-24
air.com.flipline.papashotdoggeriatogo,Papa'sHotDoggeriaToGo!,11,ID,2017-11-24
jp.oniongames.hotel,MillionOnionHotel〜ミリオンオニオンホテル〜,12,ID,2017-11-24
com.everybodyhouse.paperclipsuniquetest,UniversalPaperclips,13,ID,2017-11-24
jp.konami.mgs3hd.shield,METALGEARSOLID3HDforSHIELDTV,14,ID,2017-11-24
com.IcarusGameKing.Game107,WarGenerals-TowerDefender,15,ID,2017-11-24
com.venomizedArt.Slaughter2,Slaughter2:PrisonAssault,16,ID,2017-11-24
com.celad.sakurareverie,落櫻幻夢譚,17,ID,2017-11-24
com.team17.sheltered,Sheltered,18,ID,2017-11-24
air.com.flipline.papashotdoggeriahd,Papa'sHotDoggeriaHD,19,ID,2017-11-24
com.jutsugames.operator911,911Operator,20,ID,2017-11-24
com.plug_in_digital.emma,"Enterremoi,monAmour",21,ID,2017-11-24
com.noodlecake.drtc,DeathRoadtoCanada,22,ID,2017-11-24
com.brassmonkeighappsllc.codwwiiuu,UltimateUtilityforCoD:WWII,23,ID,2017-11-24
com.playdigious.whitenight,WhiteNight,24,ID,2017-11-24
fi.bugbyte.battlevoid,Battlevoid:SectorSiege,25,ID,2017-11-24
com.castle6.sanguo,三國群英傳-三國策略單機，經典懷舊手游,26,ID,2017-11-24
com.refinishnetwork.mobilepainter,Paintboss-CustomCarPainting,27,ID,2017-11-24
com.heisarzola.PEG,PEG,28,ID,2017-11-24
com.protopop.brightridge,NimianLegends:BrightRidge,29,ID,2017-11-24
com.square_enix.android_googleplay.ffl2w,FINALFANTASYDIMENSIONSII,30,ID,2017-11-24
com.artifexmundi.eventide3.gp.full,夕暮れ3:伝説の遺産(Full),31,ID,2017-11-24
com.atypicalgames.radiationcity,RadiationCity,32,ID,2017-11-24
com.realtimestudios.truehorrorPaid,TrueHorror,33,ID,2017-11-24
chessbase.android.fritz,Fritz,34,ID,2017-11-24
com.copperbrain.disjointrelease,Disjoint,35,ID,2017-11-24
com.matchgems.fantasy_mosaics_25,FantasyMosaics25:WeddingCeremony,36,ID,2017-11-24
com.asmodeedigital.millebornes,MilleBornes ,37,ID,2017-11-24
com.nosignalproductions.legacytwo,Legacy2-TheAncientCurse,38,ID,2017-11-24
com.asmodeedigital.catanstorieslots,CatanStories:LegendoftheSeaRobbers,39,ID,2017-11-24
com.digidiced.bddrelease,BohnanzaTheDuel,40,ID,2017-11-24
com.mikron.ClosedAreaFull,ClosedArea,41,ID,2017-11-24
com.headupgames.theinnerworld2,TheInnerWorld-TheLastWindMonk,42,ID,2017-11-24
moonbear.PocketBuild,PocketBuild,43,ID,2017-11-24
hr.oceanmedia.SkeeBall,Skee-BallPlus,44,ID,2017-11-24
com.crescentmoongames.runicrampage,RunicRampage-HackandSlashRPG,45,ID,2017-11-24
com.Aesth2.Cereus,Cereus,46,ID,2017-11-24
com.eightfloor.gnomesgardenhalloweeneve.premium.googleplay,GnomesGarden:Halloween,47,ID,2017-11-24
com.ludosity.ccn2,CardCityNights2,48,ID,2017-11-24
com.heyclay.abc.ua,БалакаючаАБЕТКА,49,ID,2017-11-24
com.Artists.OuttaSpaceRace,OuttaSpaceRace,50,ID,2017-11-24
com.joy.pixel.jet.platform.pack.ride.paid,Christmaspixelplatformer,51,ID,2017-11-24
com.techt.metrotwo,Metro-2:ProjectKollie,52,ID,2017-11-24
com.microids.yesterdayorigins.premium,YesterdayOrigins,53,ID,2017-11-24
com.onecwireless.pilotbrothers1.google.full,PilotBrothers1,54,ID,2017-11-24
com.supermoof.pupycave,pupycave,55,ID,2017-11-24
com.landsharkgames.monstercandy.android,MonsterCandy,56,ID,2017-11-24
com.quizbash.quizbash,QuizBash-ThePartyinYourPocket!,57,ID,2017-11-24
is.rosamosi.mussilamma,Mussila,58,ID,2017-11-24
com.basedimperator.fivepro,FivePro,59,ID,2017-11-24
com.DTA.VR.Birdshunt,VRDuckHunting,60,ID,2017-11-24
com.TheZigZagTree.Thumber,Thumber,61,ID,2017-11-24
com.Raultruji3D.TokaidoBRS,RollerCoasterTokaido-BestRideSimulators,62,ID,2017-11-24
com.cuicuistudios.BabyBoogies,BabyBoogies-TumascotaVirtual,63,ID,2017-11-24
com.selvaInteractive.highwind,Highwind,64,ID,2017-11-24
com.cloudworth.caucasus,CaseBlue:PanzersToCaucasus,65,ID,2017-11-24
com.indiesky.heroandcastle,HeroandCastle,66,ID,2017-11-24
com.redkrakenapps.turkeydash,TurkeyDash,67,ID,2017-11-24
com.datviet.brickgamepremium,BrickGamePremium,68,ID,2017-11-24
com.onecwireless.pilotbrothers2.google.full,PilotBrothers2,69,ID,2017-11-24
com.bispiral.gs1451,Islandof16sisters#2,70,ID,2017-11-24
com.rapsmyinitials.ghostemanepentacles,GhostemanePentacles1.5,71,ID,2017-11-24
it.reply.forge.lonewolfcomplete,JoeDever'sLoneWolfComplete,72,ID,2017-11-24
air.air.RedRogue,RedRogue-ARoguelike,73,ID,2017-11-24
com.vivex.BlackFridayZombieShops,BlackFriday:zombieshops,74,ID,2017-11-24
mainactivity.myapplication.ideacentre.example.com,SnakeGame,75,ID,2017-11-24
com.lastbattleground.dead.battlegame,TheFinalBattleground:DeadZombieBattle,76,ID,2017-11-24
com.WhensLunchGames.Scrungeon,TheScrungeonDepths,77,ID,2017-11-24
fred.wmwatch.mpasomachinepricrt,machinepri.,78,ID,2017-11-24
com.Click.InTheDark,InTheDark,79,ID,2017-11-24
com.DabsterEnt.AbigailsTalesFDB,Abigail'sTales:FirstDay,80,ID,2017-11-24
com.fishingodyssey,FishingOdyssey,81,ID,2017-11-24
biz.glhf.goingnuts2,GoingNuts2,82,ID,2017-11-24
com.NARVAN.GetTheCup1,GetTheCup,83,ID,2017-11-24
com.appybuilder.MobileGamingLabs.AirlineCEOpremium,AirlineCEO:Premium🛩,84,ID,2017-11-24
com.sapienscreations.robin,Children'sStory:RobinandTheDragonfly,85,ID,2017-11-24
com.Aligames.yanyuezhiri,偃月の日,86,ID,2017-11-24
com.VirtuallyInvincible.DiscLeague,DiscLeague,87,ID,2017-11-24
com.polarbeardgames.prizee.jardinsecretdeluxe,JardinSecret2Deluxe-PuzzleGamebyPrizee,88,ID,2017-11-24
com.gtek.BallTrip,BallTrip,89,ID,2017-11-24
com.LeSeigneur2018.app,LeSeigneurestproche2018,90,ID,2017-11-24
com.jusckeux.frontarmies,FrontArmies[RTS],91,ID,2017-11-24
com.zombie.uZombiefull,uZombie,92,ID,2017-11-24
com.touchdimensions.zombie,StrainTactics,93,ID,2017-11-24
xwizard.funnypuzzles_paid,KinoMi:gameforkids,94,ID,2017-11-24
com.EclipseCorp.ProductName,BattlegroundSandbox2,95,ID,2017-11-24
com.miksapix.ahkobiemmu,Ahkobiemmu-Bestemorsgutt,96,ID,2017-11-24
com.wvampirepuzzle_5919750,Vampirepuzzle,97,ID,2017-11-24
org.candomaths.arithmequiz,ArithmeQuiz,98,ID,2017-11-24
com.cowcat.DemetriosCh3,DemetriosChapter3,99,ID,2017-11-24
com.immergity.Fixies,Fixies:MysteryoftheProfessor,100,ID,2017-11-24
com.solusgames.demongrade,DemonGradeVR,101,ID,2017-11-24
com.holonick.listerSTREETPAINTER,AnthonyLister-StreetPainter,102,ID,2017-11-24
com.dbSoftware.wtrpro,戦車レーシング・オンライン3D,103,ID,2017-11-24
