app_id,app_name,rank,country_code,date
com.ludo.king,LudoKing,1,IN,2017-11-18
com.king.candycrushsaga,キャンディークラッシュ,2,IN,2017-11-18
com.kiloo.subwaysurf,SubwaySurfers,3,IN,2017-11-18
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),4,IN,2017-11-18
com.ansangha.drdriving,走行の達人,5,IN,2017-11-18
com.imangi.templerun,TempleRun,6,IN,2017-11-18
com.imangi.templerun2,TempleRun2,7,IN,2017-11-18
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,8,IN,2017-11-18
com.miniclip.eightballpool,8BallPool,9,IN,2017-11-18
com.knights.bikesstunt.motomaster,自転車スタントトレイルライダー,10,IN,2017-11-18
bubble.shooter.shooting.shoot.game,バブルシューター,11,IN,2017-11-18
com.BiosseTeam.motoracing3d,MotoRacing3DGame-モトレーシングゲーム,12,IN,2017-11-18
com.mobirix.shotingking,射撃の王,13,IN,2017-11-18
com.pin.tractor.pulling.simulation.free,ヘビーデューティー貨物トラクターシミュレータ,14,IN,2017-11-18
io.teslatech.callbreak,CallbreakMultiplayer,15,IN,2017-11-18
com.ludo.game,Ludo:TheDiceGame,16,IN,2017-11-18
com.mtsfreegames.trainracingmultiplayer,列車のレースゲーム3D2プレーヤー,17,IN,2017-11-18
com.messenger2.play.game.UnicornDashk,MagicalUnicornDash,18,IN,2017-11-18
badminton.king.sportsgame.smash,バドミントンリーグ🏸,19,IN,2017-11-18
com.ea.gp.fifamobile,FIFAサッカー,20,IN,2017-11-18
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),21,IN,2017-11-18
com.teenpatti.hd.gold,TeenPattiGold,22,IN,2017-11-18
com.octro.teenpatti,TeenPatti-IndianPoker,23,IN,2017-11-18
com.gamy.bank.cash.van.driving.simulator,BankCash-in-transitSecurityVanSimulator2018,24,IN,2017-11-18
com.nekki.shadowfight3,シャドウファイト3,25,IN,2017-11-18
com.appsomniacs.da2,DoodleArmy2:MiniMilitia,26,IN,2017-11-18
com.bitmango.rolltheballunrollme,ロールボール：スライドパズル,27,IN,2017-11-18
com.rioo.runnersubway,地下鉄プリンセスランナー,28,IN,2017-11-18
com.differencetenderwhite.skirt,ブロックパズルジュエル,29,IN,2017-11-18
com.gameloft.android.ANMP.GloftM5HM,モダンコンバット5：eスポーツシューティングゲーム,30,IN,2017-11-18
com.innovativegames.knockdown,KnockDown,31,IN,2017-11-18
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,32,IN,2017-11-18
com.bilkon.pinkpiano,PinkPiano,33,IN,2017-11-18
com.superking.ludo.star,LudoSTAR:2017(New),34,IN,2017-11-18
