app_id,app_name,rank,country_code,date
com.octro.teenpatti,TeenPatti-IndianPoker,1,IN,2018-05-18
com.moonactive.coinmaster,CoinMaster,2,IN,2018-05-18
com.teenpatti.hd.gold,TeenPattiGold-TPG,3,IN,2018-05-18
com.miniclip.eightballpool,8BallPool,4,IN,2018-05-18
com.king.candycrushsaga,キャンディークラッシュ,5,IN,2018-05-18
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),6,IN,2018-05-18
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,7,IN,2018-05-18
com.games24x7.teenpatti.playstore,UTP-UltimateTeenPatti,8,IN,2018-05-18
com.mobile.legends,モバイル·レジェンド:BangBang,9,IN,2018-05-18
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,10,IN,2018-05-18
com.zynga.livepoker,Zyngaポーカー,11,IN,2018-05-18
com.ea.gp.fifamobile,FIFAサッカー,12,IN,2018-05-18
com.lein.pppoker.android,PPPoker―無料ポーカーアプリ＆ホームゲーム,13,IN,2018-05-18
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),14,IN,2018-05-18
com.king.candycrushsodasaga,キャンディークラッシュソーダ,15,IN,2018-05-18
com.netmarble.mherosgb,マーベル・フューチャーファイト,16,IN,2018-05-18
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),17,IN,2018-05-18
com.kabam.marvelbattle,MARVELオールスターバトル,18,IN,2018-05-18
com.fungames.sniper3d,スナイパー３Dアサシン：無料射撃ゲーム(Sniper3D）,19,IN,2018-05-18
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),20,IN,2018-05-18
com.playdemic.golf.android,ゴルフクラッシュ,21,IN,2018-05-18
com.yottagames.mafiawar,マフィア・シティ-極道風雲,22,IN,2018-05-18
com.octro.rummy,IndianRummy(13&21Cards)byOctro,23,IN,2018-05-18
com.igg.castleclash,CastleClash,24,IN,2018-05-18
com.gameinsight.gobandroid,GunsofBoom,25,IN,2018-05-18
com.playrix.township,タウンシップ(Township),26,IN,2018-05-18
com.kiloo.subwaysurf,SubwaySurfers,27,IN,2018-05-18
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),28,IN,2018-05-18
com.games24x7.ultimaterummy.playstore,UltimateRummyCircle,29,IN,2018-05-18
com.scopely.whiplash,WWEChampions-無料パズルRPGゲーム,30,IN,2018-05-18
com.netease.chiji,RulesofSurvival,31,IN,2018-05-18
com.longtech.lastwars.gp,LastEmpire–WarZゾンビサバイバル,32,IN,2018-05-18
com.nekki.shadowfight3,シャドウファイト3,33,IN,2018-05-18
com.pixelberrystudios.choices,Choices:StoriesYouPlay,34,IN,2018-05-18
com.lilithgame.sgame.gp.oss,ArtofConquest:DragonDawn,35,IN,2018-05-18
com.supercell.hayday,ヘイ・デイ(HayDay),36,IN,2018-05-18
com.ea.game.nfs14_row,ニード・フォー・スピードNLレーシング,37,IN,2018-05-18
com.rovio.baba,アングリーバード2(AngryBirds2),38,IN,2018-05-18
com.jellybtn.cashkingmobile,PirateKings,39,IN,2018-05-18
com.pixonic.wwr,WarRobots,40,IN,2018-05-18
com.wb.goog.got.conquest,ゲーム・オブ・スローンズ：コンクエスト,41,IN,2018-05-18
com.playrix.homescapes,ホームスケイプ(Homescapes),42,IN,2018-05-18
jp.konami.pesam,WinningEleven2018,43,IN,2018-05-18
net.peakgames.amy,ToyBlast,44,IN,2018-05-18
com.tinyco.potter,ハリー･ポッター:ホグワーツの謎,45,IN,2018-05-18
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),46,IN,2018-05-18
com.playtika.wsop.gp,WSOP無料ポーカー(WorldSeriesofPoker),47,IN,2018-05-18
com.octro.teenpattilive,TeenPattiLive!,48,IN,2018-05-18
com.tencent.ig,PUBGMOBILE,49,IN,2018-05-18
com.nianticlabs.pokemongo,PokémonGO,50,IN,2018-05-18
com.nautilus.RealCricket3D,RealCricket™18,51,IN,2018-05-18
com.gameloft.android.ANMP.GloftA8HM,アスファルト8：Airborne,52,IN,2018-05-18
com.elex.coq.gp,クラッシュオブクイーンズ-光と闇,53,IN,2018-05-18
com.gtarcade.lod,LegacyofDiscord-FuriousWings,54,IN,2018-05-18
com.special.warship,戦艦ファイナル-最後の戦い（最後の海戦を舞台にしたSLGの最高傑作）,55,IN,2018-05-18
com.catdaddy.cat22,WWESuperCard-マルチプレイヤーカード対戦ゲーム,56,IN,2018-05-18
com.scopely.headshot,ウォーキング・デッドサバイバルへの道,57,IN,2018-05-18
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,58,IN,2018-05-18
com.pacificinteractive.HouseOfFun,フリー・スロットカジノ-HouseofFunゲーム,59,IN,2018-05-18
com.king.farmheroessaga,ファームヒーロー,60,IN,2018-05-18
com.doubleugames.DoubleUCasino,DoubleUCasino-FreeSlots,61,IN,2018-05-18
net.peakgames.toonblast,ToonBlast,62,IN,2018-05-18
com.games.poker.teenpatti,TeenPattiFlush:3PattiPoker,63,IN,2018-05-18
com.gameloft.android.ANMP.GloftGHHM,マーチオブエンパイア-領土戦争,64,IN,2018-05-18
com.crowdstar.covetHome,DesignHome,65,IN,2018-05-18
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,66,IN,2018-05-18
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,67,IN,2018-05-18
com.outfit7.mytalkingtomfree,マイ・トーキング・トム(MyTalkingTom),68,IN,2018-05-18
com.roblox.client,ROBLOX,69,IN,2018-05-18
com.nekki.shadowfight,シャドウファイト2,70,IN,2018-05-18
com.playrix.fishdomdd.gplay,フィッシュダム(Fishdom),71,IN,2018-05-18
com.teenpattithreecardspoker,TeenPattiIndianPoker-SuperStar-3Patti,72,IN,2018-05-18
com.imangi.templerun2,TempleRun2,73,IN,2018-05-18
eu.bandainamcoent.tekkenmobile,鉄拳™‐TEKKEN‐,74,IN,2018-05-18
leyi.blazeofbattle,BlazeofBattle,75,IN,2018-05-18
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,76,IN,2018-05-18
com.firsttouchgames.dls3,DreamLeagueSoccer2018,77,IN,2018-05-18
com.vng.g6.a.zombie,DEADTARGET:Zombie,78,IN,2018-05-18
com.hcg.ctw.gp,ClashofKings:TheWest,79,IN,2018-05-18
com.nextwave.wcc2,WorldCricketChampionship2,80,IN,2018-05-18
com.melesta.coffeeshop,マイカフェ：レシピ＆ストーリー。レストラン経営ゲーム,81,IN,2018-05-18
com.kixeye.wcm,ウォーコマンダー,82,IN,2018-05-18
com.fungames.battletanksbeta,戦争兵器-無料3D戦車ゲーム-WarMachines,83,IN,2018-05-18
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,84,IN,2018-05-18
com.king.candycrushjellysaga,キャンディークラッシュゼリー,85,IN,2018-05-18
com.appsomniacs.da2,DoodleArmy2:MiniMilitia,86,IN,2018-05-18
zombie.survival.craft.z,LastDayonEarth:Survival,87,IN,2018-05-18
ata.squid.pimd,PartyinmyDorm,88,IN,2018-05-18
com.nexonm.dominations.adk,DomiNations,89,IN,2018-05-18
es.socialpoint.DragonCity,ドラゴンシティ,90,IN,2018-05-18
com.gamedevltd.modernstrike,モダンストライクオンライン:3DＦＰＳシューティング銃撃ゲーム,91,IN,2018-05-18
com.ea.games.r3_row,RealRacing3,92,IN,2018-05-18
com.stac.empire.main,AgeofWarringEmpire,93,IN,2018-05-18
com.naturalmotion.customstreetracer2,CSRRacing2,94,IN,2018-05-18
com.king.petrescuesaga,ペットレスキュー,95,IN,2018-05-18
com.episodeinteractive.android.catalog,Episode-ChooseYourStory,96,IN,2018-05-18
com.reliancegames.wwemayhem,WWEMayhem,97,IN,2018-05-18
com.ngame.allstar.india,ArenaofValor:5v5Battle,98,IN,2018-05-18
com.n3twork.legendary,Legendary:GameofHeroes,99,IN,2018-05-18
com.ea.gp.nbamobile,NBALIVEMobileBasketball,100,IN,2018-05-18
com.mss.wheelspin,MoneyWheelSlotMachineGame,101,IN,2018-05-18
com.theonegames.gunshipbattle,ガンシップ・バトル,102,IN,2018-05-18
com.supercell.boombeach,ブーム・ビーチ(BoomBeach),103,IN,2018-05-18
com.crowdstar.covetfashion,CovetFashion-DressUpGame,104,IN,2018-05-18
com.outfit7.mytalkingangelafree,マイ・トーキング・アンジェラ,105,IN,2018-05-18
com.ocous.sowbeta,StormofWars:SacredHomeland,106,IN,2018-05-18
com.outfit7.talkingtomgoldrun,トーキング・トムのゴールド・ラン,107,IN,2018-05-18
com.gameloft.android.ANMP.GloftM5HM,モダンコンバット5：eスポーツシューティングゲーム,108,IN,2018-05-18
com.selfawaregames.acecasino,BigFishCasino：本場ラスベガスのカジノ＆スロットマシンをプレイ,109,IN,2018-05-18
com.gamedevltd.wwh,ワールドウォーヒーローズ：第二次世界大戦FPS戦争ゲーム,110,IN,2018-05-18
com.fluffyfairygames.idleminertycoon,IdleMinerTycoon『ざくざくキング：採掘王国』,111,IN,2018-05-18
com.bw.fallensouls,FallenSouls-DragonBattle,112,IN,2018-05-18
com.mojang.minecraftpe,Minecraft,113,IN,2018-05-18
com.zynga.FarmVille2CountryEscape,FarmVille2:のんびり農場生活,114,IN,2018-05-18
com.nway.powerrangerslegacywars,パワーレンジャー:レガシー　ウォーズ,115,IN,2018-05-18
air.com.playtika.slotomania,Slotomania-FreeSlots英語版,116,IN,2018-05-18
com.gamesofa.android.teenpatti,TeenPatti-Bollywood3Patti,117,IN,2018-05-18
com.king.bubblewitch3,バブルウィッチ3,118,IN,2018-05-18
es.socialpoint.MonsterLegends,MonsterLegends,119,IN,2018-05-18
com.criticalforceentertainment.criticalops,CriticalOps,120,IN,2018-05-18
com.playstudios.popslots,POP!Slots－スロット無料カジノ,121,IN,2018-05-18
net.wargaming.wot.blitz,ワールド・オブ・タンクス・ブリッツ,122,IN,2018-05-18
com.hutchgames.cccg,TopDrives,123,IN,2018-05-18
com.naturalmotion.dawnoftitans,DawnofTitans-壮大な戦略ゲーム,124,IN,2018-05-18
com.wb.goog.injustice.brawler2017,Injustice2,125,IN,2018-05-18
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),126,IN,2018-05-18
com.fingersoft.hillclimb,ヒルクライムレース:HillClimbRacing,127,IN,2018-05-18
com.dts.freefireth,フリーファイア,128,IN,2018-05-18
com.generagames.resistance,CoverFire:無料射撃ゲーム,129,IN,2018-05-18
com.superevilmegacorp.game,Vainglory5V5,130,IN,2018-05-18
com.moonton.magicrush,マジックラッシュ(MagicRush:Heroes),131,IN,2018-05-18
com.gameloft.android.ANMP.GloftFWHM,スナイパーフューリー：トップシューティングゲーム【FPS】,132,IN,2018-05-18
com.ea.game.simcitymobile_row,シムシティ　ビルドイット(SIMCITYBUILDIT),133,IN,2018-05-18
com.sticksports.spl2,StickCricketSuperLeague,134,IN,2018-05-18
com.tap4fun.brutalage_test,BrutalAge:HordeInvasion,135,IN,2018-05-18
com.tfgco.games.strategy.free.castlecrush,キャッスルクラッシュオンライン戦略ゲーム（CastleCrush),136,IN,2018-05-18
com.kamagames.pokerist,テキサス・ホールデム－Pokerist,137,IN,2018-05-18
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,138,IN,2018-05-18
com.mgs.sniper1,SniperStrike:SpecialOps,139,IN,2018-05-18
bubbleshooter.orig,バブルシューター:BubbleShooter,140,IN,2018-05-18
com.innogames.foeandroid,ForgeofEmpires,141,IN,2018-05-18
and.onemt.war.en,RevengeofSultans,142,IN,2018-05-18
com.my.hawk.air.shooter,HAWK–フライトシューティングゲーム。撃ちまくれ！,143,IN,2018-05-18
com.gameloft.android.ANMP.GloftSIHM,MARVELスパイダーマン・アンリミテッド,144,IN,2018-05-18
com.stac.aok,王権争覇：天空の戦い,145,IN,2018-05-18
com.my.hc.rpg.kingdom.simulator,HustleCastle–アイドルシェルターの英雄,146,IN,2018-05-18
com.dipan.feelingtouch.godfather,ゴッドファーザー,147,IN,2018-05-18
com.droidhang.ad,IdleHeroes-無料放置育成RPG,148,IN,2018-05-18
