app_id,app_name,rank,country_code,date
com.ustwo.monumentvalley2,MonumentValley2,1,IN,2017-11-07
com.kiwiwalks.witchspring3,魔女の泉3,2,IN,2017-11-07
com.easytech.wc4.android,世界の覇者4,3,IN,2017-11-07
com.TinyDevbox.DeadRain,DeadRain:新しいゾンビウイルス,4,IN,2017-11-07
com.copperbrain.disjointrelease,Disjoint,5,IN,2017-11-07
mytown.friendshouse,MyTown:お友達の家,6,IN,2017-11-07
com.kaigan.simulacra,SIMULACRA-Foundphonehorrormystery,7,IN,2017-11-07
com.agaming.thesun.origin,TheSun:Origin,8,IN,2017-11-07
com.fantablade.icey,ICEY,9,IN,2017-11-07
jp.oniongames.hotel,MillionOnionHotel〜ミリオンオニオンホテル〜,10,IN,2017-11-07
com.glutenfreegames.ultimatedogsimulator,UltimateDogSimulator,11,IN,2017-11-07
com.noodlecake.drtc,DeathRoadtoCanada,12,IN,2017-11-07
air.dog.wfox,당신을기다리는여우,13,IN,2017-11-07
fi.bugbyte.battlevoid,Battlevoid:SectorSiege,14,IN,2017-11-07
com.plug_in_digital.emma,"Enterremoi,monAmour",15,IN,2017-11-07
com.terribletoybox.thimbleweedparkandroid,ThimbleweedPark,16,IN,2017-11-07
com.team17.sheltered,Sheltered,17,IN,2017-11-07
com.EtherGaming.PocketRoguesUltimate,PocketRogues:Ultimate,18,IN,2017-11-07
com.square_enix.android_googleplay.ffl2w,FINALFANTASYDIMENSIONSII,19,IN,2017-11-07
com.usm.ddfschattenhelden,Diedrei???-GeheimnisderSchattenhelden,20,IN,2017-11-07
air.com.A3donkeys.loveBits,LoveYoutoBits,21,IN,2017-11-07
com.ztgame.yyzy,NightoftheFullMoon,22,IN,2017-11-07
com.rainbowtrain.push,PUSH,23,IN,2017-11-07
cc.peacedeath.peacedeath,"Peace,Death!",24,IN,2017-11-07
com.illucalab.majo,魔法の女子高生,25,IN,2017-11-07
com.crescentmoongames.runicrampage,RunicRampage-HackandSlashRPG,26,IN,2017-11-07
com.forever.wizrogue2,Wizrogue-LabyrinthofWizardry,27,IN,2017-11-07
air.tle7.smallfarmPlus,SmallFarmPlus-Growingvegetablesandlivestock,28,IN,2017-11-07
jp.co.dwango.satsuriku,殺戮の天使,29,IN,2017-11-07
com.mikron.ClosedAreaFull,ClosedArea,30,IN,2017-11-07
com.digidiced.bddrelease,BohnanzaTheDuel,31,IN,2017-11-07
com.Dayplay.KidnapGame,납치게임,32,IN,2017-11-07
com.supermoof.pupycave,pupycave,33,IN,2017-11-07
com.digidiced.cxgrelease,CottageGarden,34,IN,2017-11-07
hr.oceanmedia.SkeeBall,Skee-BallPlus,35,IN,2017-11-07
com.anarchyent.kickasscomandos,KickassCommandos,36,IN,2017-11-07
com.brassmonkeighappsllc.codwwiiuu,UltimateUtilityforCoD:WWII,37,IN,2017-11-07
com.touchdimensions.zombie,StrainTactics,38,IN,2017-11-07
chessbase.android.fritz,Fritz,39,IN,2017-11-07
com.bullbitz.haldrop3,HalloweenDrops3-Matchthreepuzzle,40,IN,2017-11-07
com.cloudworth.caucasus,CaseBlue:PanzersToCaucasus,41,IN,2017-11-07
com.VirtuallyInvincible.DiscLeague,DiscLeague,42,IN,2017-11-07
com.shivergames.lucius2D,LuciusDemake,43,IN,2017-11-07
com.kpixgames.PathPixAlice,PathPixAlice,44,IN,2017-11-07
hu.redshift.thequestexp5,TheQuest-HeroofLukomoryeII,45,IN,2017-11-07
com.Aligames.yanyuezhiri,偃月の日,46,IN,2017-11-07
com.tivola.ShowJumping.premium,HorseWorld:障害飛越競技-Premium,47,IN,2017-11-07
com.rapsmyinitials.ghostemanepentacles,GhostemanePentacles1.5,48,IN,2017-11-07
jp.gree.fishingstarvr,FishingStarVR,49,IN,2017-11-07
com.fishingodyssey,FishingOdyssey,50,IN,2017-11-07
com.Raultruji3D.TokaidoBRS,RollerCoasterTokaido-BestRideSimulators,51,IN,2017-11-07
com.bispiral.gs1451,Islandof16sisters#2,52,IN,2017-11-07
com.polarbeardgames.prizee.jardinsecretdeluxe,JardinSecret2Deluxe-PuzzleGamebyPrizee,53,IN,2017-11-07
com.ataberkdinc.helikopter,HelloCopter,54,IN,2017-11-07
com.bloups.lussier.annie.com.bloupsintegral,Bloups!Intégral,55,IN,2017-11-07
air.com.inspiregamesnexus.dreamcitylivingfull,DreamCityLiving(FullVersion),56,IN,2017-11-07
com.rod.TerrysHalloween,Terry'sHalloween,57,IN,2017-11-07
com.tastudio.endlessgummybear,EndlessGummyBear,58,IN,2017-11-07
com.Synersteel.Brotherhood,MCLars2:Brotherhood,59,IN,2017-11-07
com.Click.InTheDark,InTheDark,60,IN,2017-11-07
com.Rise.MoveOnFull,MoveOnFullVersion,61,IN,2017-11-07
com.Castlebyte.BoomerBall,BoomerBall,62,IN,2017-11-07
com.DTA.VR.Birdshunt,VRDuckHunting,63,IN,2017-11-07
de.targetgames.luther,Luther-dieReise:EineabenteuerlicheFlucht,64,IN,2017-11-07
net.thelastkind.edenrenaissance,EdenRenaissance-AThrillingPuzzleAdventure,65,IN,2017-11-07
com.kiddinx.gamepack.bibiundtina.version1,BibiBlocksbergSpielesammlung-Drachenspiele,66,IN,2017-11-07
com.EdwardRadu.Imperiamus,Imperiamus,67,IN,2017-11-07
com.ProfiSoft.DriftFanaticsPro,DriftFanaticsCarDriftingPRO,68,IN,2017-11-07
com.adafruit.mhosresistance,Mho'sResistance,69,IN,2017-11-07
fred.wmwatch.call04,calc,70,IN,2017-11-07
com.playway.farmexpert2018premium,FarmExpert2018Premium,71,IN,2017-11-07
com.eightfloor.gnomesgardenhalloweeneve.premium.googleplay,GnomesGarden:Halloween,72,IN,2017-11-07
com.lisandia.racecardriver,RacecarDriver,73,IN,2017-11-07
com.lunawolfstudios.lightningluther,LightningLuther,74,IN,2017-11-07
com.onecwireless.pilotbrothers1.google.full,PilotBrothers1,75,IN,2017-11-07
