app_id,app_name,rank,country_code,date
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,1,IN,2018-01-11
com.okidokico.okgolf,OKGolf-OKゴルフ,2,IN,2018-01-11
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),3,IN,2018-01-11
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,4,IN,2018-01-11
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,5,IN,2018-01-11
me.dreamsky.lostjourney2,時空の旅,6,IN,2018-01-11
com.jumpgames.RealSteel,RealSteel,7,IN,2018-01-11
com.errorsevendev.games.cell13Pro,CELL13-TheUltimateTest-PhysicsPuzzle,8,IN,2018-01-11
com.notdoppler.earntodie,EarntoDie,9,IN,2018-01-11
com.rockstar.maxpayne,マックス・ペインモバイル,10,IN,2018-01-11
com.giantssoftware.fs18.google,FarmingSimulator18,11,IN,2018-01-11
mobi.bestfreegames.bike.mayhem.extreme.mountain.racing,BikeMayhemMountainRacing,12,IN,2018-01-11
com.mojang.minecraftpe,Minecraft,13,IN,2018-01-11
com.gameloft.android.ANMP.GloftASHM,アメイジング・スパイダーマン2,14,IN,2018-01-11
com.rockstar.gta3,GrandTheftAutoIII,15,IN,2018-01-11
com.ironhidegames.android.kingdomrushorigins,KingdomRushOrigins,16,IN,2018-01-11
com.fds.infiniteflight,InfiniteFlightSimulator,17,IN,2018-01-11
com.FireproofStudios.TheRoom,TheRoom,18,IN,2018-01-11
com.klockigame.klocki,klocki,19,IN,2018-01-11
com.rockstargames.bully,Bully:AnniversaryEdition,20,IN,2018-01-11
com.agaming.mentalhospitaliv,MentalHospitalIV,21,IN,2018-01-11
com.squareenixmontreal.hitmango,HitmanGO,22,IN,2018-01-11
com.t2ksports.wwe2k15mobile,WWE2K,23,IN,2018-01-11
it.gipsysoft.mypocketgirl.gplay.pro,PocketGirlPRO-VirtualGirlSimulation,24,IN,2018-01-11
com.ironhidegames.android.kingdomrushfrontiers,KingdomRushFrontiers,25,IN,2018-01-11
com.jdroid.gtavccheater,JCheater:ViceCityEdition,26,IN,2018-01-11
com.nekki.vector.paid,VectorFull,27,IN,2018-01-11
com.ea.games.nfs13_row,NeedforSpeed™MostWanted,28,IN,2018-01-11
com.giantssoftware.fs16,FarmingSimulator16,29,IN,2018-01-11
com.codemasters.f12016,F12016,30,IN,2018-01-11
com.ustwo.monumentvalley,モニュメントバレー,31,IN,2018-01-11
com.agaming.mentalhospitalV,MentalHospitalV,32,IN,2018-01-11
com.rockstargames.gtalcs,GTA:LibertyCityStories,33,IN,2018-01-11
com.leosfortune,レオズ・フォーチュン,34,IN,2018-01-11
com.gameloft.android.ANMP.GloftM4HM,モダンコンバット4：ZeroHour,35,IN,2018-01-11
com.radiangames.inferno2,Inferno2,36,IN,2018-01-11
com.gameloft.android.ANMP.GloftICHM,SonicRunnersAdventure,37,IN,2018-01-11
com.FireproofStudios.TheRoom3,TheRoomThree,38,IN,2018-01-11
game.keyboard.gta.vice.city,GTAVC用ゲームキーボード,39,IN,2018-01-11
com.disney.WMW,スワンピーのお風呂パニック！,40,IN,2018-01-11
me.dreamsky.stickman,LeagueofStickman2017-Ninja,41,IN,2018-01-11
com.Komikermedia.WildTankPro,WildTank|ProEdition,42,IN,2018-01-11
com.rockstargames.gtactw,GTA:ChinatownWars,43,IN,2018-01-11
com.realdrift.sipon,RealDriftCarRacing,44,IN,2018-01-11
com.ustwo.monumentvalley2,MonumentValley2,45,IN,2018-01-11
com.astragon.cs2014,コンストラクションシミュレーター2014,46,IN,2018-01-11
co.uk.kavcom.cricketcaptain2015,CricketCaptain2015,47,IN,2018-01-11
com.chadtowns.dax,DoodleArmy,48,IN,2018-01-11
co.uk.kavcom.cricketcaptain2017,CricketCaptain2017,49,IN,2018-01-11
me.dreamsky.leagueofstickmanzombie,ZombieAvengers:StickmanWarZ-ゾンビ,50,IN,2018-01-11
com.agaming.thesun.origin,TheSun:Origin,51,IN,2018-01-11
com.agaming.reporter,Reporter,52,IN,2018-01-11
com.squareenixmontreal.lcgo,LaraCroftGO,53,IN,2018-01-11
com.errorsevendev.games.lB2Pro,LASERBREAK2Pro,54,IN,2018-01-11
com.ArtInGames.AirAttackHD,AirAttackHD,55,IN,2018-01-11
com.nekki.shadowfight2.paid,ShadowFight2SpecialEdition,56,IN,2018-01-11
pl.idreams.pottery,Let'sCreate!Pottery,57,IN,2018-01-11
com.pockettrend.neomonsters,ネオモンスターズ,58,IN,2018-01-11
com.dreamsky.DiabloLOL,リーグ・オブ・スティックメン,59,IN,2018-01-11
com.t2ksports.nba2k18and,NBA2K18,60,IN,2018-01-11
com.headupgames.bridgeconstructor,ブリッジコンストラクタ,61,IN,2018-01-11
com.dbSoftware.siepro,SurvivalIsland:EvolvePro!,62,IN,2018-01-11
com.skyisland.game.chess3d,Chess3DAnimation:RealBattleChess3DOnline,63,IN,2018-01-11
com.mageeks.android.trainsimulator,TrainSimulatorPRO2018,64,IN,2018-01-11
air.com.shirogames.evoland12,Evoland,65,IN,2018-01-11
com.playdead.limbo.full,LIMBO,66,IN,2018-01-11
com.and.games505.brothers,ブラザーズ：2人の息子の物語,67,IN,2018-01-11
com.robtopx.geometryjump,GeometryDash,68,IN,2018-01-11
com.jutsugames.operator911,911Operator,69,IN,2018-01-11
com.IMStudio.PocketRally,PocketRally,70,IN,2018-01-11
com.sigames.fmm2018,FootballManagerMobile2018,71,IN,2018-01-11
com.microids.yesterdayorigins.premium,YesterdayOrigins,72,IN,2018-01-11
com.rac7.DarkEcho,DarkEcho,73,IN,2018-01-11
air.com.bestescapegames.lucyescapePRO,CanYouEscape-RescueLucyfromPrisonPRO,74,IN,2018-01-11
com.jumpgames.pacificrim,PacificRim,75,IN,2018-01-11
com.stampedegames.evoexplores,EvoExplores-OpticalIllusionsPuzzle,76,IN,2018-01-11
co.uk.kavcom.cricketcaptain2016,CricketCaptain2016,77,IN,2018-01-11
chessbase.android.chessdb,ChessBaseOnline,78,IN,2018-01-11
com.sanbae.dimlight,ディム・ライト(DimLight),79,IN,2018-01-11
com.tangram3D.Athletics2,陸上競技2:SummerSports,80,IN,2018-01-11
com.mediocre.sprinkle2,SprinkleIslands（スプリンクル・アイランド）,81,IN,2018-01-11
com.venomizedart.Slaughter,Slaughter,82,IN,2018-01-11
com.vectorunit.silver.googleplay,RiptideGP:Renegade,83,IN,2018-01-11
ua.com.tlftgames.waymc,"WhoAreYou,Mr.Cooper?",84,IN,2018-01-11
com.hamsteroncoke.zenge,Zenge,85,IN,2018-01-11
org.lukeallen.bomberfull,AtomicBomberFull,86,IN,2018-01-11
com.atypicalgames.sgas,SkyGamblers:AirSupremacy,87,IN,2018-01-11
com.FireproofStudios.TheRoom2,TheRoomTwo,88,IN,2018-01-11
com.vectorunit.red,RiptideGP2,89,IN,2018-01-11
com.jdroid.gta3cheater,JCheater:GTAIIIEdition,90,IN,2018-01-11
com.games2win.drivingacademyindia.paid,DrivingAcademyIndia-Deluxe,91,IN,2018-01-11
com.DefiantDev.SkiSafari,SkiSafari,92,IN,2018-01-11
com.n3vgames.android.driver,TrainzDriver,93,IN,2018-01-11
com.nosignalproductions.legacytwo,Legacy2-TheAncientCurse,94,IN,2018-01-11
com.MadOut.OpenCity,MadOutOpenCity,95,IN,2018-01-11
com.hg.townsmen7,TownsmenPremium,96,IN,2018-01-11
com.gameloft.android.ANMP.GloftAMHM,アメイジング・スパイダーマン,97,IN,2018-01-11
com.applabs.puzzlepro,MathPuzzlesPro,98,IN,2018-01-11
com.trueaxis.trueskate,TrueSkate,99,IN,2018-01-11
com.venomizedArt.Slaughter2,Slaughter2:PrisonAssault,100,IN,2018-01-11
air.com.flipline.papasfreezeriatogo,Papa'sFreezeriaToGo!,101,IN,2018-01-11
com.projects.matchfinder,IQZIGGIMemoryGame,102,IN,2018-01-11
com.galapagossoft.trial,TrialXtreme,103,IN,2018-01-11
com.atari.mobile.rctc,RollerCoasterTycoon®Classic,104,IN,2018-01-11
com.logicmiracle.offroaddrivedesert.pro,オフロードドライブ砂漠,105,IN,2018-01-11
brownmonster.app.game.rushrally2,RushRally2,106,IN,2018-01-11
com.explodingkittens.projectbombsquad,ExplodingKittens®-Official,107,IN,2018-01-11
com.ekstar.sudoku,EkstarSudoku,108,IN,2018-01-11
com.kleientertainment.doNotStarvePocket,Don'tStarve:PocketEdition,109,IN,2018-01-11
nz.co.codepoint.minimetro,MiniMetro,110,IN,2018-01-11
ilmfinity.evocreo.main.android,EvoCreo,111,IN,2018-01-11
com.wb.goog.scribbleremix,ScribblenautsRemix,112,IN,2018-01-11
com.zonmob.stickman.leagueofheroes,StickmanRevenge3:LeagueofHeroes,113,IN,2018-01-11
com.gameloft.android.ANMP.GloftG4HM,ギャングスターRIO：CityofSaints,114,IN,2018-01-11
com.wTableSpinner_6064790,TableSpinner,115,IN,2018-01-11
com.astragon.cs2016,ConstructionSimulator2,116,IN,2018-01-11
com.agaming.zonaprojectxredux,Z.O.N.AProjectXRedux,117,IN,2018-01-11
com.echolake.daveysmystery2,Davey’sMystery2,118,IN,2018-01-11
com.rainbowtrain.eu,oO,119,IN,2018-01-11
com.zeptolab.ctr.paid,CuttheRope,120,IN,2018-01-11
mindware.mindgamespro,マインドゲームプロ,121,IN,2018-01-11
com.wb.goog.lbbg,LEGO®バットマンザ・ゲームゴッサムから宇宙へ,122,IN,2018-01-11
com.nextwave.wcc_pr,WorldCricketChampionshipPro,123,IN,2018-01-11
com.gameloft.android.ANMP.GloftM3HM,モダンコンバット3：FallenNation,124,IN,2018-01-11
com.hydrame.hyper,hyper,125,IN,2018-01-11
com.marmalade.cluedogame,Cluedo,126,IN,2018-01-11
com.lonelycatgames.MauMau3,MauMau,127,IN,2018-01-11
