app_id,app_name,rank,country_code,date
com.octro.teenpatti,TeenPatti-IndianPoker,1,IN,2017-09-12
com.miniclip.eightballpool,8BallPool,2,IN,2017-09-12
com.teenpatti.hd.gold,TeenPattiGold,3,IN,2017-09-12
com.google.android.apps.docs,Googleドライブ,4,IN,2017-09-12
com.tinder,Tinder,5,IN,2017-09-12
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),6,IN,2017-09-12
com.games24x7.teenpatti.playstore,UltimateTeenPatti—UTP,7,IN,2017-09-12
com.king.candycrushsaga,キャンディークラッシュ,8,IN,2017-09-12
com.netflix.mediaclient,Netflix,9,IN,2017-09-12
sg.bigo.live,BIGOLIVE,10,IN,2017-09-12
com.hcg.cok.gp,クラッシュオブキングス-「城育成シミュレーションRPG」,11,IN,2017-09-12
com.zynga.livepoker,Zyngaポーカー,12,IN,2017-09-12
com.smule.singandroid,Sing!カラオケbySmule,13,IN,2017-09-12
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),14,IN,2017-09-12
com.king.candycrushsodasaga,キャンディークラッシュソーダ,15,IN,2017-09-12
com.ea.gp.fifamobile,FIFAMobileサッカー,16,IN,2017-09-12
com.moonactive.coinmaster,CoinMaster,17,IN,2017-09-12
com.kabam.marvelbattle,MARVELオールスターバトル,18,IN,2017-09-12
com.pixonic.wwr,WarRobots,19,IN,2017-09-12
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),20,IN,2017-09-12
com.gtarcade.lod,LegacyofDiscord-FuriousWings,21,IN,2017-09-12
com.udemy.android,Udemy-コースとチュートリアル,22,IN,2017-09-12
com.longtech.lastwars.gp,LastEmpire–WarZゾンビサバイバル,23,IN,2017-09-12
com.games24x7.ultimaterummy.playstore,UltimateRummyCircle,24,IN,2017-09-12
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),25,IN,2017-09-12
com.octro.rummy,IndianRummybyOctro,26,IN,2017-09-12
com.azarlive.android,Azar-ビデオチャット、友達検索,27,IN,2017-09-12
com.igg.castleclash,CastleClash,28,IN,2017-09-12
com.pixelberrystudios.choices,Choices:StoriesYouPlay,29,IN,2017-09-12
com.mobile.legends,モバイル·レジェンド:Bangbang,30,IN,2017-09-12
com.netmarble.mherosgb,MARVELFutureFight,31,IN,2017-09-12
com.ftw_and_co.happn,happn,32,IN,2017-09-12
com.epicwaronline.ms,モバイルストライク【MobileStrike】,33,IN,2017-09-12
com.igg.android.lordsmobile,ロードモバイル【本格リアルタイムストラテジーMMORPG】,34,IN,2017-09-12
com.plarium.vikings,ヴァイキングス：ウォー・オブ・クラン,35,IN,2017-09-12
com.truecaller,Truecaller–発信者ID表示とブロック,36,IN,2017-09-12
com.scopely.whiplash,WWEChampions,37,IN,2017-09-12
zombie.survival.craft.z,LastDayonEarth:Survival,38,IN,2017-09-12
com.rovio.baba,アングリーバード2(AngryBirds2),39,IN,2017-09-12
com.playrix.township,タウンシップ(Township),40,IN,2017-09-12
net.peakgames.amy,ToyBlast,41,IN,2017-09-12
com.ea.game.starwarscapital_row,スター・ウォーズ／銀河の英雄,42,IN,2017-09-12
com.nianticlabs.pokemongo,PokémonGO,43,IN,2017-09-12
com.nexonm.dominations.adk,DomiNations,44,IN,2017-09-12
com.lein.pppoker.android,PPPoker-FreePoker&HomeGames,45,IN,2017-09-12
