app_id,app_name,rank,country_code,date
gp.badminton.paygame,BadmintonPro,1,IN,2019-08-16
expensiveapp.mostexpensiveballgame.mostexpensiveapp.mza,最も高価なボールゲーム-2019✔️👑,2,IN,2019-08-16
it.rortos.realflightsimulator,RFS-RealFlightSimulator,3,IN,2019-08-16
com.Wecomfrom.EgoRigo,EgoRigo,4,IN,2019-08-16
com.bethsoft.DOOM,DOOM,5,IN,2019-08-16
com.ssicosm.slime_great_war_pay,15スライム,6,IN,2019-08-16
com.hg.bcnw,BattleChasers:Nightwar（バトルチェイサーズ：ナイトウォー）,7,IN,2019-08-16
mycity.highschool,MyCity:HighSchool,8,IN,2019-08-16
com.banjihagames.seoul2033_zero,서울2033:유시진,9,IN,2019-08-16
jp.co.nippon1.Yomawari,夜廻,10,IN,2019-08-16
com.bethsoft.DOOMII,DOOMII,11,IN,2019-08-16
maa.vaporwave_editor_glitch_vhs_trippy_pro,VaporgramPro🌴:Vaporwave&GlitchPhotoEditor,12,IN,2019-08-16
br.electi.music.player.com,PrimeMusic-AudioPlayerPro-NoAds,13,IN,2019-08-16
com.hydeofficialstore.Missing,Missing,14,IN,2019-08-16
com.theamazingfrog.thefroggameamazingsimulator.thefroggunadventure,AmazingSwatFrogSimulatorCity,15,IN,2019-08-16
com.clickteam.freddyfazbearspizzeriasimulator,FNaF6:PizzeriaSimulator,16,IN,2019-08-16
com.alawar.monkeysfulll,DoNotFeedTheMonkeys,17,IN,2019-08-16
qrcode.barcode.scanner.pro,QRコード＆バーコードリーダーPro,18,IN,2019-08-16
custom.diary.tracker,子育てアプリ-ベイビートラッカー＆新生児日記,19,IN,2019-08-16
soulcoder.soulcoder.PaperDungeons,Suroorz:TheMissingDrawing,20,IN,2019-08-16
com.sagosago.Airport.googleplay,サゴミニ空港,21,IN,2019-08-16
com.KomikerMedia.Riange,RiangeConstantinople,22,IN,2019-08-16
com.redantz.game.za3p,ZombieAge3Premium:RulesofSurvival,23,IN,2019-08-16
com.direwolfdigital.raiders,RaidersoftheNorthSea,24,IN,2019-08-16
com.Speaxel.Rockets,DerDieDasRockets!,25,IN,2019-08-16
com.alfred.mostexpensivememorygame,EljuegodeMemoriamáscaro,26,IN,2019-08-16
co.uk.whitbyfolk2019.programme,WhitbyFW2019,27,IN,2019-08-16
pier.imageframe.android.knightrunpro,나이트런:홈커밍,28,IN,2019-08-16
com.momstory,ЛучшиерецептыMomStory,29,IN,2019-08-16
com.jakyl.supersoccerchamps,SuperSoccerChamps2019,30,IN,2019-08-16
com.frogamazing.projectamazing.jumpfrog,AmazingSimulatorFrog?,31,IN,2019-08-16
wia.gorillas.android,GoWildGorillas,32,IN,2019-08-16
jp.wonderplanet.cfrhythm,SonicBeatfeat.クラッシュフィーバー,33,IN,2019-08-16
com.binghuo.magnifyingglass.magnifier.pro,拡大鏡,34,IN,2019-08-16
com.jndapp.skyline.linex.iconpack,SkyLineIconPack:LineXBlueEdition,35,IN,2019-08-16
org.uoyabause.uranus.pro,YabaSanshiroPro-セガサターンエミュレータ,36,IN,2019-08-16
com.esfile.android.filemanager,#No.1ESFileManagerPremium,37,IN,2019-08-16
com.hamsteroncoke.oxxo,OXXO,38,IN,2019-08-16
mathome.kustom.pack,Mat-HomeforKLWP,39,IN,2019-08-16
com.panotogomo.cubic,PixelCubic3D-IconPack,40,IN,2019-08-16
com.fivebn.nym04.full,NewYorkMysteries4(Full),41,IN,2019-08-16
com.gaming.pubggamepadpremium,"GamepadProfor-PUBG,FreeFire,etc",42,IN,2019-08-16
de.koellenGolf.dgvPlatzreife,DGV-Platzreife,43,IN,2019-08-16
com.avokiddo.games.thinkrolls_space,ThinkrollsSpace,44,IN,2019-08-16
com.raultruji3d.amusement.park.simulator.tagada,TagadaSimulator：遊園地遊園地,45,IN,2019-08-16
com.panotogomo.hexaring,Hexaring-IconPack,46,IN,2019-08-16
com.almcsoftware.footballteasers5,FootballTeasers5,47,IN,2019-08-16
com.sflgames.Flashback_Mobile,FlashbackMobile,48,IN,2019-08-16
izzl.gruvy.pack,GruvyIconpack,49,IN,2019-08-16
com.komodochess.komodo13,Komodo13ChessEngine,50,IN,2019-08-16
com.tvdevfactory.miboxapkinstaller,MiBoxAPKinstallerforAndroidTV,51,IN,2019-08-16
com.cbr.xenios,Xenios,52,IN,2019-08-16
com.denisa.amenzipazacomert.example,AmenziPazășiActedeComerț,53,IN,2019-08-16
com.cerj.aurora,Aurora-SubstratumTheme,54,IN,2019-08-16
uk.co.matthewgroberts.fs1024,FreestylerDMX,55,IN,2019-08-16
com.Metawe.game,DepartureDash,56,IN,2019-08-16
com.altaylar.hdfilmizle2020pro,HDFilm2019PRO-ALTAYLAR,57,IN,2019-08-16
com.appsmagnifi.Gallokiki,Gallokiki,58,IN,2019-08-16
com.flux.theblackwidow,TheBlackWidow,59,IN,2019-08-16
com.clinicalproblemsolving.cps,TheClinicalProblemSolvers,60,IN,2019-08-16
com.vpn.speedunlimited,SpeedVPN-Secure&UnlimitedVPN,61,IN,2019-08-16
com.visiontrick.pavilion.touch,Pavilion:TouchEdition,62,IN,2019-08-16
com.alpha.calllog.thesilencerapp,TheSilencer,63,IN,2019-08-16
com.playdekgames.fluxx,Fluxx,64,IN,2019-08-16
com.appsmagnifi.RugidoClick,RugidoClick,65,IN,2019-08-16
com.indomitablesoft.hcmanager2,HCManager,66,IN,2019-08-16
com.appsmagnifi.Elefantesound,Elefantesound,67,IN,2019-08-16
com.appsmagnifi.Soy_Ricoo_xd,SonidosGraciososs,68,IN,2019-08-16
com.bullbitz.piratedrop2,PirateDrops2-Matchthreepuzzle,69,IN,2019-08-16
com.EvoGames.DarkZone,DarkZone,70,IN,2019-08-16
com.studiopango.musicalmarch,PangoMusicalMarch,71,IN,2019-08-16
lt.fai.balloonLive.paid,BalloonLive,72,IN,2019-08-16
info.fluxstudio.easydomofon.pro,EasyDomofonPRO-Кодыдомофонов,73,IN,2019-08-16
com.appsmagnifi.Troleador_2019,TroleadorDeGatos,74,IN,2019-08-16
