app_id,app_name,rank,country_code,date
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,1,IT,2016-06-11
com.and.games505.brothers,ブラザーズ：2人の息子の物語,2,IT,2016-06-11
com.mageeks.android.farmingpro2016,FarmingPRO2016,3,IT,2016-06-11
com.coffeestainstudios.goatsimulator.wasteofspace,GoatSimulatorWasteofSpace,4,IT,2016-06-11
brownmonster.app.game.rushrally2,RushRally2,5,IT,2016-06-11
com.msherwin.GameStudioTycoon3,GameStudioTycoon3,6,IT,2016-06-11
com.drpanda.racers,Dr.Pandaレーサー,7,IT,2016-06-11
com.threeminutegames.lifelinewhiteoutgoog,Lifeline:ホワイトアウト,8,IT,2016-06-11
net.kairosoft.android.densha_en,StationManager,9,IT,2016-06-11
mytown.danceschool,MyTown:DanceSchoolダンススクール,10,IT,2016-06-11
com.froschmedia.skater,Skater,11,IT,2016-06-11
uk.fiveaces.newstarsoccergstory,NewStarSoccerG-Story,12,IT,2016-06-11
com.gamefirst.survivalsavagefull,SurvivalIsland:CreativeMode,13,IT,2016-06-11
com.orangepixel.dungeon2,HeroesofLoot2,14,IT,2016-06-11
com.bigfishgames.avobgoogfull,アマランスの杖：黒曜石の本(Full),15,IT,2016-06-11
balazs.pixelmon,PIXELMONHEARTFORMINECRAFT,16,IT,2016-06-11
com.ratrodstudio.skateparty3,SkateboardParty3GregLutzka,17,IT,2016-06-11
com.sim.Flight2K16,FlightSimulator2K16,18,IT,2016-06-11
com.VisualCombat.VRPartyGame2,VRPartyGame(Cardboard),19,IT,2016-06-11
com.eagletap.mathematicalrun,MathematicalRun,20,IT,2016-06-11
com.Prometheus_Indie_RPG_Games.Dungeons_of_Chaos_UNITY_edition,DungeonsofChaos,21,IT,2016-06-11
com.DriftEngineEntertainment.Lollo,Lollo,22,IT,2016-06-11
com.square_enix.android_googleplay.romancingsaga2_ww,RomancingSaGa2,23,IT,2016-06-11
com.Neko8Games.Donka,DonkaDonka,24,IT,2016-06-11
com.gamemavericks.americantrainfull,USTrainDriverSimulatorFull,25,IT,2016-06-11
com.nvidia.residentevil5,Biohazard5,26,IT,2016-06-11
com.hardlinestudios.metaball,metaBall,27,IT,2016-06-11
com.bigfishgames.llsmgoogfull,LeagueofLight:Silent(Full),28,IT,2016-06-11
com.amphibius.ghost_house_escape_adfree.android,GhostHouseEscape(AdFree),29,IT,2016-06-11
com.CleverEndeavourGames.UltimateChickenHorse,究極のチキンホース,30,IT,2016-06-11
com.bigfishgames.drbmgoogfull,Dead:BrassfieldManor(Full),31,IT,2016-06-11
com.DynamicGames.classicprototyperacing2,ClassicPrototypeRacing2,32,IT,2016-06-11
balazs.crazysurvival_,CRAZYCRAFT:SWEETBATTLE,33,IT,2016-06-11
com.heisenbergent.mr29z17,GangsterGranny3,34,IT,2016-06-11
com.SleepyheadStudios.TestingIrons,BarkingIrons,35,IT,2016-06-11
com.incrementalinc.idleevolution2,IdleEvolution2,36,IT,2016-06-11
com.thirdwire.sf_legends_pro_gp,StrikeFightersLegends(Pro),37,IT,2016-06-11
com.tuokio.soccersumos,SoccerSumos,38,IT,2016-06-11
air.it.only4you.imparaicolori,Imparaicolori,39,IT,2016-06-11
com.HAYFAT,HeroesPath,40,IT,2016-06-11
com.alawar.darktales5.gplay.premium,ダークテイルズ5:赤い死の仮面,41,IT,2016-06-11
com.Statsenko.GravityGame,KungFuSpaceCannon,42,IT,2016-06-11
myapps.xpboosterpremiumaventure,XpBoosterPremiumAventure,43,IT,2016-06-11
myapps.xpboosterpremiumcourse,XpBoosterPremiumCourses,44,IT,2016-06-11
myapps.xpboosterpremiumstrategy,XpBoosterPremiumStratégie,45,IT,2016-06-11
myapps.xpboosterpremiumcarte,XpBoosterPremiumCartes,46,IT,2016-06-11
myapps.xpboosterpremiumaction,XpBoosterPremiumAction,47,IT,2016-06-11
myapps.xpboosterpremiumsimulation,XpBoosterPremiumSimulation,48,IT,2016-06-11
myapps.xpboosterpremiumsport,XpBoosterPremiumSport,49,IT,2016-06-11
com.StrongTruck.FullTruck,RealTruckSimulator3DFull,50,IT,2016-06-11
com.tivola.vincelot,Vincelot：騎士の冒険,51,IT,2016-06-11
com.ihopi.cdudevicepro,PMDGCDUDEVICEPro,52,IT,2016-06-11
com.prismacomunicazione.karradash2,MazesofKarradash2,53,IT,2016-06-11
com.artifexmundi.tq1.gp.full,チベット・クエスト(Full),54,IT,2016-06-11
google.paid.highschoolprincess.peachygamesllc,HighSchoolPrincessFULL,55,IT,2016-06-11
com.mobilecastles.castles,CastlesofMadKingLudwig,56,IT,2016-06-11
