app_id,app_name,rank,country_code,date
com.tohsoft.weather.sunrise.sunset.gen2,Weather-unlimited&realtimeweatherforecast,1,IT,2018-05-26
com.xda.nobar.premium,NavigationGesturesPremiumAdd-On,2,IT,2018-05-26
com.daily.exercises.plus,ExercisesPro,3,IT,2018-05-26
com.snakescoutv1,SnakeScout,4,IT,2018-05-26
com.OVRTime.VRTombSecret,VRTomb'sSecrets2,5,IT,2018-05-26
com.diodellamialode,DiodellamiaLode,6,IT,2018-05-26
com.ArteExperience.HomoMachina,HomoMachina,7,IT,2018-05-26
com.fnetchat.photoeditor,YourFunnyCam&PhotoEditorPro,8,IT,2018-05-26
best.betoddsvip,BestBetOddsVIP,9,IT,2018-05-26
com.tohsoft.mail.email.emailclient.pro,EmailPro,10,IT,2018-05-26
mylittleprincess.fairy,MyLittlePrincess：妖精の森,11,IT,2018-05-26
com.DoubleMoose.AnimalSuperSquad,AnimalSuperSquad,12,IT,2018-05-26
bet.predictionvip,BetPredictionVIP,13,IT,2018-05-26
com.glutenfreegames.ultimatefarmsimulator,UltimateFarmSimulator,14,IT,2018-05-26
com.sityware.camera_mod_samsung_s9_bitrate_settings,CameraModS9-Bitrate&Settings[ROOT],15,IT,2018-05-26
mytown.amusementpark,MyTown:ICEEアミューズメントパーク,16,IT,2018-05-26
com.leomaz.g7pack,LGG7Experience-IconPack,17,IT,2018-05-26
com.GameCoaster.DungeonMaker,ダンジョンメーカー,18,IT,2018-05-26
com.noodlecake.gettingoverit,GettingOverItwithBennettFoddy,19,IT,2018-05-26
systems_betting_accademy.pronosticioverpro,PredictionsFootballOverUnder,20,IT,2018-05-26
com.Fraom.Popsicle,Popsicle/IconPack,21,IT,2018-05-26
com.mw.amoledpremiumm,AMOLEDPremium4KPROWallpapers(2960x1440)📱👌,22,IT,2018-05-26
com.cris87.limitless,MIUILIMITLESS-ICONPACKHD,23,IT,2018-05-26
com.powermanager.batteryaddon,PackageDisablerPro+(Samsung),24,IT,2018-05-26
com.zappasoft.ptrcoachplus,PTRCoachPlus,25,IT,2018-05-26
com.sagosago.Apartment.googleplay,サゴミニアパート,26,IT,2018-05-26
com.teslagames.messagequest_ads,メッセージクエスト—フェステの大冒険,27,IT,2018-05-26
com.starmaiden.egdeoftheskypremium,TotheEdgeoftheSky-Premium,28,IT,2018-05-26
com.PaoloRossini.Nuovi_Tarocchi_di_Marsiglia,NuoviTarocchidiMarsiglia,29,IT,2018-05-26
com.rainystudio.jovoiconpack,Jovo-IconPack,30,IT,2018-05-26
com.olivera.irex,Irex-IconPack,31,IT,2018-05-26
com.dragonballz.streetfighter,DragonFighter:BallZ,32,IT,2018-05-26
com.handelabra.OneDeckDungeon,OneDeckDungeon,33,IT,2018-05-26
meditation.speed.light,LongKriya-ArtofLiving(Pro),34,IT,2018-05-26
pricereduc.centimeters.inches.length.conversion,インチからセンチメートルまたはセンチメートルからインチ,35,IT,2018-05-26
appinventor.ai_procopio_gio.You_are_rich_2,I'mRich,36,IT,2018-05-26
games.pixelsplit.frs4,FunfairRideSimulator4,37,IT,2018-05-26
com.studyandfun.schooldungeons,SchoolDungeons,38,IT,2018-05-26
domain.com.pappe,LepappediGreta,39,IT,2018-05-26
aliceteam.theme.twilight.night.black,[Substratum]TwilightNightBlack,40,IT,2018-05-26
br.com.mothergaia.sweepergenius,MinesweeperGenius,41,IT,2018-05-26
com.mlb.RBIBaseball2018,R.B.I.Baseball18,42,IT,2018-05-26
com.flamefrontstudios.forzatune7,ForzaTune7,43,IT,2018-05-26
com.santiagosarquis.mino,Mino-IconPack,44,IT,2018-05-26
ultaangames.nobunagasshadow.en,Nobunaga'sShadow(OfflineRPG),45,IT,2018-05-26
com.kimblegames.wheelieking3dpremium,WheelieKing3DPremium,46,IT,2018-05-26
com.lwsipl.elegantlauncher2.pro,ElegantLauncherPro2-2018-LauncherTheme,47,IT,2018-05-26
it.hairapp.hair,Hair,48,IT,2018-05-26
techmasterplus.wordsearchpuzzle,WordSearchPuzzle,49,IT,2018-05-26
de.kamibox.typo,supertype,50,IT,2018-05-26
alice.project.vacuumdark,[Substratum]Vacuum:DarkonOreo,51,IT,2018-05-26
udeck.underdeck,UnderdeckEnglish,52,IT,2018-05-26
sk.hanni.emuithemes.mosaicorange,MosaicOrangeEMUI5/8Theme,53,IT,2018-05-26
pitchblack.samsung.substratum,PitchBlackS│SamsungSubstratumTheme“OreoOnly”,54,IT,2018-05-26
com.adrienmaciel.popcircle,PopcircleIconPack,55,IT,2018-05-26
reacthome.kustom.pack,ReactHomeforKLWP,56,IT,2018-05-26
com.hamsteroncoke.scalak,Scalak,57,IT,2018-05-26
pinnedup.kustom.pack,Pinned-Up,58,IT,2018-05-26
com.annanovas.bluebloodsringtone,BlueBloodsThemeRingtoneandAlert,59,IT,2018-05-26
com.magobin.pro.tripup,TripUp,60,IT,2018-05-26
com.greatapps.charginganimation,BatteryChargingAnimation+fullbatteryalarm,61,IT,2018-05-26
zms.glitcheditor.glitchyIAP,GlitchEditor📷(NOADS),62,IT,2018-05-26
fs.wmwatch.ferrari,WatchFaceFsFerraristyleforallwear,63,IT,2018-05-26
io.sk_uk.banksyslondon,Banksy'sLondonTour,64,IT,2018-05-26
com.bitbleed.iconpack.doom.iconpack,DOOMIconPack,65,IT,2018-05-26
it.speedokay.android,SpeedOkay,66,IT,2018-05-26
com.mapitech.lakegarda,LakeGardaOfflineGPSNauticalCharts,67,IT,2018-05-26
com.unmannedairlines.droneception,Droneception,68,IT,2018-05-26
com.mw.pixel3superamoledwallpapers,Pixel3SuperAMOLEDWallpapersPRO(2960x1440),69,IT,2018-05-26
com.olivera.plax,Plax-IconPack,70,IT,2018-05-26
com.wifibooster.wifisignal.wifisignalbooster,WiFiSignalStrengthMeterPro,71,IT,2018-05-26
com.media.mp3player.musicplayer.pro,UltimateMusicPlayerPro,72,IT,2018-05-26
com.ThreeCubz.PlanetXEscapeFromNibiru,PlanetX:SpaceShooterVR,73,IT,2018-05-26
com.ndonna.lpilinuxessentialsfull,LPILinuxEssentialsFull,74,IT,2018-05-26
com.fabiomorrone.perceval,PercevalIconPack,75,IT,2018-05-26
com.sdr_labs.rtlscanner,RTLScanner,76,IT,2018-05-26
aliceteam.theme.twilight.night.pro,[Substratum]TwilightNightDark,77,IT,2018-05-26
com.gamecamp.dartmasters,DartMasters,78,IT,2018-05-26
com.fl.colreg,ColRegs-72,79,IT,2018-05-26
com.fchatnet.callrecorder,YourCallRecorderPro,80,IT,2018-05-26
com.nzd_life,NoZeroDays,81,IT,2018-05-26
com.joara.Memorize03Full.g,메모라이즈#3<MEMORIZE>:형제,82,IT,2018-05-26
com.artandgo1,Art&Go,83,IT,2018-05-26
dev.hdcstudio.sub4subpro,Sub4SubPro(NoAds),84,IT,2018-05-26
com.bigbluebubble.msmcomposer,MySingingMonstersComposer,85,IT,2018-05-26
com.rainystudio.maciboiconpack,Macibo-IconPack,86,IT,2018-05-26
com.rainystudio.pomoiconpack,Pomo-IconPack,87,IT,2018-05-26
com.alchemilla.artoobear,Artoo,88,IT,2018-05-26
