app_id,app_name,rank,country_code,date
jp.co.yahoo.android.weather.type1,Yahoo!天気雨雲の接近や台風進路がわかる天気予報アプリ,1,JP,2016-07-17
jp.co.rakuten.rakuma.android,フリマアプリラクマ-出品手数料無料の楽天のフリマアプリ,2,JP,2016-07-17
com.asiainno.uplive,UPLive（アップライブ）—無料でライブ動画視聴&配信！,3,JP,2016-07-17
jp.naver.line.android,LINE（ライン）-無料通話・メールアプリ,4,JP,2016-07-17
com.linecorp.LGCAT,LINE怪盗にゃんこ,5,JP,2016-07-17
jp.co.ryuk.leave2,ホウチ帝国,6,JP,2016-07-17
com.campmobile.snow,スノーSNOW-自撮り、顔認識スタンプ、ウケるカメラ,7,JP,2016-07-17
com.jb.security,"GOSecurity,アンチウイルスアプリロック",8,JP,2016-07-17
com.turboc.cleaner,"TurboCleaner-Boost,Clean",9,JP,2016-07-17
com.noknok.smallJP,アイラブショッピング,10,JP,2016-07-17
jp.co.yahoo.android.ychiebukuro,Yahoo!知恵袋　悩み相談できる質問・回答掲示板アプリ,11,JP,2016-07-17
com.king.farmheroessupersaga,ファームヒーロー・スーパー,12,JP,2016-07-17
com.aiming.trilink,トライリンク　光の女神と七魔獣,13,JP,2016-07-17
jp.mbga.a12024526.lite,[モバ７]CRスーパー海物語INJAPAN,14,JP,2016-07-17
com.aiming.sorakuro,空と大地のクロスノア,15,JP,2016-07-17
jp.co.yahoo.android.ysmarttool,バッテリー長持ち・節電　Yahoo!スマホ最適化ツール,16,JP,2016-07-17
tv.abema,AbemaTV-無料インターネットテレビ局,17,JP,2016-07-17
jp.co.skylark.app.jonathan,ジョナサンアプリ　お得なクーポンが使える無料アプリ,18,JP,2016-07-17
com.linecorp.LGBB2,LINEバブル2,19,JP,2016-07-17
jp.gocro.smartnews.android,スマートニュース/圏外でもニュースサクサクSmartNews,20,JP,2016-07-17
com.nordcurrent.canteenhd,クッキングフィーバー【爽快グルメアクション！】,21,JP,2016-07-17
