app_id,app_name,rank,country_code,date
com.lionstudios.mrbullet,MrBullet-SpyPuzzles,1,JP,2019-07-30
jp.coolfactory.android.werewolf2,人狼殺2-2019年新たな3Dボイスチャット人狼ゲーム,2,JP,2019-07-30
com.cassette.aquapark,aquapark.io,3,JP,2019-07-30
com.efun.norns,ノルンズ・ファンタジー,4,JP,2019-07-30
com.kwalee.drawit,Drawit,5,JP,2019-07-30
com.slippy.linerusher,FunRace3D,6,JP,2019-07-30
com.neonplay.casualrollersplat2,RollerSplat!,7,JP,2019-07-30
com.kwalee.jetpackjump,JetpackJump,8,JP,2019-07-30
com.playrix.homescapes,ホームスケイプ(Homescapes),9,JP,2019-07-30
com.fugo.wow,驚異の言葉：語彙をつなぐクロスワード,10,JP,2019-07-30
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),11,JP,2019-07-30
com.battle.disc,BattleDisc,12,JP,2019-07-30
com.netease.g93na,機動都市X：スーパーメカシティ,13,JP,2019-07-30
com.dotnbeat.dancing.music.rhythm.handspeed,點點リズム(DotnBeat)　君の手の速さをテストする,14,JP,2019-07-30
com.game5mobile.lineandwater,HappyGlass,15,JP,2019-07-30
com.habby.archero,アーチャー伝説,16,JP,2019-07-30
jp.co.mixi.monsterstrike,モンスターストライク,17,JP,2019-07-30
com.shape.change,JellyShift,18,JP,2019-07-30
com.mgc.runnergame,RunRace3D-3D競走,19,JP,2019-07-30
io.voodoo.crowdcity,CrowdCity,20,JP,2019-07-30
com.netmarble.medalwars,妖怪ウォッチメダルウォーズ,21,JP,2019-07-30
com.nintendo.zama,ドクターマリオワールド,22,JP,2019-07-30
com.gunsturn.illustchainer,IllustChainerみんなでつなげる絵しりとり,23,JP,2019-07-30
com.dopuz.klotski.riddle,Numpuz–面白い脳トレ&数字パズルゲーム,24,JP,2019-07-30
jp.uuum.playingescape,脱獄ごっこ初回限定版,25,JP,2019-07-30
com.playrix.township,タウンシップ(Township),26,JP,2019-07-30
jp.co.ponos.battlecats,にゃんこ大戦争,27,JP,2019-07-30
com.linecorp.LGBB3,LINEハローBT21,28,JP,2019-07-30
jp.pokemon.pokemonscrambleSP,ポケモンスクランブルSP,29,JP,2019-07-30
com.azurgames.stackball,スタックボール-積み上げられた台座を砕いていこう ,30,JP,2019-07-30
io.voodoo.paper2,Paper.io2,31,JP,2019-07-30
pampam.ibf2,BottleFlip3D,32,JP,2019-07-30
com.matchington.mansion,マッチングトン·マンション,33,JP,2019-07-30
com.yottagames.mafiawar,マフィア・シティ-極道風雲,34,JP,2019-07-30
com.nianticlabs.pokemongo,PokémonGO,35,JP,2019-07-30
com.colorup.game,ColorBump3D,36,JP,2019-07-30
io.voodoo.holeio,Hole.io,37,JP,2019-07-30
com.playgendary.ktb2,KicktheBuddy:Forever,38,JP,2019-07-30
se.raketspel.digaround,Digit!,39,JP,2019-07-30
com.mobirix.parkingking,駐車場の王,40,JP,2019-07-30
air.jp.globalgear.boy,イケボーイ　-脱出ゲーム,41,JP,2019-07-30
com.easybrain.jigsaw.puzzles,ジグソーパズル-パズルゲーム,42,JP,2019-07-30
com.fungames.sniper3d,スナイパー3Dアサシン：無料射撃ゲーム,43,JP,2019-07-30
com.bigfishgames.toystorydropgoog,トイ・ストーリードロップ！,44,JP,2019-07-30
com.sixwaves.richman,リッチマスター～ゼロから大富豪～,45,JP,2019-07-30
jp.glee.girl,放置少女〜百花繚乱の萌姫たち,46,JP,2019-07-30
com.netmarble.nanatsunotaizai,七つの大罪光と闇の交戦:グラクロ,47,JP,2019-07-30
com.linecorp.LGBB2,LINEバブル2,48,JP,2019-07-30
com.linecorp.LGTMTM,LINE：ディズニーツムツム,49,JP,2019-07-30
com.kuraki.dore8,ナゾトキの時間-謎解き×アドベンチャー,50,JP,2019-07-30
com.wordgame.puzzle.block.crush.ja,単語リンク,51,JP,2019-07-30
com.cmplay.tiles2,ピアノタイル2™,52,JP,2019-07-30
com.youmusic.magictiles,MagicTiles3:ピアノ曲&ゲーム,53,JP,2019-07-30
com.train.taxi,TrainTaxi,54,JP,2019-07-30
com.geishatokyo.trafficrun,TrafficRun!,55,JP,2019-07-30
com.twentyonestudio.beachclean,BeachClean,56,JP,2019-07-30
com.netease.ko,荒野行動-スマホ版バトロワ,57,JP,2019-07-30
com.geishatokyo.snowballio,Snowball.io,58,JP,2019-07-30
com.abiru.uwakiBest,浮気サレ女～気付けば「サレ女」だった,59,JP,2019-07-30
net.peakgames.toonblast,トゥーンブラスト,60,JP,2019-07-30
com.pubg.krmobile,PUBGMOBILE,61,JP,2019-07-30
game.puzzle.woodypuzzle,ウッディーパズル(Woody™BlockPuzzle),62,JP,2019-07-30
com.fundoshiparade.bokukoro3jp,君の目的はボクを殺すこと３,63,JP,2019-07-30
com.nintendo.zara,SuperMarioRun,64,JP,2019-07-30
com.bandainamcoent.taikogp,太鼓の達人プラス★新曲取り放題！,65,JP,2019-07-30
com.linecorp.LGPTT,LINEパズルタンタン,66,JP,2019-07-30
tiles.piano.anime.music.tiles,アニメタイル：音楽ゲーム,67,JP,2019-07-30
com.stx.puzzlefuzzle,PuzzleFuzzle,68,JP,2019-07-30
com.netease.idv.googleplay,IdentityV,69,JP,2019-07-30
com.worksinc.bakkure2,会社バックれる!2　-脱出ゲーム,70,JP,2019-07-30
com.ekkorr.msf.jp,メタルスラッグインフィニティ,71,JP,2019-07-30
com.netease.mrzhna,ライフアフター,72,JP,2019-07-30
jp.gungho.pad,パズル＆ドラゴンズ,73,JP,2019-07-30
com.playgendary.polyspherecoolgame,Polysphere,74,JP,2019-07-30
jp.uuum.blueman0,青鬼オンライン,75,JP,2019-07-30
jp.co.arttec.satbox.droperaser,大反響！消しゴム落とし【暇つぶし無料人気ゲーム】,76,JP,2019-07-30
com.pixel.art.coloring.color.number,HappyColor–数字で塗り絵。数字で色ぬりえ,77,JP,2019-07-30
invaders.os.galaxy.space.shooter.attack.classic,ファルコンスクワッド:レトロシューティングゲーム,78,JP,2019-07-30
org.cocos2dx.jamms.hansel.and.gretel,脱出ゲームHanselandGretel,79,JP,2019-07-30
com.jp.beauty,日替わり内室,80,JP,2019-07-30
com.zplay.idlepress,IdlePress,81,JP,2019-07-30
com.netease.ddsfna,StickFight:TheGameMobile,82,JP,2019-07-30
com.crossfield.hanafuda,花札こいこい定番花札ゲーム-初心者でも楽しく遊べる-花鳥風月,83,JP,2019-07-30
com.g5e.hiddencity.android,HiddenCity:アイテム探しアドベンチャー,84,JP,2019-07-30
com.playstrom.onpipe,OnPipe,85,JP,2019-07-30
com.gamestart.fill,頭が良くなる一筆書きパズルゲームFill,86,JP,2019-07-30
jp.konami.prospia,プロ野球スピリッツA,87,JP,2019-07-30
com.spacegame.homedesign,マイホーム　デザインドリーム,88,JP,2019-07-30
com.brokenreality.planemerger.android,MergePlane-Click&IdleTycoon,89,JP,2019-07-30
jp.kingsoft.pianotiles,ピアノタイルステージ「ピアノタイル」の日本版。大人気無料リズムゲーム「ピアステ」は音ゲーの決定版,90,JP,2019-07-30
com.bigframes.color_road,ColorRoad!,91,JP,2019-07-30
jp.fg.arcalast,アルカ・ラスト終わる世界と歌姫の果実,92,JP,2019-07-30
com.EurekaStudio.skipschool,学校サボる!　-脱出ゲーム,93,JP,2019-07-30
com.Level5.YWP,妖怪ウォッチぷにぷに,94,JP,2019-07-30
net.jp.sorairo.jrvs,人狼ジャッジメント,95,JP,2019-07-30
com.love.poly.puzzle.game,LovePoly-新感覚3dパズル,96,JP,2019-07-30
jp.colopl.wcat,白猫プロジェクト,97,JP,2019-07-30
com.EurekaStudio.skipwork,仕事サボる!　-脱出ゲーム,98,JP,2019-07-30
com.crazylabs.light.it.up,Light-ItUp,99,JP,2019-07-30
com.gamevil.es2.android.google.global.normal,エルンジェネシス,100,JP,2019-07-30
com.waken.CatPainter,ネコの絵描きさん,101,JP,2019-07-30
com.crazylabs.amaze.game,AMAZE!,102,JP,2019-07-30
com.playgendary.kickthebuddy,KicktheBuddy,103,JP,2019-07-30
com.percent.mybest3,Unniedoll,104,JP,2019-07-30
com.swingman.game,SwingStar,105,JP,2019-07-30
com.gameloft.android.ANMP.GloftDMHM,ミニオンラッシュ:「怪盗グルー」公式ゲーム,106,JP,2019-07-30
com.worksinc.bakkure,会社バックれる!　-脱出ゲーム,107,JP,2019-07-30
jp.gungho.ragnarokm,ラグナロクマスターズ,108,JP,2019-07-30
com.tocaboca.tocakitchen2,トッカ・キッチン2(TocaKitchen2),109,JP,2019-07-30
jp.konami.pawapuroapp,実況パワフルプロ野球,110,JP,2019-07-30
air.jp.globalgear.kaihi3,ドッキリ神回避3　-脱出ゲーム,111,JP,2019-07-30
com.game.qytx.haiwai,仙界サーガ～太古の地--異世界3DアクションRPG,112,JP,2019-07-30
com.crossfield.mahjong,麻雀闘龍-初心者から楽しめる無料麻雀ゲーム,113,JP,2019-07-30
com.exordium.pottery,Pottery,114,JP,2019-07-30
jp.co.craftegg.band,バンドリ！ガールズバンドパーティ！,115,JP,2019-07-30
com.igenesoft.hide,隠れん坊オンライン,116,JP,2019-07-30
com.ekkorr.endlessfrontier.global,エンドレスフロンティア,117,JP,2019-07-30
com.studioHU.BeatCraft,BeatCraft,118,JP,2019-07-30
com.playgendary.tanks,TankStars,119,JP,2019-07-30
air.jp.globalgear.kikai,アクション作ろう。ピコピコメーカーEX,120,JP,2019-07-30
com.amanotes.beathopper,TilesHop:EDMRush!,121,JP,2019-07-30
jp.seec.sim.choicedarling,Choice×Darling-チョイダリ,122,JP,2019-07-30
com.bentostudio.ballsvsblocks,SnakeVSBlock,123,JP,2019-07-30
com.eyougame.projectgenesis,LostCrown～亡国の姫と竜騎士の末裔～（ロストクラウン）,124,JP,2019-07-30
jp.dgeg.dragonegg2,ドラゴンエッグ仲間との出会い×友達対戦RPG,125,JP,2019-07-30
jp.oridio.museum,ボクと博物館,126,JP,2019-07-30
jp.co.asobism.gunbit,ガンビット,127,JP,2019-07-30
jp.co.unbalance.android.othello_minna,みんなのオセロ無料の公式アプリ,128,JP,2019-07-30
