app_id,app_name,rank,country_code,date
jp.co.sundenshi.ariaaa,CR緋弾のアリアAA,1,JP,2019-05-12
com.tokoronyori.goodbye,おわかれのほし,2,JP,2019-05-12
com.universal777.don2_2019,ドンちゃん2（2019）,3,JP,2019-05-12
com.Amazing.Billard.Pool.Pro,AmazingPoolBilliards2019,4,JP,2019-05-12
com.Real.Taxi.Simulator,RealTaxiSimulator2020,5,JP,2019-05-12
com.combat.strikepro,CombatStrikePRO:FPSOnlineGunShootingGames,6,JP,2019-05-12
com.the10tons.teslavslovecraft,テスラvs.ラブクラフト,7,JP,2019-05-12
com.yesgnome.kingsmangame,Kingsman-TheSecretServiceGame,8,JP,2019-05-12
com.CAVYHOUSE.organ,わすれなオルガン,9,JP,2019-05-12
com.artifexmundi.mybrotherrabbit.gp,MyBrotherRabbit,10,JP,2019-05-12
com.asmodeedigital.zombicidev2,Zombicide:Tactics&Shotguns,11,JP,2019-05-12
com.destruction.seadevils.pro,SeaDevilsPRO-ThePirateAdventureGame,12,JP,2019-05-12
msx.best.games.pro,MSXBestGamesPRO,13,JP,2019-05-12
mycity.babysitter,MyCity:Babysitter,14,JP,2019-05-12
com.eightyeightgames.photographs,フォトグラフ·パズル·ストーリー,15,JP,2019-05-12
com.artifexmundi.demonhunter5.gp.full,デーモンハンター5:アセンダンス(Full),16,JP,2019-05-12
com.jogr.magnibox,Magnibox,17,JP,2019-05-12
de.woodiehoo.pirates,ウディフー・パイレーツ,18,JP,2019-05-12
com.sunshine.defenseofbarbariansx,DefenseofBarbariansX,19,JP,2019-05-12
air.dog.wfox2,당신을기다리는여우花,20,JP,2019-05-12
com.aeium.puzzle_729,729,21,JP,2019-05-12
com.newday.satanbride.p,ProposedbyaDemonLord,22,JP,2019-05-12
tokyo.wtg.fbsgame,フィンガーバトルサモナー～フィバサモ～,23,JP,2019-05-12
com.templegatesgames.ShardsAndroid,ShardsofInfinity,24,JP,2019-05-12
com.destenebres.MiniGal4Xy,MiniGal4Xy,25,JP,2019-05-12
com.kesoftgames.sv,ステラボイジャー,26,JP,2019-05-12
com.feemodev.cat,길고양이이야기:supportedition,27,JP,2019-05-12
com.foggybus.battletimepremium,BattleTimePremiumリアルタイム戦略オフラインゲーム,28,JP,2019-05-12
myapp.PiQize,円周率クイズ,29,JP,2019-05-12
id.lvupgames.hctexitlvup,100層塔脱出,30,JP,2019-05-12
com.KonfaGames.Despotism3k,Despotism3k,31,JP,2019-05-12
com.swan.PunicWars,ポエニ戦争　地中海の稲妻,32,JP,2019-05-12
unity.chemicalpudding.tptc4android,テンピーポーテンカラー,33,JP,2019-05-12
com.MagicDog.ThirteenSouls,ThirteenSouls,34,JP,2019-05-12
com.hg.spellforce,SpellForce:ヒーローと魔法,35,JP,2019-05-12
com.studiopango.pangocolor,PangoPaperColor,36,JP,2019-05-12
