app_id,app_name,rank,country_code,date
net.kairosoft.android.pool,常夏プールパレス,1,JP,2017-12-24
com.mojang.minecraftpe,Minecraft,2,JP,2017-12-24
nl.noio.kingdom,Kingdom:NewLands,3,JP,2017-12-24
jp.co.koeitecmo.nobu_bf_gp,信長の野望･武将風雲録,4,JP,2017-12-24
net.commseed.psgek,パチスロモンスターハンター月下雷鳴,5,JP,2017-12-24
com.square_enix.android_googleplay.FFT_jp2,FINALFANTASYTACTICS獅子戦争,6,JP,2017-12-24
net.commseed.girlsundpanzer,パチスロガールズ＆パンツァーオリンピア,7,JP,2017-12-24
net.sp777town.uk.ps0006_2,パチスロ北斗の拳（スロット）,8,JP,2017-12-24
net.commseed.br,パチスロバイオハザードリベレーションズ,9,JP,2017-12-24
com.Level5.LaytonMJ,レイトンミステリージャーニーカトリーエイルと大富豪の陰謀,10,JP,2017-12-24
com.noodlecake.drtc,DeathRoadtoCanada,11,JP,2017-12-24
amanita_design.samorost3.GP,Samorost3(サモロスト3),12,JP,2017-12-24
com.square_enix.android_googleplay.FFV_GP,FINALFANTASYV,13,JP,2017-12-24
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,14,JP,2017-12-24
com.square_enix.android_googleplay.dq5j,ドラゴンクエストV天空の花嫁,15,JP,2017-12-24
com.universal777.basiliskkizuna,slotバジリスク～甲賀忍法帖～絆,16,JP,2017-12-24
jp.co.capcom.mhssp,モンスターハンターストーリーズ,17,JP,2017-12-24
com.square_enix.android_googleplay.FFVI,FINALFANTASYVI,18,JP,2017-12-24
com.square_enix.android_googleplay.romancingsaga2_jp,ロマンシングサガ２,19,JP,2017-12-24
com.t2ksports.nba2k18and,NBA2K18,20,JP,2017-12-24
net.commseed.puof,ＣＲスーパー海物語ＩＮ沖縄４,21,JP,2017-12-24
com.devolver.reigns,Reigns,22,JP,2017-12-24
com.square_enix.secret,聖剣伝説2,23,JP,2017-12-24
jp.oniongames.hotel,MillionOnionHotel〜ミリオンオニオンホテル〜,24,JP,2017-12-24
com.noodlecake.realmyst,realMyst,25,JP,2017-12-24
jp.co.kyoraku.crmadoka,ぱちんこ魔法少女まどか☆マギカ,26,JP,2017-12-24
com.ustwo.monumentvalley2,MonumentValley2,27,JP,2017-12-24
jp.co.capcom.gyakusai6jp,逆転裁判6,28,JP,2017-12-24
com.paondp.simkb3,パチスロ押忍！番長３,29,JP,2017-12-24
com.square_enix.adventures,聖剣伝説-ファイナルファンタジー外伝-,30,JP,2017-12-24
com.universal777.slotmadoka2,SLOT魔法少女まどか☆マギカ2,31,JP,2017-12-24
net.commseed.mhks,パチスロモンスターハンター狂竜戦線,32,JP,2017-12-24
com.square_enix.android_googleplay.FFIV_GP,FINALFANTASYIV,33,JP,2017-12-24
jp.co.capcom.kenji1jp,逆転検事,34,JP,2017-12-24
com.square_enix.android_googleplay.dq7j,ドラゴンクエストVIIエデンの戦士たち,35,JP,2017-12-24
com.nexonm.aftertheend,アフター・ジ・エンド：忘れられた運命,36,JP,2017-12-24
net.commseed.devi_surv2,パチスロデビルサバイバー2最後の7日間オリンピア,37,JP,2017-12-24
com.universal777.tarotemperor,タロットエンペラー×マスター,38,JP,2017-12-24
com.FireproofStudios.TheRoom3,TheRoomThree,39,JP,2017-12-24
com.universal777.mggaisen,ミリオンゴッド－神々の凱旋－,40,JP,2017-12-24
com.dotemu.ys2x,イースIIクロニクルズ,41,JP,2017-12-24
com.headupgames.bridgeconstructorportal,BridgeConstructorPortal,42,JP,2017-12-24
com.universal777.slotmadoka,SLOT魔法少女まどか☆マギカ,43,JP,2017-12-24
com.square_enix.android_googleplay.dq6,ドラゴンクエストVI幻の大地,44,JP,2017-12-24
jp.co.capcom.palm,囚われのパルマ,45,JP,2017-12-24
jp.co.capcom.daigyakusai,大逆転裁判,46,JP,2017-12-24
com.square_enix.android_googleplay.ffl_gp,FINALFANTASYLEGENDS光と闇の戦士,47,JP,2017-12-24
com.square_enix.android_googleplay.FF4AY_GP,FINALFANTASYIVTAY-月の帰還-,48,JP,2017-12-24
jp.co.capcom.kenji2jp,逆転検事2,49,JP,2017-12-24
net.commseed.lostplanet2,パチスロロストプラネット2オリンピア,50,JP,2017-12-24
com.square_enix.android_googleplay.FFIII_GP,FINALFANTASYIII,51,JP,2017-12-24
com.square_enix.android_googleplay.dq4j,ドラゴンクエストIV導かれし者たち,52,JP,2017-12-24
com.thegentlebros.catquest,キャットクエスト,53,JP,2017-12-24
net.commseed.gs,パチスロ逆転裁判,54,JP,2017-12-24
com.universal777.hades,アナザーゴッドハーデス-奪われたZEUSver.-,55,JP,2017-12-24
