app_id,app_name,rank,country_code,date
com.linecorp.LGNOBLE,千銃士,1,JP,2018-03-29
com.linecorp.LGYDS,ジャンプチヒーローズ,2,JP,2018-03-29
jp.gree.newsnikoi,NEWSに恋して,3,JP,2018-03-29
jp.co.granks.clipbox,Clipbox,4,JP,2018-03-29
com.square_enix.android_googleplay.FFFEXFjp,FINALFANTASYEXPLORERSFORCE,5,JP,2018-03-29
com.vespainteractive.KingsRaid,キングスレイド,6,JP,2018-03-29
com.escape.neat.no55friendroom,脱出ゲーム　友達の部屋からの脱出,7,JP,2018-03-29
mobi.abcmart.app,ABC-MARTアプリ,8,JP,2018-03-29
jp.co.gu3.noah,ドールズオーダー【チーム対戦アクション】,9,JP,2018-03-29
com.square_enix.android_googleplay.TojinomikoTomoshibi,刀使ノ巫女刻みし一閃の燈火,10,JP,2018-03-29
jp.co.beeworks.mushroomWorld,なめこ栽培キットザ・ワールド,11,JP,2018-03-29
com.babeltime.saniku.jp.android,三国-IKUSA-,12,JP,2018-03-29
air.jp.globalgear.nao,ナオシーノ！,13,JP,2018-03-29
com.h8games.helixjump,HelixJump,14,JP,2018-03-29
jp.konami.tokimekiidol,ときめきアイドル,15,JP,2018-03-29
com.wasabi.okami,脱出ゲーム狼ゲーム,16,JP,2018-03-29
air.jp.funkyland.EscapeNailSalon,脱出ゲームネイルサロンからの脱出,17,JP,2018-03-29
jp.seibugroup.seiburailway.seibuapp.client,西武線アプリ,18,JP,2018-03-29
jp.xlegend.com.epica,【MMORPG】暁のエピカ-UnionBrave-,19,JP,2018-03-29
com.neowizgames.game.browndust.srpg.global,【新作】ブラウンダスト(BrownDust),20,JP,2018-03-29
com.nike.snkrs,NikeSNKRS,21,JP,2018-03-29
com.takasimapon.Amehuruniwa,脱出ゲーム雨降る庭からの脱出,22,JP,2018-03-29
com.pulsmo.StrayCatDoors,脱出ゲーム迷い猫の旅-StrayCatDoors-,23,JP,2018-03-29
com.linecorp.LGKD,LINEリトルナイツ,24,JP,2018-03-29
jp.co.fujimarukun.twentythreeseven,23/7　トゥエンティスリーセブン,25,JP,2018-03-29
info.oneroom,backnumber,26,JP,2018-03-29
jp.karaokekan.karakan.karakan,カラオケ館公式アプリ,27,JP,2018-03-29
li.yapp.appB76130B0,靴専門店　東京靴流通センター,28,JP,2018-03-29
jp.sammynet.next.asn0055,パチスロガールズ＆パンツァー【777NEXT】,29,JP,2018-03-29
air.com.prisma.twice,MagicTiles-TWICEEdition(K-Pop),30,JP,2018-03-29
jp.ebb.gam.ESCAPEA01,脱出ゲーム不思議なコテージからの脱出,31,JP,2018-03-29
com.spacecleaner.mini,SpaceCleaner,32,JP,2018-03-29
com.ftt.dcproject.as.gl,DCアンチェインド,33,JP,2018-03-29
com.tsurutomo.MilkFarm,脱出ゲームMilkFarm,34,JP,2018-03-29
com.mycraft.pixel.adventure,MyCraftPixelAdventure,35,JP,2018-03-29
com.studiowakaba.escapegame.snowglobe,脱出ゲームスノードームと雪景色,36,JP,2018-03-29
com.camobile.hkt48mail,HKT48Mail,37,JP,2018-03-29
com.dmm.games.oshirore,御城プロジェクト:RE～CASTLEDEFENSE～,38,JP,2018-03-29
