app_id,app_name,rank,country_code,date
jp.co.capcom.gyakusai6jp,逆転裁判6,1,JP,2017-09-26
kemco.execreate.kingpremium,[Premium]RPGキングズディセント,2,JP,2017-09-26
com.sansei_rd.pachi.garok_g,CR牙狼金色になれXX,3,JP,2017-09-26
jp.sisyou.kumikashi.allmutemode,無音モード（標準カメラのみの無音化を実現）カメラミュート,4,JP,2017-09-26
com.tocaboca.tocaoffice,トッカ・ライフ：オフィスでは,5,JP,2017-09-26
jp.co.capcom.daigyakusai,大逆転裁判,6,JP,2017-09-26
jp.charactervoice.xea10.kato,Xperia™Earプラグイン(恵),7,JP,2017-09-26
com.ironhidegames.android.ironmarines,鉄の海兵隊(IronMarines),8,JP,2017-09-26
com.haruki_kb.foxtrot_works.train59,掌内鉄道　永巳駅,9,JP,2017-09-26
com.sonymobile.themes.misterbot,XPERIA™MisterBotTheme,10,JP,2017-09-26
net.lhpro.studyhacker,ListeningHackerPro,11,JP,2017-09-26
com.ssp.themes.fallleaves,FallLeavesforXPERIA™,12,JP,2017-09-26
com.playsquare.kikutan_basic4000,キクタン[Basic]4000(発音練習機能つき)～聞いて覚えるコーパス英単語～,13,JP,2017-09-26
com.ssp.themes.bluecarbon,BlueCarbonForXPERIA™,14,JP,2017-09-26
com.thegentlebros.catquest,キャットクエスト,15,JP,2017-09-26
it.mvilla.android.fenix2,Fenix2forTwitter,16,JP,2017-09-26
sweetampoule.ksinaafter,夢見るブライアローズ　クシーナアフター,17,JP,2017-09-26
com.playsquare.kikutan_toeic800,キクタンTOEIC®TestScore800(発音練習機能つき)～聞いて覚える英単語～,18,JP,2017-09-26
com.smartrend.fukureki2018,開運福暦カレンダー2018,19,JP,2017-09-26
com.playsquare.kikutan_super12000,キクタン[Super]12000(発音練習機能つき)～聞いて覚えるコーパス英単語～,20,JP,2017-09-26
com.playsquare.kikutan_advanced6000,キクタン[Advanced]6000(発音練習機能つき)～聞いて覚えるコーパス英単語～,21,JP,2017-09-26
jp.co.jiji.diet.v6,時事通信社　政治通2018,22,JP,2017-09-26
au.com.metro.dwjr.zany,DumbWaysJRZany'sHospital,23,JP,2017-09-26
com.czechgames.tta,ThroughtheAges,24,JP,2017-09-26
com.playsquare.kikutan_toeic990,キクタンTOEIC®TestScore990(発音練習機能つき)～聞いて覚える英単語～,25,JP,2017-09-26
com.bandot.sagon.circle.darkiconpack,SagonCircleIconPack,26,JP,2017-09-26
com.playsquare.kikutan_toeic600,キクタンTOEIC®TestScore600(発音練習機能つき)～聞いて覚える英単語～,27,JP,2017-09-26
com.bhanu.matrixlivewallpapers,MatrixLiveWallpapers,28,JP,2017-09-26
com.artifexmundi.themythseekers.gp.full,神話を求める者:バルカンの遺産(Full),29,JP,2017-09-26
tw.com.mebook.dhdic,新時代日漢辭典,30,JP,2017-09-26
com.playsquare.kikutan_entry2000,キクタン[Entry]2000(発音練習機能つき)～聞いて覚えるコーパス英単語～,31,JP,2017-09-26
com.fivebn.daf2.full,ダークネス・アンド・フレイム2(full),32,JP,2017-09-26
com.saintberlinatelier.clockmunich.munich,MunichHDAnalogClockWidget,33,JP,2017-09-26
com.playsquare.kikutan_toeic500,キクタンTOEIC®TestScore500(発音練習機能つき)～聞いて覚える英単語～,34,JP,2017-09-26
substratum.piereligio.bst,BlackStockThemeSubstratumPixel/Oreo[+Samsung],35,JP,2017-09-26
com.sagosago.PetCafe.googleplay,ペットカフェ,36,JP,2017-09-26
