app_id,app_name,rank,country_code,date
com.mojang.minecraftpe,Minecraft,1,JP,2018-03-05
marie.com.jp.marie,マリーのアトリエPlus～ザールブルグの錬金術士～,2,JP,2018-03-05
com.universal777.basiliskkizuna,slotバジリスク～甲賀忍法帖～絆,3,JP,2018-03-05
com.square_enix.android_googleplay.chrono,クロノ・トリガー（アップグレード版）,4,JP,2018-03-05
com.universal777.basilisk3,SLOTバジリスク～甲賀忍法帖～Ⅲ,5,JP,2018-03-05
jp.sisyou.kumikashi.allmutemode,無音モード（標準カメラのみの無音化を実現）カメラミュート　スクショは手動無音化で対応,6,JP,2018-03-05
com.square_enix.android_googleplay.dq5j,ドラゴンクエストV天空の花嫁,7,JP,2018-03-05
net.commseed.saigokuotome,パチスロ戦国乙女～剣戟に舞う白き剣聖～西国参戦編オリンピア,8,JP,2018-03-05
com.squareenixmontreal.hitmansniperandroid,ヒットマンスナイパー(HitmanSniper),9,JP,2018-03-05
com.universal777.slotmadoka2,SLOT魔法少女まどか☆マギカ2,10,JP,2018-03-05
com.universal777.mggaisen,ミリオンゴッド－神々の凱旋－,11,JP,2018-03-05
jp.co.ok777.crgantz,ぱちんこGANTZ　,12,JP,2018-03-05
com.universal777.arz290,コンチネンタルアーカイブズ,13,JP,2018-03-05
net.commseed.mahjongstory3,パチスロ麻雀物語３役満乱舞の究極大戦オリンピア,14,JP,2018-03-05
jp.co.koeitecmo.nobu_bf_gp,信長の野望･武将風雲録,15,JP,2018-03-05
com.square_enix.android_googleplay.dq7j,ドラゴンクエストVIIエデンの戦士たち,16,JP,2018-03-05
com.universal777.hades,アナザーゴッドハーデス-奪われたZEUSver.-,17,JP,2018-03-05
com.square_enix.android_googleplay.dq6,ドラゴンクエストVI幻の大地,18,JP,2018-03-05
com.teslacoilsw.launcher.prime,NovaLauncherPrime,19,JP,2018-03-05
info.wobamedia.mytalkingpet.plus,私のお話ペット,20,JP,2018-03-05
net.kairosoft.android.pool,常夏プールパレス,21,JP,2018-03-05
jp.co.capcom.mhssp,モンスターハンターストーリーズ,22,JP,2018-03-05
com.sony.tvsideview.dtcpplayer,Video&TVSideViewプレーヤープラグイン,23,JP,2018-03-05
com.universal777.slotmadoka,SLOT魔法少女まどか☆マギカ,24,JP,2018-03-05
com.square_enix.android_googleplay.FFV_GP,FINALFANTASYV,25,JP,2018-03-05
com.maxmpz.audioplayer.unlock,PowerampFullVersionUnlocker,26,JP,2018-03-05
studypro.spi,SPI言語【StudyPro】,27,JP,2018-03-05
com.paondp.simkb3,パチスロ押忍！番長３,28,JP,2018-03-05
com.square_enix.android_googleplay.dq4j,ドラゴンクエストIV導かれし者たち,29,JP,2018-03-05
com.universal777.basilisk2,バジリスク～甲賀忍法帖～II,30,JP,2018-03-05
jp.kyoraku.surprise.sim.akb48r_s_gp,ぱちスロAKB48バラの儀式,31,JP,2018-03-05
jp.co.kyoraku.crmadoka,ぱちんこ魔法少女まどか☆マギカ,32,JP,2018-03-05
eu.thedarken.sdm.unlocker,SDメイドPro-ライセンスキー,33,JP,2018-03-05
jp.co.prot.clannad,CLANNAD,34,JP,2018-03-05
studypro.spi.higengo,SPI非言語【StudyPro】,35,JP,2018-03-05
com.square_enix.android_googleplay.dq8j,ドラゴンクエストVIII空と海と大地と呪われし姫君,36,JP,2018-03-05
net.commseed.koumonchama_katsu,パチスロ黄門ちゃま喝オリンピア,37,JP,2018-03-05
com.rockstargames.gtasa,グランド・セフト・オート・サンアンドレアス,38,JP,2018-03-05
net.commseed.nangokumonogatari,パチスロ南国物語オリンピア,39,JP,2018-03-05
jp.heiwa.dx.googleplay.pachinko.nsm,パチンコCR熱響！乙女フェスティバルファン大感謝祭LIVE,40,JP,2018-03-05
net.commseed.ps_otome,パチスロ戦国乙女～剣戟に舞う白き剣聖～オリンピア,41,JP,2018-03-05
com.justsystems.atokmobile.service,ATOK(日本語入力システム),42,JP,2018-03-05
com.robotgentleman.game60seconds,60Seconds!AtomicAdventure,43,JP,2018-03-05
jp.co.capcom.palm,囚われのパルマ,44,JP,2018-03-05
jp.co.spikechunsoft.android.terrariajp,テラリア（日本語版）,45,JP,2018-03-05
com.universal777.slotmadokaA,SLOT魔法少女まどか☆マギカA,46,JP,2018-03-05
com.ustwo.monumentvalley2,MonumentValley2,47,JP,2018-03-05
com.square_enix.FFIXjp.android_googleplay,FINALFANTASYIX,48,JP,2018-03-05
com.kunkunsoft.packagedisabler,BKPackageDisabler(Samsung),49,JP,2018-03-05
com.universal777.okidoki,沖ドキ！,50,JP,2018-03-05
com.pockettrend.neomonsters,ネオモンスターズ,51,JP,2018-03-05
net.kairosoft.android.baseball_ja,野球部ものがたり,52,JP,2018-03-05
com.square_enix.android_googleplay.FFVII,FINALFANTASYVII,53,JP,2018-03-05
jp.handsaid.shuhasucho_2018,周波数帳2018,54,JP,2018-03-05
com.digidust.elokence.akinator.paid,AkinatorVIP,55,JP,2018-03-05
jp.tanyu.SmartAlarm,スマートアラーム（目覚まし時計）,56,JP,2018-03-05
com.square_enix.android_googleplay.FFVI,FINALFANTASYVI,57,JP,2018-03-05
com.mxtech.videoplayer.pro,MXPlayerPro,58,JP,2018-03-05
com.urbandroid.sleep.full.key,SleepasAndroidUnlock,59,JP,2018-03-05
mobi.mo61.WerewolfSP,人狼ゲーム〜牢獄の悪夢〜スペシャル版,60,JP,2018-03-05
jp.dorasu.apps.blacklagoon,激JパチスロBLACKLAGOON,61,JP,2018-03-05
com.square_enix.android_googleplay.romancingsaga2_jp,ロマンシングサガ２,62,JP,2018-03-05
com.pasoya.orbis,オービスガイド-移動式オービスネズミ捕り検問通過履歴,63,JP,2018-03-05
com.ubisoft.assassinscreed.identity,アサシンクリードアイデンティティ,64,JP,2018-03-05
com.intsig.lic.camscanner,CamScanner完全版(License),65,JP,2018-03-05
com.sansei_rd.pachi.garok_g,CR牙狼金色になれXX,66,JP,2018-03-05
com.universal777.hanabi2015,ハナビ（2015）,67,JP,2018-03-05
com.komado.Odyssey.com.nifty.homepage2,完全無音ビデオカメラ　4K高画質まで対応　動画・写真撮影・編集・標準カメラ消音このアプリで完結,68,JP,2018-03-05
com.ustwo.monumentvalley,モニュメントバレー,69,JP,2018-03-05
com.vinwap.parallaxwallpaper,3DParallaxBackground,70,JP,2018-03-05
jp.co.dpcorp.simxsb,パチスロ押忍！サラリーマン番長,71,JP,2018-03-05
air.com.RustyLake.RustyLakeParadise,RustyLakeParadise,72,JP,2018-03-05
com.mobisystems.fonts,OfficeSuiteFontPack,73,JP,2018-03-05
com.onkyo.jp.hfplayer_unlocker,OnkyoHFPlayerUnlocker,74,JP,2018-03-05
com.kiwiwalks.witchspring3,魔女の泉3,75,JP,2018-03-05
com.square_enix.android_googleplay.FFT_jp2,FINALFANTASYTACTICS獅子戦争,76,JP,2018-03-05
com.epsxe.ePSXe,ePSXeforAndroid,77,JP,2018-03-05
com.tocaboca.tocaschool,トッカ・ライフ・スクールTocaLifeSchool,78,JP,2018-03-05
jp.co.alpha.dlna.mlpfordtv,MediaLinkPlayerforDTV,79,JP,2018-03-05
kemco.execreate.lapispremium,[Premium]RPGドラゴンラピス,80,JP,2018-03-05
com.t2ksports.nba2k18and,NBA2K18,81,JP,2018-03-05
net.commseed.mahjongstory2,パチスロ麻雀物語２激闘！麻雀グランプリオリンピア,82,JP,2018-03-05
jp.futurescope.ps.android.eva12,CRヱヴァンゲリヲン2018年モデル,83,JP,2018-03-05
juggler.ex,アイムジャグラーEX,84,JP,2018-03-05
com.x0.strai.frepkey,FRepUnlockKey,85,JP,2018-03-05
com.advasoft.touchretouch,TouchRetouch,86,JP,2018-03-05
com.jrtstudio.iSyncr,iTunes用のiSyncr,87,JP,2018-03-05
jp.halegg.nazcaf,はたらくUFO,88,JP,2018-03-05
com.ChrisMcFarland.Tallowmere,Tallowmere,89,JP,2018-03-05
com.kiwiwalks.witchspring_lan_jp,魔女の泉,90,JP,2018-03-05
com.kiwiwalks.witchspringlunaml,魔女の泉2,91,JP,2018-03-05
com.digipom.easyvoicerecorder.pro,簡単ボイスレコーダープロ,92,JP,2018-03-05
co.yakand.agentaapuzzleindisguise,AgentA-偽装のパズル,93,JP,2018-03-05
jp.co.kyoraku.s_syourinomegami,ぱちスロAKB48勝利の女神,94,JP,2018-03-05
com.sonymobile.themes.simplewood,XPERIA™SimpleWoodTheme,95,JP,2018-03-05
com.devolver.reigns,Reigns,96,JP,2018-03-05
net.commseed.sengokuotome2,パチスロ戦国乙女2～深淵に輝く気高き将星～オリンピア,97,JP,2018-03-05
com.nll.acr.license,ACRライセンス,98,JP,2018-03-05
com.noodlecake.chameleonrun,ChameleonRun,99,JP,2018-03-05
net.commseed.girlsundpanzer,パチスロガールズ＆パンツァーオリンピア,100,JP,2018-03-05
com.tocaboca.tocahospital,TocaLife:Hospital,101,JP,2018-03-05
jp.co.sundenshi.koihime,CR戦国†恋姫,102,JP,2018-03-05
com.square_enix.android_googleplay.FFIV_GP,FINALFANTASYIV,103,JP,2018-03-05
jp.co.gmode.dobutsushogi,どうぶつしょうぎ（公式）,104,JP,2018-03-05
jp.kyoraku.surprise.sim.hissatsu5_gp,ぱちんこ必殺仕事人Ⅴ,105,JP,2018-03-05
com.universal777.versus2016,バーサス(2016),106,JP,2018-03-05
com.kaerupanda.yuruyuru123,ゆるゆる劇場クラシック,107,JP,2018-03-05
air.com.RustyLake.RustyLakeRoots,RustyLake:Roots,108,JP,2018-03-05
com.square_enix.secret,聖剣伝説2,109,JP,2018-03-05
com.estrongs.android.pop.pro,ESFileExplorer/ManagerPRO,110,JP,2018-03-05
com.easytech.wc4.android,世界の覇者4,111,JP,2018-03-05
com.foxandsheep.animaldoctor,LittleFoxAnimalDoctor,112,JP,2018-03-05
net.kairosoft.android.ski_ja,きらめきスキー白書,113,JP,2018-03-05
jp.heiwa.dx.googleplay.pachinko.ns2,パチンコCR南国育ちin沖縄　9AW,114,JP,2018-03-05
net.commseed.br,パチスロバイオハザードリベレーションズ,115,JP,2018-03-05
com.square_enix.android_googleplay.finalfantasy,FINALFANTASY,116,JP,2018-03-05
com.square_enix.android_googleplay.hanjyuku2,半熟英雄ああ、世界よ半熟なれ…!!,117,JP,2018-03-05
net.dinglisch.android.taskerm,Tasker,118,JP,2018-03-05
net.commseed.nangokusodachi1st,南国育ち1stvacation(パチスロ/オリンピア),119,JP,2018-03-05
amanita_design.samorost3.GP,Samorost3(サモロスト3),120,JP,2018-03-05
jp.oniongames.hotel,MillionOnionHotel〜ミリオンオニオンホテル〜,121,JP,2018-03-05
air.com.RustyLake.RustyLakeHotel,RustyLakeHotel,122,JP,2018-03-05
com.devguru.eltwomonusb,"TwomonUSB-USBモニタ,デュアルモニタ",123,JP,2018-03-05
jp.co.sundenshi.slotring2fsa,パチスロ　リング　終焉ノ刻,124,JP,2018-03-05
jp.otsoft.alcandroid,レミュオールの錬金術師,125,JP,2018-03-05
com.kosajun.easymemorycleaneradfreeopt,ﾒﾓﾘそうじ専科ｱﾌﾟﾘ内広告非表示ｵﾌﾟｼｮﾝ,126,JP,2018-03-05
biz.apparray.english,本気で英会話！ペラペラ英語,127,JP,2018-03-05
com.hg.townsmen7,TownsmenPremium,128,JP,2018-03-05
jp.kiteretsu.zookeeper_dx,ZOOKEEPERDXTouchEdition,129,JP,2018-03-05
com.flavionet.android.camera.pro,CameraFV-5,130,JP,2018-03-05
com.square_enix.android_googleplay.FFIII_GP,FINALFANTASYIII,131,JP,2018-03-05
com.astragon.cs2014,コンストラクションシミュレーター2014,132,JP,2018-03-05
jp.co.capcom.gyakusai6jp,逆転裁判6,133,JP,2018-03-05
jp.heiwa.dx.googleplay.pachinko.tko2,パチンコCRAトキオデラックス,134,JP,2018-03-05
kemco.dmlc,Ｄ．Ｍ．Ｌ．Ｃ．-デスマッチラブコメ-KEMCO,135,JP,2018-03-05
net.commseed.psgek,パチスロモンスターハンター月下雷鳴,136,JP,2018-03-05
se.thegreen.xperia.smiley,Xperia™のスマイリー,137,JP,2018-03-05
com.fantablade.icey,ICEY,138,JP,2018-03-05
com.coffeestainstudios.goatsimulator,GoatSimulator,139,JP,2018-03-05
jjp.co.capcom.android.googleplay.bio4,バイオハザード4,140,JP,2018-03-05
com.corecoders.skitracks,SkiTracks,141,JP,2018-03-05
jp.co.shekeen.BalanceReader,マルチ残高リーダ,142,JP,2018-03-05
com.rockstargames.gtavc,グランド・セフト・オート・バイスシティ,143,JP,2018-03-05
com.playdead.limbo.full,LIMBO,144,JP,2018-03-05
com.mezamane.megumi.pro,一択彼女　加藤恵,145,JP,2018-03-05
kemco.execreate.asdivinehearts,RPGアスディバインハーツ-KEMCO,146,JP,2018-03-05
com.njwuji.study,どんどん話すための瞬間英作文トレーニング,147,JP,2018-03-05
com.massimobiolcati.irealb,iRealPro-楽譜とバッキングトラック,148,JP,2018-03-05
kr.co.hardcoresoft.mutedmode,強制ミュートモード：デフォルトカメラ,149,JP,2018-03-05
com.squareenixmontreal.hitmango,HitmanGO,150,JP,2018-03-05
com.codemasters.f12016,F12016,151,JP,2018-03-05
com.Level5.LaytonMJ,レイトンミステリージャーニーカトリーエイルと大富豪の陰謀,152,JP,2018-03-05
com.square_enix.android_googleplay.ffl_gp,FINALFANTASYLEGENDS光と闇の戦士,153,JP,2018-03-05
com.rockstargames.bully,Bully:AnniversaryEdition,154,JP,2018-03-05
com.tocaboca.tocalab,トッカ・ラボ(TocaLab:Elements),155,JP,2018-03-05
com.square_enix.android_googleplay.ffl2j,FINALFANTASYLEGENDSII時空ノ水晶,156,JP,2018-03-05
com.twitpane.premium,TwitterのついっとぺーんPlus,157,JP,2018-03-05
com.headupgames.bridgeconstructorportal,BridgeConstructorPortal,158,JP,2018-03-05
jp.co.gmode.kysp3,空気読み。３,159,JP,2018-03-05
net.zhuoweizhang.mcpelauncher.pro,BlockLauncherPro,160,JP,2018-03-05
com.runtastic.android.roadbike.pro,RuntasticRoadBikePROGPS,161,JP,2018-03-05
sweetampoule.sidehime,LTLｻｲﾄﾞｽﾄｰﾘｰvol.7,162,JP,2018-03-05
nl.noio.kingdom,Kingdom:NewLands,163,JP,2018-03-05
com.tocaboca.hairsalonme,トッカ・ヘアサロン・ミー(HairSalonMe）,164,JP,2018-03-05
brownmonster.app.game.rushrally2,RushRally2,165,JP,2018-03-05
net.kairosoft.android.bouken_ja,冒険ダンジョン村,166,JP,2018-03-05
se.thegreen.themes.dragon,XPERIA™DragonTheme,167,JP,2018-03-05
jp.dtechgame.alarmIllya,プリズマ☆イリヤアラーム,168,JP,2018-03-05
jp.snowlife01.android.autooptimization,スマホ最適化Plus,169,JP,2018-03-05
