app_id,app_name,rank,country_code,date
jp.konami.duellinks,遊戯王デュエルリンクス,1,KR,2017-04-17
com.gravity.ror.kr,라그나로크R,2,KR,2017-04-17
com.xlegend.ff.kr,아우라킹덤,3,KR,2017-04-17
com.sncompany.stc,문명에서다forKakao,4,KR,2017-04-17
com.netmarble.penta,펜타스톰forKakao,5,KR,2017-04-17
com.intragames.WorldTree_AOS,유루드라실:냐그나로크의시작!,6,KR,2017-04-17
com.nintendo.zara,SuperMarioRun,7,KR,2017-04-17
com.rappidstudios.simulatorbattlephysics,EpicBattleSimulator2,8,KR,2017-04-17
com.netmarble.ghost,요괴,9,KR,2017-04-17
com.digiternomad.archer,궁수키우기(TheShadowArcher),10,KR,2017-04-17
com.ncsoft.h2,프로야구H2,11,KR,2017-04-17
com.enjoygame.ttzjhg,앨리맨털판타지:파이널워,12,KR,2017-04-17
com.studio629.angrysaga,アングリーバード・アイランド,13,KR,2017-04-17
com.nexon.dynastywarriors,DynastyWarriors:Unleashed,14,KR,2017-04-17
com.msoundfactory.dollmachine,PushGetDolls,15,KR,2017-04-17
com.batblocks.coubtower,RoyaleClans–ClashofWars,16,KR,2017-04-17
com.buildingcraftinggames.theme.park.games.girls.craft.roller.coaster.tycoon.block.crafting.and.building.minecraft.sims.roblox,データパーク工作：ローラーコースター建築家,17,KR,2017-04-17
com.DaonCreative.UndeadKing,언데드킹forKakao,18,KR,2017-04-17
com.entermate.bob,밥위드라바(BOB),19,KR,2017-04-17
com.kabam.bigrobot,トランスフォーマー：鋼鉄の戦士たち,20,KR,2017-04-17
com.percent.tikitaka,TiKiTaKa!,21,KR,2017-04-17
com.joymax.fr,エアロストライク,22,KR,2017-04-17
com.applemint.deregirl,츤데레아가씨,23,KR,2017-04-17
com.tory.island,IslandSurvival,24,KR,2017-04-17
com.gamevilusa.mlbpilive.android.google.global.normal,MLBPerfectInningLive,25,KR,2017-04-17
com.notdoppler.crashofcars,クラシューオブカーズ(CrashofCars),26,KR,2017-04-17
com.firestar.builder,건물주키우기,27,KR,2017-04-17
air.com.RustyLake.CubeEscapeTheCave,CubeEscape:TheCave,28,KR,2017-04-17
catlab.berry,베리몬스터,29,KR,2017-04-17
com.sinyee.babybus.homesafe.global,危険防止-BabyBus　幼児・子どもの安全教育アプリ,30,KR,2017-04-17
com.mobirix.bowling,ワールドボウリングチャンピオンシップ,31,KR,2017-04-17
com.joyteagames.dark.google.kr,알피저스,32,KR,2017-04-17
com.kiwigo.animegirldressup.free,AnimeGirlDressUp,33,KR,2017-04-17
com.Iceberg.Paradise,PARADISE,34,KR,2017-04-17
com.superplanet.mm.google,메모라이즈:기억의조각,35,KR,2017-04-17
com.mobirix.towerking,タワーディフェンス王,36,KR,2017-04-17
com.gameloft.android.ANMP.GloftOLHM,ギャングスターニューオーリンズ【オープンワールドゲーム】,37,KR,2017-04-17
com.newday.girlssecret,소녀의1급비밀~덕후중의덕후~,38,KR,2017-04-17
com.aabbcc.pokequiz7,"포켓몬스터(7세대)그림자퀴즈-퀴즈퀴즈,퀴즈,게임",39,KR,2017-04-17
air.theflash.f2game.DinoRobot55,합체!다이노로봇-파라사우랩터공룡게임,40,KR,2017-04-17
air.com.eni.FashionJudy081,ファッションジュディ：トワイススタイルの衣装ゲーム2,41,KR,2017-04-17
com.mgame.catchmon,캐치몬,42,KR,2017-04-17
kr.co.alterna.google,얼터너티브걸즈forKakao,43,KR,2017-04-17
