app_id,app_name,rank,country_code,date
com.ncsoft.lineagem19,리니지M,1,KR,2019-05-16
com.netmarble.kofkr,킹오브파이터올스타,2,KR,2019-05-16
com.netmarble.bnsmkr,블레이드&소울레볼루션,3,KR,2019-05-16
com.netmarble.lineageII,리니지2레볼루션,4,KR,2019-05-16
com.pearlabyss.blackdesertm,검은사막모바일,5,KR,2019-05-16
com.supercell.brawlstars,ブロスタ,6,KR,2019-05-16
com.kakao.talk,カカオトーク-無料でグループ通話！高音質でつながる無料通話！,7,KR,2019-05-16
com.nexon.fo4m,FIFAONLINE4MbyEASPORTS™,8,KR,2019-05-16
com.szckhd.jwgly.azkr,"왕이되는자-독창적인고품격벼슬길승진SRPG,모바일게임의선구자",9,KR,2019-05-16
com.webzen.muorigin2.google,뮤오리진2,10,KR,2019-05-16
com.cjenm.ModooMarbleKakao,모두의마블,11,KR,2019-05-16
com.neowiz.games.poker,PmangPoker:CasinoRoyal,12,KR,2019-05-16
com.netmarble.fgok,페이트/그랜드오더,13,KR,2019-05-16
com.nexon.traha,트라하,14,KR,2019-05-16
com.kakaogames.pcr,프린세스커넥트!Re:Dive,15,KR,2019-05-16
com.stove.epic7.google,EpicSeven,16,KR,2019-05-16
com.netmarble.mherosgb,マーベル・フューチャーファイト,17,KR,2019-05-16
com.indie.jzx.kr,신명,18,KR,2019-05-16
com.cjenm.sknights,세븐나이츠,19,KR,2019-05-16
com.yottagames.mafiawar,マフィア・シティ-極道風雲,20,KR,2019-05-16
com.indie.jl.kr,강림:망령인도자,21,KR,2019-05-16
com.xdg.and.kr.lifeafter,라이프애프터,22,KR,2019-05-16
com.com2us.smon.normal.freefull.google.kr.android.common,サマナーズウォー:SkyArena,23,KR,2019-05-16
com.igg.android.lordsmobile,ロードモバイル:戦争キングダム–ストラテジーバトルRPG,24,KR,2019-05-16
com.nexon.lyn.global,LYN:TheLightbringer,25,KR,2019-05-16
com.nsplay.ghkr.android,검은강호,26,KR,2019-05-16
com.nhnent.Qpoker,한게임포커,27,KR,2019-05-16
com.gamepub.mir18.g,미르의전설2리부트:신규서버오픈,28,KR,2019-05-16
com.miHoYo.bh3korea,붕괴3rd,29,KR,2019-05-16
com.diandian.gog,ガンズ・オブ・グローリー(GunsofGlory),30,KR,2019-05-16
com.com2us.probaseball3d.normal.freefull.google.global.android.common,컴투스프로야구2019,31,KR,2019-05-16
com.wsy.google.wansuiye.kr,황제라칭하라,32,KR,2019-05-16
com.pubg.krmobile,PUBGMOBILE,33,KR,2019-05-16
com.playrix.homescapes,ホームスケイプ(Homescapes),34,KR,2019-05-16
com.netmarble.full2016,이사만루2019,35,KR,2019-05-16
com.netmarble.mpoker,"넷마블포커-블랙잭,바카라,7포커,로우바둑이,뉴포커",36,KR,2019-05-16
com.coc.kr.cocyl.google,레이더스,37,KR,2019-05-16
com.denachina.g33002002.android,블리치-사신격투,38,KR,2019-05-16
com.kr.krzq.google,얼티밋풋볼클럽,39,KR,2019-05-16
com.dncofstorm.valkyrie.google,여신차원:방치형RPG,40,KR,2019-05-16
com.ncsoft.lineagem,리니지M(12),41,KR,2019-05-16
net.kernys.aooni,좀비고등학교,42,KR,2019-05-16
com.gamevil.psrforkakao,별이되어라!,43,KR,2019-05-16
kr.com.efun.kok.google,오크:복수의맹세,44,KR,2019-05-16
com.nexon.nsc.maplem,메이플스토리M,45,KR,2019-05-16
com.more.dayzsurvival.gp,ラストシェルター：この国を守り抜く本格SLG、大人のゲーム,46,KR,2019-05-16
com.wzxx4399kr.google,파천:신이되는자,47,KR,2019-05-16
com.supercell.clashofclans,クラッシュ・オブ・クラン(ClashofClans),48,KR,2019-05-16
com.efunkr.qy.google,삼국지M,49,KR,2019-05-16
com.playrix.gardenscapes,ガーデンスケイプ(Gardenscapes),50,KR,2019-05-16
com.sundaytoz.kakao.wbb,위베어베어스더퍼즐,51,KR,2019-05-16
com.ngelgames.herocantare,히어로칸타레withNAVERWEBTOON,52,KR,2019-05-16
com.netmarble.rav,레이븐:FESTIVAL,53,KR,2019-05-16
com.sundaytoz.kakao.anipang3.service,애니팡3,54,KR,2019-05-16
com.devsisters.gb,クッキーラン:オーブンブレイク,55,KR,2019-05-16
com.epicactiononline.ffxv.ane,ファイナルファンタジー15:新たなる王国(FinalFantasyXV),56,KR,2019-05-16
com.kakaogames.friendsTown,프렌즈타운,57,KR,2019-05-16
com.ntori.tsm,십이지천M,58,KR,2019-05-16
com.kakaogames.friendsKing,프렌즈팝콘,59,KR,2019-05-16
com.longtukorea.fb,피버바스켓,60,KR,2019-05-16
com.bandainamcogames.dbzdokkanww,DRAGONBALLZDOKKANBATTLE,61,KR,2019-05-16
jp.co.ponos.battlecatskr,냥코대전쟁,62,KR,2019-05-16
com.edgames.newworld,새천하를열다,63,KR,2019-05-16
com.blizzard.wtcg.hearthstone,ハースストーン(Hearthstone),64,KR,2019-05-16
com.playrix.township,タウンシップ(Township),65,KR,2019-05-16
jp.konami.duellinks,遊戯王デュエルリンクス,66,KR,2019-05-16
com.neowiz.games.newmatgo,PmangGostop:NO.1MatgoGame,67,KR,2019-05-16
com.ulugames.euros.google,풍신,68,KR,2019-05-16
com.eyougame.ariel,아리엘,69,KR,2019-05-16
com.vespainteractive.KingsRaid,キングスレイド,70,KR,2019-05-16
com.kakaogames.bangdreamkr,뱅드림!걸즈밴드파티!,71,KR,2019-05-16
com.hound13.hundredsoul,HundredSoul,72,KR,2019-05-16
com.diandian.legendofhonourkr,맨트라,73,KR,2019-05-16
kr.txwy.and.snqx,소녀전선,74,KR,2019-05-16
com.king.candycrushsaga,キャンディークラッシュ,75,KR,2019-05-16
com.sundaytoz.mobile.anipang2.google.kakao.service,애니팡2,76,KR,2019-05-16
com.supercell.clashroyale,クラッシュ・ロワイヤル(ClashRoyale),77,KR,2019-05-16
com.smallgiantgames.empires,Empires&Puzzles:RPGQuest,78,KR,2019-05-16
com.mobile.legends,モバイル·レジェンド:BangBang,79,KR,2019-05-16
com.nexon.axe,액스(AxE),80,KR,2019-05-16
com.kingsgroup.ww2,Zデー:ハーツオブヒーローズ,81,KR,2019-05-16
com.ulugame.swordkingdoms.google,천령,82,KR,2019-05-16
com.nhnpixelcube.friendspop,프렌즈팝,83,KR,2019-05-16
kr.xdg.and.id5,제5인격,84,KR,2019-05-16
com.azarlive.android,Azar-ビデオチャット、友達検索,85,KR,2019-05-16
com.nianticlabs.pokemongo,PokémonGO,86,KR,2019-05-16
com.bandainamcoent.onepiecetresurecruisekr,원피스트레저크루즈,87,KR,2019-05-16
com.funplus.kingofavalon,キング・オブ・アバロン:ドラゴン戦争(KoA),88,KR,2019-05-16
com.square_enix.android_googleplay.FFBEWW,FINALFANTASYBRAVEEXVIUS,89,KR,2019-05-16
com.entermate.darkeden,다크에덴M,90,KR,2019-05-16
com.roblox.client,ROBLOX,91,KR,2019-05-16
com.kakaogames.frmarble,프렌즈마블,92,KR,2019-05-16
com.GF.palacem4krkr.hwyad.google,궁정계,93,KR,2019-05-16
com.neowizgames.game.browndust.srpg.gamfs,턴제RPG–브라운더스트,94,KR,2019-05-16
com.ulugames.honors.google,글로리,95,KR,2019-05-16
com.korea.wydsf,令和一大富豪～楽々お金持ち,96,KR,2019-05-16
com.com2us.ninepb3d.normal.freefull.google.global.android.common,MLB：9イニングス19,97,KR,2019-05-16
com.ygzd.nckgp,성을수호하라:TowerDefense,98,KR,2019-05-16
com.NoonDate,소개팅어플1위-정오의데이트,99,KR,2019-05-16
com.cjenm.monster,몬스터길들이기,100,KR,2019-05-16
com.frograms.wplay,왓챠플레이,101,KR,2019-05-16
com.webzen.mt.google,마스터탱커,102,KR,2019-05-16
com.droidhang.ad,アイデル・ヒーローズ～IdleHeroes～,103,KR,2019-05-16
com.bxfr4399kr.google,불멸강호:천애신서,104,KR,2019-05-16
com.gramgames.mergedragons,マージドラゴン(MergeDragons!),105,KR,2019-05-16
com.nhnent.SKQUEST,クルセイダークエスト,106,KR,2019-05-16
com.NHNEnt.NDuelgo,한게임신맞고:김준현이선택한원조고스톱,107,KR,2019-05-16
com.signalnco.ink.aos,삼국지인사이드,108,KR,2019-05-16
com.bandainamcoent.dblegends_ww,DRAGONBALLLEGENDS,109,KR,2019-05-16
kr.txwy.and.blhx,벽람항로,110,KR,2019-05-16
com.gravity.rom.aos,라그나로크M:영원한사랑,111,KR,2019-05-16
com.special.warship,戦艦ファイナル-最後の戦い（最後の海戦を舞台にしたSLGの最高傑作）,112,KR,2019-05-16
com.colondee.simkoong3,심쿵소개팅-200만솔로남녀활동중,113,KR,2019-05-16
com.fingertips.kof98umol,더킹오브파이터즈'98UM온라인forkakao,114,KR,2019-05-16
com.chaplin.leyou.google,삼국지K:신규서버오픈,115,KR,2019-05-16
com.sundaytoz.kakao.poker.service,애니팡포커,116,KR,2019-05-16
com.NHNEnt.MSudda,한게임섯다,117,KR,2019-05-16
com.king.candycrushsodasaga,キャンディークラッシュソーダ,118,KR,2019-05-16
com.jedigames.p20.googleplay,我が天下【世界配信2周年】,119,KR,2019-05-16
app.hybirds.skypeople,스카이피플(스피):서울대생이만든인증을통한안전한소개팅,120,KR,2019-05-16
com.google.android.apps.subscriptions.red,GoogleOne,121,KR,2019-05-16
com.naver.vapp,グローバルスターライブアプリ、VLIVE,122,KR,2019-05-16
com.kreyougame.mingyue,명월,123,KR,2019-05-16
com.netmarble.penta,펜타스톰,124,KR,2019-05-16
com.vizorapps.klondike,KlondikeAdventures(クロンダイクの冒険),125,KR,2019-05-16
com.gamepub.sd.g,삼국지킹덤디펜스,126,KR,2019-05-16
com.ftt.samblade.kr.aos,삼국블레이드,127,KR,2019-05-16
com.kr37.fci.google,전격문고:크로싱보이드,128,KR,2019-05-16
com.plarium.raidlegends,レイドShadowLegends,129,KR,2019-05-16
com.nexon.caocao,삼국지조조전Online,130,KR,2019-05-16
kr.co.millie.millieshelf,밀리의서재-독서와무제한친해지리,131,KR,2019-05-16
com.pixonic.wwr,WarRobots,132,KR,2019-05-16
net.supercat.nekoland,ネコランドマルチゲーム開発ツール、オンラインRPGゲーム作り、モバイルゲームプラットフォーム,133,KR,2019-05-16
com.kakaogames.friendsracing,프렌즈레이싱,134,KR,2019-05-16
com.joycity.gw,ガンシップバトルトータルウォーフェア,135,KR,2019-05-16
com.gamevil.heiroflight.android.google.global.normal,光を継ぐ者,136,KR,2019-05-16
tv.twitch.android.app,Twitch,137,KR,2019-05-16
com.bbgamekr.srm.google,슈퍼리치M,138,KR,2019-05-16
com.charmy.cupist,GLAM-TierDating,139,KR,2019-05-16
com.camelgames.aoz,AgeofZ,140,KR,2019-05-16
com.sundaytoz.kakao.matgo.service,애니팡맞고,141,KR,2019-05-16
com.pang.sjg.google,무협왕,142,KR,2019-05-16
com.joycity.potc,パイレーツ・オブ・カリビアン大海の覇者,143,KR,2019-05-16
com.hcg.cok.gp,クラッシュオブキングス:奇跡降臨,144,KR,2019-05-16
com.eyougame.darkll,다크레전드,145,KR,2019-05-16
games.wfs.anothereden,ANOTHEREDEN,146,KR,2019-05-16
net.nrise.wippy,"WIPPY:위피-심심할때,친구가필요할때",147,KR,2019-05-16
com.netease.dhhzlggkr,대항해의길,148,KR,2019-05-16
com.tinder,Tinder,149,KR,2019-05-16
com.aligames.sgzhg.google,신삼국지모바일-코에이테크모인증,150,KR,2019-05-16
com.fifteendevsoft.monsterhunterclicker,몬스터사냥꾼키우기:노가다클리커RPG,151,KR,2019-05-16
com.dorsia.amanda,아만다:눈높아도괜찮은프리미엄소개팅,152,KR,2019-05-16
com.GF.apcgkrkr.hwyad.google,운명의사랑:궁,153,KR,2019-05-16
com.kakaogames.gnss,창세기전:안타리아의전쟁,154,KR,2019-05-16
com.sopt.mafia42.client,마피아42,155,KR,2019-05-16
com.playdemic.golf.android,ゴルフクラッシュ,156,KR,2019-05-16
com.mobilewaronline.wwr,ワールドウォーライジング,157,KR,2019-05-16
kr.co.feverstudio.apps.everytown,에브리타운,158,KR,2019-05-16
com.neowiz.games.sudda,PmangSutda:RealCardGame,159,KR,2019-05-16
com.rovio.dream,アングリーバードドリームブラスト,160,KR,2019-05-16
com.gamevilusa.mlbpilive.android.google.global.normal,MLBパーフェクトイニング2019,161,KR,2019-05-16
com.sundaytoz.kakao.shanghai.service,상하이애니팡,162,KR,2019-05-16
com.ea.gp.fifamobile,FIFAサッカー,163,KR,2019-05-16
com.matchington.mansion,マッチングトン·マンション,164,KR,2019-05-16
sg.bigo.live,BIGOLIVE（ビゴライブ)‐SNS系ライブ配信,165,KR,2019-05-16
com.andromedagames.hero60,60초용사:방치형RPG,166,KR,2019-05-16
com.wemadesvc.icarusm,이카루스M,167,KR,2019-05-16
com.koikatsu.android.dokidoki2.kr,"당연시-당신도연애를시작할때,미팅/소개팅",168,KR,2019-05-16
jp.gungho.padKO,퍼즐앤드래곤,169,KR,2019-05-16
com.ulugames.sanctuarya.google,천사성역,170,KR,2019-05-16
com.webzen.muorigin.google,뮤오리진,171,KR,2019-05-16
com.bluestonesoft.soularkglobal,SoulArk:BraveandFate,172,KR,2019-05-16
com.camelgames.superking,ウォー・アンド・オーダー「WarandOrder」,173,KR,2019-05-16
